Company Name,Priority Tier,Score,Current Rater(s),Instrument Type,Rating,Last Rating Date,Days Overdue,Urgency,Signal_UltraHot,Signal_DualINC,Signal_RecentTransition,Signal_MultiAgency,Signal_Downgraded,Why Target,ACER Pitch Angle,Sector
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2025-12-16,397,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Yadav Solvex Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,ACUITE | BRICKWORK | CRISIL,Term loans,C,2026-02-03,397,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Chemicals & Pharma
Ashok Bricks Inds. Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA | IND-RA,Bank Guarantee,D,2026-04-02,396,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Ghaziabad Ship Breakers Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Letter Of credit,A 4,2026-01-21,394,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Ship Breaking
Mohammed Enterprises Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Non-fund-based financial facility/instrument,A 4,2025-09-25,393,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Media & Retail
Safal Seeds & Biotech Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Fund based financial facility/instrument,C,2026-04-28,390,HIGH,1,1,0,0,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Chemicals & Pharma
Raman Agro Exports Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA,Term loans,C,2026-02-16,388,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Ramdev Stainless Strips Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2025-12-08,386,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Greenchef Appliances Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Non-fund-based financial facility/instrument,A 4,2025-07-24,382,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",IT & Technology
J B Rolling Mills Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Letter Of credit,A 4,2025-11-24,381,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
S A Iron & Alloys Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA,Term loans,D,2026-01-28,381,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Ocean Motors Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Term loans,C,2025-07-02,380,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Automobiles
Bhardwaj Overseas Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,BB-,2026-03-24,376,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Logistics
Simplex Castings Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | IND-RA,Fund based financial facility/instrument,D,2025-09-08,376,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Passion Vitrified Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Term loans,C,2026-04-23,375,HIGH,1,1,0,0,1,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | recently downgraded,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Mining & Minerals
R B Rungta Steels & Food Products Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2026-03-31,375,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Ran India Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Term loans,C,2025-09-09,375,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Relcom Technology Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | ICRA,Letter Of credit,A 4,2026-03-09,372,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",IT & Technology
Hansraj Agrofresh Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL | IND-RA,Long term Loans,D,2026-03-12,369,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Aadarsh Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Bank Guarantee,A 4,2026-02-09,368,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Other
Sweety Infrastructure Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CARE | CRISIL,Bank Guarantee,D,2026-04-24,368,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Indica Conveyors Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Letter Of credit,D,2025-09-01,367,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Manufacturing
Mother India Agrofoods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,ACUITE | BRICKWORK | CRISIL,Term loans,B,2025-08-29,366,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Jaidayal Hitex Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,BB+,2025-06-20,410,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Textiles
M A Sarsinsa Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-07-16,410,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Geeta Refinery Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,D,2025-08-21,409,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Chemicals & Pharma
Reddy Veeranna Constructions Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,D,2025-09-18,409,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Aishwaryagiri Constructions Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-05,408,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Instinct Infra & Power Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL,Bank Guarantee,A 4+,2026-02-10,407,HIGH,1,0,1,0,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC,"You just became INC — ACER can restore your rating track record within weeks, not months",Steel & Metals
Krishu Motor Craft Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2026-02-26,407,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Automobiles
Anil Buildcon (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-07-11,403,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Sandhya Infocity Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CARE | CRISIL,Fund based financial facility/instrument,BB-,2025-07-21,403,HIGH,1,0,0,1,1,ULTRA HOT (365+ days INC) | rated by 3+ agencies | recently downgraded,"Over 12 months without a valid rating — ACER provides fastest turnaround, guaranteed analyst availability",Mining & Minerals
Jai Mata Bala Sundari Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,A 4,2026-04-20,402,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Multicolor Steels (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL,Fund based financial facility/instrument,BB,2026-04-30,402,HIGH,1,0,1,0,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC,"You just became INC — ACER can restore your rating track record within weeks, not months",Steel & Metals
Prem Jain Ispat Udyog Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,BB+,2026-02-19,402,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Patel Hospital Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,BB-,2025-10-17,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Healthcare
Prabha Infrastructure Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-11-10,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Shri Rewa Rice Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B+,2025-07-29,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Thrive Solar Energy Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-08-22,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Energy
Dwarakamai Constructions Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-11,397,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Kodai Cars Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,D,2025-09-10,397,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Automobiles
Adwaith Lakshmi Inds. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL | IND-RA,Letter Of credit,A 4+,2026-01-09,396,HIGH,1,0,1,0,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC,"You just became INC — ACER can restore your rating track record within weeks, not months",Manufacturing
Anand Triplex Board Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,BB+,2026-01-22,396,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Paper & Packaging
Parijat Oil & Feeds Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,C,2025-11-12,395,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Fairdeal Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-10,393,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Gajanan Siddhivinayak Foods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-07-21,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Granite Mart Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-07-30,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Mining & Minerals
Kings International Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,A 4,2025-10-07,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Logistics
Pandit Automobiles Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-06-02,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",IT & Technology
Trans Valves (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-10,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Manufacturing
Sharma Orthopedic (India) Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B,2025-06-24,389,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Healthcare
Omkar Speciality Chemicals Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Long term Loans,D,2025-05-30,388,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Chemicals & Pharma
Satyam Ispat (North East) Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-08-14,387,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Shubham Cotton Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B,2025-06-11,387,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Textiles
Prakash Road Lines Corpn. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-07-17,383,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Construction
Salasaar Iron & Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2026-01-31,382,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Simran International Export (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,A 4,2025-09-05,382,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Logistics
Sri M K Paper Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-09-29,382,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Paper & Packaging
Raunaq International Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,C,2025-09-25,381,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Logistics
Rawalwasia Textile Inds. Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,ACUITE | BRICKWORK | CARE,Letter Of credit,A 4,2026-04-08,379,HIGH,1,0,0,1,1,ULTRA HOT (365+ days INC) | rated by 3+ agencies | recently downgraded,"Over 12 months without a valid rating — ACER provides fastest turnaround, guaranteed analyst availability",Manufacturing
Aditya Motocorp Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-09-09,375,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Automobiles
Manoj Cables Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,D,2026-02-23,374,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
P R G Buildcon India Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL | ICRA | IND-RA,Term loans,D,2026-04-02,374,HIGH,1,0,0,1,1,ULTRA HOT (365+ days INC) | rated by 3+ agencies | recently downgraded,"Over 12 months without a valid rating — ACER provides fastest turnaround, guaranteed analyst availability",Construction
Anmol Steel Processors Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-10-07,373,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Steel & Metals
Shree Sita Agro Foods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Long term Loans,B,2025-10-29,373,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Shree Sita Edibles Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,B,2025-10-29,373,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Agro & Food
Jinaam'S Dress Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,D,2025-08-22,372,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst",Textiles
