Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,Company/Issuer not cooperating,is_INC,Days_Overdue,Urgency,Year,Month,Month_Str,Month_Str2,Inferred_State,Geo_Signal
D J S Printers Pvt. Ltd.,2026-04-21,CARE,Term loans,High Risk,B+,Downgraded,8.5,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,2026-04-15,CARE,Term loans,Inadequate Safety,BB+,Downgraded,32.52,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Design & Manufacturing Vista Electronics Pvt. Ltd.,2026-04-06,CARE,Non-government debt,Moderate Safety,BBB/A3,Downgraded,20.0,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Diamond Beverages Pvt. Ltd.,2026-04-15,CARE,Term loans,High Risk,B+,Downgraded,92.15,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Gujarat,cluster:diamond
Durga Automotives Pvt. Ltd.,2026-04-08,CARE,Term loans,Default,D,Reaffirmed,3.4,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Chhattisgarh,Durg
Eco Polyfibres Pvt. Ltd.,2026-04-28,CARE,Letter Of credit,Default,D,Reaffirmed,7.5,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Ecomotel Hotel Ltd.,2026-04-06,CARE,Term loans,Default,D,Reaffirmed,11.65,Y,True,76.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Empire Alcobrev Pvt. Ltd.,2026-04-23,CARE,Non-government debt,High Risk,B+/A4,Downgraded,5.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Encore Projects Pvt. Ltd.,2026-04-08,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.4,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Energy Development Co. Ltd.,2026-04-17,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,7.0,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Envirad Projects Pvt. Ltd.,2026-04-23,CARE,Non-government debt,High Risk,B+/A4,Downgraded,4.9,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Essem Auto Electricals Pvt. Ltd.,2026-04-08,CARE,Term loans,Inadequate Safety,BB+,Withdrawn,,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Etco Denim Pvt. Ltd.,2026-04-09,CARE,Term loans,Default,D,Reaffirmed,246.45,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Everest Sea Foods Exports Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.15,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Evergreen International Ltd.,2026-04-16,CARE,Term loans,High Risk,B-,Reaffirmed,1.3,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Flexituff Ventures Intl. Ltd.,2026-04-17,CARE,Non-fund based working capital limit,Default,D,Reaffirmed,199.02,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Future Enterprises Ltd.,2026-04-23,CARE,Bank Guarantee,Default,D,Reaffirmed,602.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
G M R Rajahmundry Energy Ltd.,2026-04-08,CARE,Term loans,Default,D,Reaffirmed,2352.39,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Andhra/Telangana,Rajahmundry
Goel Scientific Glass Works Ltd.,2026-04-13,CARE,Term loans,High Risk,B-,Reaffirmed,0.99,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Golden Mandhir Retail Pvt. Ltd.,2026-04-28,CARE,Fund based financial facility/instrument,High Risk,B-,Reaffirmed,1.4,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Gowthami Solvent Oils Pvt. Ltd.,2026-04-09,CARE,Term loans,Inadequate Safety,BB,Reaffirmed,37.56,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Greenland Paper Mills Ltd.,2026-04-22,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,0.9,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Guru Laxmi Cottex Pvt. Ltd.,2026-04-29,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.5,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Habra Shree Lakshmi Narayan Rollar Flour & Dall Mill Pvt. Ltd.,2026-04-21,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,3.0,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Hajra Medical Agency Pvt. Ltd.,2026-04-20,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.75,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Harbir Automobile Pvt. Ltd.,2026-04-20,CARE,Term loans,High Risk,B+,Downgraded,3.58,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Hari Om Retail Pvt. Ltd.,2026-04-28,CARE,Fund based financial facility/instrument,High Risk,B-,Reaffirmed,4.0,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Heavy Metals & Tubes Ltd.,2026-04-10,CARE,Non-fund based working capital limit,Default,D,Reaffirmed,11.5,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Helios Photo Voltaic Ltd.,2026-04-22,CARE,Term loans,Default,D,Reaffirmed,824.71,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Hemodiaz Life Sciences Pvt. Ltd.,2026-04-17,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,3.4,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Him Cylinders Ltd.,2026-04-29,CARE,Bank Guarantee,Default,D,Reaffirmed,1.0,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Himalayan Flour Mill Pvt. Ltd.,2026-04-21,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,8.0,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Hindustan Spirits Ltd.,2026-04-14,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,2.0,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Hotline Capital Services Pvt. Ltd.,2026-04-01,CARE,Non-government debt,Substantial Risk,C/A4,Reaffirmed,100.0,Y,True,81.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
I C E D Desserts & Food Parlours (India) Pvt. Ltd.,2026-04-23,CARE,Term loans,Substantial Risk,C,Reaffirmed,15.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
I F P Petro Products Pvt. Ltd.,2026-04-17,CARE,Fund based financial facility/instrument,High Risk,B-,Downgraded,5.5,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
I L & F S Energy Development Co. Ltd.,2026-04-14,CARE,Term loans,Default,D,Reaffirmed,1037.85,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
I L & F S Engg. & Construction Co. Ltd.,2026-04-16,CARE,Term loans,Default,D,Reaffirmed,352.81,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Idcol Ferro Chrome & Alloys Ltd. [Merged],2026-04-17,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.5,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Idea Sales Agencies Pvt. Ltd.,2026-04-16,CARE,Term loans,High Risk,B-,Reaffirmed,3.93,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Integrated Thermoplastics Ltd.,2026-04-10,CARE,Term loans,Default,D,Reaffirmed,7.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Ishwar Ispat Inds. Pvt. Ltd.,2026-04-17,CARE,Term loans,High Risk,B,Downgraded,25.0,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
J C T Ltd.,2026-04-09,CARE,Term loans,Default,D,Reaffirmed,24.68,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
J J Glastronics Pvt. Ltd.,2026-04-09,CARE,Term loans,Inadequate Safety,BB+,Upgraded,40.73,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
J M Ferro Alloys Pvt. Ltd.,2026-04-10,CARE,Letter Of credit,Default,D,Reaffirmed,12.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
J P L Industries Ltd.,2026-04-14,CARE,Non-fund-based financial facility/instrument,High Risk,A 4,Reaffirmed,0.2,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Jalan Transolutions (India) Ltd.,2026-04-15,CARE,Term loans,Default,D,Reaffirmed,13.5,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Joyguru Cold Storage Pvt. Ltd.,2026-04-15,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.07,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
K B K Biotech Pvt. Ltd.,2026-04-02,CARE,Term loans,Inadequate Safety,BB,Reaffirmed,138.22,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
K B S C Auto Pvt. Ltd.,2026-04-28,CARE,Non-government debt,High Risk,B+/A4,Downgraded,0.5,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
K G N Motors Pvt. Ltd.,2026-04-08,CARE,Term loans,Default,D,Reaffirmed,4.89,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
K N Singh Infratech Pvt. Ltd.,2026-04-16,CARE,Term loans,High Risk,B-,Reaffirmed,0.19,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
K P Solvex Pvt. Ltd.,2026-04-20,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.0,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kaadambary Ricetech Pvt. Ltd.,2026-04-23,CARE,Term loans,Default,D,Reaffirmed,5.5,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kaila Devi Health Care Services Pvt. Ltd.,2026-04-15,CARE,Fund based financial facility/instrument,High Risk,B-,Reaffirmed,4.08,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kamal Cotspin Pvt. Ltd.,2026-04-29,CARE,Fund based financial facility/instrument,Inadequate Safety,BB-,Downgraded,3.95,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Keya Foods Intl. Pvt. Ltd.,2026-04-13,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,10.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Khandwa Industries Pvt. Ltd.,2026-04-10,CARE,Term loans,Default,D,Reaffirmed,0.5,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kims Super Speciality Hospital Pvt. Ltd.,2026-04-09,CARE,Term loans,High Risk,B-,Reaffirmed,18.86,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kniss Laboratories Pvt. Ltd.,2026-04-15,CARE,Term loans,Default,D,Reaffirmed,1.5,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Krupalu Rice Inds. Pvt. Ltd.,2026-04-28,CARE,Term loans,High Risk,B-,Reaffirmed,0.72,Y,True,54.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kundana Techno Tex Pvt. Ltd.,2026-04-07,CARE,Non-government debt,Moderate Safety,BBB-/A3,Reaffirmed,2.0,Y,True,75.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Kurseong Computer Sales Pvt. Ltd.,2026-04-09,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.0,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Lakshmi Precision Screws Ltd.,2026-04-09,CARE,Bank Guarantee,Default,D,Reaffirmed,77.0,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Lemon Electronics Ltd.,2026-04-20,CARE,Letter Of credit,Default,D,Reaffirmed,65.0,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Luxra Enterprises Pvt. Ltd.,2026-04-23,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,6.0,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
M G Autosales Pvt. Ltd.,2026-04-17,CARE,Fund based financial facility/instrument,High Risk,B-,Reaffirmed,14.75,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
M G M Infra Devp. Solutions Pvt. Ltd.,2026-04-22,CARE,Term loans,Default,D,Reaffirmed,4.94,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
M S Support Services Ltd.,2026-04-24,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.5,Y,True,58.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Machine Tools (India) Ltd.,2026-04-08,CARE,Non-government debt,High Risk,B-/A4,Reaffirmed,8.5,Y,True,74.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mahakaleshwar Tollways Pvt. Ltd.,2026-04-16,CARE,Term loans,Default,D,Reaffirmed,164.84,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Maneesh Pipes Pvt. Ltd.,2026-04-13,CARE,Bank Guarantee,High Risk,B-,Downgraded,3.5,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mani Square Ltd.,2026-04-15,CARE,Term loans,Default,D,Reaffirmed,170.0,Y,True,67.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mantri Developers Pvt. Ltd.,2026-04-02,CARE,Fund based financial facility/instrument,Default,D,Reaffirmed,230.0,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Med Freshe Pvt. Ltd.,2026-04-21,CARE,Term loans,High Risk,B+,Downgraded,1.0,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mevada Oil Mill Pvt. Ltd.,2026-04-13,CARE,Term loans,Default,D,Reaffirmed,0.6,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mighty Auto Wheels Pvt. Ltd.,2026-04-27,CARE,Term loans,High Risk,B-,Reaffirmed,3.0,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mittal Filaments Pvt. Ltd.,2026-04-16,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.25,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mittapally Agro Products Pvt. Ltd.,2026-04-14,CARE,Non-government debt,Default,D,Reaffirmed,32.5,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mohib Shoes Pvt. Ltd.,2026-04-30,CARE,Letter Of credit,Default,D,Downgraded,1.5,Y,True,52.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mohini Health & Hygiene Ltd.,2026-04-27,CARE,Term loans,High Risk,B,Downgraded,20.0,Y,True,55.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Mutha Engineering Pvt. Ltd.,2026-04-16,CARE,Term loans,Inadequate Safety,BB-,Downgraded,41.59,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
N K Agro Exports (India) Pvt. Ltd.,2026-04-02,CARE,Term loans,Inadequate Safety,BB-,Downgraded,42.83,Y,True,80.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
N V Kharote Constructions Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,Default,D,Reaffirmed,7.83,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Nalanda Engicon Pvt. Ltd.,2026-04-16,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,7.0,Y,True,66.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Nasim Ahsan Construction Pvt. Ltd.,2026-04-13,CARE,Bank Guarantee,High Risk,B-,Reaffirmed,25.0,Y,True,69.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Natraj Electro Casting Pvt. Ltd.,2026-04-14,CARE,Term loans,High Risk,B-,Downgraded,13.5,Y,True,68.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Nevco Engineers Pvt. Ltd.,2026-04-17,CARE,Fund based financial facility/instrument,High Risk,B-,Downgraded,2.5,Y,True,65.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
New Modern Technomech Pvt. Ltd.,2026-04-21,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,5.0,Y,True,61.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Nimbus Motors Pvt. Ltd.,2026-04-23,CARE,Fund based financial facility/instrument,Substantial Risk,C,Reaffirmed,27.5,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
North East Ferro Alloys Co. Pvt. Ltd.,2026-04-20,CARE,Term loans,High Risk,B-,Reaffirmed,0.95,Y,True,62.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Omnitech Engineering Ltd.,2026-04-07,CARE,Term loans,Moderate Safety,BBB-,Withdrawn,,Y,True,75.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Oracle Polymer Inds. Pvt. Ltd.,2026-04-10,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.1,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Oswal Lumbers Pvt. Ltd.,2026-04-10,CARE,Non-government debt,High Risk,B/A4,Downgraded,27.0,Y,True,72.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
P S V Precast Pvt. Ltd.,2026-04-23,CARE,Term loans,High Risk,B-,Reaffirmed,6.65,Y,True,59.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Paramount Blankets Pvt. Ltd.,2026-04-29,CARE,Non-government debt,Default,D,Reaffirmed,1.0,Y,True,53.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Parshvanath Printex Pvt. Ltd.,2026-04-22,CARE,Term loans,High Risk,B-,Downgraded,9.9,Y,True,60.0,LOW,2026,4,2026-04,2026-04,Unknown,Unknown
Patiala Distillers & Mfrs. Ltd.,2026-04-09,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.35,Y,True,73.0,LOW,2026,4,2026-04,2026-04,Punjab/Haryana,Patiala
