Company Name,INDRA_INC_Date,INDRA_Days_Overdue,INDRA_Instrument,INDRA_Rating,INDRA_Amount_Cr,CRISIL_INC_Date,CRISIL_Days_Overdue,CRISIL_Instrument,CRISIL_Rating,CRISIL_Amount_Cr,Max_Days_Overdue,Urgency,Revenue_Signal,Why_Target,ACER_Pitch
Hansraj Agrofresh Pvt. Ltd.,2026-01-16,156,Non-government debt,D,24.59,2025-06-16,370,Long term Loans,D,3.46,370,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Kairali Steels & Alloys Pvt. Ltd.,2025-12-19,184,Non-government debt,B/A4,47.38,2025-06-19,367,Letter Of credit,A 4,35.0,367,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Mega Vitrified Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,12.84,2025-06-19,367,Term loans,B,1.4,367,ULTRA HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
V R G Industries Pvt. Ltd.,2025-11-24,209,Non-government debt,B-/A4,10.0,2025-06-24,362,Term loans,B+,6.0,362,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
R S Development & Constructions India Pvt. Ltd.,2025-12-19,184,Non-government debt,B/A4,67.89,2025-06-25,361,Bank Guarantee,A 4+,70.0,361,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Vertigo Impex Pvt. Ltd.,2025-12-19,184,Non-government debt,B/A4,32.5,2025-06-30,356,Letter Of credit,A 4+,42.6,356,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Anunay Fab Ltd.,2026-02-27,114,Non-government debt,D,85.2,2025-07-08,348,Term loans,B-,5.5,348,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
V N M Jewel Crafts Ltd.,2026-01-16,156,Non-government debt,B-/A4,5.0,2025-07-11,345,Bank Guarantee,A 4,1.0,345,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Landmark Royal Engg. (India) Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,3.5,2025-07-14,342,Bank Guarantee,A 4,19.23,342,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Punjab Metal Works Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,5.5,2025-07-17,339,Letter Of credit,A 4,5.0,339,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Kohinoor Feeds & Fats Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,50.0,2025-07-18,338,Fund based financial facility/instrument,B,12.0,338,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Multifilms Plastics Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,9.93,2025-07-25,331,Fund based financial facility/instrument,B,8.0,331,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
R K S Steel Inds. Pvt. Ltd.,2025-12-19,184,Non-government debt,B-/A4,38.02,2025-07-25,331,Long term Loans,B,20.4,331,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Gemus Engineering Ltd.,2026-04-02,80,Non-government debt,D,19.3,2025-07-29,327,Term loans,D,3.6,327,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sanatan Logistics Pvt. Ltd.,2025-08-21,304,Non-government debt,B/A4,28.5,2025-07-30,326,Bank Guarantee,A 4,0.1,326,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Safety Controls & Devices Ltd.,2025-11-24,209,Non-government debt,B-/A4,42.0,2025-07-31,325,Bank Guarantee,A 4+,53.88,325,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Trijal Enterprise Pvt. Ltd.,2025-11-24,209,Non-government debt,B-/A4,55.0,2025-07-31,325,Letter Of credit,A 4,30.0,325,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Pride Coke Pvt. Ltd.,2025-08-13,312,Non-government debt,D,29.45,2025-08-12,313,Term loans,D,4.14,313,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shiv Shakti Thermo Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,7.9,2025-08-14,311,Long term Loans,B,2.3,311,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shri Murlidhar Inds. Pvt. Ltd.,2026-01-16,156,Non-government debt,B/A4,86.0,2025-08-14,311,Long term Loans,B,11.0,311,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
A K Lumbers Ltd.,2026-04-02,80,Non-government debt,B-/A4,13.5,2025-08-18,307,Long term Loans,B,1.0,307,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
A P S Power-Tech (India) Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,10.9,2026-02-20,121,Bank Guarantee,A 4,5.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Affil Vitrified Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,22.0,2025-12-08,195,Long term Loans,B+,6.83,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Amber Spintex Pvt. Ltd.,2025-08-21,304,Non-government debt,B/A4,98.91,2026-01-23,149,Term loans,BB+,41.75,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Andrew Yule & Co. Ltd.,2025-08-21,304,Non-government debt,C/A4,40.2,2025-09-08,286,Bank Guarantee,A 4+,35.82,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Batliboi Ltd.,2025-08-21,304,Non-government debt,B-/A4,72.75,2026-02-27,114,Letter Of credit,A 4,43.9,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Esmario Export Enterprises Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,17.5,2026-04-28,54,Long term Loans,B,1.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Guru Laxmi Cottex Pvt. Ltd.,2025-08-21,304,Non-government debt,B/A4,58.96,2025-11-19,214,Bank Guarantee,A 4,1.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Janardan Nirman Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,10.0,2025-11-20,213,Bank Guarantee,A 4,1.0,304,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Justclick Travels Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,10.0,2026-01-30,142,Bank Guarantee,A 4,1.0,304,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Maha Hydraulics Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,12.0,2025-12-05,198,Letter Of credit,A 4,2.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Manman Manufacturing Co. Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,5.28,2025-09-25,269,Long term Loans,B+,5.25,304,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Pink Rose Lingerie Pvt. Ltd.,2025-08-21,304,Non-government debt,D,21.36,2025-10-24,240,Letter Of credit,D,2.5,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Rajlaxmi Agrotech India Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,23.5,2025-09-18,276,Letter Of credit,A 4,9.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Roots Cooling Systems Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,20.9,2025-11-05,228,Letter Of credit,A 4,2.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shakun Gases Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,23.0,2025-12-22,181,Letter Of credit,A 4,20.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sincon Infrastructure Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,25.0,2025-09-25,269,Bank Guarantee,A 4,14.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sonai Constructions Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,12.0,2025-08-21,304,Bank Guarantee,A 4,2.0,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Souhardha Infra-Tech Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,5.0,2026-02-27,114,Fund based financial facility/instrument,B,5.0,304,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Spica Projects & Infrastructures Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,34.55,2025-10-29,235,Bank Guarantee,A 4,29.13,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sri Kaliswari Metal Powders Pvt. Ltd.,2025-08-21,304,Non-government debt,B-/A4,19.56,2025-12-18,185,Letter Of credit,A 4,18.5,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Thakkarsons Roll Forming Pvt. Ltd.,2025-08-21,304,Non-government debt,D,32.9,2025-08-26,299,Letter Of credit,D,6.5,304,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Modtech Material Handling Projects Pvt. Ltd.,2025-09-11,283,Non-government debt,B/A4,9.35,2025-08-29,296,Term loans,B,0.6,296,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
P C P International Ltd.,2026-01-16,156,Non-government debt,D,56.22,2025-09-08,286,Bank Guarantee,D,37.0,286,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Hans Industries Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,50.0,2025-09-09,285,Bank Guarantee,A 4,12.0,285,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
K T L Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,61.5,2025-09-10,284,Fund based financial facility/instrument,B,44.0,284,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Amit Capacitors Ltd.,2025-09-11,283,Non-government debt,B-/A4,16.0,2025-10-07,257,Letter Of credit,A 4,6.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Apnatech Consultancy Services Pvt. Ltd.,2025-09-11,283,Non-government debt,D,11.31,2026-03-11,102,Long term Loans,D,12.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Bostin Engineers Pvt. Ltd.,2025-09-11,283,Non-government debt,D,15.39,2025-12-10,193,Letter Of credit,D,2.4,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Furnace Fabrica (India) Ltd.,2025-09-11,283,Non-government debt,D,326.01,2026-03-30,83,Bank Guarantee,D,203.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Ganesh Steel & Alloys Ltd.,2025-09-11,283,Non-government debt,B-/A4,9.74,2025-11-20,213,Bank Guarantee,A 4,2.55,283,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Golden Globe Impex Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,18.0,2026-03-18,95,Letter Of credit,A 4,12.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Jonson Rubber Inds. Ltd.,2025-09-11,283,Non-government debt,B-/A4,62.0,2026-01-31,141,Letter Of credit,A 4,20.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
K K Duplex & Paper Mills Pvt. Ltd.,2025-09-11,283,Non-government debt,D,11.2,2026-01-21,151,Bank Guarantee,D,0.25,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Natraj Electro Casting Pvt. Ltd.,2025-09-11,283,Non-government debt,B/A4,29.53,2026-04-24,58,Bank Guarantee,A 4,1.53,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Rubber O Malabar Products Pvt. Ltd.,2025-09-11,283,Non-government debt,D,6.0,2025-12-23,180,Long term Loans,D,5.27,283,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Samal Builders Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,13.5,2026-03-25,88,Bank Guarantee,A 4,7.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shape Engineering Co. Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,11.08,2025-12-18,185,Term loans,B,1.5,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shivshakti Barrels Pvt. Ltd.,2025-09-11,283,Non-government debt,D,6.03,2026-01-23,149,Bank Guarantee,D,0.7,283,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Unify Texturisers Pvt. Ltd.,2025-09-11,283,Non-government debt,B-/A4,95.0,2026-02-12,129,Bank Guarantee,A 4+,10.0,283,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Sangam Forgings Pvt. Ltd.,2025-12-19,184,Non-government debt,B-/A4,4.5,2025-09-17,277,Long term Loans,B,1.9,277,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Shrikishan & Co. Pvt. Ltd.,2025-12-19,184,Non-government debt,B-/A4,23.0,2025-09-19,275,Bank Guarantee,A 4,20.0,275,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
P S K Textiles India Pvt. Ltd.,2026-04-02,80,Non-government debt,B-/A4,28.46,2025-09-26,268,Long term Loans,B+,1.21,268,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Rekha Corporation Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,11.0,2025-09-29,265,Long term Loans,B+,3.0,265,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Ace Commercial Co. Pvt. Ltd.,2026-04-02,80,Non-government debt,B/A4,40.46,2025-09-30,264,Long term Loans,B,2.0,264,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Power Max (India) Pvt. Ltd.,2026-04-02,80,Non-government debt,D,48.15,2025-10-08,256,Letter Of credit,D,5.0,256,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Eurolife Healthcare Pvt. Ltd.,2026-03-04,109,Non-government debt,D,100.77,2025-10-17,247,Long term Loans,D,3.4,247,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Clavecon ( India) Pvt. Ltd.,2025-11-24,209,Non-government debt,B-/A4,7.78,2025-10-20,244,Long term Loans,B,12.0,244,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Malwa Automotives Pvt. Ltd.,2026-01-16,156,Non-government debt,B-/A4,13.0,2025-10-24,240,Term loans,B+,1.97,240,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Perfect Infraengineers Ltd.,2025-11-24,209,Non-government debt,D,9.34,2025-10-30,234,Letter Of credit,D,1.0,234,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Ribbel International Ltd.,2026-01-16,156,Non-government debt,B-/A4,6.5,2025-11-05,228,Term loans,B+,6.35,228,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Element Chemilink Pvt. Ltd.,2026-01-16,156,Non-government debt,B/A4,6.58,2025-11-12,221,Bank Guarantee,A 4,0.5,221,HOT,MEDIUM,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
Camerich Papers Pvt. Ltd.,2026-01-16,156,Non-government debt,D,122.6,2025-11-21,212,Letter Of credit,D,15.0,212,HOT,HIGH,IND-RA NCD INC + CRISIL INC — multi-agency abandonment on debt instruments,Both IND-RA and CRISIL have marked you non-cooperative — ACER can provide fresh NCD/debt rating for next issuance
