Company,CARE_Date,CARE_Days,CARE_Instrument,CARE_Rating,CARE_Urgency,CRISIL_Date,CRISIL_Days,CRISIL_Instrument,CRISIL_Rating,CRISIL_Urgency,Worst_Urgency,Max_Days,Current_Rater,Why_Target,ACER_Pitch
M N C Electricals Pvt. Ltd.,2025-05-12,405.0,Non-government debt,B-/A4,ULTRA HOT,2026-02-23,118.0,Bank Guarantee,A 4,WARM,HOT,405.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sandhya Infocity Ltd.,2025-05-13,404.0,Fund based financial facility/instrument,BB-,ULTRA HOT,2025-07-21,335.0,Term loans,B,HOT,HOT,404.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
A & T Infracon Pvt. Ltd.,2025-12-05,198.0,Bank Guarantee,A 4,HOT,2025-05-13,404.0,Bank Guarantee,A 4+,ULTRA HOT,HOT,404.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jagdamba Timbers Pvt. Ltd.,2025-05-13,404.0,Bank Guarantee,A 4,ULTRA HOT,2025-06-19,367.0,Letter Of credit,A 4,ULTRA HOT,ULTRA HOT,404.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Transoceanic Agro Comm Pvt. Ltd.,2025-05-14,403.0,Letter Of credit,A 4,ULTRA HOT,2025-06-13,373.0,Letter Of credit,A 4,ULTRA HOT,ULTRA HOT,403.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sai Shreeja Cars Pvt. Ltd.,2025-05-14,403.0,Non-government debt,B+/A4,ULTRA HOT,2025-12-22,181.0,Bank Guarantee,A 4,HOT,HOT,403.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Dynamic Fine Paper Mill Pvt. Ltd.,2025-05-14,403.0,Term loans,B,ULTRA HOT,2026-01-21,151.0,Term loans,B,WARM,HOT,403.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Tathya Texfab Pvt. Ltd.,2025-05-14,403.0,Bank Guarantee,A 4,ULTRA HOT,2025-10-31,233.0,Bank Guarantee,A 4,HOT,HOT,403.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ilasakaa Steels Ltd.,2025-05-15,402.0,Letter Of credit,D,ULTRA HOT,2025-07-25,331.0,Letter Of credit,D,HOT,HOT,402.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Al-Nasir Exports Pvt. Ltd.,2026-04-21,61.0,Term loans,D,LOW,2025-05-15,402.0,Term loans,BB+,ULTRA HOT,HOT,402.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
K A I International Pvt. Ltd.,2025-10-31,233.0,Letter Of credit,A 4,HOT,2025-05-16,401.0,Fund based financial facility/instrument,B,ULTRA HOT,HOT,401.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
K P N Textile Mills Pvt. Ltd.,2025-05-20,397.0,Bank Guarantee,A 4,ULTRA HOT,2026-01-21,151.0,Bank Guarantee,A 4,WARM,HOT,397.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Viraj Syntex Pvt. Ltd.,2025-05-21,396.0,Bank Guarantee,A 4,ULTRA HOT,2025-09-16,278.0,Bank Guarantee,A 4,HOT,HOT,396.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Dugar Overseas Pvt. Ltd.,2025-05-21,396.0,Bank Guarantee,A 4,ULTRA HOT,2025-11-25,208.0,Letter Of credit,A 4+,HOT,HOT,396.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Achiever Apparels Pvt. Ltd.,2025-07-15,341.0,Short-term loan,A 4,HOT,2025-05-21,396.0,Short-term loan,A 4,ULTRA HOT,HOT,396.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Veerabhadra Minerals Pvt. Ltd.,2025-05-22,395.0,Bank Guarantee,B+,ULTRA HOT,2026-04-30,52.0,Bank Guarantee,A 4,LOW,HOT,395.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mittal Infrastructure Pvt. Ltd.,2025-05-26,391.0,Bank Guarantee,D,ULTRA HOT,2025-05-22,395.0,Bank Guarantee,D,ULTRA HOT,ULTRA HOT,395.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Centuary Fibre Plates Pvt. Ltd.,2026-02-19,122.0,Bank Guarantee,A 4,WARM,2025-05-23,394.0,Bank Guarantee,A 4,ULTRA HOT,HOT,394.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shrishti Eletromech Pvt. Ltd.,2025-05-23,394.0,Term loans,B,ULTRA HOT,2026-04-29,53.0,Long term Loans,B,LOW,HOT,394.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Solcen Infra Pvt. Ltd.,2025-11-25,208.0,Bank Guarantee,B-,HOT,2025-05-26,391.0,Bank Guarantee,A 4,ULTRA HOT,HOT,391.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Firozabad Ceramics Pvt. Ltd.,2025-07-15,341.0,Letter Of credit,D,HOT,2025-05-26,391.0,Long term Loans,D,ULTRA HOT,HOT,391.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rayalaseema Steel Re-Rolling Mills Pvt. Ltd. (Part- Ix),2025-08-07,318.0,Letter Of credit,A 4,HOT,2025-05-26,391.0,Letter Of credit,A 4,ULTRA HOT,HOT,391.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ananda-Bag Tea Co. Ltd.,2025-10-17,247.0,Bank Guarantee,A 4,HOT,2025-05-26,391.0,Bank Guarantee,A 4,ULTRA HOT,HOT,391.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Chemrow India Pvt. Ltd.,2025-10-13,251.0,Letter Of credit,A 4,HOT,2025-05-27,390.0,Letter Of credit,A 4,ULTRA HOT,HOT,390.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Vinayak Ultraflex Pvt. Ltd.,2025-10-31,233.0,Bank Guarantee,A 4,HOT,2025-05-27,390.0,Bank Guarantee,A 4,ULTRA HOT,HOT,390.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ram'S Assorted Cold Storage Ltd.,2025-05-27,390.0,Non-government debt,D,ULTRA HOT,2026-04-10,72.0,Long term Loans,D,LOW,HOT,390.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Remira Motors Pvt. Ltd.,2025-05-28,389.0,Term loans,B-,ULTRA HOT,2025-12-22,181.0,Fund based financial facility/instrument,B,HOT,HOT,389.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Cenosphere India Pvt. Ltd.,2025-05-28,389.0,Bank Guarantee,A 4,ULTRA HOT,2025-05-29,388.0,Bank Guarantee,A 4,ULTRA HOT,ULTRA HOT,389.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Corodex Infrastructure Pvt. Ltd.,2026-04-24,58.0,Non-government debt,D,LOW,2025-05-29,388.0,Bank Guarantee,D,ULTRA HOT,HOT,388.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shree Bharat Motors Ltd.,2026-04-29,53.0,Term loans,D,LOW,2025-05-29,388.0,Fund based financial facility/instrument,D,ULTRA HOT,HOT,388.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Samarth Dairy & Agro Products Pvt. Ltd.,2025-07-14,342.0,Term loans,B-,HOT,2025-05-29,388.0,Fund based financial facility/instrument,B+,ULTRA HOT,HOT,388.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Borah Agencies Pvt. Ltd.,2026-02-03,138.0,Fund based financial facility/instrument,B-,WARM,2025-05-29,388.0,Fund based financial facility/instrument,B,ULTRA HOT,HOT,388.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Konark Synthetic Ltd.,2025-05-30,387.0,Bank Guarantee,D,ULTRA HOT,2025-11-27,206.0,Letter Of credit,D,HOT,HOT,387.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rai Metal Works Pvt. Ltd.,2025-05-30,387.0,Non-fund-based financial facility/instrument,A 4,ULTRA HOT,2025-09-10,284.0,Letter Of credit,A 4,ULTRA HOT,HOT,387.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Periwal Polymers Pvt. Ltd.,2025-08-07,318.0,Non-government debt,B-/A4,HOT,2025-05-30,387.0,Letter Of credit,A 4,ULTRA HOT,HOT,387.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shree Sita Ispat & Power Pvt. Ltd.,2025-06-02,384.0,Term loans,B,ULTRA HOT,2025-10-17,247.0,Long term Loans,B+,HOT,HOT,384.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Deoghar Industries Pvt. Ltd.,2025-06-03,383.0,Term loans,B+,ULTRA HOT,2025-07-17,339.0,Term loans,B,HOT,HOT,383.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Blue Ocean Beverages Pvt. Ltd.,2025-06-03,383.0,Term loans,B+,ULTRA HOT,2026-03-11,102.0,Term loans,B,WARM,HOT,383.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Cosmo Granites Pvt. Ltd.,2025-06-03,383.0,Term loans,B-,ULTRA HOT,2025-10-24,240.0,Term loans,B,HOT,HOT,383.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sai Baba Sales Pvt. Ltd.,2025-06-03,383.0,Fund based financial facility/instrument,B-,ULTRA HOT,2025-07-30,326.0,Fund based financial facility/instrument,B,HOT,HOT,383.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
J B Rolling Mills Ltd.,2025-06-04,382.0,Letter Of credit,A 4,ULTRA HOT,2025-11-24,209.0,Bank Guarantee,A 4,HOT,HOT,382.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sonalac Paints & Coatings Ltd.,2025-06-10,376.0,Term loans,B-,ULTRA HOT,2025-06-10,376.0,Term loans,B+,ULTRA HOT,ULTRA HOT,376.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Bagkiya Constructions Pvt. Ltd.,2025-06-10,376.0,Bank Guarantee,A 4,ULTRA HOT,2025-11-25,208.0,Bank Guarantee,A 4+,HOT,HOT,376.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mangal Sponge & Steel Pvt. Ltd.,2025-06-11,375.0,Bank Guarantee,A 4,ULTRA HOT,2025-09-24,270.0,Bank Guarantee,A 4+,HOT,HOT,375.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Eco Cements Ltd.,2026-01-13,159.0,Bank Guarantee,A 4,WARM,2025-06-12,374.0,Bank Guarantee,A 4,ULTRA HOT,HOT,374.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Omni Impex Pvt. Ltd.,2026-02-12,129.0,Bank Guarantee,A 4,WARM,2025-06-13,373.0,Bank Guarantee,A 4,ULTRA HOT,HOT,373.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sophisticated Industrial Materials Analytic Labs Pvt. Ltd.,2025-06-13,373.0,Non-government debt,B/A4,ULTRA HOT,2026-01-30,142.0,Bank Guarantee,A 4+,WARM,HOT,373.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Aadarsh Pvt. Ltd.,2025-06-17,369.0,Bank Guarantee,A 4,ULTRA HOT,2025-10-06,258.0,Bank Guarantee,A 4,HOT,HOT,369.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Bhardwaj Overseas Pvt. Ltd.,2025-06-19,367.0,Non-government debt,BB-/A4,ULTRA HOT,2026-03-24,89.0,Term loans,BB-,ULTRA HOT,HOT,367.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
B K Sons Infrastructure Pvt. Ltd.,2026-04-21,61.0,Bank Guarantee,D,LOW,2025-06-20,366.0,Bank Guarantee,D,ULTRA HOT,HOT,366.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Techno Global Services Pvt. Ltd.,2025-10-10,254.0,Bank Guarantee,BB-,HOT,2025-06-23,363.0,Bank Guarantee,A 4,HOT,HOT,363.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Hero Electric Vehicles Pvt. Ltd.,2025-06-23,363.0,Non-government debt,D,HOT,2026-01-28,144.0,Fund based financial facility/instrument,D,WARM,HOT,363.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Vipul Motors Pvt. Ltd.,2026-04-22,60.0,Non-government debt,B/A4,LOW,2025-06-24,362.0,Fund based financial facility/instrument,B,HOT,HOT,362.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
A-I Enterprises Pvt. Ltd.,2025-11-10,223.0,Bank Guarantee,A 4,HOT,2025-06-24,362.0,Fund based financial facility/instrument,A 4,HOT,HOT,362.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Empire Alcobrev Pvt. Ltd.,2026-04-23,59.0,Non-government debt,B+/A4,LOW,2025-06-25,361.0,Term loans,BB,HOT,HOT,361.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Buds Tea Inds. Ltd.,2025-10-31,233.0,Non-government debt,D,HOT,2025-06-25,361.0,Bank Guarantee,D,HOT,HOT,361.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Excelsource International Pvt. Ltd.,2025-12-22,181.0,Non-government debt,B+/A4,HOT,2025-06-25,361.0,Letter Of credit,A 4+,HOT,HOT,361.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shivam Motors Pvt. Ltd.,2025-06-27,359.0,Bank Guarantee,D,HOT,2025-07-09,347.0,Fund based financial facility/instrument,D,HOT,HOT,359.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ekam Agro Pvt. Ltd.,2025-06-27,359.0,Term loans,D,HOT,2025-11-14,219.0,Term loans,D,HOT,HOT,359.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Best I T World (India) Pvt. Ltd.,2025-07-04,352.0,Letter Of credit,D,HOT,2026-03-11,102.0,Letter Of credit,D,WARM,HOT,352.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Hitrac Manpower Services Pvt. Ltd.,2025-07-08,348.0,Fund based financial facility/instrument,B-,HOT,2025-12-10,193.0,Fund based financial facility/instrument,B+,HOT,HOT,348.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Armour Steel Buildings India Pvt. Ltd.,2025-08-12,313.0,Non-government debt,B+/A4,HOT,2025-07-10,346.0,Bank Guarantee,A 4,HOT,HOT,346.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rational Business Corpn. Pvt. Ltd.,2025-07-11,345.0,Bank Guarantee,A 4,HOT,2026-02-26,115.0,Letter Of credit,A 4,WARM,HOT,345.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Bahl Builders Pvt. Ltd.,2026-04-30,52.0,Non-government debt,BB-/A4,LOW,2025-07-11,345.0,Bank Guarantee,A 4,HOT,HOT,345.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Katyaini Products Pvt. Ltd.,2026-02-24,117.0,Letter Of credit,A 4,WARM,2025-07-14,342.0,Letter Of credit,A 4,HOT,HOT,342.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kanak Pipe Inds. Pvt. Ltd.,2025-10-13,251.0,Non-government debt,B-/A4,HOT,2025-07-14,342.0,Bank Guarantee,A 4,HOT,HOT,342.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
K G N Motors Pvt. Ltd.,2026-04-08,74.0,Term loans,D,LOW,2025-07-14,342.0,Term loans,D,HOT,HOT,342.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Anand Carbo Pvt. Ltd.,2026-04-15,67.0,Bank Guarantee,A 4,LOW,2025-07-14,342.0,Bank Guarantee,A 4+,HOT,HOT,342.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Phenil Sugars Ltd.,2026-04-23,59.0,Bank Guarantee,D,LOW,2025-07-16,340.0,Bank Guarantee,D,HOT,HOT,340.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Bihani Binayake Cotex Pvt. Ltd.,2026-04-23,59.0,Term loans,B-,LOW,2025-07-16,340.0,Long term Loans,B,HOT,HOT,340.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Cochin Frozen Food Exports Pvt. Ltd.,2025-07-16,340.0,Bank Guarantee,D,HOT,2025-12-10,193.0,Long term Loans,D,HOT,HOT,340.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mohib Shoes Pvt. Ltd.,2026-04-30,52.0,Letter Of credit,D,LOW,2025-07-16,340.0,Letter Of credit,A 4,HOT,HOT,340.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Millenium Steel India Pvt. Ltd.,2025-10-09,255.0,Letter Of credit,A 4,HOT,2025-07-16,340.0,Letter Of credit,A 4,HOT,HOT,340.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
