Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,Company/Issuer not cooperating,is_INC,Days_Overdue,Urgency,is_NCD,Company_upper,Why_Target
B N S R Inds. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,4.9,Y,True,80.0,LOW,True,B N S R INDS. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B N T Connections Impex Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,30.55,Y,True,80.0,LOW,True,B N T CONNECTIONS IMPEX LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B N T Innovations Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,Default,D,Reaffirmed,10.0,Y,True,156.0,WARM,True,B N T INNOVATIONS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
B V L Exports Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,Default,D,Reaffirmed,125.0,Y,True,156.0,WARM,True,B V L EXPORTS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Badri Ecofibres Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,47.95,Y,True,304.0,HOT,True,BADRI ECOFIBRES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Balaji Fiber Reinforce Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,Default,D,Reaffirmed,30.0,Y,True,80.0,LOW,True,BALAJI FIBER REINFORCE PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Balaji Oil Industries Pvt. Ltd.,2026-02-27,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,32.39,Y,True,114.0,WARM,True,BALAJI OIL INDUSTRIES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bansal Spinning Mills Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,166.3,Y,True,304.0,HOT,True,BANSAL SPINNING MILLS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bay Datacom Solutions Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,23.0,Y,True,156.0,WARM,True,BAY DATACOM SOLUTIONS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bellatrix Infrastructure Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,5.41,Y,True,304.0,HOT,True,BELLATRIX INFRASTRUCTURE PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bemco Sleepers Ltd.,2025-11-24,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,13.1,Y,True,209.0,HOT,True,BEMCO SLEEPERS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bharamari Steels Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,20.35,Y,True,304.0,HOT,True,BHARAMARI STEELS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bhartia Yarns Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,10.0,Y,True,80.0,LOW,True,BHARTIA YARNS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bhaskar Shrachi Alloys Ltd.,2025-09-11,IND-RA,Non-government debt,Default,D,Reaffirmed,63.2,Y,True,283.0,HOT,True,BHASKAR SHRACHI ALLOYS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bhola Ram Steels Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,10.75,Y,True,304.0,HOT,True,BHOLA RAM STEELS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bhopal Switch Gears Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,9.22,Y,True,304.0,HOT,True,BHOPAL SWITCH GEARS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bhopal Tractors Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,10.0,Y,True,80.0,LOW,True,BHOPAL TRACTORS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bilt Graphic Paper Products Ltd.,2025-12-19,IND-RA,Non-government debt,Default,D,Reaffirmed,0.5,Y,True,184.0,HOT,True,BILT GRAPHIC PAPER PRODUCTS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Biomedix Optotechnik & Devices Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,8.91,Y,True,80.0,LOW,True,BIOMEDIX OPTOTECHNIK & DEVICES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Birbal International Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,10.0,Y,True,304.0,HOT,True,BIRBAL INTERNATIONAL PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Birmi International Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,21.7,Y,True,304.0,HOT,True,BIRMI INTERNATIONAL PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bloom Dekor Ltd.,2025-08-21,IND-RA,Non-government debt,Default,D,Reaffirmed,32.5,Y,True,304.0,HOT,True,BLOOM DEKOR LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Blue Duck Textiles Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,Default,D,Reaffirmed,7.83,Y,True,80.0,LOW,True,BLUE DUCK TEXTILES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Bon Ton Softwares Pvt. Ltd.,2026-02-27,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,26.14,Y,True,114.0,WARM,True,BON TON SOFTWARES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Brahmani Developers Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,7.0,Y,True,283.0,HOT,True,BRAHMANI DEVELOPERS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Brindha Cotton Mills Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,Default,D,Reaffirmed,10.57,Y,True,80.0,LOW,True,BRINDHA COTTON MILLS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
C M C Textiles Pvt. Ltd.,2025-11-24,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,27.73,Y,True,209.0,HOT,True,C M C TEXTILES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
C V S Infrastructure Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,17.0,Y,True,304.0,HOT,True,C V S INFRASTRUCTURE PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Camex Ltd.,2025-12-19,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,24.5,Y,True,184.0,HOT,True,CAMEX LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Canaan Engineering Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,Default,D,Reaffirmed,27.62,Y,True,304.0,HOT,True,CANAAN ENGINEERING PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Caravel Logistics Pvt. Ltd.,2025-12-19,IND-RA,Non-government debt,Substantial Risk,C/A4,Reaffirmed,11.1,Y,True,184.0,HOT,True,CARAVEL LOGISTICS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Cbsi India Pvt. Ltd. [Merged],2025-09-11,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,7.5,Y,True,283.0,HOT,True,CBSI INDIA PVT. LTD. [MERGED],"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Cee Dee Vacuum Equipment Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,36.97,Y,True,304.0,HOT,True,CEE DEE VACUUM EQUIPMENT PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Cennet Biopharma Pvt. Ltd.,2026-02-27,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,15.0,Y,True,114.0,WARM,True,CENNET BIOPHARMA PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Chanakya Technos Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,10.3,Y,True,156.0,WARM,True,CHANAKYA TECHNOS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Charoen Pokphand Seeds (India) Pvt. Ltd.,2026-02-27,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,110.0,Y,True,114.0,WARM,True,CHAROEN POKPHAND SEEDS (INDIA) PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Chetan Alloys Pvt. Ltd.,2026-01-29,IND-RA,Non-government debt,Default,D,Downgraded,10.0,Y,True,143.0,WARM,True,CHETAN ALLOYS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Chetan Overseas Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,13.5,Y,True,80.0,LOW,True,CHETAN OVERSEAS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Chhabra Ispat Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,34.0,Y,True,283.0,HOT,True,CHHABRA ISPAT PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Classic Knits India Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,Default,D,Reaffirmed,112.72,Y,True,156.0,WARM,True,CLASSIC KNITS INDIA PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Cleantec Infra Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,6.0,Y,True,80.0,LOW,True,CLEANTEC INFRA PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Clifton Export Pvt. Ltd.,2025-12-19,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,69.26,Y,True,184.0,HOT,True,CLIFTON EXPORT PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Coirfoam (India) Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,8.0,Y,True,80.0,LOW,True,COIRFOAM (INDIA) PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Commercial Auto Products Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,10.0,Y,True,156.0,WARM,True,COMMERCIAL AUTO PRODUCTS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Continental Milkose (India) Ltd.,2026-01-16,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,40.0,Y,True,156.0,WARM,True,CONTINENTAL MILKOSE (INDIA) LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Corlim Marine Exports Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,Default,D,Reaffirmed,46.0,Y,True,283.0,HOT,True,CORLIM MARINE EXPORTS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Crown Cashew Impex Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Reaffirmed,9.9,Y,True,304.0,HOT,True,CROWN CASHEW IMPEX PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Crystal Cable Inds. Ltd.,2026-01-16,IND-RA,Non-government debt,Default,D,Reaffirmed,76.26,Y,True,156.0,WARM,True,CRYSTAL CABLE INDS. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
D C S Techno Services Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,12.0,Y,True,80.0,LOW,True,D C S TECHNO SERVICES PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
D M L Exim Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,130.0,Y,True,80.0,LOW,True,D M L EXIM PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
D M L World Trade Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,20.0,Y,True,80.0,LOW,True,D M L WORLD TRADE PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Darshan Overseas Pvt. Ltd.,2026-04-02,IND-RA,Non-government debt,High Risk,B/A4,Downgraded,50.0,Y,True,80.0,LOW,True,DARSHAN OVERSEAS PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Dayana Polyplast Pvt. Ltd.,2025-08-21,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,22.0,Y,True,304.0,HOT,True,DAYANA POLYPLAST PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Deep Weldmesh Pvt. Ltd.,2025-09-11,IND-RA,Non-government debt,Default,D,Reaffirmed,10.0,Y,True,283.0,HOT,True,DEEP WELDMESH PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Delco Infrastructure Projects Ltd.,2026-01-16,IND-RA,Non-government debt,Default,D,Reaffirmed,18.0,Y,True,156.0,WARM,True,DELCO INFRASTRUCTURE PROJECTS LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
Dembla Timber Co. Pvt. Ltd.,2026-01-16,IND-RA,Non-government debt,Default,D,Reaffirmed,24.61,Y,True,156.0,WARM,True,DEMBLA TIMBER CO. PVT. LTD.,"IND-RA NCD INC only — no CRISIL rating, ACER can be primary NCD rater"
