Company Name,INC Instruments (Abandoned),All Instruments,Last Rating,Last Status,Last Rating Date,Days Since Last Rating,Urgency,Priority,Sector,INC Instrument Count,Why Target,ACER Pitch Angle,Current Rater
Ambootia Tea Exports Pvt. Ltd.,Letter Of credit | Term loans,Letter Of credit | Term loans,D,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Infrastructure,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit | Term loans). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Auto Carriage Pvt. Ltd.,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee | Fund based financial facility/instrument | Term loans,B,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Automobiles & Auto,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Fund based financial facility/instrument | Term loans). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Clifton Export Pvt. Ltd.,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,A 4,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Infrastructure,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit | Term loans). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Shanders Properties Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Valbe Foods (India) Ltd.,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Agro & Food,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Vardhan Agro Processing Ltd.,Term loans,Term loans,D,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Vidyut Controls & Automation Pvt. Ltd.,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Automobiles & Auto,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
Zarko Granito Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,C,Reaffirmed,2025-01-09,525,HIGH,ULTRA HOT,Other,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 525 days. ACER can restore in 15 days.,BRICKWORK
A B Grain Spirits Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-01-12,522,HIGH,ULTRA HOT,Agro & Food,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 522 days. ACER can restore in 15 days.,BRICKWORK
Atarson Overseas Pvt. Ltd.,Term loans,Term loans,D,Reaffirmed,2025-01-12,522,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 522 days. ACER can restore in 15 days.,BRICKWORK
Dhoot Infrastructure Projects Ltd.,Term loans,Term loans,B+,Reaffirmed,2025-01-12,522,HIGH,ULTRA HOT,Infrastructure,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 522 days. ACER can restore in 15 days.,BRICKWORK
Inox World Inds. Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-01-12,522,HIGH,ULTRA HOT,Other,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 522 days. ACER can restore in 15 days.,BRICKWORK
J R M Foods Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,A 4,Reaffirmed,2025-01-12,522,HIGH,ULTRA HOT,Agro & Food,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Term loans). Rating overdue 522 days. ACER can restore in 15 days.,BRICKWORK
S V P Industries Ltd.,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,BB-,Downgraded,2025-01-12,522,HIGH,ULTRA HOT,Manufacturing,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Non-fund-based financial facility/instrument). Rating overdue 522 days. ACER can restore in 15 days.,BRICKWORK
Bhopal Switch Gears Pvt. Ltd.,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,C,Reaffirmed,2025-02-06,497,HIGH,ULTRA HOT,Other,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit | Term loans). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Capital Power Infrastructure Pvt. Ltd.,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,C,Reaffirmed,2025-02-06,497,HIGH,ULTRA HOT,BFSI,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Globe Enterprises (India) Ltd.,Letter Of credit | Non-fund-based financial facility/instrument,Letter Of credit | Non-fund-based financial facility/instrument,A 4,Withdrawn,2025-02-06,497,HIGH,ULTRA HOT,Other,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit | Non-fund-based financial facility/instrument). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
International Tubes India Pvt. Ltd.,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,C-,Reaffirmed,2025-02-06,497,HIGH,ULTRA HOT,Other,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit | Term loans). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Keshav Holiday Resort Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,C,Downgraded,2025-02-06,497,HIGH,ULTRA HOT,Hotels & Tourism,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Term loans). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Orient Ispat Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,BB-,Downgraded,2025-02-06,497,HIGH,ULTRA HOT,Other,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Pandit Automobiles Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-02-06,497,HIGH,ULTRA HOT,IT & Software,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Prakash Road Lines Corpn. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,C,Reaffirmed,2025-02-06,497,HIGH,ULTRA HOT,Infrastructure,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Robbins Tunneling & Trenchless Technology (India) Pvt. Ltd.,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-02-06,497,HIGH,ULTRA HOT,IT & Software,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee). Rating overdue 497 days. ACER can restore in 15 days.,BRICKWORK
Fie Refineries & Chemical Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,Chemicals & Pharma,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
J G Foundry Ltd.,Term loans,Term loans,B-,Downgraded,2025-02-07,496,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Kavisha Motors Pvt. Ltd.,Fund based financial facility/instrument,Fund based financial facility/instrument,C,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,Automobiles & Auto,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Minmet Refractory Solutions Pvt. Ltd.,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,IT & Software,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Royale Manor Hotels & Inds. Ltd.,Term loans,Term loans,B-,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,Hotels & Tourism,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Shanti Refrigeration Inds. Pvt. Ltd.,Letter Of credit | Term loans,Letter Of credit | Term loans,C,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,Other,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit | Term loans). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Shree Ashtvinayak Roller Flour Mills Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,Agro & Food,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Sobti Infratech Ltd.,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-02-07,496,HIGH,ULTRA HOT,Infrastructure,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee). Rating overdue 496 days. ACER can restore in 15 days.,BRICKWORK
Shah Brothers Ispat Pvt. Ltd.,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-02-08,495,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit). Rating overdue 495 days. ACER can restore in 15 days.,BRICKWORK
Aakriti Super Snacks Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Other,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Aditya Coke Pvt. Ltd.,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,D,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Other,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Letter Of credit | Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Dhanalakshmi Automotives India Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,C-,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Automobiles & Auto,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Frontier Capital Ltd.,Term loans,Term loans,C,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,BFSI,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Gurusons Communications Pvt. Ltd.,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Other,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Hindusthan Insulators & Inds. Ltd.,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Other,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Non-fund-based financial facility/instrument). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Manorama Ropes India Pvt. Ltd.,Letter Of credit | Term loans,Letter Of credit | Term loans,C,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Other,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit | Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Megha Fruit Processing Pvt. Ltd.,Letter Of credit | Term loans,Letter Of credit | Term loans,B,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Agro & Food,3,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Letter Of credit | Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
R P L Projects Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Construction,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Vandana Rolling Mills Pvt. Ltd.,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Steel & Metals,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Non-fund-based financial facility/instrument). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Vindsor Management Consultants Pvt. Ltd.,Term loans,Term loans,C,Reaffirmed,2025-02-09,494,HIGH,ULTRA HOT,Jewellery & Gems,1,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Term loans). Rating overdue 494 days. ACER can restore in 15 days.,BRICKWORK
Ali Afzal Flour Mill Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,B,Reaffirmed,2025-02-12,491,HIGH,ULTRA HOT,Agro & Food,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Term loans). Rating overdue 491 days. ACER can restore in 15 days.,BRICKWORK
Apex Coco & Solar Energy Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,D,Reaffirmed,2025-02-12,491,HIGH,ULTRA HOT,Energy,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Fund based financial facility/instrument | Term loans). Rating overdue 491 days. ACER can restore in 15 days.,BRICKWORK
D Raja Cotton Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee | Term loans,B,Reaffirmed,2025-02-12,491,HIGH,ULTRA HOT,Agro & Food,2,BRICKWORK INC: issuer not cooperating — abandoned by current rater. Systemic: BRICKWORK 84-88% INC rate across working capital instruments.,URGENT: BRICKWORK abandoned (Bank Guarantee | Term loans). Rating overdue 491 days. ACER can restore in 15 days.,BRICKWORK
