Company Name,Latest Instrument,Current Rater,Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Kairali Steels & Alloys Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2025-12-19,MEDIUM,Steel & Metals,YES,CARE | CRISIL | IND-RA,3,Letter Of credit | Non-government debt | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kamakshi Steels Pvt. Ltd.,Long term Loans,CRISIL,D,2025-09-25,MEDIUM,Steel & Metals,YES,CARE | CRISIL,2,Bank Guarantee | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kantipudi Steels Pvt. Ltd.,Fund based financial facility/instrument,CARE,BBB-,2025-08-28,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE,2,Bank Guarantee | Fund based financial facility/instrument | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Kaushal Ferro Metals Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-05-23,HIGH,Steel & Metals,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
La Reliant Aluminium Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-06-06,HIGH,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Lingraj Steel & Power Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-06-10,HIGH,Steel & Metals,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
M A Sarsinsa Steels Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-07-16,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Fund based financial facility/instrument | Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mahamaya Steel Inds. Ltd.,Non-government debt,CARE,BB+/A4+,2025-11-27,MEDIUM,Steel & Metals,YES,CARE | ICRA,2,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mandovi Casting Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-05-12,HIGH,Steel & Metals,YES,CRISIL,1,Letter Of credit,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Mangalam Metals & Ores Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-05-08,HIGH,Steel & Metals,YES,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Meghalaya Cast & Alloys Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-10-09,MEDIUM,Steel & Metals,YES,CRISIL | IND-RA,2,Bank Guarantee | Non-fund based working capital limit | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mehar Steels Pvt. Ltd.,Term loans,BRICKWORK,D,2025-05-07,HIGH,Steel & Metals,YES,BRICKWORK,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Metal Storage Systems Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-08,HIGH,Steel & Metals,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Millenium Steel India Pvt. Ltd.,Letter Of credit,CARE,A 4,2025-10-09,MEDIUM,Steel & Metals,YES,CARE | CRISIL,2,Letter Of credit | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Mono Steel (India) Ltd.,Letter Of credit,CRISIL,A 4,2025-05-26,HIGH,Steel & Metals,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Mukand Sumi Metal Processing Ltd.,Non-fund based working capital limit,IND-RA,A 4+,2025-05-26,HIGH,Steel & Metals,YES,IND-RA,1,Non-fund based working capital limit,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Niagara Metals India Ltd.,Bank Guarantee,CARE,D,2025-11-18,MEDIUM,Steel & Metals,YES,CARE | IND-RA,2,Bank Guarantee | Letter Of credit | Non-fund based working capital limit | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Nirav Metals Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-13,HIGH,Steel & Metals,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Nirman Infra-Steel Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-05-22,HIGH,Steel & Metals,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Omsairam Steels & Alloys Pvt. Ltd.,Long term Loans,ACUITE,A-,2025-09-30,MEDIUM,Steel & Metals,YES,ACUITE | CARE,2,Bank Guarantee | Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Orient Steel & Inds. Ltd.,Bank Guarantee,ACUITE,A 4,2025-12-01,MEDIUM,Steel & Metals,YES,ACUITE | CARE,2,Bank Guarantee | Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Oyster Steel & Iron Pvt. Ltd.,Bank Guarantee,CARE,D,2025-05-28,HIGH,Steel & Metals,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
P S R Metals Pvt. Ltd.,Term loans,BRICKWORK,D,2025-06-05,HIGH,Steel & Metals,YES,BRICKWORK,1,Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Patson Steels Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,C,2025-08-28,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Fund based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Pawan Castings Meghalaya Pvt. Ltd.,Term loans,CRISIL,B+,2025-10-13,MEDIUM,Steel & Metals,YES,CRISIL | IND-RA,2,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Perfect Alloys & Steel Ltd.,Term loans,BRICKWORK,C-,2025-05-15,HIGH,Steel & Metals,YES,BRICKWORK,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
R J S Steels Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-05-08,HIGH,Steel & Metals,YES,BRICKWORK,1,Letter Of credit | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
R K S Steel Inds. Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-12-19,MEDIUM,Steel & Metals,YES,CRISIL | IND-RA,2,Bank Guarantee | Long term Loans | Non-government debt,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
R N Metals Pvt. Ltd.,Non-government debt,BRICKWORK,C,2025-06-17,HIGH,Steel & Metals,YES,BRICKWORK,1,Non-government debt,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
R P Multimetals Ltd.,Letter Of credit,CARE,A 4,2025-09-17,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE | CRISIL,3,Fund based financial facility/instrument | Letter Of credit | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Rahul Ferromet & Engg. Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-09-19,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Bank Guarantee | Long term Loans | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Rai Metal Works Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-09-10,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE | CRISIL,3,Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Rajdhani Castings Pvt. Ltd.,Term loans,BRICKWORK,C,2025-10-10,MEDIUM,Steel & Metals,YES,BRICKWORK | CRISIL,2,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Rama Ferro Alloys & Finance Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-06-16,HIGH,Steel & Metals,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
Ramesh Iron & Steel Co. India Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-11-21,MEDIUM,Steel & Metals,YES,CARE | IND-RA,2,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Ramnik Power & Alloys Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-10-08,MEDIUM,Steel & Metals,YES,CRISIL | IND-RA,2,Long term Loans | Non-government debt | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Ran India Steels Pvt. Ltd.,Letter Of credit,CARE,D,2025-09-09,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE | CRISIL,3,Letter Of credit | Long term Loans | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Rana Steels India Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-10-07,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE,2,Letter Of credit | Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
Rashmi Sponge Iron & Power Inds. Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-11-05,MEDIUM,Steel & Metals,YES,BRICKWORK | CARE,2,Bank Guarantee | Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating approaching renewal (6-12 months) | Multi-agency — open to new entrant,"INC + approaching renewal — ACER as fresh, cooperative alternative"
