Company Name,Latest Rater,All Raters,Rater Count,All Instruments,INC Instruments,Latest Rating,Latest Status,Latest Rating Date,Days Since Rating,Urgency,Priority,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Stoney Vinimay Pvt. Ltd.,ACUITE,ACUITE,1,Long term Loans | Short-term loan,Long term Loans | Short-term loan,A 4+,Reaffirmed,2025-04-09,435,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Rating overdue (435 days),URGENT: ACUITE abandoned your Long term Loans | Short-term loan. ACER specializes in mining sector — rescue rating in 15 days.
Newton Engineering & Chemicals Ltd.,ACUITE,ACUITE,1,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,D,Reaffirmed,2025-04-11,433,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Rating overdue (433 days),URGENT: ACUITE abandoned your Bank Guarantee | Letter Of credit. ACER specializes in mining sector — rescue rating in 15 days.
Pearl Mineral & Mines Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans,Long term Loans,B+,Reaffirmed,2025-04-11,433,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Rating overdue (433 days),URGENT: CRISIL abandoned your Long term Loans. ACER specializes in mining sector — rescue rating in 15 days.
Sandhya Chemplast Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument,Bank Guarantee | Fund based financial facility/instrument,B+,Withdrawn,2025-04-11,433,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Rating overdue (433 days),URGENT: CRISIL abandoned your Bank Guarantee | Fund based financial facility/instrument. ACER specializes in mining sector — rescue rating in 15 days.
Universal Petrochemicals Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,A 4,Reaffirmed,2025-04-12,432,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Rating overdue (432 days),URGENT: BRICKWORK abandoned your Bank Guarantee | Letter Of credit. ACER specializes in mining sector — rescue rating in 15 days.
Sovika Chemicals Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-05-06,408,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Rating overdue (408 days),URGENT: BRICKWORK abandoned your Bank Guarantee. ACER specializes in mining sector — rescue rating in 15 days.
Creative Chain Stores Pvt. Ltd.,CARE,CARE,1,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,D,Reaffirmed,2025-05-11,403,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (403 days),URGENT: CARE abandoned your Bank Guarantee | Letter Of credit. ACER specializes in mining sector — rescue rating in 15 days.
Barak Valley Cements Ltd.,CARE,CARE | CRISIL,2,Term loans,Term loans,BB+,Withdrawn,2025-05-12,402,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (402 days) | Multi-agency — open to new raters,URGENT: CARE abandoned your Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Norex Flavours Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Fund based financial facility/instrument | Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Term loans,Letter Of credit | Term loans,BBB,Reaffirmed,2025-05-12,402,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Rating overdue (402 days) | Multi-agency — open to new raters,URGENT: CRISIL abandoned your Letter Of credit | Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Skyz Stones Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,BB-,Reaffirmed,2025-05-12,402,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Rating overdue (402 days),URGENT: BRICKWORK abandoned your Fund based financial facility/instrument | Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Davinder Sandhu Impex Pvt. Ltd.,CARE,CARE | CRISIL,2,Long term Loans | Term loans,Term loans,BB-,Downgraded,2025-06-05,378,HIGH,ULTRA HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Rating overdue (378 days) | Multi-agency — open to new raters,URGENT: CARE abandoned your Term loans. ACER specializes in mining sector — rescue rating in 15 days.
Gajraj Mining Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-07-05,348,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Bank Guarantee with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Kirtiman Cements & Packaging Inds. Ltd.,BRICKWORK,BRICKWORK | CARE,2,Term loans,Term loans,D,Reaffirmed,2025-07-05,348,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Stone India Ltd.,CARE,CARE,1,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,D,Reaffirmed,2025-07-05,348,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit | Term loans with CARE is INC — renewal window open. ACER offers faster turnaround.
Jorehaut Group Ltd.,CARE,CARE | ICRA,2,Non-government debt | Term loans,Term loans,BB-,Downgraded,2025-07-07,346,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Term loans with CARE is INC — renewal window open. ACER offers faster turnaround.
Sandeep Lead Alloys (India) Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Long term Loans,Bank Guarantee | Long term Loans,BB+,Reaffirmed,2025-07-10,343,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee | Long term Loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Diach Chemicals & Pigments Pvt. Ltd.,ICRA,CARE | ICRA,2,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-07-11,342,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ICRA not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument with ICRA is INC — renewal window open. ACER offers faster turnaround.
Mangalam Metals & Ores Ltd.,CRISIL,CRISIL,1,Fund based financial facility/instrument,Fund based financial facility/instrument,B,Reaffirmed,2025-08-05,317,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Fund based financial facility/instrument with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Swastik Cement Products Pvt. Ltd.,CARE,CARE,1,Fund based financial facility/instrument,Fund based financial facility/instrument,C,Reaffirmed,2025-08-05,317,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Approaching renewal window,Your Fund based financial facility/instrument with CARE is INC — renewal window open. ACER offers faster turnaround.
Sunpower Cement Co. Pvt. Ltd.,ACUITE,ACUITE,1,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee | Letter Of credit | Long term Loans,A 4,Reaffirmed,2025-08-07,315,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit | Long term Loans with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Kailash Marble Industries Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,D,Reaffirmed,2025-08-08,314,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit | Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Travancore Cocotuft Pvt. Ltd.,CARE,CARE | ICRA,2,Letter Of credit | Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 3,Reaffirmed,2025-08-09,313,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Non-fund-based financial facility/instrument with CARE is INC — renewal window open. ACER offers faster turnaround.
United Infra Minerals Pvt. Ltd.,ACUITE,ACUITE,1,Letter Of credit | Long term Loans | Term loans,Letter Of credit | Long term Loans | Term loans,BB-,Downgraded,2025-08-09,313,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window,Your Letter Of credit | Long term Loans | Term loans with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Growmore International Ltd.,ICRA,CRISIL | ICRA,2,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-08-10,312,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ICRA not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument with ICRA is INC — renewal window open. ACER offers faster turnaround.
H K Cement Inds. Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-08-12,310,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Bank Guarantee | Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Raj Kishore Engineering Constructions Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee,Bank Guarantee,B+,Reaffirmed,2025-08-12,310,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Universal Speciality Chemicals Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee | Letter Of credit | Long term Loans,A 4,Reaffirmed,2025-08-12,310,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit | Long term Loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Ramoji Granite Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,A 4,Reaffirmed,2025-09-06,285,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Bank Guarantee | Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Shree Krishna Stevedores Pvt. Ltd.,ICRA,ICRA,1,Non-government debt | Term loans,Non-government debt | Term loans,BB-,Upgraded,2025-09-07,284,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ICRA not cooperating | Approaching renewal window,Your Non-government debt | Term loans with ICRA is INC — renewal window open. ACER offers faster turnaround.
Galaxy Mica Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans,Long term Loans,B+,Reaffirmed,2025-09-09,282,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Long term Loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Milestone Mercandise Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,C,Reaffirmed,2025-09-10,281,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Shri Balaji Sugars & Chemicals Pvt. Ltd.,ACUITE,ACUITE | CARE,2,Long term Loans | Term loans,Long term Loans,B+,Downgraded,2025-09-10,281,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Long term Loans with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Mohit Petrochemicals Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-10-09,252,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Bank Guarantee with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Rashi Granite Exports India Pvt. Ltd.,ACUITE,ACUITE,1,Bank Guarantee | Letter Of credit | Short-term loan,Bank Guarantee | Letter Of credit | Short-term loan,A 4,Reaffirmed,2025-10-09,252,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit | Short-term loan with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Glowmore Finance Pvt. Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,B+,Reaffirmed,2025-10-11,250,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — IND-RA not cooperating | Approaching renewal window,Your Term loans with IND-RA is INC — renewal window open. ACER offers faster turnaround.
Chandras' Chemical Enterprises Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,A 4,Reaffirmed,2025-10-12,249,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Elppe Chemicals Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans,Long term Loans,B,Reaffirmed,2025-10-12,249,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Long term Loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Flourish Paper & Chemicals Ltd.,ICRA,ACUITE | ICRA,2,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument | Term loans,D,Reaffirmed,2025-10-12,249,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ICRA not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Non-fund-based financial facility/instrument | Term loans with ICRA is INC — renewal window open. ACER offers faster turnaround.
Luna Chemical Inds. Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL | IND-RA,3,Bank Guarantee | Letter Of credit | Non-fund based working capital limit | Term loans,Bank Guarantee | Letter Of credit | Term loans,B-,Reaffirmed,2025-10-12,249,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee | Letter Of credit | Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Air Control & Chemical Engg. Co. Ltd.,ACUITE,ACUITE | CARE,2,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Bank Guarantee | Letter Of credit | Term loans,B-,Withdrawn,2025-11-06,224,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee | Letter Of credit | Term loans with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Coimbatore Pioneer Fertilizers Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4,Reaffirmed,2025-11-08,222,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee | Fund based financial facility/instrument | Letter Of credit with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Nair Coal Services Pvt. Ltd.,ACUITE,ACUITE | CARE,2,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-11-08,222,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Ram Kishore Nagarmal Mktg. Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-11-08,222,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window,Your Letter Of credit with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Precision Granite & Marble Pvt. Ltd.,ACUITE,ACUITE | IND-RA,2,Bank Guarantee | Letter Of credit | Long term Loans | Non-government debt | Short-term loan,Bank Guarantee | Letter Of credit | Long term Loans | Non-government debt | Short-term loan,A 4,Reaffirmed,2025-11-09,221,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — ACUITE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee | Letter Of credit | Long term Loans | Non-government debt | Short-term loan with ACUITE is INC — renewal window open. ACER offers faster turnaround.
Ravileela Granites Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,BB,Upgraded,2025-11-09,221,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — IND-RA not cooperating | Approaching renewal window,Your Term loans with IND-RA is INC — renewal window open. ACER offers faster turnaround.
S S Offshore Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,2025-11-09,221,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — IND-RA not cooperating | Approaching renewal window,Your Non-government debt with IND-RA is INC — renewal window open. ACER offers faster turnaround.
Seven Hills Minerals Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Long term Loans,Bank Guarantee | Long term Loans,BB+,Downgraded,2025-11-09,221,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee | Long term Loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Aranthaangi Chemical Products Ltd.,CRISIL,CRISIL,1,Letter Of credit | Long term Loans | Term loans,Letter Of credit | Long term Loans | Term loans,B,Reaffirmed,2025-11-12,218,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Letter Of credit | Long term Loans | Term loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Blackstone Logistics Pvt. Ltd.,CRISIL,CRISIL,1,Term loans,Term loans,B-,Reaffirmed,2025-11-12,218,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Term loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Chakkra Coal India Pvt. Ltd.,CRISIL,CARE | CRISIL,2,Letter Of credit | Term loans,Letter Of credit | Term loans,A 4,Downgraded,2025-11-12,218,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Letter Of credit | Term loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Eco Cements Ltd.,CARE,CARE | CRISIL,2,Bank Guarantee | Term loans,Bank Guarantee | Term loans,B-,Reaffirmed,2025-12-06,194,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CARE not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee | Term loans with CARE is INC — renewal window open. ACER offers faster turnaround.
Pallava Granite Inds. (India) Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,B-,Reaffirmed,2025-12-09,191,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Bank Guarantee | Letter Of credit | Long term Loans | Term loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Sandhyasamrat Construction & Services Pvt. Ltd.,CRISIL,CARE | CRISIL,2,Bank Guarantee | Term loans,Bank Guarantee | Term loans,BB+,Reaffirmed,2025-12-09,191,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Bank Guarantee | Term loans with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Baroda Agro Chemicals Ltd.,BRICKWORK,BRICKWORK | CARE | ICRA,3,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Short-term loan | Term loans,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Short-term loan | Term loans,D,Reaffirmed,2025-12-11,189,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — BRICKWORK not cooperating | Approaching renewal window | Multi-agency — open to new raters,Your Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Short-term loan | Term loans with BRICKWORK is INC — renewal window open. ACER offers faster turnaround.
Savla Chemicals Ltd.,CRISIL,CRISIL,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,BB+,Downgraded,2025-12-11,189,MEDIUM,HOT,YES,Mining & Minerals,D365,INC — CRISIL not cooperating | Approaching renewal window,Your Fund based financial facility/instrument | Non-fund-based financial facility/instrument with CRISIL is INC — renewal window open. ACER offers faster turnaround.
Spine Arthoscopic & Joint Replacement Centre Pvt. Ltd.,CARE,BRICKWORK | CARE,2,Term loans,Term loans,B,Downgraded,2026-01-04,165,LOW,WARM INC,YES,Mining & Minerals,D365,INC — CARE not cooperating | Multi-agency — open to new raters,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
Hasti Petro Chemical & Shipping Ltd.,CARE,BRICKWORK | CARE | IND-RA,3,Bank Guarantee | Non-fund based working capital limit | Non-government debt | Term loans,Bank Guarantee | Term loans,BBB+,Withdrawn,2026-02-02,136,LOW,WARM INC,YES,Mining & Minerals,D365,INC — CARE not cooperating | Multi-agency — open to new raters,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
Kej Minerals Pvt. Ltd.,ACUITE,ACUITE,1,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee | Long term Loans | Term loans,B,Downgraded,2026-02-03,135,LOW,WARM INC,YES,Mining & Minerals,D365,INC — ACUITE not cooperating,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
B A S S Minerals India Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Reaffirmed,2026-02-04,134,LOW,WARM INC,YES,Mining & Minerals,D365,INC — IND-RA not cooperating,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
Lall Minerals Pvt. Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,B-,Downgraded,2026-02-04,134,LOW,WARM INC,YES,Mining & Minerals,D365,INC — IND-RA not cooperating,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
M D A Mineral Dhatu (A P) Pvt. Ltd.,ICRA,ICRA | IND-RA,2,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument | Non-government debt | Term loans,C+,Reaffirmed,2026-02-04,134,LOW,WARM INC,YES,Mining & Minerals,D365,INC — ICRA not cooperating | Multi-agency — open to new raters,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
Millenium Marbles Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,2026-02-04,134,LOW,WARM INC,YES,Mining & Minerals,D365,INC — IND-RA not cooperating,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
Shree Dulichand Chemicals Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Reaffirmed,2026-02-04,134,LOW,WARM INC,YES,Mining & Minerals,D365,INC — IND-RA not cooperating,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
Shri Kannan Departmental Store Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,2026-02-04,134,LOW,WARM INC,YES,Mining & Minerals,D365,INC — IND-RA not cooperating,BRICKWORK INC on your account — switch to ACER before your working capital facility expires.
