Company Name,Rating Date,Instruments,Size,Rating,Outlook,Urgency,INC,Current Rater,Sector
Agrawal Channel Mills Private Limited,2025-09-23,Long Term Bank Facilities,Rs. 55.32 Cr. (enhanced from Rs. 44.90 Crore),IVR BBB+ (Upgraded),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Acute retail Infra Private Limited,2025-10-10,Long Term Bank Facilities - Term Loan,Rs. 60.11 Cr.,IVR D (ISSUER NOT COOPERATING),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Safeco Hygiene Films Private Limited,2025-07-08,Long Term Bank Facilities,Rs. 8.22 Cr.,IVR D (INC)(Reaffirmed),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Safeco Hygiene Films Private Limited,2025-07-08,Short Term Bank Facilities,Rs. 1.05 Cr.,IVR D (INC)(Reaffirmed),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Femina Shopping Mall Private Limited,2023-11-23,Long Term Bank Facilities,-,Withdrawn,Nil,HIGH,NO,INFOMERICS,Media & Retail
Samunnati Financial Intermediation & Services Private Limited,2022-09-19,Long Term Bank Facilities - Term Loan (Proposed),Nil (Previous rated amount 200.00 cr.),Withdrawn,Nil,HIGH,NO,INFOMERICS,Media & Retail
Nitesh Fashion Private Limited (NFPL),2021-05-12,Long Term Fund Based Facility- Overdraft Cash Credit (Sublimit- ODBD/PC/ PCFC/FDB/FBE/BRD),Rs. 14.50 Cr.,IVR B+ (Reaffirmed and Withdrawn),Stable,HIGH,NO,INFOMERICS,Media & Retail
Insight Media City India Private Limited(IMC),2025-03-13,Long Term Facilities,Rs. 29.60 Cr. (Reduced from Rs. 40.00 Crore),IVR BBB- (Upgraded),Stable,HIGH,NO,INFOMERICS,Media & Retail
Tirumalla Oil Refinery Private Limited,2025-12-29,Long Term  Fund Based  Facility â€“ Term Loans,Rs. 199.21 Cr.,IVR D (ISSUER NOT COOPERATING),Nil,LOW,NO,INFOMERICS,Media & Retail
Tirumalla Oil Refinery Private Limited,2025-12-29,Long Term  Fund Based  Facility â€“ Cash Credit,Rs. 148.50 Cr.,IVR D (ISSUER NOT COOPERATING),Nil,LOW,NO,INFOMERICS,Media & Retail
Tirumalla Oil Refinery Private Limited,2025-12-29,Proposed  Long Term,Rs. 1.11 Cr.,IVR D (ISSUER NOT COOPERATING),Nil,LOW,NO,INFOMERICS,Media & Retail
Saravana Selvarathnam Retail Private Limited,2024-11-13,Long Term Facilities,Rs. 80.00 Cr. (Reduced from Rs. 147.17 Cr.),IVR BBB- (Reaffirmed),Stable,HIGH,NO,INFOMERICS,Media & Retail
General Polyfilms Private Limited,2025-11-06,Long Term Bank Facilities,Rs. 415.00 Cr. (Enhanced from Rs. 315.00 Cr.),IVR BBB- (CE)(Reaffirmed),Positive,MEDIUM,NO,INFOMERICS,Media & Retail
General Polyfilms Private Limited,2025-11-06,Short Term Bank Facilities,Rs. 44.92 Cr. (Enhanced from Rs. 10.00 Cr.),IVR A3 (CE)(Reaffirmed),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
3B Films Limited (Erstwhile 3B Films Private Limited),2025-11-21,Long Term Bank Facilities,Rs. 49.15 Cr.,IVR BB+ (Reaffirmed),Negative,MEDIUM,NO,INFOMERICS,Media & Retail
3B Films Limited (Erstwhile 3B Films Private Limited),2025-11-21,Short Term Bank Facilities,Rs. 3.07 Cr.,IVR A4+ (Reaffirmed),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Srinivasa Fashions Private Limited,2025-04-08,Long Term Bank Facilities,Rs. 10.38 Cr. (Reduced from Rs. 15.85 Crore),IVR D (Reaffirmed),Nil,HIGH,NO,INFOMERICS,Media & Retail
Srinivasa Fashions Private Limited,2025-04-08,Short Term Bank Facilities,Rs. 89.51 Cr.,IVR D (Reaffirmed),Nil,HIGH,NO,INFOMERICS,Media & Retail
Rockline Entertainments Private Limited,2025-07-04,Long Term Bank Facilities,Rs. 35.10 Cr.,IVR BB- (Assigned),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Rockline Entertainments Private Limited,2025-07-04,Long Term Bank Facilities,0.00 (Reduced from Rs. 18.25 Crore),Withdrawn,Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Rockline Entertainments Private Limited,2025-07-04,Long Term Bank Facilities,0.00 (Reduced from Rs. 15.97 Crore),Withdrawn,Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Shivalik Small Finance Bank Limited,2026-02-03,Basel III complaint - Tier II Bonds,Rs. 25.45 Cr. (Enhanced  from Rs. 18.65 Cr.),IVR A (Reaffirmed),Stable,LOW,NO,INFOMERICS,Media & Retail
Shivalik Small Finance Bank Limited,2026-02-03,Basel III complaint - Tier II Bonds,Rs. 24.55 Cr. (Reduced from Rs. 31.35 Cr.),IVR A (Reaffirmed),Stable,LOW,NO,INFOMERICS,Media & Retail
Paradise Lifestyles Private Limited,2025-08-18,Long Term Fund Based Bank Facilities - Term Loan 1,Rs. 160.00 Cr.,IVR BBB- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Paradise Lifestyles Private Limited,2025-08-18,Long Term Fund Based Bank Facilities - Term Loan 2,Rs. 150.00 Cr.,IVR BBB- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Sri Shyam Fashion India Private Limited,2025-10-17,Long Term Bank Facilities,Rs. 25.44 Cr.,IVR B+ (INC)(Downgraded),Negative,MEDIUM,YES,INFOMERICS,Media & Retail
Sri Shyam Fashion India Private Limited,2025-10-17,Short Term Bank Facilities,Rs. 1.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Janki Newsprint Private Limited,2025-09-22,Long Term Bank Facilities,Rs. 56.22 Cr.,IVR BB (INC)(Downgraded),Negative,MEDIUM,YES,INFOMERICS,Media & Retail
Janki Newsprint Private Limited,2025-09-22,Short Term Bank Facilities,Rs. 10.78 Cr.,IVR A4 (INC)(Downgraded),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Shalimar Malls Private Limited,2025-05-14,Long Term Bank Facilities (Term Loan),Rs. 116.27 Cr.,IVR BB (CE) (INC) (Downgraded),Negative,HIGH,YES,INFOMERICS,Media & Retail
Shalimar Malls Private Limited,2025-05-14,Long Term Bank Facilities (GECL),Rs. 12.95 Cr.,IVR BB (CE) (INC) (Downgraded),Negative,HIGH,YES,INFOMERICS,Media & Retail
Shalimar Malls Private Limited,2025-05-14,Long Term Bank Facilities (LRD),Rs. 7.43 Cr.,IVR BB (CE) (INC) (Downgraded),Negative,HIGH,YES,INFOMERICS,Media & Retail
Shalimar Malls Private Limited,2025-05-14,Short Term Bank Facilities,Rs. 5.03 Cr.,IVR A4 (CE) (INC) (Downgraded),Nil,HIGH,YES,INFOMERICS,Media & Retail
Savi Global Fashion Private Limited (Erstwhile Savi Leathers),2025-05-26,Long Term Bank Facilities,Rs. 127.96 Cr.,IVR BB (INC)(Downgraded),Negative,HIGH,YES,INFOMERICS,Media & Retail
Savi Global Fashion Private Limited (Erstwhile Savi Leathers),2025-05-26,Short Term Bank Facilities,Rs. 54.00 Cr.,IVR A4 (INC)(Downgraded),Nil,HIGH,YES,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Non-Fund Based Long Term/Short Term Bank Facilities - Bank Guarantee,Rs. 140.00 Cr.,IVR A-/IVR A2+; (Reaffirmed),Stable/-,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Non-Fund Based Long Term/Short Term Bank Facilities - Proposed Bank Guarantee,Rs. 210.00 Cr.,IVR A-/IVR A2+; (Reaffirmed),Stable/-,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Fund Based Long Term Bank Facilities- Term Loan,Rs. 180.00 Cr.,IVR A- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Non-Fund Based Long Term/Short Term Bank Facilities - Bank Guarantee,Rs. 320.00 Cr.,IVR A-/IVR A2+; (Reaffirmed),Stable/-,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Proposed Non-Convertible Debentures,Rs. 50.00 Cr.,IVR A- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Proposed Non-Convertible Debentures,Rs. 150.00 Cr.,IVR A- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Proposed Non-Convertible Debentures,Rs. 100.00 Cr.,IVR A- (Assigned),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Marwadi Chandarana Intermediaries Brokers Private Limited,2025-08-11,Proposed Commercial Paper Issue,Rs. 50.00 Cr.,IVR A2+ (Assigned),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Tirumalla Groundnuts Industries India Private Limited,2025-12-29,Long Term Fund Based Facility â€“ Term Loans,Rs. 51.71 Cr.,IVR D (INC),Nil,LOW,YES,INFOMERICS,Media & Retail
Tirumalla Groundnuts Industries India Private Limited,2025-12-29,Long Term Fund Based Facility â€“ Cash Credit,Rs. 11.00 Cr.,IVR D (INC),Nil,LOW,YES,INFOMERICS,Media & Retail
Aegios Polyfilms Private Limited,2025-11-28,Long Term Bank Facilities,Rs. 299.52 Cr.,IVR A [CE] (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Aegios Polyfilms Private Limited,2025-11-28,Short Term Bank Facilities,Rs. 5.00 Cr.,IVR A1 [CE] (Reaffirmed),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Aegios Polyfilms Private Limited,2025-11-28,Short Term Bank Facilities,Rs. 70.00 Cr.,IVR A1 [CE] (Reaffirmed and Final),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Great Eastern Retail Private Limited,2025-06-24,Long-term Bank Facilities,Rs. 307.52 Cr. (including proposed limit of Rs. 13.00 Cr.),IVR BBB+ (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Manipal Media Network Limited,2024-06-06,Long Term Fund Based Bank Facilities,-,Withdrawn,Nil,HIGH,NO,INFOMERICS,Media & Retail
Manipal Media Network Limited,2024-06-06,Short Term Non- Fund Based Bank Facilities,-,Withdrawn,Nil,HIGH,NO,INFOMERICS,Media & Retail
Bogmallo Enterprises Private Limited,2025-07-04,Long Term Bank Facilities,Rs. 137.5 Cr.,IVR BB+ (INC)(Downgraded),Negative,MEDIUM,YES,INFOMERICS,Media & Retail
Bogmallo Enterprises Private Limited,2025-07-04,Short Term Bank Facilities,Rs. 0.80 Cr.,IVR A4+ (INC)(Downgraded),Nil,MEDIUM,YES,INFOMERICS,Media & Retail
Miraj Entertainment Limited,2026-01-01,Long Term Bank Facilities,Rs. 63.87 Cr. (Reduced from Rs. 70.19 Crore),IVR BB+ (Downgraded),Stable,LOW,NO,INFOMERICS,Media & Retail
Spider Fashions Private Limited,2024-11-27,Long Term Bank Facility,Rs. 1.25 Cr. (reduced from Rs. 2.69 Cr.),IVR BB (Reaffirmed),Stable,HIGH,NO,INFOMERICS,Media & Retail
Spider Fashions Private Limited,2024-11-27,Short Term Bank Facilities,Rs. 14.95 Cr. (enhanced from Rs.13.51 Cr.),IVR A4 (Reaffirmed),Nil,HIGH,NO,INFOMERICS,Media & Retail
Value Added Fashion Fabrics Private Limited,2026-02-03,Long Term Facilities,Rs. 28.13 Cr.,IVR BB- (INC)(Downgraded),Negative,LOW,YES,INFOMERICS,Media & Retail
Standard Retail Private Limited,2026-01-13,Long Term/ Short Term Bank Facility,Rs. 220.00 Cr.,IVR BBB-/IVR A3; (Reaffirmed),Stable/-,LOW,NO,INFOMERICS,Media & Retail
Standard Retail Private Limited,2026-01-13,Short Term Bank Facility,Rs. 10.00 Cr. (including proposed limit of Rs. 10.00 Cr.),IVR A3 (Reaffirmed),Nil,LOW,NO,INFOMERICS,Media & Retail
Spykar Lifestyles Private Limited,2026-01-19,Long Term Bank Facilities,Rs. 270.00 Cr.,IVR BBB- (Reaffirmed),Stable,LOW,NO,INFOMERICS,Media & Retail
Spykar Lifestyles Private Limited,2026-01-19,Long Term Bank Facilities- Proposed,Rs. 8.00 Cr.,IVR BBB- (Reaffirmed),Stable,LOW,NO,INFOMERICS,Media & Retail
Value Plus Retail Private Limited,2024-12-30,Long Term Bank Facilities,Rs. 54.85 Cr.,IVR BBB- (Assigned),Stable,HIGH,NO,INFOMERICS,Media & Retail
Eastern Media Limited,2025-01-22,Long Term Bank Facilities,Rs. 47.00 Cr.,IVR BBB- (Assigned),Stable,HIGH,NO,INFOMERICS,Media & Retail
Orient Craft Fashion Park One LLP,2025-02-24,Long Term Bank Facility,Rs. 59.91 Cr.,IVR D (Assigned),Nil,HIGH,NO,INFOMERICS,Media & Retail
Rajmahal Retail Private Limited (erstwhile Rajmahal Silks and Textiles Private Limited),2025-03-07,Long Term Facilities,Rs. 108.67 Cr.,IVR BBB- (Assigned),Stable,HIGH,NO,INFOMERICS,Media & Retail
Anutex Shopping Mall LLP,2025-03-25,Long Term Facilities,Rs. 53.46 Cr.,IVR BB+ (Assigned),Stable,HIGH,NO,INFOMERICS,Media & Retail
Anutex Shopping Mall LLP,2025-03-25,Short Term Facilities,Rs. 2.50 Cr.,IVR A4+ (Assigned),Nil,HIGH,NO,INFOMERICS,Media & Retail
Premium Lifestyle and Fashion India Private Limited,2025-03-27,Long Term Fund-Based Bank Facilities,Rs. 131.00 Cr.,IVR BBB (Assigned),Stable,HIGH,NO,INFOMERICS,Media & Retail
Forum Shopping Mall Private Limited,2025-04-02,Long Term Bank Facilities,Rs. 114.07 Cr. (includes proposed limit of Rs. 1.00 Cr.),IVR BB+ (Assigned),Stable,HIGH,NO,INFOMERICS,Media & Retail
GLS Films Industries Private Limited,2025-06-04,Long Term Bank Facilities,Rs. 121.66 Cr.,IVR BBB- (Reaffirmed),Stable,HIGH,NO,INFOMERICS,Media & Retail
GLS Films Industries Private Limited,2025-06-04,Short Term Bank Facilities,Rs. 69.75 Cr.,IVR A3 (Reaffirmed),Nil,HIGH,NO,INFOMERICS,Media & Retail
Permeshwar Fashions Impex Private Limited,2025-07-03,Long Term Facilities/Short Term Facilities,Rs. 65.00 Cr.,IVR BBB- / IVR A3 (Assigned),Stable/-,MEDIUM,NO,INFOMERICS,Media & Retail
Permeshwar Fashions Impex Private Limited,2025-07-03,Short Term Facilities,Rs. 3.25 Cr.,IVR A3 (Assigned),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Veekayem Fashion and Apparels Limited,2025-09-18,Long Term Bank Facilities,Rs. 99.92 Cr.,IVR BBB- (Assigned),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Riddhi Siddhi Mall Management Private Limited,2025-11-13,Long Term Bank Facilities,Rs. 54.29 Cr.,IVR BBB- (Assigned),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Mohammad Amin Malla,2025-12-22,Long Term Bank Facilities,Rs. 8.50 Cr.,IVR BB- (Assigned),Stable,LOW,NO,INFOMERICS,Media & Retail
Mohammad Amin Malla,2025-12-22,Short Term Bank Facilities,Rs. 7.00 Cr.,IVR A4 (Assigned),Nil,LOW,NO,INFOMERICS,Media & Retail
Shrishardule Retail and Trading Services LLP,2026-01-21,Long Term Bank Facilities,Rs. 20.00 Cr. (including proposed limit of Rs. 13.00 Cr.),IVR BBB- (Assigned),Stable,LOW,NO,INFOMERICS,Media & Retail
Shrishardule Retail and Trading Services LLP,2026-01-21,Short Term Bank Facilities,Rs. 100.00 Cr. (including proposed limit of Rs. 75.00 Cr.),IVR A3 (Assigned),Nil,LOW,NO,INFOMERICS,Media & Retail
Sapphire Media Limited,2025-05-27,Long Term Bank Facilities,Rs. 84.99 Cr.,IVR BBB- (Reaffirmed),Stable,HIGH,NO,INFOMERICS,Media & Retail
Sapphire Media Limited,2025-05-27,Short Term Bank Facilities,Rs. 32.00 Cr.,IVR A3 (Reaffirmed),Nil,HIGH,NO,INFOMERICS,Media & Retail
Dwarka Lifestyle Resorts Private Limited,2025-09-17,Long Term Facility,Rs. 27.00 Cr. (reduced from Rs. 30.00 Crore),IVR BBB- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Vishal Fashions Private Limited,2025-08-08,Long Term Bank Facilities,Rs. 45.00 Cr.,IVR BBB- (Reaffirmed),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Aakash Polyfilms Limited,2025-11-21,Long-Term Bank Facilities,Rs. 123.07 Cr. (enhanced from Rs. 121.54 Cr.),IVR BBB (Upgraded),Stable,MEDIUM,NO,INFOMERICS,Media & Retail
Aakash Polyfilms Limited,2025-11-21,Short-Term Bank Facilities,Rs. 49.48 Cr. (enhanced from Rs. 7.48 Cr.),IVR A3+ (Upgraded),Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Enerlite Solar Films India Private Limited,2025-09-16,Long term Bank Facilities,0.00 (reduced from Rs. 57.59 Cr.),Withdrawn,Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Enerlite Solar Films India Private Limited,2025-09-16,Short term Bank Facilities,0.00 (reduced from Rs. 10.00 Cr.),Withdrawn,Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Enerlite Solar Films India Private Limited,2025-09-16,Proposed Long /Short Term Bank Facilities,0.00 (reduced from Rs. 2.41 Cr.),Withdrawn,Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Enerlite Solar Films India Private Limited,2025-09-16,Proposed Long Term Bank Facilities,0.00 (reduced from Rs. 5.00 Cr.),Withdrawn,Nil,MEDIUM,NO,INFOMERICS,Media & Retail
Bespoke Art Studio Private Limited,2025-11-24,Long Term Fund Based Bank Facilities,Rs. 110.00 Cr.,IVR BB- (INC) (Downgraded),Negative,MEDIUM,YES,INFOMERICS,Media & Retail
