Company Name,Latest Rater,All Raters,Rater Count,All Instruments,INC Instruments,Latest Rating,Latest Status,Latest Rating Date,Days Since Rating,Urgency,Priority,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
G-Next Media Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument,Bank Guarantee | Fund based financial facility/instrument,A 4,Reaffirmed,2025-10-09,252,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window,INC on your Bank Guarantee | Fund based financial facility/instrument — renewal window. ACER fast-tracks media/retail sector ratings.
Stanley Lifestyles Ltd.,ICRA,CRISIL | ICRA,2,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Bank Guarantee | Letter Of credit | Term loans,A/A1,Withdrawn,2025-10-10,251,MEDIUM,HOT,YES,Media & Retail,D365,INC — ICRA abandoned | Approaching renewal window | Multi-agency,INC on your Bank Guarantee | Letter Of credit | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Coatall Films Pvt. Ltd.,CRISIL,CRISIL | IND-RA,2,Letter Of credit | Long term Loans | Non-fund based working capital limit | Term loans,Letter Of credit | Long term Loans | Term loans,BB,Withdrawn,2025-10-11,250,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window | Multi-agency,INC on your Letter Of credit | Long term Loans | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Balaji Paper & Newsprint Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans | Short-term loan,Bank Guarantee | Letter Of credit | Long term Loans | Short-term loan,D,Reaffirmed,2025-10-12,249,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window,INC on your Bank Guarantee | Letter Of credit | Long term Loans | Short-term loan — renewal window. ACER fast-tracks media/retail sector ratings.
Milando Fashions Ltd.,BRICKWORK,BRICKWORK | CARE | IND-RA,3,Non-government debt,Non-government debt,C/A4,Downgraded,2025-11-07,223,MEDIUM,HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Approaching renewal window | Multi-agency,INC on your Non-government debt — renewal window. ACER fast-tracks media/retail sector ratings.
Vedang Radio Technology Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Long term Loans,Bank Guarantee | Long term Loans,B,Reaffirmed,2025-11-07,223,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window,INC on your Bank Guarantee | Long term Loans — renewal window. ACER fast-tracks media/retail sector ratings.
M P Entertainment & Developers Pvt. Ltd.,IND-RA,CRISIL | IND-RA,2,Term loans,Term loans,B-,Downgraded,2025-11-08,222,MEDIUM,HOT,YES,Media & Retail,D365,INC — IND-RA abandoned | Approaching renewal window | Multi-agency,INC on your Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Bansi Mall Mgmt. Co. Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans,Long term Loans,D,Reaffirmed,2025-11-12,218,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window,INC on your Long term Loans — renewal window. ACER fast-tracks media/retail sector ratings.
Evergreen Publications (India) Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,B,Reaffirmed,2025-11-12,218,MEDIUM,HOT,YES,Media & Retail,D365,INC — CRISIL abandoned | Approaching renewal window,INC on your Bank Guarantee | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
Abacus Lifestyle Brands Ltd.,IND-RA,CRISIL | IND-RA,2,Bank Guarantee | Long term Loans | Non-fund based working capital limit | Term loans,Non-fund based working capital limit | Term loans,B+,Downgraded,2025-12-05,195,MEDIUM,HOT,YES,Media & Retail,D365,INC — IND-RA abandoned | Approaching renewal window | Multi-agency,INC on your Non-fund based working capital limit | Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
S L N Coffee & Spices Exports Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE,2,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-12-11,189,MEDIUM,HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Approaching renewal window | Multi-agency,INC on your Non-fund-based financial facility/instrument — renewal window. ACER fast-tracks media/retail sector ratings.
Tirumalla Oil Refinery Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,D,Reaffirmed,2025-12-11,189,MEDIUM,HOT,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Approaching renewal window,INC on your Term loans — renewal window. ACER fast-tracks media/retail sector ratings.
N R Switch N Radio Services Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee | Fund based financial facility/instrument,A 4+,Initial Rating,2026-02-01,137,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Ojas Tradelease & Mall Mgmt. Pvt. Ltd.,ACUITE,ACUITE,1,Term loans,Term loans,C,Reaffirmed,2026-02-02,136,LOW,WARM INC,YES,Media & Retail,D365,INC — ACUITE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Insight Media City (India) Pvt. Ltd.,CARE,CARE,1,Term loans,Term loans,D,Reaffirmed,2026-02-03,135,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Arena Lifestyles Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,2026-02-04,134,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
James Retail Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,2026-02-04,134,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Prime Retail India Ltd.,BRICKWORK,BRICKWORK | IND-RA,2,Bank Guarantee | Non-government debt,Bank Guarantee | Non-government debt,D,Reaffirmed,2026-02-04,134,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Rangotsav Lifestyle Pvt. Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,D,Reaffirmed,2026-02-04,134,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Rohan Dyes & Intermediates Ltd.,ACUITE,ACUITE | BRICKWORK,2,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument | Short-term loan | Term loans,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument | Short-term loan | Term loans,C,Reaffirmed,2026-02-04,134,LOW,WARM INC,YES,Media & Retail,D365,INC — ACUITE abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Shri Kannan Departmental Store Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,2026-02-04,134,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Entertainment City Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,D,Reaffirmed,2026-03-04,106,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Aakash Polyfilms Ltd.,BRICKWORK,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A 4,Reaffirmed,2026-04-02,77,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Express Publications (Madurai) Pvt. Ltd.,BRICKWORK,ACUITE | BRICKWORK,2,Letter Of credit | Long term Loans | Term loans,Letter Of credit | Term loans,B+,Reaffirmed,2026-06-01,17,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
3B Films Ltd.,ACUITE,ACUITE,1,Long term Loans | Term loans,Long term Loans | Term loans,B-,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — ACUITE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
A G X Retail Solutions Pvt. Ltd.,CRISIL,CARE | CRISIL,2,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
A P Fashions Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
A T R Malleable Casting Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Letter Of credit,Bank Guarantee | Letter Of credit,A 4,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Abhimaani Publications Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee | Long term Loans | Term loans,C,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Agrawal Channel Mills Pvt. Ltd.,CARE,CARE | IND-RA,2,Term loans,Term loans,B+,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Akash Fashion Prints Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B/A4,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Alakh Advertising & Publicity Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Long term Loans,Bank Guarantee | Long term Loans,B+,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Amrutha Coffee Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Letter Of credit,Letter Of credit,A 4,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Arihant Publications (India) Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,B-,Withdrawn,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Arihant Retail Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Non-government debt,Non-government debt,D,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Associated Broadcasting Co. Pvt. Ltd.,ICRA,ICRA | IND-RA,2,Fund based financial facility/instrument | Non-fund based working capital limit | Non-fund-based financial facility/instrument,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,A-,Withdrawn,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — ICRA abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Baba Malleshwar Agro Products Pvt. Ltd.,CRISIL,CRISIL,1,Bank Guarantee | Long term Loans,Bank Guarantee | Long term Loans,B,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,CARE,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,B-,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Bimla Maru Fashions Pvt. Ltd.,CRISIL,CRISIL,1,Letter Of credit | Long term Loans,Letter Of credit | Long term Loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Blue Dreamz Advertising Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,C,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Bluegod Entertainment Ltd.,BRICKWORK,BRICKWORK,1,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee | Letter Of credit | Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Burgundy Lifestyle Pvt. Ltd.,CRISIL,CRISIL,1,Letter Of credit,Letter Of credit,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Calcutta Radio Service Pvt. Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,B-,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Coffee Day Enterprises Ltd.,ICRA,ICRA,1,Term loans,Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — ICRA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Coffee Day Global Ltd.,CARE,CARE,1,Term loans,Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Coffeeday Hotels & Resorts Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Creative Polyfilms Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Letter Of credit | Term loans,Letter Of credit | Term loans,C-,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
D Q Entertainment (International) Ltd.,CARE,CARE,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
D'Lords Footwear & Fashions Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans,Long term Loans,B+,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Deepam Silk Retail Pvt. Ltd.,CRISIL,CRISIL,1,Term loans,Term loans,B+,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
E Land Fashion India Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Letter Of credit | Term loans,Letter Of credit | Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Essel Walajahpet Poonamallee Toll Roads Pvt. Ltd.,CARE,CARE,1,Bank Guarantee | Term loans,Bank Guarantee | Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Euro Leder Fashion Ltd.,BRICKWORK,BRICKWORK,1,Non-government debt,Non-government debt,A 4,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Gagan Media Pvt. Ltd.,CARE,CARE,1,Term loans,Term loans,B-,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Golden Mandhir Retail Pvt. Ltd.,CARE,CARE,1,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,B-,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Goodwear Fashions Pvt. Ltd.,IND-RA,IND-RA,1,Non-government debt,Non-government debt,B-/A4,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Great Eastern Retail Pvt. Ltd.,BRICKWORK,BRICKWORK,1,Fund based financial facility/instrument,Fund based financial facility/instrument,BB,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Gujarat Polyfilms Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans | Non-fund-based financial facility/instrument | Term loans,Long term Loans | Non-fund-based financial facility/instrument | Term loans,B,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Hari Om Retail Pvt. Ltd.,CARE,CARE,1,Fund based financial facility/instrument,Fund based financial facility/instrument,B-,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Heritage Lifestyles & Developers Pvt. Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,B+,Withdrawn,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
High Range Coffee Curring Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans,Long term Loans,B,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
India Fashions Pvt. Ltd.,CRISIL,CRISIL,1,Letter Of credit,Letter Of credit,A 4,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Iskrupa Mall Mgmt. Co. Pvt. Ltd.,CARE,CARE,1,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument | Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CARE abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
J B Fashions Ltd.,CRISIL,CRISIL,1,Long term Loans | Term loans,Long term Loans | Term loans,B,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
J C Retail India Pvt. Ltd.,CRISIL,CRISIL,1,Long term Loans | Term loans,Long term Loans | Term loans,B,Downgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — CRISIL abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Kanva Fashions Ltd.,BRICKWORK,BRICKWORK,1,Term loans,Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — BRICKWORK abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
Mallcom (India) Ltd.,ICRA,ICRA | IND-RA,2,Non-fund based working capital limit | Non-government debt,Non-fund based working capital limit,A/A1,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — ICRA abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Mallemaala Entertainments Pvt. Ltd.,ICRA,CRISIL | ICRA,2,Long term Loans | Term loans,Long term Loans,BBB-,Upgraded,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — ICRA abandoned | Multi-agency,BRICKWORK INC — switch to ACER before your credit facility expires.
Mandira Fashions Pvt. Ltd.,IND-RA,IND-RA,1,Term loans,Term loans,D,Reaffirmed,,0,LOW,WARM INC,YES,Media & Retail,D365,INC — IND-RA abandoned,BRICKWORK INC — switch to ACER before your credit facility expires.
