Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC Flag,Sub-Sector,Sector,State,Facility Size,Outlook,Source,Why Target,ACER Pitch
Armco Infra Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-06-02,HIGH,Y,Building Materials — Cement/Concrete,Construction,,Rs. 15.00 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Arrow Constructions Ltd.,Non-fund based working capital limit,IND-RA,D,2025-05-09,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at IND-RA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
B C Bhuyan Constructions Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-05-16,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ACUITE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
B C Bhuyan Constructions Pvt. Ltd.,Term loans,ACUITE,BB,2025-05-16,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ACUITE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
B C Bhuyan Constructions Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,2025-06-03,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at IND-RA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
B C Bhuyan Constructions Pvt. Ltd.,Term loans,IND-RA,BB,2025-06-03,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at IND-RA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Bagkiya Constructions Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-06-10,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Bagkiya Constructions Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,2025-06-10,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Bagkiya Constructions Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-10,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Bagkiya Constructions Pvt. Ltd.,Term loans,CARE,B-,2025-06-10,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Blizzard Ceramica LLP,Long Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 57.51 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Blizzard Ceramica LLP,Short Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 5.00 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
C K Constructions India Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed),2025-03-28,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 6.00 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
C K Constructions India Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-03-28,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 9.00 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Chandralekha Constructions Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-29,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
City Promoter & Buildwell Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-06-12,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
City Promoter & Buildwell Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB,2025-06-12,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
City Tiles Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2025-05-14,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ICRA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
City Tiles Ltd.,Term loans,ICRA,D,2025-05-14,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ICRA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
DMR Builders Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-28,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 41.50 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
DMR Builders Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-03-28,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 3.00 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
DMR Builders Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR BB+/IVR A4+; (INC)(Downgraded),2025-03-28,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 116.75 Cr.,Negative/-,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Dhoot Developers Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-10,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Dhoot Developers Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-06-10,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Dwarakamai Constructions Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Dwarakamai Constructions Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Eco Cements Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-12,HIGH,Y,Building Materials — Cement/Concrete,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Elite Contractors (Chennai) Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-06-03,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Elite Contractors (Chennai) Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-06-03,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Emcer Tiles Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-05-13,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Emcer Tiles Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-05-13,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Emcer Tiles Pvt. Ltd.,Term loans,CRISIL,BB+,2025-05-13,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),2025-05-19,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 13.88 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-05-19,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 3.71 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),2025-05-19,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 13.88 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-05-19,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 3.71 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Firozabad Ceramics Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-26,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Firozabad Ceramics Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-26,HIGH,Y,Building Materials — Tiles/Stone,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ganadhi Pati Construction Pvt. Ltd.,Bank Guarantee,BRICKWORK,BB-,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at BRICKWORK — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ganpati Mega Builders (India) Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-05-13,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Ghai Construction Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-05-28,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Gharpure Engineering & Constructions Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-22,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Gharpure Engineering & Constructions Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-05-22,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Gillco Developers & Builders Pvt. Ltd.,Term loans,ICRA,D,2025-05-16,HIGH,Y,Real Estate / Housing Developer,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ICRA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Global Buildcon Pvt. Ltd.,Non-government debt,ICRA,B/A4,2025-05-16,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ICRA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Goddess Textiles Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-01-22,HIGH,Y,Building Materials — Tiles/Stone,Construction,,Rs. 9.00 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Goel Builders,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),2025-05-30,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 30.00 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
H N Construction Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-21,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
H N Construction Pvt. Ltd.,Long term Loans,CRISIL,B,2025-05-21,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
H N Construction Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-05-21,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Hill Brow Metallics and Construction Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-29,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 12.50 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Hill Brow Metallics and Construction Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-03-29,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 42.50 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Hill Brow Metallics and Construction Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-29,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 12.50 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Hill Brow Metallics and Construction Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-03-29,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 42.50 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Jainco Buildcon Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-06-04,HIGH,Y,Construction — General,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ACUITE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
KMC Constructions Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-21,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 230.00 Cr.,Negative,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
KMC Constructions Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-03-21,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 437.57 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
KMC Constructions Limited,Proposed Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-03-21,HIGH,Y,Construction Contractor / EPC,Construction,,Rs. 287.43 Cr.,Nil,Infomerics,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at Infomerics — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Kailash Prasad Yadav Constructions Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Kailash Prasad Yadav Constructions Pvt. Ltd.,Long term Loans,CRISIL,B,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Katira Construction Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-09,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ICRA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Katira Construction Ltd.,Term loans,ICRA,B+,2025-05-09,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at ICRA — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Kirtiman Cements & Packaging Inds. Ltd.,Term loans,CARE,D,2025-05-07,HIGH,Y,Building Materials — Cement/Concrete,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CARE — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
Kunnel Engineers & Contractors Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-19,HIGH,Y,Construction Contractor / EPC,Construction,,,,D365,INC status — not cooperating with current rater | Rating overdue (>12 months) — annual renewal pending,"Your rating is INC at CRISIL — ACER offers clean break: new rating in 15 days, dedicated construction sector analyst"
