Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Sector,Lead Segment,Infrastructure Sub-Sector,Why Target,ACER Pitch Angle,Priority Score
Hind Energy Coal and Benefication (India) Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2023-06-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Intergen Energy Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-03-26,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
JCL Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-02-14,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Kompass Infrastructures Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-03-25,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Marshal Manufacturing and Exports,Long term/ Short term Bank Facilities,Infomerics,IVR BB-/IVR A4; (INC)(Downgraded),2025-02-17,HIGH,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
N.R. Ispat & Power Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-29,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
NAR Infra Private Limited,Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-04,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Oplus Steel & Power Private Limited (erstwhile Known as Swati Concast & Power Private Limited),Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-06-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Paawan Energy India Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-06-06,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Prakrutees Infra Impex India Private Limited,Long Term Facilities,Infomerics,IVR B+ (INC) (Downgraded),2025-01-10,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Precision Power Products (India) Private Limited,Proposed Long Term Fund Based Facility,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),2023-06-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
R. S. Infra Transmission Limited,Long Term Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-20,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
RBP Energy (India) Private Limited,Proposed Short Term Bank Facility,Infomerics,IVR A4+ (INC)(Downgraded),2025-05-21,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Raj Infrastructure Development India Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-19,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
SKA Steel & Power Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-30,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Shah Nanji Nagsi Export Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),2023-05-08,HIGH,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Shree Vagheshwari Roadways,Proposed Long Term Fund Based Bank Facilities,Infomerics,IVR D (INC)(Downgraded),2025-05-13,HIGH,Infrastructure,INC — Not Cooperating,Roads/Highways,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Sian Infra and Realcon LLP,Short Term Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-05-30,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Strategic Infra Services Private Limited,Short Term Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-06-12,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Suraj Infraventures Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-05-19,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Svarog Global Power Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-01-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Times Infrabuild LLP,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-04-18,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Trimurthi Exports,Short Term Fund Based Limits,Infomerics,IVR A4 (INC) (Reaffirmed),2025-01-01,HIGH,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Uttamenergy Limited (UEL),Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2024-01-22,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Wadhwa Construction & Infrastructure Private Limited (WCIPL),Long Term Fund Based Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,Infrastructure,INC — Not Cooperating,Construction/EPC,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Worlds Window Wardha Infrastructure Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-27,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Zodiac Energy Limited,Short Term Non Fund based Facilities - Bank Guarantee,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),2023-09-25,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Agrawal Infrabuild Private Limited,Short Term Facility,Infomerics,IVR A3+ (INC)(Downgraded),2026-01-28,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
BKB Transport Private Limited,Short Term Bank Facility,Infomerics,IVR A4 (INC) (Reaffirmed),2026-01-07,LOW,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Cimechel Electric Private Limited,Long Term Facilities,Infomerics,IVR BB (INC) (Downgraded),2026-02-03,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Dayal Energy & Protein Private Limited,Short Term Instruments /Facilities,Infomerics,IVR A4 (INC) (Downgraded),2026-01-30,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Global Powersource (India) Private Limited,Long Term Bank Facility,Infomerics,IVR D (INC)(Reaffirmed),2026-02-10,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Gupta Power Infrastructure Limited,Short Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),2026-01-14,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Hartek Power Private Limited,Long Term Facilities,Infomerics,IVR BB+ (INC)(Withdrawn),2026-01-13,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
IRP Infra Tech Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-12-29,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
KCP Infra Limited,Long Term Facilities/ Short Term Facilities,Infomerics,IVR BB+/IVR A4+; (INC)(Downgraded),2026-01-16,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Madhya Pradesh Power Generating Company Limited,Long Term Bank Facility,Infomerics,IVR B+ (INC)(Downgraded),2025-12-31,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Metropole Vinimay Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),2025-12-18,LOW,Infrastructure,INC — Not Cooperating,Urban/Metro,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Morth Infrastructure Private Limited,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2026-01-22,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Panesar Steel & Power Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC) (Downgraded),2026-01-29,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Power Engineering (India) Private Limited,Long Term Facilities,Infomerics,IVR BB (INC) (Downgraded),2026-01-16,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Quality Exports,Long / Short Term Bank Facilities,Infomerics,IVR B+/IVR A4; (INC)(Downgraded),2025-12-24,LOW,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Raigarh Ispat & Power Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),2026-01-09,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Sincon Infrastructure Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2026-01-23,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Spica Projects And Infrastructure Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC),2026-01-23,LOW,Infrastructure,INC — Not Cooperating,Construction/EPC,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Srinivas Infrastructure Private Limited,Long Term Fund based facilities â€“ Cash Credit,Infomerics,IVR B (INC)(Downgraded),2026-01-16,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Sun N Wind Infra Energy Private Limited,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),2025-12-19,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Sunny Infraprojects Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2026-02-03,LOW,Infrastructure,INC — Not Cooperating,Construction/EPC,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Tushar Builders & BKP Infra LLP,Long Term Bank Facilities,Infomerics,IVR B- (INC) (Downgraded),2026-02-02,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Vamica Resorts Infra Limited,Long Term Instruments  Non-Convertible Debenture- Proposed,Infomerics,IVR B (INC)(Downgraded),2026-02-05,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Vijay Kumar Sahu Infrastructure Private Limited,Long Term Facilities,Infomerics,IVR BB (INC) (Downgraded),2026-02-02,LOW,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Vinayak Support Services Private Limited,Long Term Bank Facility,Infomerics,IVR B+ (INC)(Downgraded),2026-01-07,LOW,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Worlds Window Infrastructure and Logistics Private Limited,Short Term Non-Fund Based Facilities - LC,Infomerics,IVR D (INC) (Reaffirmed),2026-01-01,LOW,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
ATS Infrabuild Private Limited,Long Term Instrument - Non-Convertible Debentures,Infomerics,IVR D (INC)(Reaffirmed),2025-08-12,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Aaryan Infrabuild Private Limited,Long Term Bank Facilities - Term Loan,Infomerics,IVR BB (INC)(Downgraded),2025-09-02,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Adhunik Energy Solutions Private Limited,Long Term / Short term Bank Facilities,Infomerics,IVR C-/IVR A4; (INC)(Downgraded/Reaffirmed),2025-08-04,MEDIUM,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Agroh Kodinar Veraval Highways Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Reaffirmed),2025-12-12,MEDIUM,Infrastructure,INC — Not Cooperating,Roads/Highways,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Agroh Rewa Ring Road Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Dowgraded),2025-11-18,MEDIUM,Infrastructure,INC — Not Cooperating,Roads/Highways,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Ario Infrastructure Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR C+/IVR A4; (INC)(Downgraded/Reaffirmed),2025-07-03,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
BLN Infra Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC) (Reaffirmed),2025-12-05,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Capital Power Systems Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-09-16,MEDIUM,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Creaative Powertech Private Limited,Long Term Fund Based Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-08-29,MEDIUM,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Earth Water Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-10-23,MEDIUM,Infrastructure,INC — Not Cooperating,Water/Irrigation,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Eswari Electricals Private Limited,Short Term Bank Facility,Infomerics,IVR A4 (INC)(Reaffirmed),2025-08-19,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
GKR Infracon (India) Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-07-21,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Greenworth Infrastructure Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-08-14,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Growing Opportunity Finance India Private Limited,Proposed Long Term Fund Based Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-08-08,MEDIUM,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
J M Mhatre Infra Private Limited (JMMIPL),Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-06-27,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
JPM Exports Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-06-19,MEDIUM,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Jaycon Infrastructure Limited,Long Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),2025-10-28,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
KBC Infrastructures Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-07-22,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
KLSR Infratech Limited,Proposed Long Term Fund Based Facility - CC,Infomerics,IVR BB (INC)(Downgraded),2025-11-03,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Karnavati Infrastructure Private Limited,Long Term Bank Facility,Infomerics,IVR B (INC)(Downgraded),2025-07-03,MEDIUM,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Khaitan Winding Wire Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-09-15,MEDIUM,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
