Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Sector,Lead Segment,Infrastructure Sub-Sector,Why Target,ACER Pitch Angle,Priority Score
Hind Energy Coal and Benefication (India) Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2023-06-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Intergen Energy Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-03-26,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
JCL Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-02-14,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Kompass Infrastructures Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-03-25,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Marshal Manufacturing and Exports,Long term/ Short term Bank Facilities,Infomerics,IVR BB-/IVR A4; (INC)(Downgraded),2025-02-17,HIGH,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
N.R. Ispat & Power Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-29,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
NAR Infra Private Limited,Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-04,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Oplus Steel & Power Private Limited (erstwhile Known as Swati Concast & Power Private Limited),Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-06-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Paawan Energy India Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-06-06,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Prakrutees Infra Impex India Private Limited,Long Term Facilities,Infomerics,IVR B+ (INC) (Downgraded),2025-01-10,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Precision Power Products (India) Private Limited,Proposed Long Term Fund Based Facility,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),2023-06-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
R. S. Infra Transmission Limited,Long Term Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-20,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
RBP Energy (India) Private Limited,Proposed Short Term Bank Facility,Infomerics,IVR A4+ (INC)(Downgraded),2025-05-21,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Raj Infrastructure Development India Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-19,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
SKA Steel & Power Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-30,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Shah Nanji Nagsi Export Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),2023-05-08,HIGH,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Shree Vagheshwari Roadways,Proposed Long Term Fund Based Bank Facilities,Infomerics,IVR D (INC)(Downgraded),2025-05-13,HIGH,Infrastructure,INC — Not Cooperating,Roads/Highways,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Sian Infra and Realcon LLP,Short Term Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-05-30,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Strategic Infra Services Private Limited,Short Term Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-06-12,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Suraj Infraventures Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-05-19,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Svarog Global Power Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-01-02,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Times Infrabuild LLP,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-04-18,HIGH,Infrastructure,INC — Not Cooperating,General Infrastructure,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Trimurthi Exports,Short Term Fund Based Limits,Infomerics,IVR A4 (INC) (Reaffirmed),2025-01-01,HIGH,Infrastructure,INC — Not Cooperating,Port/Airport,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Uttamenergy Limited (UEL),Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2024-01-22,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Wadhwa Construction & Infrastructure Private Limited (WCIPL),Long Term Fund Based Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,Infrastructure,INC — Not Cooperating,Construction/EPC,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Worlds Window Wardha Infrastructure Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-27,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
Zodiac Energy Limited,Short Term Non Fund based Facilities - Bank Guarantee,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),2023-09-25,HIGH,Infrastructure,INC — Not Cooperating,Power/Energy,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100
A A P Infrastructure Ltd.,Term loans,BRICKWORK,D,2025-05-27,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
A B Infra Invsts. Pvt. Ltd.,Letter Of credit,BRICKWORK,D,2025-05-23,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
A J R Infra & Tolling Ltd.,Bank Guarantee,CARE,D,2025-05-23,HIGH,Infrastructure,INC — CARE,Roads/Highways,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
A S C Infratech Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-06-04,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
A S C Power Pvt. Ltd.,Term loans,BRICKWORK,C,2025-05-21,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
A V Rambabu Infra Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-09,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
A1 Chips & Exports (India) Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,A 4,2025-05-23,HIGH,Infrastructure,INC — CARE,Port/Airport,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Alfara'A Infraprojects Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-05-29,HIGH,Infrastructure,INC — CRISIL,Construction/EPC,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Amrit Exports Pvt. Ltd.,Term loans,BRICKWORK,B,2025-05-28,HIGH,Infrastructure,INC — BRICKWORK,Port/Airport,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Amrutva Exports Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-05-29,HIGH,Infrastructure,INC — CRISIL,Port/Airport,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Anand Transport Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-30,HIGH,Infrastructure,INC — BRICKWORK,Port/Airport,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Andhra Pradesh Township & Infrastructure Devp. Corpn. Ltd.,Term loans,BRICKWORK,BB-,2025-06-05,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Angle Infrastructure Pvt. Ltd.,Term loans,CARE,D,2025-05-13,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Asiatic Electrical & Switchgear Pvt. Ltd.,Term loans,IND-RA,D,2025-05-16,HIGH,Infrastructure,INC — IND-RA,General Infrastructure,INC status at IND-RA — not cooperating with current rater.,Company not cooperating with IND-RA — ACER can step in as new independent rating agency.,85
Atlanta Infra Assets Ltd.,Term loans,BRICKWORK,D,2025-06-05,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Balasore Marine Exports Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-29,HIGH,Infrastructure,INC — CRISIL,Port/Airport,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Bhanwariya Infra Projects Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-05-26,HIGH,Infrastructure,INC — ACUITE,Construction/EPC,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Bhrunda Infra Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-05-27,HIGH,Infrastructure,INC — ACUITE,General Infrastructure,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Britto Seafoods Exports Pvt. Ltd.,Long term Loans,ACUITE,B,2025-05-21,HIGH,Infrastructure,INC — ACUITE,Port/Airport,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Bucon Infratech Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-29,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Capital Power Infrastructure Pvt. Ltd.,Bank Guarantee,BRICKWORK,C,2025-06-02,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Cosmos Infra Engg. (India) Pvt. Ltd.,Term loans,CARE,C,2025-05-07,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Deepika Infratech Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-05-23,HIGH,Infrastructure,INC — ACUITE,General Infrastructure,INC status at ACUITE — not cooperating with current rater.,Company not cooperating with ACUITE — ACER can step in as new independent rating agency.,85
Divine Infracon Pvt. Ltd.,Term loans,CRISIL,D,2025-06-10,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Dynamicengineers Infratrack Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-05-19,HIGH,Infrastructure,INC — CARE,Construction/EPC,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Earthcon Universal Infratech Pvt. Ltd.,Term loans,CRISIL,D,2025-05-23,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Electrica Engineers (India) Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-05-21,HIGH,Infrastructure,INC — CRISIL,Construction/EPC,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Eswari Exports Pvt. Ltd.,Long term Loans,CRISIL,B,2025-05-22,HIGH,Infrastructure,INC — CRISIL,Port/Airport,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Excellent Power Cable Pvt. Ltd.,Term loans,CRISIL,B+,2025-05-23,HIGH,Infrastructure,INC — CRISIL,Power/Energy,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Fastway Transmissions Pvt. Ltd.,Term loans,CRISIL,B,2025-06-10,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
G L S Infratech Pvt. Ltd.,Term loans,CRISIL,BB+,2025-05-22,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
G M Sugar & Energy Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,Infrastructure,INC — ICRA,Power/Energy,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
G S M Mega Infrastructures Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-23,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Global Metal & Energy Pvt. Ltd.,Term loans,ICRA,D,2025-05-22,HIGH,Infrastructure,INC — ICRA,Power/Energy,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
Goel Road Carriers Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-30,HIGH,Infrastructure,INC — CRISIL,Roads/Highways,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Habitech Infrastructure Ltd.,Term loans,BRICKWORK,C-,2025-05-09,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Ideas Electricals & Engineers Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-05-08,HIGH,Infrastructure,INC — CARE,Construction/EPC,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Indrajit Power Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-05-15,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Instapower Ltd.,Letter Of credit,CARE,A 4,2025-06-11,HIGH,Infrastructure,INC — CARE,Power/Energy,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
J R Toll Road Pvt. Ltd.,Term loans,CARE,D,2025-05-16,HIGH,Infrastructure,INC — CARE,Roads/Highways,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Jsw Mahanadi Power Co. Ltd.,Term loans,ICRA,D,2025-05-09,HIGH,Infrastructure,INC — ICRA,Power/Energy,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
K P L Exports Ltd.,Bank Guarantee,CARE,A 4,2025-06-11,HIGH,Infrastructure,INC — CARE,Port/Airport,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Kridhan Infra Ltd.,Letter Of credit,BRICKWORK,D,2025-06-09,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
L N Malviya Infra Projects Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-28,HIGH,Infrastructure,INC — BRICKWORK,Construction/EPC,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Lakhotia Transport Co. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-14,HIGH,Infrastructure,INC — ICRA,Port/Airport,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
Lanco Babandh Power Ltd.,Non-government debt,CARE,D,2025-05-08,HIGH,Infrastructure,INC — CARE,Power/Energy,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Lanco Vidarbha Thermal Power Ltd.,Term loans,CARE,D,2025-05-08,HIGH,Infrastructure,INC — CARE,Power/Energy,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Leel Electricals Ltd.,Non-government debt,CARE,D,2025-06-02,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Lingraj Steel & Power Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-06-10,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
M E P Sanjose Arawali Kante Road Pvt. Ltd.,Term loans,ICRA,D,2025-05-23,HIGH,Infrastructure,INC — ICRA,Roads/Highways,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
Madhucon Sugar & Power Inds. Ltd.,Term loans,ICRA,D,2025-05-23,HIGH,Infrastructure,INC — ICRA,Power/Energy,INC status at ICRA — not cooperating with current rater.,Company not cooperating with ICRA — ACER can step in as new independent rating agency.,85
Million Exporter Pvt. Ltd.,Term loans,BRICKWORK,C,2025-05-28,HIGH,Infrastructure,INC — BRICKWORK,Port/Airport,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Mittal Infrastructure Pvt. Ltd.,Bank Guarantee,CARE,D,2025-05-26,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Mumbai Metro One Pvt. Ltd.,Long term Loans,BRICKWORK,D,2025-05-12,HIGH,Infrastructure,INC — BRICKWORK,Urban/Metro,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Mytrah Advaith Power Pvt. Ltd.,Term loans,BRICKWORK,BB,2025-05-16,HIGH,Infrastructure,INC — BRICKWORK,Power/Energy,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
N M Pekhale Infra Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-06-03,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Nirman Infra-Steel Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-05-22,HIGH,Infrastructure,INC — BRICKWORK,General Infrastructure,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
Northern Electric Cables Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,2025-05-06,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
P V Power Technologies Pvt. Ltd.,Term loans,CARE,BB-,2025-06-06,HIGH,Infrastructure,INC — CARE,Power/Energy,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Patwari Electricals Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-06-10,HIGH,Infrastructure,INC — CARE,General Infrastructure,INC status at CARE — not cooperating with current rater.,Company not cooperating with CARE — ACER can step in as new independent rating agency.,85
Peaton Electrical Co. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-30,HIGH,Infrastructure,INC — CRISIL,General Infrastructure,INC status at CRISIL — not cooperating with current rater.,Company not cooperating with CRISIL — ACER can step in as new independent rating agency.,85
Primuss Metroll Ltd.,Term loans,BRICKWORK,C,2025-05-30,HIGH,Infrastructure,INC — BRICKWORK,Urban/Metro,INC status at BRICKWORK — not cooperating with current rater.,Company not cooperating with BRICKWORK — ACER can step in as new independent rating agency.,85
