Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week
Adishakti Cars Pvt. Ltd.,CRISIL,Term Loan,BB+,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,6.0,Automobiles,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Adishakti Cars Pvt. Ltd.,CRISIL,Term Loan,BB+,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,1.38,Automobiles,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Aditya Construction Co. India Pvt. Ltd.,BRICKWORK,Term Loan,C,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,204.0,Construction,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Agrasen Shipbreakers Pvt. Ltd.,CRISIL,Letter of Credit,A 4,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,21.5,Other,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Ahaaram Mills Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,41.0,Other,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Ajay (India) Ltd.,CARE,NCD/Bond,B/A4,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,13.5,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Ajay (India) Ltd.,CARE,Term Loan,B,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,10.07,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Akash Fishmeal & Fishoil Pvt. Ltd.,CARE,Term Loan,B-,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,14.5,Energy,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Akashganga Infraventures India Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,25.5,Construction,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Akashganga Infraventures India Pvt. Ltd.,BRICKWORK,Term Loan,C,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,2.34,Construction,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Akrati Technimont Ltd.,BRICKWORK,Bank Guarantee,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,9.0,IT/Technology,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Alcast Synergies Pvt. Ltd.,ACUITE,Term Loan,BB-,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,9.9,Other,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Alex Astral Power Pvt. Ltd.,ACUITE,Term Loan,B,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,172.5,Energy,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Alpine Shoes Pvt. Ltd.,IND-RA,Term Loan,BB-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,22.58,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Nov Wk1 (Nov 1-7)
Anabond Ltd.,CARE,Letter of Credit,A 4,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,5.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Anabond Ltd.,CARE,NCD/Bond,BB/A4,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,5.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Anabond Ltd.,CARE,Term Loan,BB,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,3.83,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Anil Buildcon India Private Limited,Infomerics,Long Term /Short Term Bank Facility,IVR B+/IVR A4; (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,28.0,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Anil Buildcon India Private Limited,Infomerics,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,0.6,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Anil Engineering Pvt. Ltd.,CRISIL,Term Loan,B-,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,6.5,Manufacturing,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Anirudh Plastic Pvt. Ltd.,CARE,Bank Guarantee,A 4,06-Nov-2025,MEDIUM,ULTRA HOT,2026-11-06,November 2026,231,0.4,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Anirudh Plastic Pvt. Ltd.,CARE,Letter of Credit,A 4,06-Nov-2025,MEDIUM,ULTRA HOT,2026-11-06,November 2026,231,5.6,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Annai Resorts and Spa Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,8.73,Hotels/Tourism,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Anukool India Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,4.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Anukool India Pvt. Ltd.,ACUITE,Letter of Credit,A 4,03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,3.0,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Arise Automotives Pvt. Ltd.,BRICKWORK,Term Loan,C,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,1.31,Automobiles,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Arnavi Green Building Materials Pvt. Ltd.,CARE,Fund-Based,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,1.17,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Arnavi Green Building Materials Pvt. Ltd.,CARE,Term Loan,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,9.33,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Arunachal Timber Traders Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,4.5,Trading/Exports,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Arunachal Timber Traders Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,4.5,Trading/Exports,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Asthavinayak Motors Pvt. Ltd.,CARE,Bank Guarantee,A 4,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,0.25,Automobiles,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Atluri Foods Pvt. Ltd.,BRICKWORK,Term Loan,C,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,15.1,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Avani Petrochem Pvt. Ltd.,ICRA,Term Loan,B+,07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,15.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
Aypols Polymers Pvt. Ltd.,CARE,Letter of Credit,A 4,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,12.0,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Aypols Polymers Pvt. Ltd.,CARE,Term Loan,B,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,7.8,Chemicals/Pharma,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
B N Precast Pvt. Ltd.,ACUITE,Term Loan,B-,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,0.09,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
B N Precast Pvt. Ltd.,ACUITE,Term Loan,B-,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,3.78,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
B N R Infrastructure Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,45.0,Construction,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,Nov Wk1 (Nov 1-7)
B P Alloys Ltd.,CARE,Bank Guarantee,A 4,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,7.0,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
B P Alloys Ltd.,CARE,Term Loan,B-,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,0.16,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
BGR Construction LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,99.5,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Baba PuranDass Financial Services Limited,Infomerics,Proposed Fixed Deposit,IVR C- (INC) (Reaffirmed),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,4.0,BFSI,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,35.0,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,35.0,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Babulal Edible Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,35.0,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7)
Bajrang Agro Inds. Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,1.5,Agro/Food,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Bajrang Nirman Pvt. Ltd.,CARE,Bank Guarantee,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,3.0,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bakshi Security & Personnel Services Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,7.0,BFSI,D365,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Balarka Fabricon Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,5.0,Textiles,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Balarka Fabricon Pvt. Ltd.,BRICKWORK,Term Loan,C,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,0.9,Textiles,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Balkishan Dass Subhash Chand Ispat Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,4.25,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Balkishan Dass Subhash Chand Ispat Pvt. Ltd.,BRICKWORK,Term Loan,C,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,1.5,Other,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Bardhaman Agro Products (I) Pvt. Ltd.,CARE,Bank Guarantee,A 4,03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,0.2,Agro/Food,D365,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bhagawati India Motorizer Pvt. Ltd.,CARE,Term Loan,B,06-Nov-2025,MEDIUM,ULTRA HOT,2026-11-06,November 2026,231,1.36,Automobiles,D365,INC rating hits ULTRA HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bhagawati India Motorizer Pvt. Ltd.,CARE,Term Loan,B-,06-Nov-2025,MEDIUM,ULTRA HOT,2026-11-06,November 2026,231,0.88,Automobiles,D365,INC rating hits ULTRA HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bhagyalaxmi Steeltech Pvt. Ltd.,CARE,Fund-Based,B+,04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,35.0,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bharat Electrodrives Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,4.31,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bharat Electrodrives Pvt. Ltd.,CARE,Term Loan,BB+,05-Feb-2026,LOW,HOT,2026-11-02,November 2026,140,24.19,Other,D365,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bhawani Moulders Pvt. Ltd.,CARE,Term Loan,BB+,06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,15.89,Other,D365,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bonanza Portfolio Ltd.,CARE,Bank Guarantee,A 4,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,65.0,Logistics,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Bonanza Portfolio Ltd.,CARE,Bank Guarantee,A 4,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,25.0,Logistics,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Brijlal Hospital & Research Centre Pvt. Ltd.,CARE,Fund-Based,B-,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,1.86,Healthcare,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Brijlal Hospital & Research Centre Pvt. Ltd.,CARE,Term Loan,B-,10-Feb-2026,LOW,HOT,2026-11-07,November 2026,135,4.92,Healthcare,D365,INC rating hits HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,Nov Wk1 (Nov 1-7)
Charming Printing & Grphics Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,13.0,Steel & Metals,D365,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,Nov Wk1 (Nov 1-7)
Chhatrapati Sambhaji Raje Sakhar Udyog Ltd.,ACUITE,Term Loan,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,0.67,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Chhatrapati Sambhaji Raje Sakhar Udyog Ltd.,ACUITE,Term Loan,B-,05-Nov-2025,MEDIUM,ULTRA HOT,2026-11-05,November 2026,232,14.67,Other,D365,INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Nov Wk1 (Nov 1-7)
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,Term Loan,B,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,90.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,Term Loan,B,04-Nov-2025,MEDIUM,ULTRA HOT,2026-11-04,November 2026,233,125.0,Construction,D365,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Nov Wk1 (Nov 1-7)
