Company Name,Agency,Instrument,Rating,Rating Date,Days Since,Urgency,Amount Cr,Sector
Prabhu Spinning Mills Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,05-Sep-2025,293,HOT,35.28,Textiles
Surajbhan Rajkumar Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,16-Mar-2026,101,LOW,35.0,Other
Kadri Mills (C B E) Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,25-Aug-2025,304,HOT,35.0,Other
Laguna Clothing Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,22-Sep-2025,276,HOT,35.0,Textiles
Nuevo Polymers Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,14-Jul-2025,346,HOT,35.0,Chemicals/Pharma
Nuevo Polymers Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Apr-2026,57,LOW,35.0,Chemicals/Pharma
Andhra Ferro Alloys Ltd.,ICRA,NCD/Bond,D,10-Apr-2026,76,LOW,33.5,Steel & Metals
Jeevaka Industries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,08-Jul-2025,352,HOT,33.0,Other
Safeflex International Ltd.,ICRA,NCD/Bond,B+/A4,25-Jul-2025,335,HOT,31.25,Other
Eagle Continental Foods Pvt. Ltd.,ICRA,NCD/Bond,D,23-May-2025,398,ULTRA HOT,30.5,Steel & Metals
Canter Engineers Ltd.,ICRA,NCD/Bond,B+/A4,23-Jun-2025,367,ULTRA HOT,30.25,Manufacturing
R N P Scaffolding & Formwork Pvt. Ltd.,ICRA,NCD/Bond,B/A4,09-May-2025,412,ULTRA HOT,30.0,Other
Cryolor Asia Pacific Pvt. Ltd.,ICRA,NCD/Bond,A 4+,23-Jun-2025,367,ULTRA HOT,30.0,Other
Chetana Education Ltd.,ICRA,NCD/Bond,BB+/A4+,19-Jan-2026,157,LOW,30.0,Education
Sri Narayani Plastics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,20-Oct-2025,248,MEDIUM,29.5,Chemicals/Pharma
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,26-Mar-2026,91,LOW,29.39,Agro/Food
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,NCD/Bond,BBB-/A3,04-Sep-2025,294,HOT,29.39,Agro/Food
Hotcrete Infrastructure Pvt. Ltd.,ICRA,NCD/Bond,C/A4,27-Apr-2026,59,LOW,28.24,Construction
Flender Drives Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-May-2025,393,ULTRA HOT,28.0,Other
Ghai Construction Pvt. Ltd.,ICRA,NCD/Bond,B+,15-Apr-2026,71,LOW,27.0,Construction
Tulip Granites Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,25-Jul-2025,335,HOT,26.0,Mining/Minerals
Premier Polyfilm Ltd.,ICRA,NCD/Bond,BBB+/A2,30-Apr-2026,56,LOW,25.5,Other
Mohan Mutha Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Nov-2025,209,MEDIUM,25.0,Logistics
Mackintosh Burn Ltd.,ICRA,NCD/Bond,B+/A4,13-Feb-2026,132,LOW,24.45,Other
Emmennar Pharma Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Sep-2025,276,HOT,23.95,Chemicals/Pharma
Dipanshu Promoter & Builder Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,239,MEDIUM,22.5,Construction
Lampex Electronics Ltd.,ICRA,NCD/Bond,D,26-Aug-2025,303,HOT,22.5,Other
Landis Gyr Ltd.,ICRA,NCD/Bond,B+/A4,15-Sep-2025,283,HOT,22.33,Other
Shivam Motors Pvt. Ltd.,ICRA,NCD/Bond,C/A4,28-Nov-2025,209,MEDIUM,22.0,Automobiles
Zenith Exports Ltd.,ICRA,NCD/Bond,B+/A4,25-Feb-2026,120,LOW,22.0,Logistics
Lanarsy Infra Ltd.,ICRA,NCD/Bond,B+/A4,23-Jun-2025,367,ULTRA HOT,22.0,Construction
Anjalee Granites Pvt. Ltd.,ICRA,NCD/Bond,BB/A4,16-Apr-2026,70,LOW,22.0,Mining/Minerals
Pragati Marine Services Pvt. Ltd.,ICRA,NCD/Bond,D,15-Apr-2026,71,LOW,21.05,Other
K V R Projects Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,30-May-2025,391,ULTRA HOT,21.0,Other
Transglobal Securities Ltd.,ICRA,NCD/Bond,B+/A4,27-Apr-2026,59,LOW,21.0,BFSI
Sri Venkateswara Aerospace Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,11-Jun-2025,379,ULTRA HOT,20.0,Other
Ashok Bricks Inds. Pvt. Ltd.,ICRA,NCD/Bond,D,26-Sep-2025,272,HOT,20.0,Construction
Regen Infrastructure & Services Pvt. Ltd.,ICRA,NCD/Bond,D,12-Dec-2025,195,MEDIUM,20.0,Construction
Nishi Forex & Leisure Pvt. Ltd.,ICRA,NCD/Bond,D,16-Feb-2026,129,LOW,20.0,Other
Karnataka Commercial & Indl. Corpn. Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,28-Nov-2025,209,MEDIUM,19.7,Other
Siflon Pharma Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,10-Nov-2025,227,MEDIUM,18.98,Chemicals/Pharma
B P Food Products Pvt. Ltd.,ICRA,NCD/Bond,D,18-Aug-2025,311,HOT,18.71,Agro/Food
B P Food Products Pvt. Ltd.,ICRA,NCD/Bond,D,05-Mar-2026,112,LOW,18.71,Agro/Food
Primuss Metroll Ltd.,ICRA,NCD/Bond,C+/A4,21-May-2025,400,ULTRA HOT,18.5,Other
Mining Associates Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Jan-2026,147,LOW,18.0,Mining/Minerals
Yogiji Digi Ltd.,ICRA,NCD/Bond,B+,21-Apr-2026,65,LOW,18.0,Other
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,25-Nov-2025,212,MEDIUM,18.0,Other
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,16-Sep-2025,282,HOT,18.0,Other
Lanarsy Infra Ltd.,ICRA,NCD/Bond,B+/A4,23-Jun-2025,367,ULTRA HOT,18.0,Construction
Maruti Products Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,26-Nov-2025,211,MEDIUM,17.5,Other
Mor Alloys Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,10-Dec-2025,197,MEDIUM,16.55,Steel & Metals
Nandan Saha Steel Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,239,MEDIUM,16.2,Steel & Metals
Ganapati Fishing Lines Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,17-Oct-2025,251,MEDIUM,16.14,Other
Padia Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Feb-2026,118,LOW,15.5,Logistics
Solidus Hi-Tech Products Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Aug-2025,301,HOT,15.5,IT/Technology
Simola Vitrified Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,30-Jul-2025,330,HOT,15.43,Other
Vinar Ispat Ltd.,ICRA,NCD/Bond,D,30-Mar-2026,87,LOW,15.0,Other
Weener Empire Plastics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,24-Dec-2025,183,MEDIUM,15.0,Chemicals/Pharma
Grentex & Co. Pvt. Ltd.,ICRA,NCD/Bond,BBB/A3+,29-Sep-2025,269,MEDIUM,15.0,Other
Grentex & Co. Pvt. Ltd.,ICRA,NCD/Bond,BB/A4+,30-Mar-2026,87,LOW,15.0,Other
Serentica Renewables India Pvt. Ltd.,ICRA,NCD/Bond,AA-/A1+,24-Sep-2025,274,HOT,15.0,Energy
Ginni Gold Pvt. Ltd.,ICRA,NCD/Bond,D,10-Apr-2026,76,LOW,15.0,Jewellery/Gems
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,25-Nov-2025,212,MEDIUM,15.0,Other
Anjalee Granites Pvt. Ltd.,ICRA,NCD/Bond,BB/A4,16-Apr-2026,70,LOW,15.0,Mining/Minerals
Neogem India Ltd.,ICRA,NCD/Bond,D,28-May-2025,393,ULTRA HOT,15.0,Jewellery/Gems
Magna Projects Pvt. Ltd.,ICRA,NCD/Bond,D,29-Jul-2025,331,HOT,15.0,Other
Narendra Emporis Ltd.,ICRA,NCD/Bond,B+/A4,28-May-2025,393,ULTRA HOT,15.0,Other
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,16-Sep-2025,282,HOT,15.0,Other
Roop Technology Pvt. Ltd.,ICRA,NCD/Bond,D,20-Nov-2025,217,MEDIUM,14.37,IT/Technology
Ayaan Trendz Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Aug-2025,301,HOT,14.11,Other
Kiara Jewellery Pvt. Ltd.,ICRA,NCD/Bond,B/A4,22-Apr-2026,64,LOW,14.0,Jewellery/Gems
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,25-Nov-2025,212,MEDIUM,13.87,Other
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,16-Sep-2025,282,HOT,13.87,Other
Welcome Distilleries Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Apr-2026,59,LOW,13.2,Other
Presidency Exports & Inds. Ltd.,ICRA,NCD/Bond,D,23-Jun-2025,367,ULTRA HOT,13.0,Logistics
R P A Unibakes Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,29-Apr-2026,57,LOW,13.0,Other
Kumar Arch Tech Ltd.,ICRA,NCD/Bond,BB+/A4+,30-Sep-2025,268,MEDIUM,13.0,IT/Technology
Vaishnavi Bio Tech Intl. Ltd.,ICRA,NCD/Bond,B+/A4,07-Aug-2025,322,HOT,13.0,IT/Technology
Strawberry Studio Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,16-Mar-2026,101,LOW,12.7,Logistics
Prometrik Engineering Ltd.,ICRA,NCD/Bond,B+/A4,27-Jun-2025,363,HOT,12.5,Manufacturing
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,239,MEDIUM,12.39,Steel & Metals
Kay Jay Forgings Ltd.,ICRA,NCD/Bond,B+/A4,01-Dec-2025,206,MEDIUM,12.39,Steel & Metals
Adya Dairy Products Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,14-Nov-2025,223,MEDIUM,12.0,Agro/Food
Patron Industries Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,19-Sep-2025,279,HOT,12.0,Other
Chowgule Construction Chemicals Pvt. Ltd.,ICRA,NCD/Bond,BB-/A4,30-Jun-2025,360,HOT,12.0,Construction
A S Moloobhoy Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Jan-2026,153,LOW,11.0,Other
Harsh Constructions Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,30-Jul-2025,330,HOT,11.0,Construction
Quality Wovensacks Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Feb-2026,132,LOW,10.85,Paper/Packaging
Ashoka Distillers & Chemicals Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-May-2025,393,ULTRA HOT,10.65,Chemicals/Pharma
Mahamaya Steel Inds. Ltd.,ICRA,NCD/Bond,B+/A4,26-Jun-2025,364,HOT,10.5,Steel & Metals
Webfil Ltd.,ICRA,NCD/Bond,C+/A4,21-Jul-2025,339,HOT,10.3,Other
Rasi Electrodes Ltd.,ICRA,NCD/Bond,BB+/A4+,30-Mar-2026,87,LOW,10.0,Other
Gurpreet Galvanising Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-May-2025,393,ULTRA HOT,10.0,Other
Woolways (India) Ltd.,ICRA,NCD/Bond,D,29-Jan-2026,147,LOW,10.0,Other
Glitter Metals Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,18-Mar-2026,99,LOW,10.0,Steel & Metals
Para Products Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Apr-2026,58,LOW,10.0,Other
Mundhra Exim Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,25-Jul-2025,335,HOT,10.0,Other
Call Express Construction (India) Pvt. Ltd.,ICRA,NCD/Bond,D,28-Nov-2025,209,MEDIUM,10.0,Construction
Kwality Pharmaceuticals Ltd.,ICRA,NCD/Bond,B+/A4,05-Dec-2025,202,MEDIUM,9.92,Chemicals/Pharma
Rayban Foods Pvt. Ltd.,ICRA,NCD/Bond,D,24-Jun-2025,366,ULTRA HOT,9.81,Agro/Food
Therdose Pharma Pvt. Ltd.,ICRA,NCD/Bond,D,02-Jul-2025,358,HOT,9.53,Chemicals/Pharma
Aarti Distilleries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,25-Nov-2025,212,MEDIUM,9.47,Other
Aarti Distilleries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,16-Sep-2025,282,HOT,9.47,Other
Sunrise Seafoods India Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,246,MEDIUM,9.0,Agro/Food
Malar Paper Mills Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Aug-2025,301,HOT,9.0,Paper/Packaging
Uni-Tech Automation Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Dec-2025,185,MEDIUM,9.0,IT/Technology
Tristar Intercontinental Pvt. Ltd.,ICRA,NCD/Bond,D,26-Feb-2026,119,LOW,9.0,Steel & Metals
Mridul International Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Feb-2026,118,LOW,8.83,Other
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A 1+,11-Dec-2025,196,MEDIUM,8.5,Logistics
Pan Synthetics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,246,MEDIUM,8.5,Other
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A 1+,29-May-2025,392,ULTRA HOT,8.5,Logistics
Bevcon Wayors Pvt. Ltd.,ICRA,NCD/Bond,D,29-Oct-2025,239,MEDIUM,8.34,Other
Saravana Spinners Ltd.,ICRA,NCD/Bond,B-/A4,18-Aug-2025,311,HOT,8.08,Other
Q I Network Enterprise Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,22-Oct-2025,246,MEDIUM,8.0,IT/Technology
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,17-Dec-2025,190,MEDIUM,8.0,Logistics
Ganga Papers India Ltd.,ICRA,NCD/Bond,B+/A4,10-Mar-2026,107,LOW,8.0,Paper/Packaging
Ganga Papers India Ltd.,ICRA,NCD/Bond,B+/A4,21-Jan-2026,155,LOW,8.0,Paper/Packaging
S & I B Services Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,19-Nov-2025,218,MEDIUM,7.83,Other
Metco Roof Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,24-Dec-2025,183,MEDIUM,7.72,Other
Wintop Vitrified Pvt. Ltd.,ICRA,NCD/Bond,B/A4,25-Nov-2025,212,MEDIUM,7.63,Other
Global International Imex Pvt. Ltd.,ICRA,NCD/Bond,D,02-Jan-2026,174,LOW,7.57,Other
Kothari Metsol Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,21-Oct-2025,247,MEDIUM,7.4,Other
Progressive Automobiles Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,28-Aug-2025,301,HOT,7.3,Automobiles
Zeco Aircon Ltd.,ICRA,NCD/Bond,B+/A4,25-Feb-2026,120,LOW,7.25,Other
Bhumi Cottex Industry Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Sep-2025,269,MEDIUM,7.0,Other
Turbovent Industries Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,24-Apr-2026,62,LOW,6.88,Other
Global Buildcon Pvt. Ltd.,ICRA,NCD/Bond,B/A4,16-May-2025,405,ULTRA HOT,6.5,Construction
Millenium Exim Pvt. Ltd.,ICRA,NCD/Bond,B/A4,08-Dec-2025,199,MEDIUM,6.21,Other
Radius Water Ltd.,ICRA,NCD/Bond,D,27-Apr-2026,59,LOW,6.06,Other
Premier Polyfilm Ltd.,ICRA,NCD/Bond,BBB+/A2,30-Apr-2026,56,LOW,6.04,Other
Shree Krishna Stevedores Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,09-Jul-2025,351,HOT,6.0,Other
Peel-Works Pvt. Ltd.,ICRA,NCD/Bond,D,12-Feb-2026,133,LOW,6.0,Other
Ras Polytex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Jan-2026,153,LOW,5.97,Other
Duratex Silk Mills Pvt. Ltd.,ICRA,NCD/Bond,B/A4,22-Apr-2026,64,LOW,5.81,Textiles
Siddarth Organisation Ltd.,ICRA,NCD/Bond,C/A4,09-Mar-2026,108,LOW,5.8,Other
S V R Electricals Pvt. Ltd.,ICRA,NCD/Bond,B/A4,21-Jan-2026,155,LOW,5.75,Energy
Satyadeeptha Pharmaceuticals Ltd.,ICRA,NCD/Bond,BB+/A4+,08-Sep-2025,290,HOT,5.63,Chemicals/Pharma
Satyadeeptha Pharmaceuticals Ltd.,ICRA,NCD/Bond,BBB-/A3,08-Jul-2025,352,HOT,5.63,Chemicals/Pharma
Satyadeeptha Pharmaceuticals Ltd.,ICRA,NCD/Bond,BB+/A4+,17-Dec-2025,190,MEDIUM,5.63,Chemicals/Pharma
Associated Works Infra Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Oct-2025,245,MEDIUM,5.5,Construction
Adarsha Automotives Pvt. Ltd.,ICRA,NCD/Bond,C/A4,21-Jul-2025,339,HOT,5.48,Automobiles
A K R Impex Pvt. Ltd.,ICRA,NCD/Bond,D,29-Apr-2026,57,LOW,5.45,Other
Nicomet Industries Ltd.,ICRA,NCD/Bond,D,11-Dec-2025,196,MEDIUM,5.24,Other
Chetana Education Ltd.,ICRA,NCD/Bond,BB+/A4+,19-Jan-2026,157,LOW,5.1,Education
S V R Laboratories Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,24-Apr-2026,62,LOW,5.1,Healthcare
C D R Projects Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,24-Dec-2025,183,MEDIUM,5.04,Other
Sidwin Fabric Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,16-Apr-2026,70,LOW,5.03,Textiles
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,11-Mar-2026,106,LOW,5.0,Manufacturing
Mukta Industries Pvt. Ltd.,ICRA,NCD/Bond,D,29-Oct-2025,239,MEDIUM,5.0,Other
B K Threshers Pvt. Ltd.,ICRA,NCD/Bond,D,29-May-2025,392,ULTRA HOT,5.0,Other
K N K Construction Pvt. Ltd.,ICRA,NCD/Bond,D,17-Apr-2026,69,LOW,5.0,Construction
Desein Pvt. Ltd.,ICRA,NCD/Bond,D,18-Jul-2025,342,HOT,5.0,Other
S & I B Services Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,19-Nov-2025,218,MEDIUM,5.0,Other
Premier Industrial Corpn. Ltd.,ICRA,NCD/Bond,B+/A4,16-Sep-2025,282,HOT,4.97,Manufacturing
Valencia Ceramic Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,16-Feb-2026,129,LOW,4.71,Other
Shri Banke Bihari Polyfab Pvt. Ltd.,ICRA,NCD/Bond,B-/A4,19-Feb-2026,126,LOW,4.65,BFSI
Homera Tanning Inds. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,18-Feb-2026,127,LOW,4.5,Other
