Company Name,Agency,Instrument,Rating,Rating Date,Days Since,Urgency,Amount Cr,Sector
R S A Infraproject Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,07-Nov-2025,230,MEDIUM,175.0,Construction
Dee Vee Projects Ltd.,CARE,NCD/Bond,BB-/A4,19-Feb-2026,126,LOW,170.0,Other
M R T Signals Ltd.,CARE,NCD/Bond,BB/A4+,17-Jul-2025,343,HOT,161.0,Other
Transaction Solutions Intl. (India) Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,24-Feb-2026,121,LOW,155.29,Other
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,267,MEDIUM,151.0,Chemicals/Pharma
P C L Oil & Solvents Ltd.,CARE,NCD/Bond,D,17-Nov-2025,220,MEDIUM,135.5,Chemicals/Pharma
Sunalco Alloys Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,25-Feb-2026,120,LOW,135.0,Steel & Metals
Dodsal Enterprises Pvt. Ltd.,CARE,NCD/Bond,D,04-Jul-2025,356,HOT,129.58,Other
Excelsource International Pvt. Ltd.,CARE,NCD/Bond,B+/A4,22-Dec-2025,185,MEDIUM,128.0,Other
Man Structurals Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,21-Jul-2025,339,HOT,126.5,Other
R M N Infrastructures Ltd.,CARE,NCD/Bond,BB+/A4+,31-Mar-2026,86,LOW,125.0,Construction
Shanti Construction (Guj) Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,17-Sep-2025,281,HOT,121.95,Construction
M K M Diamonds Pvt. Ltd.,CARE,NCD/Bond,D,06-Aug-2025,323,HOT,120.0,Jewellery/Gems
Avexa Corporation Pvt. Ltd.,CARE,NCD/Bond,D,08-Oct-2025,260,MEDIUM,120.0,Other
Textrade International Ltd.,CARE,NCD/Bond,D,27-Jan-2026,149,LOW,120.0,Trading/Exports
R K Infracorp Pvt. Ltd.,CARE,NCD/Bond,B/A4,11-Mar-2026,106,LOW,120.0,Construction
Pragati Infra Solutions Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,25-Feb-2026,120,LOW,119.0,Construction
Jayshri Gayatri Food Products Pvt. Ltd.,CARE,NCD/Bond,D,25-Jul-2025,335,HOT,117.72,Agro/Food
Zulaikha Motors Pvt. Ltd.,CARE,NCD/Bond,D,12-Feb-2026,133,LOW,116.0,Automobiles
K T M Jewellery Ltd.,CARE,NCD/Bond,BBB-/A3,23-Mar-2026,94,LOW,115.0,Jewellery/Gems
Etco Denim Pvt. Ltd.,CARE,NCD/Bond,D,09-Apr-2026,77,LOW,112.99,Other
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,267,MEDIUM,110.0,Construction
Varron Industriies Pvt. Ltd.,CARE,NCD/Bond,D,14-May-2025,407,ULTRA HOT,109.1,Other
Kiran Global Chems Ltd.,CARE,NCD/Bond,D,21-May-2025,400,ULTRA HOT,107.0,Chemicals/Pharma
Monomark Engineering (India) Ltd.,CARE,NCD/Bond,BB/A4,30-Sep-2025,268,MEDIUM,105.0,Manufacturing
Hotline Capital Services Pvt. Ltd.,CARE,NCD/Bond,C/A4,01-Apr-2026,85,LOW,100.0,Other
Deepak Vegpro Pvt. Ltd.,CARE,NCD/Bond,BB/A4,14-May-2025,407,ULTRA HOT,100.0,Other
Siddhartha Engineering Ltd.,CARE,NCD/Bond,C/A4,16-Dec-2025,191,MEDIUM,95.75,Manufacturing
Supreme & Co. Pvt. Ltd.,CARE,NCD/Bond,D,04-Jul-2025,356,HOT,91.0,Other
W F B Baird & Co. India Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,26-Dec-2025,181,MEDIUM,90.0,Other
N K Agro Exports (India) Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,02-Apr-2026,84,LOW,90.0,Agro/Food
Advaith Aerospace Pvt. Ltd.,CARE,NCD/Bond,B+/A4,05-Mar-2026,112,LOW,90.0,Other
Rai Metal Works Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,30-May-2025,391,ULTRA HOT,87.0,Steel & Metals
J U Agri Sciences Pvt. Ltd.,CARE,NCD/Bond,A 4,03-Nov-2025,234,MEDIUM,85.0,Other
Bombay Super Hybrid Seeds Ltd.,CARE,NCD/Bond,BBB-/A3,25-Mar-2026,92,LOW,85.0,Agro/Food
B I L Infratech Ltd.,CARE,NCD/Bond,D,18-Aug-2025,311,HOT,84.5,Construction
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,02-Dec-2025,205,MEDIUM,83.0,Jewellery/Gems
Reliance Commercial Finance Ltd.,CARE,NCD/Bond,D,27-Jan-2026,149,LOW,81.0,BFSI
B N R Infrastructure Projects Pvt. Ltd.,CARE,NCD/Bond,BB/A4,02-Jan-2026,174,LOW,80.0,Construction
Astron Paper & Board Mill Ltd.,CARE,NCD/Bond,D,21-Jan-2026,155,LOW,78.0,Paper/Packaging
K B K Biotech Pvt. Ltd.,CARE,NCD/Bond,BB/A4,02-Apr-2026,84,LOW,76.78,Healthcare
Jaipur Rugs Co. Ltd.,CARE,NCD/Bond,BB-/A4,08-Jan-2026,168,LOW,75.0,Other
Victoria Foods Pvt. Ltd.,CARE,NCD/Bond,BB/A4,21-Nov-2025,216,MEDIUM,75.0,Agro/Food
Akshara Enterprises India Pvt. Ltd.,CARE,NCD/Bond,BB/A4,19-Mar-2026,98,LOW,74.51,Other
Shree Hari Infraprojects Pvt. Ltd.,CARE,NCD/Bond,BB/A4,16-Apr-2026,70,LOW,73.5,Construction
Sobti Infratech Ltd.,CARE,NCD/Bond,BB+/A4+,18-Aug-2025,311,HOT,70.54,Construction
Tejas Cargo India Ltd.,CARE,NCD/Bond,BB+/A4+,20-Mar-2026,97,LOW,70.0,Logistics
Ray Engineering Pvt. Ltd.,CARE,NCD/Bond,B+/A4,21-May-2025,400,ULTRA HOT,70.0,Manufacturing
Valiant Glass Works Pvt. Ltd.,CARE,NCD/Bond,B/A4,08-Dec-2025,199,MEDIUM,70.0,Other
G V P Infotech Ltd.,CARE,NCD/Bond,D,14-Aug-2025,315,HOT,70.0,IT/Technology
G L S Films Inds. Pvt. Ltd.,CARE,NCD/Bond,D,02-Jun-2025,388,ULTRA HOT,69.75,Other
Shakti Polyweave Pvt. Ltd.,CARE,NCD/Bond,B+/A4,13-Aug-2025,316,HOT,69.6,Textiles
Sri Lakshmi Godavari Spinning Mills Pvt. Ltd.,CARE,NCD/Bond,D,05-Aug-2025,324,HOT,68.0,Textiles
Process Construction & Technical Services Pvt. Ltd.,CARE,NCD/Bond,D,09-Sep-2025,289,HOT,66.7,Construction
Ktex Nonwovens Pvt. Ltd.,CARE,NCD/Bond,BB/A4,24-Dec-2025,183,MEDIUM,65.0,Other
Preeti Buildcon Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,11-Feb-2026,134,LOW,64.15,Construction
S S G Infratech Pvt. Ltd.,CARE,NCD/Bond,D,22-Dec-2025,185,MEDIUM,62.5,Construction
Ktex Nonwovens Pvt. Ltd.,CARE,NCD/Bond,BB/A4,24-Dec-2025,183,MEDIUM,62.48,Other
S K S Ispat & Power Ltd.,CARE,NCD/Bond,BB/A4,26-Sep-2025,272,HOT,62.0,Energy
R L Steels & Energy Ltd.,CARE,NCD/Bond,B+/A4,29-May-2025,392,ULTRA HOT,61.07,Steel & Metals
Vijai Electricals Ltd.,CARE,NCD/Bond,BB-/A4,10-Apr-2026,76,LOW,61.0,Energy
K K R Agro Mills Pvt. Ltd.,CARE,NCD/Bond,D,29-Jan-2026,147,LOW,60.5,Agro/Food
Ritzy Chemicals Pvt. Ltd.,CARE,NCD/Bond,D,07-Jan-2026,169,LOW,60.0,Chemicals/Pharma
Skipperseil Ltd.,CARE,NCD/Bond,BB-/A4,23-Feb-2026,122,LOW,60.0,Other
Vijay Solvex Ltd.,CARE,NCD/Bond,BB/A4,14-May-2025,407,ULTRA HOT,60.0,Other
Kadam & Kadam Jewelers Pvt. Ltd.,CARE,NCD/Bond,D,12-Nov-2025,225,MEDIUM,60.0,Jewellery/Gems
Fides Distribution Pvt. Ltd.,CARE,NCD/Bond,B-/A4,18-Nov-2025,219,MEDIUM,60.0,Trading/Exports
G L S Films Inds. Pvt. Ltd.,CARE,NCD/Bond,D,02-Jun-2025,388,ULTRA HOT,58.0,Other
Pragati Infra Solutions Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,25-Feb-2026,120,LOW,58.0,Construction
Anjali Labtech Ltd.,CARE,NCD/Bond,BB+/A4+,31-Jul-2025,329,HOT,56.5,Healthcare
Rishabh Constructions Pvt. Ltd.,CARE,NCD/Bond,D,21-May-2025,400,ULTRA HOT,56.24,Construction
Maschio Gaspardo India Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,04-Jul-2025,356,HOT,55.0,Other
Shrijee Lifestyle Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Aug-2025,324,HOT,52.0,Other
Gensol Engineering Ltd.,CARE,NCD/Bond,D,20-Mar-2026,97,LOW,51.3,Manufacturing
Kuldeep Motors Pvt. Ltd.,CARE,NCD/Bond,BB/A4,02-Jan-2026,174,LOW,50.0,Automobiles
Jindal Futures Pvt. Ltd.,CARE,NCD/Bond,B-/A4,18-Sep-2025,280,HOT,50.0,Agro/Food
Stanadyne India Pvt. Ltd.,CARE,NCD/Bond,BB/A4,20-Nov-2025,217,MEDIUM,50.0,Other
I G W India Technologies Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,26-Dec-2025,181,MEDIUM,50.0,IT/Technology
Sri Pathy Associates Pvt. Ltd.,CARE,NCD/Bond,B-/A4,05-Sep-2025,293,HOT,50.0,Other
Deepak Vegpro Pvt. Ltd.,CARE,NCD/Bond,BB/A4,14-May-2025,407,ULTRA HOT,50.0,Other
Ashish Ship Breakers Pvt. Ltd.,CARE,NCD/Bond,B+/A4,09-Sep-2025,289,HOT,50.0,Other
Vimal Coal Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,16-Apr-2026,70,LOW,50.0,Energy
Dembla Valves Ltd.,CARE,NCD/Bond,BB+/A4+,19-Mar-2026,98,LOW,49.5,Other
Feedback Energy Distribution Co. Ltd.,CARE,NCD/Bond,D,13-Jun-2025,377,ULTRA HOT,49.0,Energy
Vikram Roller Flour Mills Ltd.,CARE,NCD/Bond,B-/A4,29-Apr-2026,57,LOW,47.5,Agro/Food
Shree Shankar Vijay Timber Exports Pvt. Ltd.,CARE,NCD/Bond,D,14-May-2025,407,ULTRA HOT,47.0,Logistics
Savair Energy Ltd.,CARE,NCD/Bond,D,09-Apr-2026,77,LOW,47.0,Energy
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,267,MEDIUM,46.5,Other
Bridge & Roof Co. (India) Ltd.,CARE,NCD/Bond,BB/A4,28-Jul-2025,332,HOT,46.3,Other
Astron Paper & Board Mill Ltd.,CARE,NCD/Bond,D,21-Jan-2026,155,LOW,46.0,Paper/Packaging
Vipul Motors Pvt. Ltd.,CARE,NCD/Bond,B/A4,22-Apr-2026,64,LOW,45.0,Automobiles
Jai Gopal Intl. Impex Pvt. Ltd.,CARE,NCD/Bond,A 4,08-Aug-2025,321,HOT,45.0,Other
Ram'S Assorted Cold Storage Ltd.,CARE,NCD/Bond,D,27-May-2025,394,ULTRA HOT,45.0,Other
Khedut Solvexp Pvt. Ltd.,CARE,NCD/Bond,B+/A4,03-Feb-2026,142,LOW,45.0,Other
New Modern Technomech Pvt. Ltd.,CARE,NCD/Bond,C/A4,21-Apr-2026,65,LOW,45.0,IT/Technology
C 5 Engineering Pvt. Ltd.,CARE,NCD/Bond,B+/A4,17-Oct-2025,251,MEDIUM,45.0,Manufacturing
Velko Infratek Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,12-May-2025,409,ULTRA HOT,44.0,Construction
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,01-Dec-2025,206,MEDIUM,44.0,Chemicals/Pharma
Shrijee Lifestyle Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Aug-2025,324,HOT,43.0,Other
Eldyne Electro-Systems Pvt. Ltd.,CARE,NCD/Bond,BB/A4,05-Nov-2025,232,MEDIUM,41.32,Other
Nutrient Marine Foods Ltd.,CARE,NCD/Bond,D,18-Mar-2026,99,LOW,40.0,Agro/Food
Kerafibertex International Pvt. Ltd.,CARE,NCD/Bond,BB/A4,05-Mar-2026,112,LOW,40.0,Textiles
B T W-Atlanta Transformers India Pvt. Ltd.,CARE,NCD/Bond,C/A4,26-Feb-2026,119,LOW,40.0,Other
Vimal Coal Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,16-Apr-2026,70,LOW,39.96,Energy
Metcon India Realty & Infrastructure Pvt. Ltd.,CARE,NCD/Bond,B-/A4,05-Aug-2025,324,HOT,39.0,Construction
Advanced Computers & Mobiles India Pvt. Ltd.,CARE,NCD/Bond,D,29-Dec-2025,178,LOW,39.0,Other
Shri Jagdamba Polymers Ltd.,CARE,NCD/Bond,BB/A4,05-Jun-2025,385,ULTRA HOT,38.82,Chemicals/Pharma
Condor Footwear (India) Ltd.,CARE,NCD/Bond,BB-/A4,29-Sep-2025,269,MEDIUM,38.0,Other
Kumaran Filaments Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,22-Sep-2025,276,HOT,38.0,Other
Reliance Commercial Finance Ltd.,CARE,NCD/Bond,PP-MLD D,27-Jan-2026,149,LOW,38.0,BFSI
Oriental Edumed Pvt. Ltd.,CARE,NCD/Bond,B/A4,26-Mar-2026,91,LOW,37.82,Other
U B Cotton Pvt. Ltd.,CARE,NCD/Bond,BB/A4,09-Jan-2026,167,LOW,37.0,Agro/Food
Vivaan Solar Pvt. Ltd.,CARE,NCD/Bond,B-/A4,15-Sep-2025,283,HOT,35.96,Energy
B T W-Atlanta Transformers India Pvt. Ltd.,CARE,NCD/Bond,C/A4,26-Feb-2026,119,LOW,35.0,Other
A K Infraprojects Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Jun-2025,380,ULTRA HOT,35.0,Construction
Dhan Steels Pvt. Ltd.,CARE,NCD/Bond,B/A4,08-May-2025,413,ULTRA HOT,35.0,Steel & Metals
Flash Forge Pvt. Ltd.,CARE,NCD/Bond,C/A4,07-Aug-2025,322,HOT,35.0,Other
Anamika Conductors Pvt. Ltd.,CARE,NCD/Bond,D,10-Nov-2025,227,MEDIUM,35.0,Other
Premier Plasmotec Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,31-Mar-2026,86,LOW,35.0,Other
Infrastil Global Impex Pvt. Ltd.,CARE,NCD/Bond,B-/A4,22-Jul-2025,338,HOT,35.0,Construction
Knitcraft Apparels Intl. Pvt. Ltd.,CARE,NCD/Bond,D,11-Jun-2025,379,ULTRA HOT,35.0,Textiles
R M N Infrastructures Ltd.,CARE,NCD/Bond,BB+/A4+,31-Mar-2026,86,LOW,35.0,Construction
Alectrona Energy Pvt. Ltd.,CARE,NCD/Bond,D,20-Nov-2025,217,MEDIUM,35.0,Energy
Spansules Pharmatech Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,27-Apr-2026,59,LOW,34.63,Chemicals/Pharma
Tara Tarini Constructions Pvt. Ltd.,CARE,NCD/Bond,BB/A4,03-Feb-2026,142,LOW,34.38,Construction
Oriilon India Pvt. Ltd.,CARE,NCD/Bond,BB/A4,20-Jan-2026,156,LOW,34.18,Other
Pyrotech Workspace Solutions Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,30-Jan-2026,146,LOW,34.0,IT/Technology
Paper Vantage Point Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,05-Sep-2025,293,HOT,33.85,Paper/Packaging
Agile Security Force Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,08-Aug-2025,321,HOT,33.0,Other
Mittapally Agro Products Pvt. Ltd.,CARE,NCD/Bond,D,14-Apr-2026,72,LOW,32.5,Agro/Food
Central India Engg. Pvt. Ltd.,CARE,NCD/Bond,BB/A4,27-Mar-2026,90,LOW,32.32,Other
Translite Energy Ltd.,CARE,NCD/Bond,BB+/A4+,23-Jan-2026,153,LOW,32.0,Energy
P V Power Technologies Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,31.6,Energy
A S Motors Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,26-Mar-2026,91,LOW,30.29,Automobiles
Envirad Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-Apr-2026,63,LOW,30.1,Other
Al-Saqib Exports Pvt. Ltd.,CARE,NCD/Bond,D,23-Sep-2025,275,HOT,30.0,Logistics
Siri Constructions Infrastructure Pvt. Ltd.,CARE,NCD/Bond,B/A4,19-Feb-2026,126,LOW,30.0,Construction
Harman Rice Pvt. Ltd.,CARE,NCD/Bond,D,10-Jun-2025,380,ULTRA HOT,30.0,Agro/Food
Ashish Vessel Demolition Pvt. Ltd.,CARE,NCD/Bond,B-/A4,29-Jan-2026,147,LOW,30.0,Other
Supreme & Co. Pvt. Ltd.,CARE,NCD/Bond,D,04-Jul-2025,356,HOT,30.0,Other
Seguro Foundations & Structures Pvt. Ltd.,CARE,NCD/Bond,D,24-Dec-2025,183,MEDIUM,30.0,Other
Bahl Builders Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,30-Apr-2026,56,LOW,30.0,Construction
R Y Midas Alluminiums Pvt. Ltd.,CARE,NCD/Bond,D,06-Oct-2025,262,MEDIUM,29.0,Other
Mectech Process Engineers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,19-Sep-2025,279,HOT,29.0,Manufacturing
Krishna Buildestates Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,26-Mar-2026,91,LOW,28.5,Construction
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,267,MEDIUM,28.22,Agro/Food
Oswal Lumbers Pvt. Ltd.,CARE,NCD/Bond,B/A4,10-Apr-2026,76,LOW,27.0,Other
Mangal Electrical Inds. Ltd.,CARE,NCD/Bond,B+/A4,20-Jun-2025,370,ULTRA HOT,26.25,Energy
Meena Agency Ltd.,CARE,NCD/Bond,BB+/A4+,30-Mar-2026,87,LOW,26.0,Other
Balar Synthetics Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,09-Jul-2025,351,HOT,25.0,Other
Sarvani Tradelink Pvt. Ltd.,CARE,NCD/Bond,B+/A4,09-Dec-2025,198,MEDIUM,25.0,Paper/Packaging
Crest Merchandise Pvt. Ltd.,CARE,NCD/Bond,B-/A4,28-Jul-2025,332,HOT,25.0,Other
Crescent Auto Repairs & Services India Pvt. Ltd.,CARE,NCD/Bond,B-/A4,09-Sep-2025,289,HOT,25.0,Automobiles
Asia Pacific Resources Pvt. Ltd.,CARE,NCD/Bond,B-/A4,28-Jul-2025,332,HOT,25.0,Other
Shri Vaari Electricals Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Nov-2025,227,MEDIUM,25.0,Energy
Gensol Engineering Ltd.,CARE,NCD/Bond,D,20-Mar-2026,97,LOW,25.0,Manufacturing
Finolex J-Power Systems Ltd.,CARE,NCD/Bond,B+/A4,04-Jun-2025,386,ULTRA HOT,25.0,Energy
E M T Megatherm Pvt. Ltd.,CARE,NCD/Bond,D,25-Aug-2025,304,HOT,25.0,Other
R S Fuel Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,15-May-2025,406,ULTRA HOT,25.0,Energy
Kimiya Engineers Pvt. Ltd.,CARE,NCD/Bond,D,18-Feb-2026,127,LOW,25.0,Manufacturing
Kerafibertex International Pvt. Ltd.,CARE,NCD/Bond,BB/A4,05-Mar-2026,112,LOW,25.0,Textiles
Swift Securitas Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,26-Feb-2026,119,LOW,24.35,Other
Spansules Formulations India Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,27-Apr-2026,59,LOW,24.13,Other
Spg Infraprojects Ltd.,CARE,NCD/Bond,BB+/A4+,31-Oct-2025,237,MEDIUM,24.0,Construction
Deem Construction Co. Pvt. Ltd.,CARE,NCD/Bond,D,26-Nov-2025,211,MEDIUM,24.0,Construction
Uttarakhand Engineering Products Pvt. Ltd.,CARE,NCD/Bond,B+/A4,12-Jan-2026,164,LOW,24.0,Manufacturing
Castings Dynamics Ltd.,CARE,NCD/Bond,D,20-Nov-2025,217,MEDIUM,23.5,Steel & Metals
Al-Faheem Meatex Pvt. Ltd.,CARE,NCD/Bond,B-/A4,26-Sep-2025,272,HOT,23.0,Other
Rajda Industries & Export Pvt. Ltd.,CARE,NCD/Bond,B/A4,07-Aug-2025,322,HOT,22.0,Logistics
Survi Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,10-Oct-2025,258,MEDIUM,22.0,Other
Satrac Engineering Pvt. Ltd.,CARE,NCD/Bond,BB/A4,16-Sep-2025,282,HOT,21.5,Manufacturing
Turbhe Chemicals Pvt. Ltd.,CARE,NCD/Bond,B+/A4,01-Dec-2025,206,MEDIUM,21.0,Chemicals/Pharma
Medipol Pharmaceutical India Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,26-Mar-2026,91,LOW,20.5,Chemicals/Pharma
Bombay Super Hybrid Seeds Ltd.,CARE,NCD/Bond,BBB-/A3,25-Mar-2026,92,LOW,20.0,Agro/Food
B E Contracts Pvt. Ltd.,CARE,NCD/Bond,B/A4,22-Dec-2025,185,MEDIUM,20.0,Other
Design & Manufacturing Vista Electronics Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,06-Apr-2026,80,LOW,20.0,Manufacturing
Pan Intellecom Ltd.,CARE,NCD/Bond,B+/A4,25-Jul-2025,335,HOT,20.0,Other
Somi Conveyor Beltings Ltd.,CARE,NCD/Bond,BB-/A4,06-Jun-2025,384,ULTRA HOT,20.0,Steel & Metals
Eneroil Offshore Drilling Ltd.,CARE,NCD/Bond,BB-/A4,20-Mar-2026,97,LOW,20.0,Energy
Trisquare Switchgears Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,28-Apr-2026,58,LOW,20.0,Other
Svasca Industries (India) Ltd.,CARE,NCD/Bond,B-/A4,30-Oct-2025,238,MEDIUM,20.0,Other
Sophisticated Industrial Materials Analytic Labs Pvt. Ltd.,CARE,NCD/Bond,B/A4,13-Jun-2025,377,ULTRA HOT,20.0,Manufacturing
Inventive Software Solutions Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,10-Mar-2026,107,LOW,20.0,IT/Technology
Premier Plasmotec Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,31-Mar-2026,86,LOW,20.0,Other
S P G V Petrochem (India) Pvt. Ltd.,CARE,NCD/Bond,D,13-Apr-2026,73,LOW,20.0,Chemicals/Pharma
Techno Global Services Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Oct-2025,258,MEDIUM,19.5,IT/Technology
