Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Days Since (Jun 25),Amount Cr,Sector
Bhagwati Industrial Group Ltd.,CRISIL,Fund-Based,B,17-04-2026,LOW,LOW,MEDIUM,69,6.26,Manufacturing
Bhagwati Industrial Group Ltd.,CRISIL,Letter of Credit,A 4,17-04-2026,LOW,LOW,MEDIUM,69,44.0,Manufacturing
Bhagwati Industrial Group Ltd.,CRISIL,Term Loan,B,17-04-2026,LOW,LOW,MEDIUM,69,38.64,Manufacturing
Bhagwati Vintrade Pvt. Ltd.,CARE,Term Loan,B-,20-04-2026,LOW,LOW,MEDIUM,66,8.27,Trading/Exports
Bhagya Laxmi Gems & Jewellers Pvt. Ltd.,ACUITE,Bank Guarantee,D,23-04-2026,LOW,LOW,MEDIUM,63,15.0,Jewellery/Gems
Bhagyodaya Trokhos Pvt. Ltd.,CRISIL,Fund-Based,D,21-04-2026,LOW,LOW,MEDIUM,65,13.0,Other
Bhagyodaya Trokhos Pvt. Ltd.,CRISIL,Term Loan,D,21-04-2026,LOW,LOW,MEDIUM,65,2.25,Other
Bharat Engineering Construction Co. Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,01-04-2026,LOW,MEDIUM,MEDIUM,85,0.25,Construction
Bharat Engineering Construction Co. Pvt. Ltd.,ACUITE,Term Loan,B-,01-04-2026,LOW,MEDIUM,MEDIUM,85,5.0,Construction
Bhardwaj Construction Co. Pvt. Ltd.,IND-RA,Non-Fund-Based,A 4,02-04-2026,LOW,MEDIUM,MEDIUM,84,9.84,Construction
Bhargavi Automobiles Pvt. Ltd.,CARE,Term Loan,BB,07-04-2026,LOW,LOW,MEDIUM,79,5.0,Automobiles
Bhartia Yarns Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,10.0,Textiles
Bhopal Tractors Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,10.0,Other
Bhoruka Power Corpn. Ltd.,IND-RA,Term Loan,BB-,02-04-2026,LOW,MEDIUM,MEDIUM,84,1012.82,Energy
Bihani Binayake Cotex Pvt. Ltd.,CARE,Term Loan,B-,23-04-2026,LOW,LOW,MEDIUM,63,0.69,Other
Biomedix Optotechnik & Devices Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,8.91,IT/Technology
Biop Steels & Power Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-04-2026,LOW,LOW,MEDIUM,79,1.0,Steel & Metals
Biop Steels & Power Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-04-2026,LOW,LOW,MEDIUM,79,3.0,Steel & Metals
Birli Spinning Mill Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,21-04-2026,LOW,LOW,MEDIUM,65,7.0,Textiles
Birli Spinning Mill Pvt. Ltd.,ACUITE,Letter of Credit,A 4,21-04-2026,LOW,LOW,MEDIUM,65,3.0,Textiles
Birli Spinning Mill Pvt. Ltd.,ACUITE,Term Loan,B-,21-04-2026,LOW,LOW,MEDIUM,65,42.0,Textiles
Blue Duck Textiles Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,7.83,Construction
Bluemax Imppex (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,D,03-04-2026,LOW,MEDIUM,MEDIUM,83,3.0,Other
Borkar Packaging Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-04-2026,LOW,LOW,MEDIUM,65,30.8,Paper/Packaging
Borkar Packaging Pvt. Ltd.,CRISIL,Term Loan,B,21-04-2026,LOW,LOW,MEDIUM,65,25.2,Paper/Packaging
Boxcoworld Pvt. Ltd.,CRISIL,Bank Guarantee,D,15-04-2026,LOW,LOW,MEDIUM,71,1.0,Other
Boxcoworld Pvt. Ltd.,CRISIL,Non-Fund-Based,D,15-04-2026,LOW,LOW,MEDIUM,71,2.5,Other
Bravo Agencies Pvt. Ltd.,CARE,Letter of Credit,D,06-04-2026,LOW,LOW,MEDIUM,80,7.5,Other
Brindha Cotton Mills Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,10.57,Agro/Food
Brs Enterprises & Trading Ltd.,ACUITE,Letter of Credit,D,17-04-2026,LOW,LOW,MEDIUM,69,30.0,Trading/Exports
Buildmate Projects Pvt. Ltd.,CARE,Bank Guarantee,A 4,15-04-2026,LOW,LOW,MEDIUM,71,3.0,Construction
Buildmate Projects Pvt. Ltd.,CARE,Letter of Credit,A 4,15-04-2026,LOW,LOW,MEDIUM,71,6.0,Construction
Buildmate Projects Pvt. Ltd.,CARE,Term Loan,C,15-04-2026,LOW,LOW,MEDIUM,71,0.74,Construction
Bulland Buildtech Pvt. Ltd.,CARE,Fund-Based,D,28-04-2026,LOW,LOW,MEDIUM,58,45.0,Construction
C B C Fashions (Asia) Pvt. Ltd.,BRICKWORK,Term Loan,D,07-04-2026,LOW,LOW,MEDIUM,79,8.81,Textiles
C Gems & Jewels Pvt. Ltd.,BRICKWORK,Term Loan,D,09-04-2026,LOW,LOW,MEDIUM,77,7.5,Jewellery/Gems
C M Auto Sales Pvt. Ltd.,CARE,Fund-Based,B+,23-04-2026,LOW,LOW,MEDIUM,63,16.1,Automobiles
C M Auto Sales Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-04-2026,LOW,LOW,MEDIUM,63,4.5,Automobiles
C P Re-Rollers Ltd.,BRICKWORK,Bank Guarantee,A 4,10-04-2026,LOW,LOW,MEDIUM,76,9.38,Other
C P Re-Rollers Ltd.,BRICKWORK,Fund-Based,BB-,10-04-2026,LOW,LOW,MEDIUM,76,5.6,Other
C S H Power Himoinsa Pvt. Ltd.,CARE,NCD/Bond,A 4,10-04-2026,LOW,LOW,MEDIUM,76,5.0,Energy
Cabbana Infrastructures Pvt. Ltd.,IND-RA,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,363.72,Construction
Cadillac Granito Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,21-04-2026,LOW,LOW,MEDIUM,65,1.75,Other
Cadillac Granito Pvt. Ltd.,CRISIL,Term Loan,B,21-04-2026,LOW,LOW,MEDIUM,65,15.0,Other
Capital Electech Pvt. Ltd.,BRICKWORK,Bank Guarantee,B+,03-04-2026,LOW,MEDIUM,MEDIUM,83,123.5,IT/Technology
Capital Electricals Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,24-04-2026,LOW,LOW,MEDIUM,62,7.0,Energy
Capital Electricals Pvt. Ltd.,CRISIL,Letter of Credit,A 4,24-04-2026,LOW,LOW,MEDIUM,62,3.0,Energy
Capital Electricals Pvt. Ltd.,CRISIL,Term Loan,A 4,24-04-2026,LOW,LOW,MEDIUM,62,10.0,Energy
Capital Record Centre Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-04-2026,LOW,LOW,MEDIUM,77,2.61,Other
Capital Record Centre Pvt. Ltd.,CRISIL,Term Loan,B,09-04-2026,LOW,LOW,MEDIUM,77,3.09,Other
Carboline (India) Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-04-2026,LOW,LOW,MEDIUM,79,4.5,Other
Carboline (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-04-2026,LOW,LOW,MEDIUM,79,1.5,Other
Cee Dee Vacuum Equipment Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,13-04-2026,LOW,LOW,MEDIUM,73,15.0,Manufacturing
Cee Dee Vacuum Equipment Pvt. Ltd.,ACUITE,Letter of Credit,A 4,13-04-2026,LOW,LOW,MEDIUM,73,5.0,Manufacturing
Cee Dee Vacuum Equipment Pvt. Ltd.,ACUITE,Term Loan,B,13-04-2026,LOW,LOW,MEDIUM,73,5.5,Manufacturing
Centurion Remedies Pvt. Ltd.,CRISIL,Bank Guarantee,D,23-04-2026,LOW,LOW,MEDIUM,63,1.93,Other
Centurion Remedies Pvt. Ltd.,CRISIL,Fund-Based,D,23-04-2026,LOW,LOW,MEDIUM,63,20.14,Other
Centurion Remedies Pvt. Ltd.,CRISIL,Letter of Credit,D,23-04-2026,LOW,LOW,MEDIUM,63,2.0,Other
Centurion Remedies Pvt. Ltd.,CRISIL,Term Loan,D,23-04-2026,LOW,LOW,MEDIUM,63,2.34,Other
Century Aluminium Mfg. Co. Ltd.,BRICKWORK,Bank Guarantee,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,15.0,Steel & Metals
Century Aluminium Mfg. Co. Ltd.,BRICKWORK,Letter of Credit,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,57.5,Steel & Metals
Chakrapani Vyapar Pvt. Ltd.,CARE,Term Loan,BB-,23-04-2026,LOW,LOW,MEDIUM,63,18.0,Other
Chandra Fabrics Pvt. Ltd.,CARE,Term Loan,B,10-04-2026,LOW,LOW,MEDIUM,76,0.11,Textiles
Chandrakona Cold Storage Pvt. Ltd.,IND-RA,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,7.25,Other
Chavan Motors Division India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,27-04-2026,LOW,LOW,MEDIUM,59,2.0,Automobiles
Chavan Motors Division India Pvt. Ltd.,CRISIL,Term Loan,B,27-04-2026,LOW,LOW,MEDIUM,59,2.0,Automobiles
Chelsea Textiles Pvt. Ltd.,CRISIL,Term Loan,B-,20-04-2026,LOW,LOW,MEDIUM,66,8.55,Construction
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,07-04-2026,LOW,LOW,MEDIUM,79,4.0,Other
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Term Loan,A 4+,07-04-2026,LOW,LOW,MEDIUM,79,9.72,Other
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Term Loan,BB-,07-04-2026,LOW,LOW,MEDIUM,79,2.46,Other
Chetan Overseas Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,13.5,Other
Chhabeela Energy Foods Pvt. Ltd.,CRISIL,Fund-Based,B,23-04-2026,LOW,LOW,MEDIUM,63,25.0,Agro/Food
Chhabeela Energy Foods Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,36.0,Agro/Food
Chhabeela Energy Foods Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,4.0,Agro/Food
Chhapra-Hajipur Expressways Ltd.,ICRA,Term Loan,D,30-04-2026,LOW,LOW,MEDIUM,56,857.0,Other
Chidambaram Shipcare Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,29-04-2026,LOW,LOW,MEDIUM,57,2.85,Other
Chopra Lam Products Pvt. Ltd.,ACUITE,Letter of Credit,A 4,13-04-2026,LOW,LOW,MEDIUM,73,5.0,Other
Chopra Lam Products Pvt. Ltd.,ACUITE,Term Loan,B-,13-04-2026,LOW,LOW,MEDIUM,73,0.62,Other
City Motors Pvt. Ltd.,CRISIL,Fund-Based,B,21-04-2026,LOW,LOW,MEDIUM,65,19.75,Automobiles
City Motors Pvt. Ltd.,CRISIL,Term Loan,B,21-04-2026,LOW,LOW,MEDIUM,65,0.56,Automobiles
City Motors Pvt. Ltd.,CRISIL,Term Loan,B,21-04-2026,LOW,LOW,MEDIUM,65,1.69,Automobiles
Claris Ltd.,ACUITE,Term Loan,D,08-04-2026,LOW,LOW,MEDIUM,78,26.29,Other
Claris Ltd.,ACUITE,Bank Guarantee,A 4,08-04-2026,LOW,LOW,MEDIUM,78,1.0,Other
Claris Ltd.,ACUITE,Term Loan,C,08-04-2026,LOW,LOW,MEDIUM,78,3.15,Other
Claris Ltd.,ACUITE,Term Loan,C,08-04-2026,LOW,LOW,MEDIUM,78,5.56,Other
Claystone Granito Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,23-04-2026,LOW,LOW,MEDIUM,63,4.9,Construction
Claystone Granito Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,21.1,Construction
Clean Coal Enterprises Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,23-04-2026,LOW,LOW,MEDIUM,63,5.0,Energy
Clean Coal Enterprises Pvt. Ltd.,ACUITE,Fund-Based,BB,23-04-2026,LOW,LOW,MEDIUM,63,2.12,Energy
Clean Coal Enterprises Pvt. Ltd.,ACUITE,Term Loan,BB,23-04-2026,LOW,LOW,MEDIUM,63,2.88,Energy
Cleantec Infra Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,6.0,Construction
Clrk Industries Pvt. Ltd.,CARE,Non-Fund-Based,A 4,22-04-2026,LOW,LOW,MEDIUM,64,3.5,Other
Clrk Industries Pvt. Ltd.,CARE,Fund-Based,BB-,22-04-2026,LOW,LOW,MEDIUM,64,44.0,Other
Clrk Industries Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,22-04-2026,LOW,LOW,MEDIUM,64,0.5,Other
Coirfoam (India) Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,8.0,Other
Corodex Infrastructure Pvt. Ltd.,CARE,NCD/Bond,D,24-04-2026,LOW,LOW,MEDIUM,62,14.0,Construction
Cranex Ltd.,CRISIL,Bank Guarantee,A 4,23-04-2026,LOW,LOW,MEDIUM,63,15.0,Other
Cranex Ltd.,CRISIL,Letter of Credit,A 4,23-04-2026,LOW,LOW,MEDIUM,63,2.5,Other
Crescent Tanners Pvt. Ltd.,CARE,Bank Guarantee,B-,10-04-2026,LOW,LOW,MEDIUM,76,0.5,Other
Crestia Polytech Pvt. Ltd. [Merged],CRISIL,Term Loan,B,15-04-2026,LOW,LOW,MEDIUM,71,15.81,IT/Technology
Criyagen Agri & Biotech Pvt. Ltd.,CRISIL,Term Loan,B,21-04-2026,LOW,LOW,MEDIUM,65,13.0,Healthcare
Cyber Automobiles Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,03-04-2026,LOW,MEDIUM,MEDIUM,83,0.5,Automobiles
Cyber Automobiles Pvt. Ltd.,BRICKWORK,Term Loan,D,03-04-2026,LOW,MEDIUM,MEDIUM,83,0.34,Automobiles
Cybercity Builders & Developers Pvt. Ltd.,IND-RA,Term Loan,B,02-04-2026,LOW,MEDIUM,MEDIUM,84,175.0,Construction
D B S Automobiles Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,2.0,Automobiles
D C S Techno Services Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,12.0,IT/Technology
D H I Mobility Pvt. Ltd.,IND-RA,Term Loan,B-,02-04-2026,LOW,MEDIUM,MEDIUM,84,15.0,Other
D J S Printers Pvt. Ltd.,CARE,Term Loan,B+,21-04-2026,LOW,LOW,MEDIUM,65,8.5,Paper/Packaging
D M L Exim Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,130.0,Other
D M L World Trade Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,20.0,Trading/Exports
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,CARE,Term Loan,BB+,15-04-2026,LOW,LOW,MEDIUM,71,32.52,Other
D T L Ancillaries Ltd.,CRISIL,Bank Guarantee,A 4,28-04-2026,LOW,LOW,MEDIUM,58,26.3,Automobiles
D T L Ancillaries Ltd.,CRISIL,Letter of Credit,A 4,28-04-2026,LOW,LOW,MEDIUM,58,29.0,Automobiles
D T L India Holdings Ltd.,CRISIL,Bank Guarantee,A 4,23-04-2026,LOW,LOW,MEDIUM,63,5.0,Other
Darshan Overseas Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-04-2026,LOW,MEDIUM,MEDIUM,84,50.0,Other
Datacipher Ltd.,ICRA,Non-Fund-Based,D,15-04-2026,LOW,LOW,MEDIUM,71,35.75,IT/Technology
Datacipher Ltd.,ICRA,Term Loan,D,15-04-2026,LOW,LOW,MEDIUM,71,2.3,IT/Technology
Deepak International Ltd.,CRISIL,Bank Guarantee,A 4,30-04-2026,LOW,LOW,MEDIUM,56,4.0,Other
Deepak International Ltd.,CRISIL,Letter of Credit,A 4,30-04-2026,LOW,LOW,MEDIUM,56,1.0,Other
Deepak International Ltd.,CRISIL,Term Loan,B,30-04-2026,LOW,LOW,MEDIUM,56,1.65,Other
Deepak International Ltd.,CRISIL,Term Loan,B,30-04-2026,LOW,LOW,MEDIUM,56,3.35,Other
Design & Manufacturing Vista Electronics Pvt. Ltd.,CARE,NCD/Bond,BBB/A3,06-04-2026,LOW,LOW,MEDIUM,80,20.0,Manufacturing
Devi Iron & Power Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,21-04-2026,LOW,LOW,MEDIUM,65,17.5,Steel & Metals
Devi Iron & Power Pvt. Ltd.,ICRA,Term Loan,B+,21-04-2026,LOW,LOW,MEDIUM,65,15.0,Steel & Metals
Devika Fibres Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,10-04-2026,LOW,LOW,MEDIUM,76,2.0,Textiles
Devika Fibres Pvt. Ltd.,ACUITE,Term Loan,BB,10-04-2026,LOW,LOW,MEDIUM,76,4.47,Textiles
Devika Fibres Pvt. Ltd.,ACUITE,Term Loan,BB,10-04-2026,LOW,LOW,MEDIUM,76,42.22,Textiles
Dhanbad Rock Wool Insulation Ltd.,CRISIL,Bank Guarantee,A 4,20-04-2026,LOW,LOW,MEDIUM,66,1.5,Other
Dhanbad Rock Wool Insulation Ltd.,CRISIL,Term Loan,B,20-04-2026,LOW,LOW,MEDIUM,66,1.25,Other
Dhanlaxmi Electricals Pvt. Ltd.,IND-RA,NCD/Bond,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,23.0,Energy
Dharneesh Gold Pvt. Ltd.,ACUITE,Bank Guarantee,D,23-04-2026,LOW,LOW,MEDIUM,63,10.0,Jewellery/Gems
Dharneesh Gold Pvt. Ltd.,ACUITE,Term Loan,D,23-04-2026,LOW,LOW,MEDIUM,63,3.95,Jewellery/Gems
Dharneesh Gold Pvt. Ltd.,ACUITE,Term Loan,D,23-04-2026,LOW,LOW,MEDIUM,63,5.05,Jewellery/Gems
Dhruv Cotfab Pvt. Ltd.,ACUITE,Term Loan,D,02-04-2026,LOW,MEDIUM,MEDIUM,84,1.5,Other
Diamond Beverages Pvt. Ltd.,CARE,Bank Guarantee,A 4,15-04-2026,LOW,LOW,MEDIUM,71,2.0,Jewellery/Gems
Diamond Beverages Pvt. Ltd.,CARE,Term Loan,B+,15-04-2026,LOW,LOW,MEDIUM,71,92.15,Jewellery/Gems
Dighvijay Plastics & Allied Products Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-04-2026,LOW,LOW,MEDIUM,56,1.0,Chemicals/Pharma
Dighvijay Plastics & Allied Products Pvt. Ltd.,CRISIL,Fund-Based,B,30-04-2026,LOW,LOW,MEDIUM,56,6.0,Chemicals/Pharma
Dilip Impex Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-04-2026,LOW,LOW,MEDIUM,66,5.0,Other
Dimple Creations Pvt. Ltd.,CRISIL,Term Loan,B,23-04-2026,LOW,LOW,MEDIUM,63,6.0,Other
