Company Name,Agency,Instrument Type,Rating,Rating Date,Days Since (Jun 25),Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Amount Cr,Sector,Why Target
B S T Textile Mills Pvt. Ltd.,CARE,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,18.44,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
B V S Distilleries Pvt. Ltd.,IND-RA,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,29.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,15-Apr-2026,71,LOW,LOW,MEDIUM,0.21,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,Term Loan,B-,15-Apr-2026,71,LOW,LOW,MEDIUM,4.42,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Baba Structural Pvt. Ltd.,CARE,Bank Guarantee,A 4,13-Apr-2026,73,LOW,LOW,MEDIUM,2.7,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Baba Structural Pvt. Ltd.,CARE,Term Loan,B+,13-Apr-2026,73,LOW,LOW,MEDIUM,6.96,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagga Link Motors Ltd.,ICRA,Fund-Based,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,29.1,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagga Link Motors Ltd.,ICRA,Letter of Credit,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,2.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagga Link Motors Ltd.,ICRA,Term Loan,B+,24-Apr-2026,62,LOW,LOW,MEDIUM,4.26,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagh Bahar Appliances Pvt. Ltd.,ACUITE,Term Loan,D,07-Apr-2026,79,LOW,LOW,MEDIUM,5.0,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagpoly International Pvt. Ltd.,CARE,Bank Guarantee,B-,13-Apr-2026,73,LOW,LOW,MEDIUM,8.4,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagpoly International Pvt. Ltd.,CARE,NCD/Bond,B-/A4,13-Apr-2026,73,LOW,LOW,MEDIUM,0.15,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bagpoly International Pvt. Ltd.,CARE,NCD/Bond,B-/A4,13-Apr-2026,73,LOW,LOW,MEDIUM,7.8,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bahl Builders Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,30-Apr-2026,56,LOW,LOW,MEDIUM,5.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bahl Builders Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,30-Apr-2026,56,LOW,LOW,MEDIUM,30.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Agro Pvt. Ltd.,ACUITE,Letter of Credit,A 4,17-Apr-2026,69,LOW,LOW,MEDIUM,2.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Agro Pvt. Ltd.,ACUITE,Term Loan,B+,17-Apr-2026,69,LOW,LOW,MEDIUM,0.2,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Agro Pvt. Ltd.,ACUITE,Term Loan,A 4,17-Apr-2026,69,LOW,LOW,MEDIUM,0.5,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Agro Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,2.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Agro Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,1.5,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Apr-2026,56,LOW,LOW,MEDIUM,85.5,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Term Loan,B,30-Apr-2026,56,LOW,LOW,MEDIUM,3.4,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balaji Fiber Reinforce Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,30.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balarka Fabricon Pvt. Ltd.,CARE,Bank Guarantee,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,1.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Balarka Fabricon Pvt. Ltd.,CARE,Term Loan,B-,28-Apr-2026,58,LOW,LOW,MEDIUM,1.01,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bangalore Metallurgicals Pvt. Ltd.,ICRA,Term Loan,B+,29-Apr-2026,57,LOW,LOW,MEDIUM,1.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bansal Associates Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,6.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bardhaman Edible Pvt. Ltd.,CARE,Bank Guarantee,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,0.17,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bardhaman Edible Pvt. Ltd.,CARE,Term Loan,B-,14-Apr-2026,72,LOW,LOW,MEDIUM,1.03,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Baril Marketing Pvt. Ltd.,BRICKWORK,Fund-Based,C,06-Apr-2026,80,LOW,LOW,MEDIUM,19.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Belgachi Tea Co. Ltd.,CARE,Bank Guarantee,A 4,15-Apr-2026,71,LOW,LOW,MEDIUM,0.58,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Belgachi Tea Co. Ltd.,CARE,Term Loan,B-,15-Apr-2026,71,LOW,LOW,MEDIUM,7.4,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bell Finvest (India) Ltd.,CARE,Term Loan,D,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,150.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bell-O-Seal Valves Pvt. Ltd.,CARE,Bank Guarantee,A 4+,06-Apr-2026,80,LOW,LOW,MEDIUM,13.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bell-O-Seal Valves Pvt. Ltd.,CARE,Term Loan,BB+,06-Apr-2026,80,LOW,LOW,MEDIUM,3.22,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagwati Industrial Group Ltd.,CRISIL,Fund-Based,B,17-Apr-2026,69,LOW,LOW,MEDIUM,6.26,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagwati Industrial Group Ltd.,CRISIL,Letter of Credit,A 4,17-Apr-2026,69,LOW,LOW,MEDIUM,44.0,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagwati Industrial Group Ltd.,CRISIL,Term Loan,B,17-Apr-2026,69,LOW,LOW,MEDIUM,38.64,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagwati Vintrade Pvt. Ltd.,CARE,Term Loan,B-,20-Apr-2026,66,LOW,LOW,MEDIUM,8.27,Trading/Exports,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagya Laxmi Gems & Jewellers Pvt. Ltd.,ACUITE,Bank Guarantee,D,23-Apr-2026,63,LOW,LOW,MEDIUM,15.0,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagyodaya Trokhos Pvt. Ltd.,CRISIL,Fund-Based,D,21-Apr-2026,65,LOW,LOW,MEDIUM,13.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhagyodaya Trokhos Pvt. Ltd.,CRISIL,Term Loan,D,21-Apr-2026,65,LOW,LOW,MEDIUM,2.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bharat Engineering Construction Co. Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,0.25,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bharat Engineering Construction Co. Pvt. Ltd.,ACUITE,Term Loan,B-,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,5.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhardwaj Construction Co. Pvt. Ltd.,IND-RA,Non-Fund-Based,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,9.84,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhargavi Automobiles Pvt. Ltd.,CARE,Term Loan,BB,07-Apr-2026,79,LOW,LOW,MEDIUM,5.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhartia Yarns Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,10.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhopal Tractors Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,10.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bhoruka Power Corpn. Ltd.,IND-RA,Term Loan,BB-,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,1012.82,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bihani Binayake Cotex Pvt. Ltd.,CARE,Term Loan,B-,23-Apr-2026,63,LOW,LOW,MEDIUM,0.69,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Biomedix Optotechnik & Devices Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,8.91,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Biop Steels & Power Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Apr-2026,79,LOW,LOW,MEDIUM,1.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Biop Steels & Power Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-Apr-2026,79,LOW,LOW,MEDIUM,3.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Birli Spinning Mill Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,7.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Birli Spinning Mill Pvt. Ltd.,ACUITE,Letter of Credit,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,3.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Birli Spinning Mill Pvt. Ltd.,ACUITE,Term Loan,B-,21-Apr-2026,65,LOW,LOW,MEDIUM,42.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Blue Duck Textiles Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,7.83,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bluemax Imppex (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,D,03-Apr-2026,83,LOW,MEDIUM,MEDIUM,3.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Borkar Packaging Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,30.8,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Borkar Packaging Pvt. Ltd.,CRISIL,Term Loan,B,21-Apr-2026,65,LOW,LOW,MEDIUM,25.2,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Boxcoworld Pvt. Ltd.,CRISIL,Bank Guarantee,D,15-Apr-2026,71,LOW,LOW,MEDIUM,1.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Boxcoworld Pvt. Ltd.,CRISIL,Non-Fund-Based,D,15-Apr-2026,71,LOW,LOW,MEDIUM,2.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bravo Agencies Pvt. Ltd.,CARE,Letter of Credit,D,06-Apr-2026,80,LOW,LOW,MEDIUM,7.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Brindha Cotton Mills Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,10.57,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Brs Enterprises & Trading Ltd.,ACUITE,Letter of Credit,D,17-Apr-2026,69,LOW,LOW,MEDIUM,30.0,Trading/Exports,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Buildmate Projects Pvt. Ltd.,CARE,Bank Guarantee,A 4,15-Apr-2026,71,LOW,LOW,MEDIUM,3.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Buildmate Projects Pvt. Ltd.,CARE,Letter of Credit,A 4,15-Apr-2026,71,LOW,LOW,MEDIUM,6.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Buildmate Projects Pvt. Ltd.,CARE,Term Loan,C,15-Apr-2026,71,LOW,LOW,MEDIUM,0.74,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Bulland Buildtech Pvt. Ltd.,CARE,Fund-Based,D,28-Apr-2026,58,LOW,LOW,MEDIUM,45.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C B C Fashions (Asia) Pvt. Ltd.,BRICKWORK,Term Loan,D,07-Apr-2026,79,LOW,LOW,MEDIUM,8.81,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C Gems & Jewels Pvt. Ltd.,BRICKWORK,Term Loan,D,09-Apr-2026,77,LOW,LOW,MEDIUM,7.5,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C M Auto Sales Pvt. Ltd.,CARE,Fund-Based,B+,23-Apr-2026,63,LOW,LOW,MEDIUM,16.1,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C M Auto Sales Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-Apr-2026,63,LOW,LOW,MEDIUM,4.5,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C P Re-Rollers Ltd.,BRICKWORK,Bank Guarantee,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,9.38,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C P Re-Rollers Ltd.,BRICKWORK,Fund-Based,BB-,10-Apr-2026,76,LOW,LOW,MEDIUM,5.6,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
C S H Power Himoinsa Pvt. Ltd.,CARE,NCD/Bond,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,5.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Cabbana Infrastructures Pvt. Ltd.,IND-RA,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,363.72,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Cadillac Granito Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,21-Apr-2026,65,LOW,LOW,MEDIUM,1.75,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Cadillac Granito Pvt. Ltd.,CRISIL,Term Loan,B,21-Apr-2026,65,LOW,LOW,MEDIUM,15.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Capital Electech Pvt. Ltd.,BRICKWORK,Bank Guarantee,B+,03-Apr-2026,83,LOW,MEDIUM,MEDIUM,123.5,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Capital Electricals Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,7.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Capital Electricals Pvt. Ltd.,CRISIL,Letter of Credit,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,3.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Capital Electricals Pvt. Ltd.,CRISIL,Term Loan,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,10.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Capital Record Centre Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,2.61,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Capital Record Centre Pvt. Ltd.,CRISIL,Term Loan,B,09-Apr-2026,77,LOW,LOW,MEDIUM,3.09,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Carboline (India) Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Apr-2026,79,LOW,LOW,MEDIUM,4.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Carboline (India) Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,07-Apr-2026,79,LOW,LOW,MEDIUM,1.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Cee Dee Vacuum Equipment Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,13-Apr-2026,73,LOW,LOW,MEDIUM,15.0,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Cee Dee Vacuum Equipment Pvt. Ltd.,ACUITE,Letter of Credit,A 4,13-Apr-2026,73,LOW,LOW,MEDIUM,5.0,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Cee Dee Vacuum Equipment Pvt. Ltd.,ACUITE,Term Loan,B,13-Apr-2026,73,LOW,LOW,MEDIUM,5.5,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Centurion Remedies Pvt. Ltd.,CRISIL,Bank Guarantee,D,23-Apr-2026,63,LOW,LOW,MEDIUM,1.93,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Centurion Remedies Pvt. Ltd.,CRISIL,Fund-Based,D,23-Apr-2026,63,LOW,LOW,MEDIUM,20.14,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Centurion Remedies Pvt. Ltd.,CRISIL,Letter of Credit,D,23-Apr-2026,63,LOW,LOW,MEDIUM,2.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Centurion Remedies Pvt. Ltd.,CRISIL,Term Loan,D,23-Apr-2026,63,LOW,LOW,MEDIUM,2.34,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Century Aluminium Mfg. Co. Ltd.,BRICKWORK,Bank Guarantee,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,15.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Century Aluminium Mfg. Co. Ltd.,BRICKWORK,Letter of Credit,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,57.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chakrapani Vyapar Pvt. Ltd.,CARE,Term Loan,BB-,23-Apr-2026,63,LOW,LOW,MEDIUM,18.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chandra Fabrics Pvt. Ltd.,CARE,Term Loan,B,10-Apr-2026,76,LOW,LOW,MEDIUM,0.11,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chandrakona Cold Storage Pvt. Ltd.,IND-RA,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,7.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chavan Motors Division India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,27-Apr-2026,59,LOW,LOW,MEDIUM,2.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chavan Motors Division India Pvt. Ltd.,CRISIL,Term Loan,B,27-Apr-2026,59,LOW,LOW,MEDIUM,2.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chelsea Textiles Pvt. Ltd.,CRISIL,Term Loan,B-,20-Apr-2026,66,LOW,LOW,MEDIUM,8.55,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,07-Apr-2026,79,LOW,LOW,MEDIUM,4.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Term Loan,A 4+,07-Apr-2026,79,LOW,LOW,MEDIUM,9.72,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Term Loan,BB-,07-Apr-2026,79,LOW,LOW,MEDIUM,2.46,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chetan Overseas Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,13.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chhabeela Energy Foods Pvt. Ltd.,CRISIL,Fund-Based,B,23-Apr-2026,63,LOW,LOW,MEDIUM,25.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Chhabeela Energy Foods Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,63,LOW,LOW,MEDIUM,36.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
