Company Name,Agencies,Agency_Count,Total_Records,Instruments,Max_Urgency,Total_Amt_Cr,Sector,Max_Urgency_Label
Gowra Ventures Pvt. Ltd.,CARE + CRISIL,2,3,Fund-Based | Term Loan,3,155.0,Other,ULTRA HOT
Guru Laxmi Cottex Pvt. Ltd.,CARE + CRISIL,2,4,Term Loan | Bank Guarantee,3,35.41,Other,ULTRA HOT
Hasimara Industries Ltd.,CRISIL + ICRA,2,4,Term Loan | Non-Fund-Based | Bank Guarantee,3,10.57,Manufacturing,ULTRA HOT
Hemodiaz Life Sciences Pvt. Ltd.,BRICKWORK + CARE,2,2,Letter of Credit,3,7.4,Healthcare,ULTRA HOT
Himalaya Communications Pvt. Ltd.,CRISIL + ICRA,2,3,Letter of Credit | Non-Fund-Based | Term Loan,3,44.92,IT/Technology,ULTRA HOT
Himalayan Flour Mill Pvt. Ltd.,CARE + CRISIL,2,3,Bank Guarantee,3,11.0,Agro/Food,ULTRA HOT
Hindusthan Calcined Metals Pvt. Ltd.,BRICKWORK + ICRA,2,3,Letter of Credit | Non-Fund-Based | Fund-Based,3,6.25,Steel & Metals,ULTRA HOT
I C E D Desserts & Food Parlours (India) Pvt. Ltd.,CARE + CRISIL,2,2,Term Loan,3,30.0,Agro/Food,ULTRA HOT
Iron Triangle Ltd.,CRISIL + ICRA,2,4,Bank Guarantee | Fund-Based | Non-Fund-Based | Term Loan,3,1227.79,Steel & Metals,ULTRA HOT
J P L Industries Ltd.,CARE + CRISIL,2,5,Term Loan | Bank Guarantee | Fund-Based | Non-Fund-Based,3,24.61,Manufacturing,ULTRA HOT
Jagat Agrotech Pvt. Ltd.,CARE + CRISIL,2,2,Term Loan,3,8.59,Agro/Food,ULTRA HOT
Jai Gears Pvt. Ltd.,CARE + CRISIL,2,3,NCD/Bond | Letter of Credit | Fund-Based,3,9.0,Other,ULTRA HOT
Jayesh Industries Ltd.,BRICKWORK + CRISIL,2,6,Term Loan | Bank Guarantee | NCD/Bond,3,17.64,Manufacturing,ULTRA HOT
Khandelwal Group Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Fund-Based,3,25.0,Other,ULTRA HOT
Khandelwal Laboratories Pvt. Ltd.,CARE + CRISIL,2,2,Bank Guarantee,3,9.0,Healthcare,ULTRA HOT
Kiri Oilfield Services Pvt. Ltd.,CARE + CRISIL,2,7,Bank Guarantee | Term Loan | Fund-Based,3,237.14999999999998,Energy,ULTRA HOT
Lanson Motors Pvt. Ltd.,CRISIL + IND-RA,2,4,Fund-Based | Term Loan | NCD/Bond,3,246.43,Automobiles,ULTRA HOT
M J Grain Products Pvt. Ltd.,BRICKWORK + CRISIL,2,4,Term Loan | Bank Guarantee,3,4.3,Agro/Food,ULTRA HOT
M M Yarns Pvt. Ltd.,BRICKWORK + CRISIL,2,5,Fund-Based | Term Loan | Non-Fund-Based | Bank Guarantee,3,183.78,Textiles,ULTRA HOT
M S Agarwal Foundries Pvt. Ltd.,BRICKWORK + CRISIL,2,3,Non-Fund-Based | Fund-Based | Term Loan,3,178.38,Other,ULTRA HOT
Malwa Automotives Pvt. Ltd.,CRISIL + IND-RA,2,2,Term Loan | NCD/Bond,3,14.97,Automobiles,ULTRA HOT
Mapsko Builders Pvt. Ltd.,BRICKWORK + CARE,2,4,Term Loan | Bank Guarantee,3,372.59,Construction,ULTRA HOT
Merlon Infra Projects Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Bank Guarantee,3,10.0,Construction,ULTRA HOT
Milando Fashions Ltd.,BRICKWORK + IND-RA,2,2,NCD/Bond,3,22.880000000000003,Textiles,ULTRA HOT
Mohit Ispat Pvt. Ltd.,CARE + ICRA,2,6,Non-Fund-Based | Letter of Credit | Term Loan | Bank Guarantee | NCD/Bond,3,100.03999999999999,Other,ULTRA HOT
Navjyot International Trading Pvt. Ltd.,ACUITE + BRICKWORK,2,5,Bank Guarantee | Letter of Credit | Non-Fund-Based | Term Loan,3,3.0,Trading/Exports,ULTRA HOT
Neeraj Paper Mktg. Ltd.,CARE + IND-RA,2,2,Bank Guarantee | NCD/Bond,3,75.0,Paper/Packaging,ULTRA HOT
Nitya Electrocontrols Pvt. Ltd.,BRICKWORK + CRISIL,2,3,Bank Guarantee | Term Loan,3,12.5,Other,ULTRA HOT
Padma Laxmi Sree Rice Mill Pvt. Ltd.,CARE + CRISIL,2,4,Term Loan | Bank Guarantee,3,12.95,Agro/Food,ULTRA HOT
Pagro Frozen Foods Pvt. Ltd.,CARE + ICRA,2,3,Term Loan | Bank Guarantee,3,40.699999999999996,Agro/Food,ULTRA HOT
Pan Synthetics Pvt. Ltd.,CRISIL + ICRA,2,5,Non-Fund-Based | NCD/Bond | Term Loan | Letter of Credit,3,104.42,Other,ULTRA HOT
Plasto Eltronics Pvt. Ltd.,CARE + CRISIL,2,4,Letter of Credit | Bank Guarantee,3,3.0,Other,ULTRA HOT
Prime Civil Infrastructures Pvt. Ltd.,ACUITE + CRISIL,2,3,Bank Guarantee,3,50.0,Construction,ULTRA HOT
Rajasthan Liquors Ltd.,CRISIL + ICRA,2,7,Term Loan | NCD/Bond | Bank Guarantee,3,245.0,Other,ULTRA HOT
Rangoli Industries Pvt. Ltd.,BRICKWORK + CARE,2,2,NCD/Bond | Bank Guarantee,3,0.86,Manufacturing,ULTRA HOT
Rayon Textile India Pvt. Ltd.,ACUITE + CRISIL,2,4,Term Loan | Letter of Credit,3,7.1,Textiles,ULTRA HOT
Reliance Commercial Finance Ltd.,BRICKWORK + CARE,2,2,NCD/Bond,3,88.0,BFSI,ULTRA HOT
Reliance Home Finance Ltd.,BRICKWORK + CARE,2,2,NCD/Bond,3,300.0,BFSI,ULTRA HOT
Ribbel International Ltd.,CRISIL + IND-RA,2,2,Term Loan | NCD/Bond,3,12.85,Other,ULTRA HOT
S P Sortex Rice Exports India Pvt. Ltd.,CRISIL + ICRA,2,3,Term Loan,3,8.3,Agro/Food,ULTRA HOT
S S Sea Food Pvt. Ltd.,ACUITE + CRISIL,2,3,Term Loan,3,11.469999999999999,Agro/Food,ULTRA HOT
S V R Laboratories Pvt. Ltd.,CRISIL + ICRA,2,4,Letter of Credit | Bank Guarantee | NCD/Bond | Non-Fund-Based,3,8.049999999999999,Healthcare,ULTRA HOT
Satya Parkash & Bros Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Bank Guarantee,3,67.0,Other,ULTRA HOT
Shanker Wood Pvt. Ltd.,BRICKWORK + CARE,2,3,Letter of Credit | Non-Fund-Based,3,29.0,Other,ULTRA HOT
Shashank Auto Pvt. Ltd.,BRICKWORK + CRISIL,2,3,Term Loan | Bank Guarantee,3,4.9,Automobiles,ULTRA HOT
Shree Bhavya Fabrics Ltd.,BRICKWORK + CRISIL,2,3,Letter of Credit,3,19.5,Textiles,ULTRA HOT
Shree Rameshwar Lal Foods Pvt. Ltd.,CARE + CRISIL,2,3,Fund-Based | Term Loan,3,12.5,Agro/Food,ULTRA HOT
Shri Vaari Electricals Pvt. Ltd.,CARE + CRISIL,2,3,NCD/Bond | Letter of Credit | Bank Guarantee,3,35.0,Energy,ULTRA HOT
Special Ceramics Pvt. Ltd.,ACUITE + CRISIL,2,4,Term Loan,3,12.2,Other,ULTRA HOT
Sri Narayani Plastics Pvt. Ltd.,CRISIL + ICRA,2,3,NCD/Bond | Term Loan | Letter of Credit,3,32.61,Chemicals/Pharma,ULTRA HOT
Supreme Paper Mills Ltd.,BRICKWORK + CARE,2,4,Letter of Credit | Bank Guarantee,3,11.5,Paper/Packaging,ULTRA HOT
Swajit Engineering Pvt. Ltd.,BRICKWORK + CRISIL,2,4,Bank Guarantee | Term Loan,3,9.11,Manufacturing,ULTRA HOT
T C P Ltd.,CRISIL + IND-RA,2,4,Letter of Credit | Term Loan | Non-Fund-Based | Bank Guarantee,3,141.02,Other,ULTRA HOT
T S Realtech Pvt. Ltd.,CRISIL + IND-RA,2,4,Term Loan | Bank Guarantee,3,32.0,Construction,ULTRA HOT
Tehri Iron & Steel Casting Pvt. Ltd.,BRICKWORK + CRISIL,2,5,Bank Guarantee | Term Loan | Letter of Credit,3,11.02,Steel & Metals,ULTRA HOT
Titan-Antony Aviation India Pvt. Ltd.,CARE + CRISIL,2,3,Bank Guarantee | Term Loan | Letter of Credit,3,17.0,Logistics,ULTRA HOT
Utkal Healthcare Pvt. Ltd.,CRISIL + IND-RA,2,3,Term Loan,3,175.0,Healthcare,ULTRA HOT
Uttarakhand Engineering Products Pvt. Ltd.,BRICKWORK + CARE,2,2,Letter of Credit | NCD/Bond,3,37.5,Manufacturing,ULTRA HOT
V R G Industries Pvt. Ltd.,ACUITE + IND-RA,2,2,NCD/Bond | Term Loan,3,16.0,Manufacturing,ULTRA HOT
Vamshi Rubber Ltd.,BRICKWORK + CRISIL,2,4,Bank Guarantee | Term Loan,3,11.06,Chemicals/Pharma,ULTRA HOT
Vindhyawashini Marine Services Pvt. Ltd.,ACUITE + CRISIL,2,3,Term Loan | Bank Guarantee,3,23.599999999999998,Other,ULTRA HOT
Vishal Nirmiti Ltd.,BRICKWORK + CRISIL,2,7,Letter of Credit | Term Loan | Bank Guarantee,3,140.79,Other,ULTRA HOT
Waterline Hotels Pvt. Ltd.,ACUITE + ICRA,2,3,Term Loan | Bank Guarantee,3,53.31,Hotels/Tourism,ULTRA HOT
Zeco Aircon Ltd.,CRISIL + ICRA,2,6,Term Loan | Letter of Credit | Non-Fund-Based | NCD/Bond,3,95.0,Other,ULTRA HOT
A P R Constructions Ltd.,ICRA + IND-RA,2,2,NCD/Bond | Non-Fund-Based,2,261.0,Construction,HOT
Aaiswarya Dyeing Mills Pvt. Ltd.,CRISIL + ICRA,2,3,Term Loan | Non-Fund-Based,2,56.5,Chemicals/Pharma,HOT
Agarwal Toughened Glass India Ltd.,CARE + CRISIL,2,4,Term Loan | Fund-Based | Letter of Credit,2,9.25,Other,HOT
Akal Information Systems Ltd.,BRICKWORK + ICRA,2,2,Bank Guarantee | Non-Fund-Based,2,6.75,Other,HOT
Amarpali Cylinders Pvt. Ltd.,CARE + CRISIL,2,5,Term Loan | NCD/Bond | Bank Guarantee,2,48.14,Other,HOT
Ananya Engineering Pvt. Ltd.,BRICKWORK + CARE,2,5,Bank Guarantee | NCD/Bond | Fund-Based | Term Loan | Letter of Credit,2,12.13,Manufacturing,HOT
Archon Powerinfra India Pvt. Ltd.,ACUITE + CRISIL,2,2,Bank Guarantee,2,6.5,Construction,HOT
Balarka Fabricon Pvt. Ltd.,BRICKWORK + CARE,2,4,Bank Guarantee | Term Loan,2,7.91,Textiles,HOT
Bhagwati Cotton & Spg. Mills Pvt. Ltd.,BRICKWORK + CRISIL,2,8,Term Loan | Letter of Credit | Bank Guarantee | Non-Fund-Based,2,54.11,Agro/Food,HOT
Budge Budge Co. Ltd.,CARE + CRISIL,2,5,Term Loan | Letter of Credit | Bank Guarantee,2,32.48,Other,HOT
Classic Enterprises Pvt. Ltd.,CARE + ICRA,2,3,Term Loan | NCD/Bond,2,15.11,Other,HOT
Claystone Granito Pvt. Ltd.,CRISIL + ICRA,2,4,Term Loan | Non-Fund-Based | Bank Guarantee,2,63.4,Construction,HOT
Filteration Engineers (India) Pvt. Ltd.,ACUITE + CRISIL,2,2,Bank Guarantee,2,10.75,Manufacturing,HOT
Formulated Polymers Pvt. Ltd.,ACUITE + BRICKWORK,2,4,Letter of Credit | Non-Fund-Based | Term Loan,2,21.549999999999997,Chemicals/Pharma,HOT
G R M Foods Pvt. Ltd.,ACUITE + BRICKWORK,2,2,Term Loan,2,4.88,Agro/Food,HOT
Harbir Automobile Pvt. Ltd.,CARE + CRISIL,2,2,Fund-Based | Term Loan,2,107.08,Automobiles,HOT
Haryana Conductors Pvt. Ltd.,CARE + CRISIL,2,6,Letter of Credit | NCD/Bond | Bank Guarantee | Term Loan,2,34.5,Other,HOT
Himalayan Road Construction Pvt. Ltd.,CARE + CRISIL,2,2,Bank Guarantee,2,18.0,Construction,HOT
Homera Tanning Inds. Pvt. Ltd.,CRISIL + ICRA,2,6,Non-Fund-Based | Letter of Credit | NCD/Bond | Term Loan,2,24.36,Other,HOT
Jagannath Polymers Ltd.,ACUITE + CRISIL,2,3,Term Loan | Bank Guarantee,2,8.4,Chemicals/Pharma,HOT
Jaipur Rugs Co. Ltd.,CARE + ICRA,2,3,NCD/Bond | Term Loan,2,137.43,Other,HOT
K M K Global Ltd.,CRISIL + IND-RA,2,3,NCD/Bond | Bank Guarantee | Term Loan,2,11.8,Other,HOT
K P M Processing Mill Pvt. Ltd.,CARE + IND-RA,2,3,Term Loan | NCD/Bond | Fund-Based,2,58.589999999999996,Other,HOT
K P Solvex Pvt. Ltd.,BRICKWORK + CARE,2,5,Term Loan | Bank Guarantee | Fund-Based,2,21.89,Other,HOT
Kaizen Cold Formed Steel Pvt. Ltd.,CARE + IND-RA,2,4,NCD/Bond | Letter of Credit | Bank Guarantee | Non-Fund-Based,2,19.14,Steel & Metals,HOT
Kurinji Spinning Mills Pvt. Ltd.,CARE + IND-RA,2,2,Term Loan,2,30.95,Textiles,HOT
M B R Flexibles Ltd.,CRISIL + ICRA,2,4,Term Loan | Non-Fund-Based | NCD/Bond,2,12.0,Other,HOT
M G T Motors Pvt. Ltd.,ACUITE + CRISIL,2,7,Fund-Based | Term Loan | Bank Guarantee,2,201.44,Automobiles,HOT
Maa Chinnamasta Food Processor Pvt. Ltd.,BRICKWORK + CRISIL,2,3,Term Loan | Fund-Based,2,3.15,Agro/Food,HOT
Magpie Global Ltd.,ACUITE + CRISIL,2,3,Term Loan | Letter of Credit | Bank Guarantee,2,7.4,Other,HOT
Mak Hospitals Pvt. Ltd.,CARE + CRISIL,2,3,Term Loan,2,24.0,Healthcare,HOT
Mandar Health & Hygiene Pvt. Ltd.,ICRA + IND-RA,2,2,NCD/Bond | Non-Fund-Based,2,30.5,Healthcare,HOT
Mani Export Pvt. Ltd.,ACUITE + IND-RA,2,2,NCD/Bond | Term Loan,2,30.82,Logistics,HOT
Manohar Infrastructure & Constructions Pvt. Ltd.,BRICKWORK + CARE,2,3,Term Loan | Fund-Based,2,180.0,Construction,HOT
Med Freshe Pvt. Ltd.,CARE + CRISIL,2,3,Letter of Credit | Term Loan,2,88.5,Other,HOT
Midas Agrofoods Ltd.,CRISIL + ICRA,2,3,Letter of Credit | Term Loan,2,6.43,Agro/Food,HOT
Milton Industries Ltd.,ACUITE + CARE,2,7,NCD/Bond | Bank Guarantee | Term Loan | Letter of Credit,2,32.53,Manufacturing,HOT
Nectar Lifesciences Ltd.,BRICKWORK + CARE,2,6,Bank Guarantee | Letter of Credit | Term Loan,2,915.31,Other,HOT
Nu Chem Oils Pvt. Ltd.,BRICKWORK + CRISIL,2,3,Term Loan,2,9.29,Chemicals/Pharma,HOT
Pafetech Enterprises Pvt. Ltd.,BRICKWORK + IND-RA,2,2,NCD/Bond | Letter of Credit,2,40.0,IT/Technology,HOT
Pathankot Vehicleades Pvt. Ltd.,ACUITE + CARE,2,5,Bank Guarantee | Fund-Based | Term Loan,2,60.34,Automobiles,HOT
Plus Medicare Hospitals Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Term Loan,2,70.0,Healthcare,HOT
Prakash Parcel Services Ltd. (Karnataka),BRICKWORK + IND-RA,2,3,NCD/Bond | Bank Guarantee | Term Loan,2,41.0,Other,HOT
Purvanchal Flour Mill Pvt. Ltd.,BRICKWORK + CRISIL,2,2,Term Loan,2,10.72,Agro/Food,HOT
Rockdrill Projects Pvt. Ltd.,BRICKWORK + CARE,2,2,Bank Guarantee,2,42.0,Construction,HOT
S R M Motors Pvt. Ltd.,CARE + CRISIL,2,3,Fund-Based | Term Loan,2,16.38,Automobiles,HOT
Sagar Metallics Pvt. Ltd.,CARE + IND-RA,2,3,NCD/Bond | Term Loan,2,26.37,Steel & Metals,HOT
Saswad Mali Sugar Factory Ltd.,CRISIL + IND-RA,2,2,Term Loan,2,124.09,Agro/Food,HOT
Sir Shadi Lal Enterprises Ltd.,BRICKWORK + CRISIL,2,4,Term Loan | Bank Guarantee,2,135.49,Other,HOT
Skipperseil Ltd.,CARE + CRISIL,2,4,Term Loan | NCD/Bond | Bank Guarantee,2,156.16,Other,HOT
Srinivasa Sales & Service Pvt. Ltd.,BRICKWORK + ICRA,2,8,Term Loan | Bank Guarantee | Non-Fund-Based | Fund-Based | NCD/Bond,2,31.81,Other,HOT
Supermint Exports Pvt. Ltd.,BRICKWORK + CARE,2,5,Letter of Credit | Term Loan | NCD/Bond,2,46.74,Logistics,HOT
T C Motors Pvt. Ltd.,CARE + CRISIL,2,3,Fund-Based | Term Loan,2,22.64,Automobiles,HOT
T K International Ltd.,BRICKWORK + ICRA,2,4,Term Loan | Non-Fund-Based | Bank Guarantee,2,20.71,Other,HOT
Whitelotus Industries Ltd.,ACUITE + BRICKWORK,2,3,Fund-Based | Non-Fund-Based | Term Loan,2,58.0,Manufacturing,HOT
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE + CARE,2,4,Bank Guarantee,1,40.0,Construction,MEDIUM
Arya Steels Rolling (India) Pvt. Ltd.,CARE + CRISIL,2,2,Letter of Credit | Bank Guarantee,1,8.0,Steel & Metals,MEDIUM
Balaji Agro Pvt. Ltd.,ACUITE + CRISIL,2,5,Letter of Credit | Term Loan,1,6.2,Agro/Food,MEDIUM
Natraj Electro Casting Pvt. Ltd.,CARE + CRISIL,2,5,Term Loan | NCD/Bond | Bank Guarantee,1,39.47,Steel & Metals,MEDIUM
Nimbus Motors Pvt. Ltd.,CARE + CRISIL,2,3,Fund-Based | Term Loan,1,64.5,Automobiles,MEDIUM
R A C Papers Ltd.,BRICKWORK + CARE,2,3,Term Loan | Letter of Credit,1,9.629999999999999,Paper/Packaging,MEDIUM
S S G Pharma Pvt. Ltd.,ACUITE + CRISIL,2,2,Term Loan,1,17.4,Chemicals/Pharma,MEDIUM
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK + CARE,2,5,Letter of Credit | Term Loan | Bank Guarantee,1,12.8,Other,MEDIUM
Su-Solartech Systems Pvt. Ltd.,ACUITE + CRISIL,2,7,Bank Guarantee | Term Loan | Fund-Based | Letter of Credit,1,23.5,Energy,MEDIUM
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK + CARE,2,5,Bank Guarantee | Fund-Based | Term Loan,1,27.21,Agro/Food,MEDIUM
Vardhman Rice Exports Pvt. Ltd.,ACUITE + CRISIL,2,3,Term Loan | Fund-Based,1,9.5,Agro/Food,MEDIUM
