Company Name,Agency,Instrument Type,Rating,Rating Date,Escalates To,Escalation Date,Call Week,Tier_Rank,Tier_Label,Agency_Count,Amount Cr,Amt_num,Sector,SEBI_Action,Pre_License_Pitch
Sagar Metallics Pvt. Ltd.,CARE,NCD/Bond,B-/A4,12-Feb-2026,HOT,2026-11-09,Nov Wk2 (Nov 8-14),2,TIER 2 — Dual-agency (2 raters),2,11.0,11.0,Steel & Metals,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 12-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Shri Vaari Electricals Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Nov-2025,ULTRA HOT,2026-11-10,Nov Wk2 (Nov 8-14),2,TIER 2 — Dual-agency (2 raters),2,25.0,25.0,Energy,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 10-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Reliance Home Finance Ltd.,CARE,NCD/Bond,PP-MLD D,16-Feb-2026,HOT,2026-11-13,Nov Wk2 (Nov 8-14),2,TIER 2 — Dual-agency (2 raters),2,200.0,200.0,BFSI,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 16-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Homera Tanning Inds. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,18-Feb-2026,HOT,2026-11-15,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,4.5,4.5,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 18-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Homera Tanning Inds. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,18-Feb-2026,HOT,2026-11-15,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,0.12,0.12,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 18-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Jayesh Industries Ltd.,BRICKWORK,NCD/Bond,C,19-Feb-2026,HOT,2026-11-16,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,8.75,8.75,Manufacturing,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 19-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Jayesh Industries Ltd.,BRICKWORK,NCD/Bond,A 4,19-Feb-2026,HOT,2026-11-16,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,5.0,5.0,Manufacturing,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 19-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Jayesh Industries Ltd.,BRICKWORK,NCD/Bond,A 4,19-Feb-2026,HOT,2026-11-16,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,,,Manufacturing,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 19-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Skipperseil Ltd.,CARE,NCD/Bond,BB-/A4,23-Feb-2026,HOT,2026-11-20,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,60.0,60.0,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 23-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Milando Fashions Ltd.,BRICKWORK,NCD/Bond,C/A4,24-Feb-2026,HOT,2026-11-21,Nov Wk3 (Nov 15-21),2,TIER 2 — Dual-agency (2 raters),2,12.0,12.0,Textiles,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 24-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Zeco Aircon Ltd.,ICRA,NCD/Bond,B+/A4,25-Feb-2026,HOT,2026-11-22,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,7.25,7.25,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 25-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Prakash Parcel Services Ltd. (Karnataka),IND-RA,NCD/Bond,B/A4,27-Feb-2026,HOT,2026-11-24,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,35.0,35.0,Other,"ENGAGE NOW — Call in advance, execute when licensed",ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 27-Feb-2026) needs renewal. We fast-track the process — speak to our analyst today.
Anand Motor Agencies Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,29.8,29.8,Automobiles,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Milando Fashions Ltd.,IND-RA,NCD/Bond,B/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,10.88,10.88,Textiles,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
V R G Industries Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,10.0,10.0,Manufacturing,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Clavecon ( India) Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,ULTRA HOT,2026-11-24,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,7.78,7.78,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 24-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,25-Nov-2025,ULTRA HOT,2026-11-25,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,18.0,18.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 25-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,25-Nov-2025,ULTRA HOT,2026-11-25,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,15.0,15.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 25-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Rajasthan Liquors Ltd.,ICRA,NCD/Bond,BBB+/A2,25-Nov-2025,ULTRA HOT,2026-11-25,Nov Wk4 (Nov 22-30),2,TIER 2 — Dual-agency (2 raters),2,13.87,13.87,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 25-Nov-2025) needs renewal. We fast-track the process — speak to our analyst today.
Lok Chemicals Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,151.0,151.0,Chemicals/Pharma,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 01-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,ULTRA HOT,2026-10-01,Oct Wk1 (Oct 1-7),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,110.0,110.0,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 01-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Standard Infratech India Pvt. Ltd.,IND-RA,NCD/Bond,BB+/A4+,06-Oct-2025,ULTRA HOT,2026-10-06,Oct Wk1 (Oct 1-7),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,163.05,163.05,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 06-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
S G G D Projects Devp. Pvt. Ltd.,BRICKWORK,NCD/Bond,PP-MLD D,09-Oct-2025,ULTRA HOT,2026-10-09,Oct Wk2 (Oct 8-14),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,127.5,127.5,Construction,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by BRICKWORK (INC since 09-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Bangalore Electricity Supply Co. Ltd.,CARE,NCD/Bond,BB+/A4,20-Oct-2025,ULTRA HOT,2026-10-20,Oct Wk3 (Oct 15-21),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,600.0,600.0,Energy,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by CARE (INC since 20-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BBB-/A3,23-Oct-2025,ULTRA HOT,2026-10-23,Oct Wk4 (Oct 22-31),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,166.0,166.0,Energy,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by IND-RA (INC since 23-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
U M S L Ltd.,ICRA,NCD/Bond,B+/A4,27-Oct-2025,ULTRA HOT,2026-10-27,Oct Wk4 (Oct 22-31),3,TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,172.0,172.0,Other,URGENT — Expedite SEBI license; start pipeline conversation NOW,ACER is Indias 8th CRA completing SEBI CRA license. Your NCD/Bond rated by ICRA (INC since 27-Oct-2025) needs renewal. We fast-track the process — speak to our analyst today.
