Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates To,Escalation Date,Escalation Month,Days Since (Jun 25),Amount Cr,Sector,Source,Why Target,ACER Pitch Angle,Call Week,ACER_Pitch_Infomerics
KLSR Infratech Limited,Infomerics,Proposed Long Term Fund Based Facility - CC,IVR BB (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,33.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
KLSR Infratech Limited,Infomerics,Short Term Fund Based Facility - Short Term Loan (Working capital facility),IVR A4 (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,5.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
KLSR Infratech Limited,Infomerics,Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,153.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
KLSR Infratech Limited,Infomerics,Proposed Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,192.0,Construction,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Lahari Laminates Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,20.0,Other,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
MEP Longjian ACR Private Limited,Infomerics,Long Term Bank Facilities,IVR C- (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,62.43,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
MEP Longjian ACR Private Limited,Infomerics,Long Term Bank Facilities - Proposed,IVR C- (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,407.34,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Maghalakshmi Plaazaa,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,50.0,Other,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Metaguard Engineers and Contractors,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,26.97,Manufacturing,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Metaguard Engineers and Contractors,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,23.5,Manufacturing,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
N.N Global Mercantile Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,14.57,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
N.N Global Mercantile Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),04-Feb-2026,LOW,HOT,2026-11-01,November 2026,141,8.0,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Nature Delight Dairy & Dairy Products Private Limited,Infomerics,Long Term Facilities,IVR BBB- (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,158.69,Agro/Food,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Paragon Apparel Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,30.42,Textiles,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Paragon Apparel Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,16.0,Textiles,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Parva Balaji Projects,Infomerics,Long Term Facilities,IVR BB- (INC)(Withdrawn),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,34.88,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Parva Balaji Projects,Infomerics,Short Term Facilities,IVR A4 (INC)(Withdrawn),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,15.0,Construction,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Periyasamy Pillai Educational Trust,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,64.5,Education,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Periyasamy Pillai Educational Trust,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,35.0,Education,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
RP Multimetals Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,56.47,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
RP Multimetals Private Limited,Infomerics,Short Term Bank Facilities,IVR A3 (INC) (Downgraded),03-Nov-2025,MEDIUM,ULTRA HOT,2026-11-03,November 2026,234,50.0,Steel & Metals,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Radiant Industries,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,14.08,Manufacturing,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Radiant Industries,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),09-Feb-2026,LOW,HOT,2026-11-06,November 2026,136,2.0,Manufacturing,Infomerics,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
Ramkrishna Cotspin Private Limited,Infomerics,Long Term Bank Facilities,IVR C (INC)(Downgraded),07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,56.98,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ramkrishna Cotspin Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,4.25,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ramkrishna Cotspin Private Limited,Infomerics,Long Term Bank Facilities,IVR C (INC)(Downgraded),07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,56.98,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
Ramkrishna Cotspin Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),07-Nov-2025,MEDIUM,ULTRA HOT,2026-11-07,November 2026,230,4.25,Other,Infomerics,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Rating overdue — ACER can onboard immediately and issue faster than Infomerics turnaround.
S & P feeds Private Limited,Infomerics,Long Term Bank Facilities â€“ Term Loan,IVR BB+ (INC)(Downgraded),06-Feb-2026,LOW,HOT,2026-11-03,November 2026,139,25.94,Other,Infomerics,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Nov Wk1 (Nov 1-7),Infomerics-rated company — ZERO competitor overlap with major agencies. ACER is first challenger agency to approach this company. Get ahead of renewal — ACER offers fresh perspective + speed.
