Company Name,Agency,Sector,Pipeline_Window,Instruments,Rev_Avg_Lakhs,Rev_High_Lakhs,Amt_Cr,NCD,Call_Window,Current_Urgency
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,Agro & Food,Q1 2027,NCD / Bond | Fund-Based Facilities | Term Loan | Bank Guarantee,34.0,44.0,40.0,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Mahendra Sponge & Power Ltd.,ACUITE,Energy,October 2026,Term Loan | Letter of Credit | Bank Guarantee,34.0,46.0,855.46,0,Nov Wk3 (Nov 15-21),MEDIUM
J B Rolling Mills Ltd.,CRISIL,Steel & Metals,October 2026,Term Loan | Letter of Credit | Bank Guarantee,34.0,46.0,252.34,0,Oct Wk2 (Oct 8-14),MEDIUM
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,Other,Q1 2027,NCD / Bond | Non-Fund-Based | Term Loan | Fund-Based Facilities,33.0,43.0,33.4,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Pearson Drums & Barrels Pvt. Ltd.,ICRA,Other,Q1 2027,NCD / Bond | Non-Fund-Based | Fund-Based Facilities | Term Loan,33.0,43.0,9.4,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Perfect Mettcast Pvt. Ltd.,ICRA,Other,October 2026,Fund-Based Facilities | Term Loan | NCD / Bond | Non-Fund-Based,33.0,43.0,62.0,1,Nov Wk4 (Nov 22-30),MEDIUM
Milton Industries Ltd.,CARE,Manufacturing,October 2026,NCD / Bond | Bank Guarantee | Term Loan | Letter of Credit,32.0,41.0,21.53,1,Nov Wk1 (Nov 1-7),LOW
Relemac Technologies Pvt. Ltd.,CARE,IT/Technology,October 2026,NCD / Bond | Bank Guarantee | Letter of Credit | Term Loan,32.0,41.0,13.56,1,Oct Wk1 (Oct 1-7),LOW
Jimcap Electronics Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Letter of Credit | Term Loan | Bank Guarantee,32.0,41.0,39.22,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Sri Saravana Tex Exports India Pvt. Ltd.,BRICKWORK,Other,Q1 2027,NCD / Bond | Term Loan | Letter of Credit | Bank Guarantee,32.0,41.0,25.33,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Mohit Ispat Pvt. Ltd.,CARE,Other,October 2026,Letter of Credit | Term Loan | Bank Guarantee | NCD / Bond,32.0,41.0,48.04,1,Oct Wk4 (Oct 22-31),MEDIUM
N K Agro Exports (India) Pvt. Ltd.,CARE,Agro & Food,Q2 2027,Bank Guarantee | Non-Fund-Based | NCD / Bond | Term Loan,32.0,41.0,138.13,1,HOT by Jan 2027,LOW (<90 days)
Relemac Technologies Pvt. Ltd.,CARE,IT/Technology,Q2 2027,Bank Guarantee | Letter of Credit | NCD / Bond | Term Loan,32.0,41.0,13.56,1,HOT by Jan 2027,LOW (<90 days)
New Modern Technomech Pvt. Ltd.,CARE,IT/Technology,Q2 2027,Letter of Credit | NCD / Bond | Term Loan,31.0,40.0,53.83,1,HOT by Jan 2027,LOW (<90 days)
Tirumala Seven Hills Pvt. Ltd.,ICRA,Other,Q1 2027,NCD / Bond | Non-Fund-Based | Term Loan,31.0,41.0,24.0,1,Sep–Oct 2026 — Call 3 months ahead,HOT
New Modern Technomech Pvt. Ltd.,CARE,IT/Technology,October 2026,NCD / Bond | Letter of Credit | Term Loan,31.0,40.0,53.83,1,Oct Wk3 (Oct 15-21),LOW
W F B Baird & Co. India Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Letter of Credit | Term Loan | Non-Fund-Based,31.0,40.0,433.67,1,Sep–Oct 2026 — Call 3 months ahead,HOT
R S K Industries Pvt. Ltd.,CARE,Manufacturing,October 2026,NCD / Bond | Letter of Credit | Term Loan | Non-Fund-Based,31.0,40.0,6.19,1,Nov Wk4 (Nov 22-30),LOW
Paramount Blankets Pvt. Ltd.,CARE,Other,Q2 2027,Fund-Based Facilities | NCD / Bond | Term Loan,30.0,39.0,13.25,1,HOT by Jan 2027,LOW (<90 days)
Rhino Lux Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Letter of Credit | Bank Guarantee | Term Loan,30.0,39.0,20.0,1,Sep–Oct 2026 — Call 3 months ahead,HOT
George Maijo Automobiles Pvt. Ltd.,CARE,Manufacturing,Q1 2027,NCD / Bond | Term Loan | Fund-Based Facilities,30.0,39.0,41.11,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Kanak Pipe Inds. Pvt. Ltd.,CARE,Steel & Metals,October 2026,Term Loan | NCD / Bond,30.0,39.0,2.45,1,Oct Wk2 (Oct 8-14),MEDIUM
Supermint Exports Pvt. Ltd.,CARE,Logistics,October 2026,Term Loan | NCD / Bond,30.0,39.0,41.25,1,Oct Wk1 (Oct 1-7),LOW
Stanadyne India Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Term Loan,30.0,39.0,95.83,1,Nov Wk3 (Nov 15-21),MEDIUM
J G Hosiery Pvt. Ltd.,ICRA,Other,Q1 2027,NCD / Bond | Fund-Based Facilities | Term Loan,30.0,39.0,341.73,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Sohn Steel Pvt. Ltd.,CARE,Steel & Metals,October 2026,Fund-Based Facilities | NCD / Bond | Term Loan,30.0,39.0,17.63,1,Oct Wk4 (Oct 22-31),MEDIUM
Yash Exports (India) Pvt. Ltd.,ICRA,Other,Q1 2027,NCD / Bond | Term Loan,30.0,39.0,25.860000000000003,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Turbhe Chemicals Pvt. Ltd.,CARE,Chemicals & Pharma,Q1 2027,NCD / Bond | Term Loan,30.0,39.0,23.89,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Space Wood Furnishers Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Bank Guarantee | Term Loan,29.0,37.0,116.38,1,Oct Wk1 (Oct 1-7),MEDIUM
Keya Foods Intl. Pvt. Ltd.,CARE,Agro & Food,Q2 2027,Bank Guarantee | Term Loan | NCD / Bond,29.0,37.0,12.01,1,HOT by Jan 2027,LOW (<90 days)
A-I Enterprises Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,32.05,1,Nov Wk2 (Nov 8-14),MEDIUM
A R L Infratech Ltd.,CARE,Construction,October 2026,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,187.8,1,Oct Wk1 (Oct 1-7),MEDIUM
Natraj Electro Casting Pvt. Ltd.,CARE,Steel & Metals,October 2026,Term Loan | NCD / Bond | Bank Guarantee,29.0,37.0,17.94,1,Oct Wk2 (Oct 8-14),LOW
Som Shiva (Impex) Ltd.,BRICKWORK,Other,October 2026,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,9.05,1,Oct Wk4 (Oct 22-31),MEDIUM
Sparten Granito Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,33.96,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Keya Foods Intl. Pvt. Ltd.,CARE,Agro & Food,October 2026,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,12.01,1,Oct Wk2 (Oct 8-14),LOW
Tejas Cargo India Ltd.,CARE,Logistics,Q1 2027,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,210.0,1,Dec 2026 – Jan 2027,LOW/MEDIUM
Natraj Electro Casting Pvt. Ltd.,CARE,Other,Q2 2027,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,17.939999999999998,1,HOT by Jan 2027,LOW (<90 days)
Sri Shyam Fashion India Pvt. Ltd.,BRICKWORK,Other,Q1 2027,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,25.84,1,Dec 2026 – Jan 2027,LOW/MEDIUM
P S Bedi & Co. Pvt. Ltd.,CARE,Other,October 2026,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,6.0,1,Oct Wk1 (Oct 1-7),MEDIUM
Pack Print Inds. (India) Pvt. Ltd.,CARE,Paper/Packaging,October 2026,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,8.4,1,Nov Wk4 (Nov 22-30),MEDIUM
Gensol Engineering Ltd.,ICRA,Other,Q2 2027,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,2050.0,1,HOT by Jan 2027,LOW (<90 days)
Essem Auto Electricals Pvt. Ltd.,CARE,Energy/Power,Q2 2027,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,0.0,1,HOT by Jan 2027,LOW (<90 days)
Dembla Valves Ltd.,CARE,Other,Q1 2027,NCD / Bond | Bank Guarantee | Term Loan,29.0,37.0,103.28,1,Sep 2026 — RM,LOW/MEDIUM
Fine Pac Structures Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Bank Guarantee | Term Loan,29.0,37.0,8.0,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Valiant Glass Works Pvt. Ltd.,CARE,Other,Q1 2027,NCD / Bond | Bank Guarantee | Term Loan,29.0,37.0,75.1,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Etco Denim Pvt. Ltd.,CARE,Textiles,Q2 2027,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,388.44,1,HOT by Jan 2027,LOW (<90 days)
Amarpali Cylinders Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Bank Guarantee | Term Loan,29.0,37.0,23.14,1,Oct Wk2 (Oct 8-14),LOW
Essem Auto Electricals Pvt. Ltd.,CARE,Energy,October 2026,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,0.0,1,Oct Wk1 (Oct 1-7),LOW
Victoria Foods Pvt. Ltd.,CARE,Agro & Food,October 2026,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,215.5,1,Nov Wk3 (Nov 15-21),MEDIUM
Kapilansh Dhatu Udyog Pvt. Ltd.,CARE,Other,October 2026,Term Loan | Bank Guarantee | NCD / Bond,29.0,37.0,14.0,1,Oct Wk2 (Oct 8-14),MEDIUM
Accurate Gauging & Instruments Pvt. Ltd.,CARE,Other,October 2026,Bank Guarantee | NCD / Bond | Term Loan,29.0,37.0,10.22,1,Nov Wk3 (Nov 15-21),MEDIUM
B D Security Ltd.,CARE,Other,Q1 2027,NCD / Bond | Term Loan | Bank Guarantee,29.0,37.0,13.05,1,Sep–Oct 2026 — Call 3 months ahead,HOT
Unique Punch Systems Pvt. Ltd.,CRISIL,Other,October 2026,Term Loan | Bank Guarantee,28.0,38.0,50.0,0,Oct Wk1 (Oct 1-7),LOW
U M S L Ltd.,ICRA,Other,October 2026,Non-Fund-Based | NCD / Bond | Term Loan,28.0,36.0,481.61,1,Oct Wk4 (Oct 22-31),MEDIUM
Pan Synthetics Pvt. Ltd.,ICRA,Other,October 2026,Non-Fund-Based | NCD / Bond | Term Loan,28.0,36.0,43.0,1,Oct Wk4 (Oct 22-31),MEDIUM
Ezentech India Pvt. Ltd.,CARE,IT/Technology,October 2026,Letter of Credit | Term Loan | NCD / Bond,28.0,36.0,12.59,1,Oct Wk4 (Oct 22-31),LOW
Turbovent Industries Pvt. Ltd.,ICRA,Manufacturing,October 2026,NCD / Bond | Non-Fund-Based | Term Loan,28.0,36.0,14.59,1,Oct Wk3 (Oct 15-21),LOW
Supermint Exports Pvt. Ltd.,CARE,Other,Q2 2027,NCD / Bond | Term Loan,28.0,37.0,41.25,1,HOT by Jan 2027,LOW (<90 days)
Clrk Industries Pvt. Ltd.,CARE,Manufacturing,October 2026,Fund-Based Facilities | Non-Fund-Based | NCD / Bond,28.0,36.0,48.0,1,Oct Wk3 (Oct 15-21),LOW
Mohan Mutha Exports Pvt. Ltd.,ICRA,Logistics,October 2026,Non-Fund-Based | Term Loan | NCD / Bond,28.0,36.0,145.0,1,Nov Wk4 (Nov 22-30),MEDIUM
Andhra Polymers Pvt. Ltd.,ICRA,Other,Q2 2027,Non-Fund-Based | NCD / Bond | Term Loan,28.0,36.0,12.7,1,HOT by Jan 2027,LOW (<90 days)
Turbovent Industries Pvt. Ltd.,ICRA,Other,Q2 2027,Non-Fund-Based | NCD / Bond | Term Loan,28.0,36.0,14.59,1,HOT by Jan 2027,LOW (<90 days)
Andhra Polymers Pvt. Ltd.,ICRA,Chemicals & Pharma,October 2026,Non-Fund-Based | Term Loan | NCD / Bond,28.0,36.0,12.7,1,Oct Wk4 (Oct 22-31),LOW
Oriilon India Pvt. Ltd.,CARE,Other,October 2026,NCD / Bond | Term Loan | Letter of Credit,28.0,36.0,69.53,1,Oct Wk3 (Oct 15-21),LOW
Winner Nippon Leatherette Pvt. Ltd.,ICRA,Other,Q1 2027,NCD / Bond | Non-Fund-Based | Term Loan,28.0,36.0,5.25,1,Sep–Oct 2026 — Call 3 months ahead,HOT
A S Moloobhoy Pvt. Ltd.,ICRA,Other,October 2026,NCD / Bond | Non-Fund-Based | Term Loan,28.0,36.0,18.0,1,Oct Wk3 (Oct 15-21),LOW
Wintop Vitrified Pvt. Ltd.,ICRA,Other,October 2026,NCD / Bond | Term Loan | Non-Fund-Based,28.0,36.0,16.7,1,Nov Wk4 (Nov 22-30),MEDIUM
