Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag,Sector_norm
Su-Solartech Systems Pvt. Ltd.,CRISIL,Fund-Based,B,30-Apr-2026,2.0,Energy,LOW,Standard,D365,October 2026,2026-10-27,Oct 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),2,INC rating hits MEDIUM threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Gas Projects (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Oct-2025,5.75,Energy,MEDIUM,Standard,D365,October 2026,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),2,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Gas Projects (India) Pvt. Ltd.,CRISIL,Term Loan,B,30-Oct-2025,0.25,Energy,MEDIUM,Standard,D365,October 2026,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),2,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Shri Vaari Electricals Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Nov-2025,25.0,Energy,MEDIUM,NCD — SEBI License Required,D365,October 2026,2026-11-10,Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),2,INC rating hits ULTRA HOT threshold on 2026-11-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Shri Vaari Electricals Pvt. Ltd.,CARE,Letter of Credit,A 4,10-Nov-2025,4.0,Energy,MEDIUM,Standard,D365,October 2026,2026-11-10,Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),2,INC rating hits ULTRA HOT threshold on 2026-11-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Kiri Oilfield Services Pvt. Ltd.,CARE,Term Loan,BB+,26-Feb-2026,71.88,Energy,LOW,Standard,D365,October 2026,2026-11-23,Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),2,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Multi-Window Priority,Energy
Kiri Oilfield Services Pvt. Ltd.,CARE,Bank Guarantee,A 4+,26-Feb-2026,37.9,Energy,LOW,Standard,D365,October 2026,2026-11-23,Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),2,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Multi-Window Priority,Energy
Gas Projects (India) Pvt. Ltd.,CARE,Bank Guarantee,A 4,26-Feb-2026,5.75,Energy,LOW,Standard,D365,October 2026,2026-11-23,Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),2,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Gas Projects (India) Pvt. Ltd.,CARE,Letter of Credit,A 4,26-Feb-2026,3.0,Energy,LOW,Standard,D365,October 2026,2026-11-23,Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),2,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Kiri Oilfield Services Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,24-Nov-2025,44.24,Energy,MEDIUM,Standard,D365,October 2026,2026-11-24,Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),2,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Kiri Oilfield Services Pvt. Ltd.,CRISIL,Term Loan,B+,24-Nov-2025,1.62,Energy,MEDIUM,Standard,D365,October 2026,2026-11-24,Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),2,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Unitech Power Transmission Ltd.,BRICKWORK,Bank Guarantee,A 4,09-Oct-2025,185.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-09,Oct 2026,Oct Wk2 (Oct 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Single Window,Energy
Axis Energy Ventures India Pvt. Ltd.,BRICKWORK,Bank Guarantee,BBB-,15-Oct-2025,150.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-15,Oct 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-15 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Single Window,Energy
Sirmour Small Hydro Power Pvt. Ltd.,CRISIL,Term Loan,BB+,17-Oct-2025,160.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Bangalore Electricity Supply Co. Ltd.,CARE,Term Loan,BB+,20-Oct-2025,2257.09,Energy,MEDIUM,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Bangalore Electricity Supply Co. Ltd.,CARE,NCD/Bond,BB+/A4,20-Oct-2025,600.0,Energy,MEDIUM,NCD — SEBI License Required,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Everrenew Energy Pvt. Ltd.,IND-RA,NCD/Bond,BBB-/A3,23-Oct-2025,166.0,Energy,MEDIUM,NCD — SEBI License Required,D365,October 2026,2026-10-23,Oct 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority,Energy
Everrenew Energy Pvt. Ltd.,IND-RA,Non-Fund-Based,A 3,23-Oct-2025,103.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-23,Oct 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority,Energy
Pioneer Power Corpn. Ltd.,ACUITE,Term Loan,BB+,28-Oct-2025,213.21,Energy,MEDIUM,Standard,D365,October 2026,2026-10-28,Oct 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-28 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Single Window,Energy
Lineage Power Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,30-Oct-2025,63.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Single Window,Energy
Lineage Power Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,30-Oct-2025,50.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Single Window,Energy
Power Company Of Karnataka Ltd.,BRICKWORK,Term Loan,BB,19-Nov-2025,2944.3,Energy,MEDIUM,Standard,D365,October 2026,2026-11-19,Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Single Window,Energy
Mahendra Sponge & Power Ltd.,ACUITE,Term Loan,BB+,21-Nov-2025,214.0,Energy,MEDIUM,Standard,D365,October 2026,2026-11-21,Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority,Energy
Mahendra Sponge & Power Ltd.,ACUITE,Letter of Credit,A 4+,21-Nov-2025,190.5,Energy,MEDIUM,Standard,D365,October 2026,2026-11-21,Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority,Energy
Atria Wind (Kadambur) Pvt. Ltd.,IND-RA,Term Loan,BB+,24-Nov-2025,179.33,Energy,MEDIUM,Standard,D365,October 2026,2026-11-24,Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Single Window,Energy
Shah Sponge & Power Ltd.,CRISIL,Term Loan,BB+,25-Nov-2025,107.86,Energy,MEDIUM,Standard,D365,October 2026,2026-11-25,Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
S T Electricals Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,25-Nov-2025,72.0,Energy,MEDIUM,Standard,D365,October 2026,2026-11-25,Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Single Window,Energy
Shreesatya Sponge & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),26-Nov-2025,64.88,Energy,MEDIUM,Standard,Infomerics,October 2026,2026-11-26,Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,1,Single Window,Energy
Matrix Wind Energy Pvt. Ltd.,CRISIL,Term Loan,BB+,26-Nov-2025,50.0,Energy,MEDIUM,Standard,D365,October 2026,2026-11-26,Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),1,INC rating hits ULTRA HOT threshold on 2026-11-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Vinayak Oil & Fats Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,06-Oct-2025,22.5,Energy,MEDIUM,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority,Energy
Aatash Power Pvt. Ltd.,CRISIL,Term Loan,B+,06-Oct-2025,19.21,Energy,MEDIUM,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Aatash Power Pvt. Ltd.,CRISIL,Term Loan,B+,06-Oct-2025,8.79,Energy,MEDIUM,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Greenergy Wind Corpn. Pvt. Ltd.,CARE,Term Loan,BB-,07-Oct-2025,0.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-07,Oct 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Narayan Powertech Pvt. Ltd.,CRISIL,Term Loan,B,08-Oct-2025,12.3,Energy,MEDIUM,Standard,D365,October 2026,2026-10-08,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Maruti Nandan Oils Pvt. Ltd.,CRISIL,Fund-Based,B,08-Oct-2025,10.1,Energy,MEDIUM,Standard,D365,October 2026,2026-10-08,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Maruti Nandan Oils Pvt. Ltd.,CRISIL,Term Loan,B,08-Oct-2025,2.4,Energy,MEDIUM,Standard,D365,October 2026,2026-10-08,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Narayan Powertech Pvt. Ltd.,CRISIL,Term Loan,A 4,08-Oct-2025,1.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-08,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Unitech Power Transmission Ltd.,BRICKWORK,Letter of Credit,A 4,09-Oct-2025,35.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-09,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Single Window,Energy
Santoshi Hyvolt Electricals Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,13-Oct-2025,11.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Santoshi Hyvolt Electricals Pvt. Ltd.,CRISIL,Term Loan,A 4,13-Oct-2025,6.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Santoshi Hyvolt Electricals Pvt. Ltd.,CRISIL,Letter of Credit,A 4,13-Oct-2025,4.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-13,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Wellcare Oil Tools Pvt. Ltd.,CARE,NCD/Bond,B-/A4,14-Oct-2025,6.0,Energy,MEDIUM,NCD — SEBI License Required,D365,October 2026,2026-10-14,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Wellcare Oil Tools Pvt. Ltd.,CARE,Term Loan,B-,14-Oct-2025,1.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-14,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Wellcare Oil Tools Pvt. Ltd.,CARE,Term Loan,B-,14-Oct-2025,0.57,Energy,MEDIUM,Standard,D365,October 2026,2026-10-14,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Wellcare Oil Tools Pvt. Ltd.,CARE,Fund-Based,B-,14-Oct-2025,0.32,Energy,MEDIUM,Standard,D365,October 2026,2026-10-14,Oct 2026,Oct Wk2 (Oct 8-14),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Single Window,Energy
Shreevari Energy Systems Pvt. Ltd.,IND-RA,Term Loan,BB-,17-Oct-2025,45.5,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Single Window,Energy
Greensol Renewable Power Pvt. Ltd.,CRISIL,Letter of Credit,A 4,17-Oct-2025,6.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Greensol Renewable Power Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,17-Oct-2025,5.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Greensol Renewable Power Pvt. Ltd.,CRISIL,Term Loan,B,17-Oct-2025,4.5,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Cape Electric Pvt. Ltd.,CRISIL,Letter of Credit,A 4,17-Oct-2025,1.0,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Shree Sita Ispat & Power Pvt. Ltd.,CRISIL,Term Loan,B+,17-Oct-2025,0.5,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Cape Electric Pvt. Ltd.,CRISIL,Term Loan,B,17-Oct-2025,0.09,Energy,MEDIUM,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Newtech Power Inds. Pvt. Ltd.,CRISIL,Fund-Based,BB-,23-Oct-2025,12.5,Energy,MEDIUM,Standard,D365,October 2026,2026-10-23,Oct 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Inter Solar Systems Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,23-Oct-2025,6.5,Energy,MEDIUM,Standard,D365,October 2026,2026-10-23,Oct 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
Inter Solar Systems Pvt. Ltd.,CRISIL,Term Loan,BB-,23-Oct-2025,1.64,Energy,MEDIUM,Standard,D365,October 2026,2026-10-23,Oct 2026,Oct Wk4 (Oct 22-31),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Single Window,Energy
