Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag,Sector_norm,Fee_Avg_Lakhs,NCD_bool
Eneroil Offshore Drilling Ltd.,CARE,NCD/Bond,BB-/A4,2026-03-20,20.0,Energy,LOW/MEDIUM,NCD — SEBI License Required,D365,Q1 2027,2027-03-20,Mar 2027,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Eneroil Offshore Drilling Ltd.,CARE,NCD/Bond,BB-/A4,2026-03-20,8.5,Energy,LOW/MEDIUM,NCD — SEBI License Required,D365,Q1 2027,2027-03-20,Mar 2027,Dec 2026 – Jan 2027,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,20.0,True
Sirmour Small Hydro Power Pvt. Ltd.,CARE,Term Loan,BB+,2025-12-15,160.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-15,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,5.0,False
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,280.54,Energy,HOT,Standard,D365,Q1 2027,2026-12-09,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,5.0,False
Vijai Electricals Ltd.,IND-RA,Term Loan,B+,2025-12-09,113.38,Energy,HOT,Standard,D365,Q1 2027,2026-12-09,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,5.0,False
Global Infonet Distribution Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,75.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-10,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
Global Infonet Distribution Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,60.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-10,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Shakun Gases Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-22,20.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
Liquinox Gases Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-08,19.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-08,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Dee Control & Electric Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-19,15.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-19,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,9.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,4.0,False
Novartis Energy Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-22,7.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,6.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,4.0,False
A P S Hydro Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,6.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,5.0,False
Pragati Ingots & Power Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,5.2,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Dee Control & Electric Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-19,5.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-19,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
Srinav Oil Extraction Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,4.5,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Hitrac Manpower Services Pvt. Ltd.,CRISIL,Fund-Based,B+,2025-12-10,0.9,Energy,HOT,Standard,D365,Q1 2027,2026-12-10,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Pragati Ingots & Power Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,0.6,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Hindustan Coils Ltd.,CARE,Term Loan,BB-,2025-12-04,0.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-04,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-04 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Brua Hydrowatt Pvt. Ltd.,CARE,Term Loan,B,2025-12-22,46.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Brua Hydrowatt Pvt. Ltd.,CARE,Bank Guarantee,B,2025-12-22,4.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-22,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
Vinayak Oil & Fats Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-24,22.5,Energy,HOT,Standard,D365,Q1 2027,2026-12-24,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,3.0,False
Vinayak Oil & Fats Pvt. Ltd.,CARE,Bank Guarantee,BB-,2025-12-24,1.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-24,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,4.0,False
Morries Energy Ltd.,BRICKWORK,Term Loan,B+,2025-12-16,4.37,Energy,HOT,Standard,D365,Q1 2027,2026-12-16,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Morries Energy Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-16,0.09,Energy,HOT,Standard,D365,Q1 2027,2026-12-16,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,4.0,False
A A Energy Pvt. Ltd.,ACUITE,Term Loan,C,2025-12-23,2.68,Energy,HOT,Standard,D365,Q1 2027,2026-12-23,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Shree Shyam Sponge & Power Ltd.,ICRA,Short-Term Loan,A 4,2025-12-19,0.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-19,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,3.0,False
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,5.2,Energy,HOT,Standard,D365,Q1 2027,2026-12-09,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority,Energy,5.0,False
Kilavikulam Rajalakshmi Solar Power Developer Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-29,38.5,Energy,HOT,Standard,D365,Q1 2027,2026-12-29,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
Kilavikulam Rajalakshmi Solar Power Developer Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-29,12.71,Energy,HOT,Standard,D365,Q1 2027,2026-12-29,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Single Window,Energy,5.0,False
SVR Electricals Private Limited,Infomerics,Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR C/IVR A4; (INC) (Downgraded/Reaffirmed),2025-12-02,18.75,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-02,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,3.0,False
SVR Electricals Private Limited,Infomerics,Proposed Long Term Fund Based Bank Facility - Cash Credit,IVR C (INC) (Downgraded),2025-12-02,7.25,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-02,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,3.0,False
SVR Electricals Private Limited,Infomerics,Proposed Short Term Non- Fund Based Bank Facility - Letter of Credit,IVR A4 (INC) (Reaffirmed),2025-12-02,1.0,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-02,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,3.0,False
Sri Savitr Solar Private Limited,Infomerics,Long Term Facilities,IVR B (INC) (Downgraded),2025-12-09,64.5,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-09,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,5.0,False
Sri Savitr Solar Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC) (Reaffirmed),2025-12-09,5.5,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-09,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,2.5,False
Tirupati Oil Cake Industries Private Limited,Infomerics,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-12-26,44.0,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-26,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-26 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,5.0,False
Tirupati Oil Cake Industries,Infomerics,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-12-26,5.0,Energy,HOT,Standard,Infomerics,Q1 2027,2026-12-26,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-26 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,5.0,False
Madhya Pradesh Power Generating Company Limited,Infomerics,Long Term Bank Facility,IVR B+ (INC)(Downgraded),2025-12-31,1300.0,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2026-12-31,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2026-12-31 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,5.0,False
Raigarh Ispat & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),2026-01-09,104.31,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-01-09,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,2,Multi-Window Priority,Energy,5.0,False
Raigarh Ispat & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC) (Downgraded),2026-01-09,104.31,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-01-09,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,2,Multi-Window Priority,Energy,5.0,False
Unistar Oils Private Limited,Infomerics,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2026-01-08,14.5,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-01-08,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-08 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,2.5,False
Unistar Oils Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirrmed),2026-01-08,0.5,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-01-08,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-08 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,2,Single Window,Energy,5.0,False
Raigarh Ispat & Power Private Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR BB/ IVR A4; INC; (Downgraded),2026-01-09,1.0,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-01-09,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,2,Multi-Window Priority,Energy,4.0,False
Raigarh Ispat & Power Private Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR BB/ IVR A4; INC; (Downgraded),2026-01-09,1.0,Energy,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-01-09,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,2,Multi-Window Priority,Energy,4.0,False
