Company Name,Agency,Pipeline_Window,Instruments,Rating,Rating_Date,Amt_Cr,Urgency,Call_Window,Fee_Avg_Lakhs,NCD,Why_Target,Pitch,Energy_Subsector
Southern Power Distribution Co. Of Telangana Ltd.,CARE,Q1 2027,Letter of Credit | Term Loan,A 4,2026-03-13,593.39,LOW/MEDIUM,Dec 2026 – Jan 2027,13.0,False,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Utility / Discom
Vijai Electricals Ltd.,CARE,Q2 2027,Non-government debt | Term loans,BB-/A4,2026-04-10,496.06,LOW (<90 days),HOT by Jan 2027,45.0,True,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Shree Maheshwar Hydel Power Corpn. Ltd.,CARE,Q2 2027,Term loans,D,2026-04-15,451.0,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Renewable / Green
Vijai Electricals Ltd.,IND-RA,Q1 2027,Fund-Based | Term Loan,A 4,2025-12-09,399.12,HOT,Sep–Oct 2026 — Call 3 months ahead,15.0,False,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Hild Energy Pvt. Ltd.,CRISIL,Q1 2027,Letter of Credit | Bank Guarantee | Term Loan,A 4,2026-03-11,299.9,LOW/MEDIUM,Dec 2026 – Jan 2027,12.0,False,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Everrenew Energy Pvt. Ltd.,IND-RA,Q2 2027,Non-fund based working capital limit | Non-government debt,A 4+,2026-04-13,269.0,LOW (<90 days),HOT by Jan 2027,43.0,True,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund based working capital limit at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
F Robin Power Solutions Pvt. Ltd.,IND-RA,Q1 2027,Term Loan,BB+,2026-03-30,235.0,LOW/MEDIUM,Dec 2026 – Jan 2027,5.0,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Raigarh Ispat & Power Private Limited,Infomerics,Q1 2027,Long Term Bank Facilities | Long Term/ Short Term Bank Facilities,IVR BB (INC) (Downgraded),2026-01-09,210.62,LOW/MEDIUM,Oct–Nov 2026 — Call now (HOT by Oct),18.0,False,INC rating hits ULTRA HOT on 2027-01-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Thermal / Conventional
Pravara Renewable Energy Ltd.,CARE,Q2 2027,Term loans,D,2026-04-15,186.08,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Renewable / Green
Uttamenergy Ltd.,CRISIL,Q2 2027,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument,A 4,2026-04-30,163.0,LOW (<90 days),HOT by Jan 2027,18.0,False,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Sirmour Small Hydro Power Pvt. Ltd.,CARE,Q1 2027,Term Loan,BB+,2025-12-15,160.0,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Renewable / Green
Global Infonet Distribution Pvt. Ltd.,CRISIL,Q1 2027,Letter of Credit | Fund-Based,A 4,2025-12-10,135.0,HOT,Sep–Oct 2026 — Call 3 months ahead,8.0,False,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Utility / Discom
Cimechel Electric Private Limited,Infomerics,Q1 2027,Short Term Facilities | Long Term Facilities,A4 (INC) (Downgraded),2026-02-03,125.0,LOW/MEDIUM,Nov–Dec 2026,7.5,False,INC rating hits ULTRA HOT on 2027-02-03 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Feb 2027. ACER is your best alternative — no competitor has approached you.,Power / Other
Great Value Fuels Pvt. Ltd.,ICRA,Q2 2027,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,B+,2026-04-24,123.1,LOW (<90 days),HOT by Jan 2027,8.0,False,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Hind Energy & Coal Benefication (India) Ltd.,ACUITE,Q2 2027,Bank Guarantee | Letter Of credit,A 4+,2026-04-23,119.0,LOW (<90 days),HOT by Jan 2027,11.0,False,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Thermal / Conventional
Goa Sponge & Power Ltd.,IND-RA,Q1 2027,NCD/Bond,B/A4,2025-12-19,80.0,HOT,Sep 2026 — RM,20.0,True,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Veda Biofuel Ltd.,IND-RA,Q2 2027,Term loans,D,2026-04-02,77.3,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Veda Biofuel Ltd.,BRICKWORK,Q2 2027,Term loans,D,2026-04-08,77.07,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Junna Solar Systems Ltd.,CRISIL,Q2 2027,Letter Of credit | Term loans,A 4,2026-04-17,76.44,LOW (<90 days),HOT by Jan 2027,8.0,False,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Renewable / Green
Hartek Power Private Limited,Infomerics,Q1 2027,Long Term/ Short Term Facilities | Long Term Facilities,IVR BB+/IVR A4+; (INC)(Withdrawn),2026-01-13,71.0,LOW/MEDIUM,Oct–Nov 2026 — Call now (HOT by Oct),8.0,False,INC rating hits ULTRA HOT on 2027-01-13 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Power / Other
Sri Savitr Solar Private Limited,Infomerics,Q1 2027,Long Term Facilities | Short Term Facilities,IVR B (INC) (Downgraded),2025-12-09,70.0,HOT,Sep–Oct 2026 — Call 3 months ahead,7.5,False,INC rating hits ULTRA HOT on 2026-12-09 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Renewable / Green
Chhabeela Energy Foods Pvt. Ltd.,CRISIL,Q2 2027,Fund based financial facility/instrument | Long term Loans,B,2026-04-23,65.0,LOW (<90 days),HOT by Jan 2027,15.0,False,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Veesons Energy Systems Pvt. Ltd.,CRISIL,Q2 2027,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,D,2026-04-10,64.56,LOW (<90 days),HOT by Jan 2027,17.0,False,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Hartek Power Pvt. Ltd.,BRICKWORK,Q1 2027,Bank Guarantee | Letter of Credit,BB-,2026-03-10,61.0,LOW/MEDIUM,Dec 2026 – Jan 2027,7.0,False,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Diwanka Energy Pvt. Ltd.,CRISIL,Q1 2027,Term Loan | Bank Guarantee,B,2026-03-27,52.0,LOW/MEDIUM,Dec 2026 – Jan 2027,9.0,False,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Kilavikulam Rajalakshmi Solar Power Developer Pvt. Ltd.,IND-RA,Q1 2027,Term Loan,BB,2025-12-29,51.21,HOT,Sep–Oct 2026 — Call 3 months ahead,10.0,False,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Renewable / Green
Brua Hydrowatt Pvt. Ltd.,CARE,Q1 2027,Term Loan | Bank Guarantee,B,2025-12-22,50.0,HOT,Sep–Oct 2026 — Call 3 months ahead,9.0,False,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Renewable / Green
Dayal Energy & Protein Private Limited,Infomerics,Q1 2027,Long Term Instruments /Facilities | Short Term Instruments /Facilities,IVR BB (INC) (Downgraded),2026-01-30,49.0,LOW/MEDIUM,Oct–Nov 2026 — Call now (HOT by Oct),6.0,False,INC rating hits ULTRA HOT on 2027-01-30 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Power / Other
Power Max (India) Pvt. Ltd.,IND-RA,Q2 2027,Non-government debt,D,2026-04-02,48.15,LOW (<90 days),HOT by Jan 2027,20.0,True,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Savair Energy Ltd.,CARE,Q2 2027,Non-government debt,D,2026-04-09,47.0,LOW (<90 days),HOT by Jan 2027,20.0,True,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Tirupati Oil Cake Industries Private Limited,Infomerics,Q1 2027,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-12-26,44.0,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-26 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Oil & Gas
Venkateswara Electrical Inds. Pvt. Ltd.,CRISIL,Q1 2027,Bank Guarantee | Letter of Credit,A 4+,2026-03-11,39.0,LOW/MEDIUM,Dec 2026 – Jan 2027,7.0,False,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Power Engineering (India) Private Limited,Infomerics,Q1 2027,Short Term Bank Facilities | Long Term Facilities,IVR A4 (INC) (Downgraded),2026-01-16,38.17,LOW/MEDIUM,Oct–Nov 2026 — Call now (HOT by Oct),7.5,False,INC rating hits ULTRA HOT on 2027-01-16 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Power / Other
Surana Telecom & Power Ltd.,CARE,Q2 2027,Bank Guarantee | Term loans,A 4,2026-04-07,35.71,LOW (<90 days),HOT by Jan 2027,9.0,False,"INC since Apr 2026 (82 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Samrakshana Electricals Ltd.,CRISIL,Q2 2027,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2026-04-10,32.87,LOW (<90 days),HOT by Jan 2027,12.0,False,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Eneroil Offshore Drilling Ltd.,CARE,Q1 2027,NCD/Bond | Fund-Based,BB-/A4,2026-03-20,30.0,LOW/MEDIUM,Dec 2026 – Jan 2027,45.0,True,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Telawne Power Equipments Pvt. Ltd.,IND-RA,Q2 2027,Non-government debt,B/A4,2026-04-28,28.0,LOW (<90 days),HOT by Jan 2027,20.0,True,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
SVR Electricals Private Limited,Infomerics,Q1 2027,Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee | Proposed Long Term Fund Based Bank Facility - Cash Credit | Proposed Short Term Non- Fund Based Bank Facility - Letter of Credit,IVR C/IVR A4; (INC) (Downgraded/Reaffirmed),2025-12-02,27.0,HOT,Sep–Oct 2026 — Call 3 months ahead,9.0,False,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Power / Other
Marsons Energy Pvt. Ltd.,CRISIL,Q1 2027,Bank Guarantee | Letter of Credit,A 4,2026-03-27,25.0,LOW/MEDIUM,Dec 2026 – Jan 2027,7.0,False,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Vinayak Oil & Fats Pvt. Ltd.,CARE,Q1 2027,Letter of Credit | Bank Guarantee,A 4,2025-12-24,23.5,HOT,Sep–Oct 2026 — Call 3 months ahead,7.0,False,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Global Powersource (India) Private Limited,Infomerics,Q1 2027,Long Term Bank Facility | Short Term Bank Facility,IVR D (INC)(Reaffirmed),2026-02-10,23.0,LOW/MEDIUM,Nov–Dec 2026,8.0,False,INC rating hits ULTRA HOT on 2027-02-10 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Feb 2027. ACER is your best alternative — no competitor has approached you.,Power / Other
Dhanlaxmi Electricals Pvt. Ltd.,IND-RA,Q2 2027,Non-government debt,D,2026-04-02,23.0,LOW (<90 days),HOT by Jan 2027,20.0,True,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
S R M Power Pvt. Ltd.,IND-RA,Q2 2027,Term loans,D,2026-04-02,22.72,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Pellet-Energy Systems Pvt. Ltd.,CARE,Q2 2027,Term loans,D,2026-04-24,22.5,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
A P S Hydro Pvt. Ltd.,CRISIL,Q1 2027,Bank Guarantee | Term Loan,A 4,2025-12-05,21.0,HOT,Sep–Oct 2026 — Call 3 months ahead,13.0,False,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Renewable / Green
Dee Control & Electric Pvt. Ltd.,CRISIL,Q1 2027,Bank Guarantee | Letter of Credit,A 4,2025-12-19,20.0,HOT,Sep–Oct 2026 — Call 3 months ahead,7.0,False,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Shakun Gases Pvt. Ltd.,CRISIL,Q1 2027,Letter of Credit,A 4,2025-12-22,20.0,HOT,Sep–Oct 2026 — Call 3 months ahead,3.0,False,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Capital Electricals Pvt. Ltd.,CRISIL,Q2 2027,Bank Guarantee | Letter Of credit | Short-term loan,A 4,2026-04-24,20.0,LOW (<90 days),HOT by Jan 2027,10.0,False,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Liquinox Gases Pvt. Ltd.,CRISIL,Q1 2027,Term Loan,BB+,2025-12-08,19.0,HOT,Sep–Oct 2026 — Call 3 months ahead,5.0,False,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Mahendra Sponge & Power Ltd.,ACUITE,Q1 2027,Short-Term Loan,A 4+,2026-02-20,18.23,LOW/MEDIUM,Nov–Dec 2026,3.0,False,INC rating hits ULTRA HOT on 2027-02-20 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Unistar Oils Private Limited,Infomerics,Q1 2027,Short Term Bank Facilities | Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2026-01-08,15.0,LOW/MEDIUM,Oct–Nov 2026 — Call now (HOT by Oct),7.5,False,INC rating hits ULTRA HOT on 2027-01-08 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Oil & Gas
Satya Power & Ispat Ltd.,BRICKWORK,Q2 2027,Bank Guarantee | Letter Of credit,A 4,2026-04-06,15.0,LOW (<90 days),HOT by Jan 2027,7.0,False,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Q1 2027,Bank Guarantee | Short-Term Loan | Term Loan,A 4,2025-12-26,15.0,HOT,Sep 2026 — RM,12.0,False,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Power / Other
Krishna Valley Power Pvt. Ltd.,IND-RA,Q2 2027,Term loans,D,2026-04-02,14.68,LOW (<90 days),HOT by Jan 2027,5.0,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Power / Other
Tulsa Gas Technologies India Pvt. Ltd.,CRISIL,Q1 2027,Bank Guarantee,A 4,2026-03-30,14.0,LOW/MEDIUM,Dec 2026 – Jan 2027,4.0,False,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Oil & Gas
Su-Solartech Systems Pvt. Ltd.,CRISIL,Q2 2027,Bank Guarantee | Fund based financial facility/instrument,A 4,2026-04-30,13.0,LOW (<90 days),HOT by Jan 2027,13.0,False,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Renewable / Green
