Company_Name,Rating_Date,Instruments,Size,Current_Rating,Outlook,Days_Since_Rating,Urgency,Current_Rater,Why_Target,ACER_Pitch
GRK Theatres Private Limited,"June 30, 2025",Long Term Bank Facilities,Rs. 51.25 Cr.,IVR C+ (INC)(Downgraded),Negative,357,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Saurashtra Fuels Private Limited,"June 30, 2025",Long Term Bank Facilities,Rs. 85.00 Cr.,IVR BB (INC)(Downgraded),Negative,357,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Saurashtra Fuels Private Limited,"June 30, 2025",Short Term Bank Facilities,Rs. 175.00 Cr.,IVR A4 (INC)(Downgraded),Nil,357,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shree Gajanan Paper and Boards Private Limited (SGBPL),"July 1, 2025",Long Term Facilities,Rs. 60.02 Cr.,IVR BB- (INC)(Downgraded),Negative,356,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shree Gajanan Paper and Boards Private Limited (SGBPL),"July 1, 2025",Short Term Facilities,Rs. 5.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,356,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ario Infrastructure Private Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 4.00 Cr.,IVR C+ (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ario Infrastructure Private Limited,"July 3, 2025",Long Term/ Short Term Bank Facilities,Rs. 20.00 Cr.,IVR C+/IVR A4; (INC)(Downgraded/Reaffirmed),Negative/-,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Tanvi Foods (India) Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 24.20 Cr.,IVR B (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sparsh Hospitals & Critical Care Private Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 11.47 Cr.,IVR B (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ario Infrastructure Private Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 4.00 Cr.,IVR C+ (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ario Infrastructure Private Limited,"July 3, 2025",Long Term/ Short Term Bank Facilities,Rs. 20.00 Cr.,IVR C+/IVR A4; (INC)(Downgraded/Reaffirmed),Negative/-,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Tanvi Foods (India) Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 24.20 Cr.,IVR B (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Sparsh Hospitals & Critical Care Private Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 11.47 Cr.,IVR B (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ayyappa Cotton Mills Private Limited,"July 3, 2025",Fund Based Long Term Bank Facilities,Rs. 26.44 Cr.,IVR B+ (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Ayyappa Cotton Mills Private Limited,"July 3, 2025",Fund Based Long Term Bank Facilities - Proposed,Rs. 1.76 Cr.,IVR B+ (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Karnavati Infrastructure Private Limited,"July 3, 2025",Long Term Bank Facility,Rs. 4.25 Cr.,IVR B (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Karnavati Infrastructure Private Limited,"July 3, 2025",Short Term Bank Facility,Rs. 10.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
SP Sai IT Private Limited,"July 3, 2025",Long Term Bank Facilities,Rs. 100.00 Cr.,IVR BB+ (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Satkar Foods,"July 3, 2025",Long Term Bank Facilities,Rs. 26.16 Cr.,IVR B+ (INC)(Downgraded),Negative,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Satkar Foods,"July 3, 2025",Short Term Bank Facilities,Rs. 23.00 Cr.,IVR A4 (INC) (Reaffirmed),Nil,354,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Panchanan Cold Storage Private Limited,"July 4, 2025",Long Term Bank Facility,Rs. 10.08 Cr.,IVR C- (INC)(Reaffirmed),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Debjyoti Pulp And Paper Private Limited,"July 4, 2025",Long Term Bank Facility,Rs. 14.90 Cr.,IVR C+ (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Jain Agro Industries,"July 4, 2025",Long Term Bank Facility,Rs. 36.55 Cr.,IVR B+ (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
DDN SFA Limited,"July 4, 2025",Long Term Bank Facilities,Rs. 53.17 Cr.,IVR B+ (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
DDN SFA Limited,"July 4, 2025",Short Term Bank Facilities,Rs. 10.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Bogmallo Enterprises Private Limited,"July 4, 2025",Long Term Bank Facilities,Rs. 137.5 Cr.,IVR BB+ (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Bogmallo Enterprises Private Limited,"July 4, 2025",Short Term Bank Facilities,Rs. 0.80 Cr.,IVR A4+ (INC)(Downgraded),Nil,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Uniclan Hygiene Private Limited,"July 4, 2025",Long Term Bank Facilities,Rs. 32.25 Cr.,IVR BB- (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Uniclan Hygiene Private Limited,"July 4, 2025",Short Term Bank Facility,Rs. 1.50 Cr.,IVR A4 (INC)(Reaffirmed),Nil,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shivam Cotton Industries,"July 4, 2025",Long Term Instruments/Facilities,Rs. 12.00 Cr.,IVR B (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Radhe Associate,"July 4, 2025",Long Term Facilities,Rs. 19.50 Cr.,IVR BB+ (INC)(Downgraded),Negative,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Radhe Associate,"July 4, 2025",Short Term Facilities,Rs. 20.50 Cr.,IVR A4+ (INC)(Downgraded),Nil,353,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Raudra Technocrats Private Limited,"July 7, 2025",Long Term Bank Facilities- Cash Credit,Rs. 5.00 Cr.,IVR B- (INC)(Reaffirmed),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Raudra Technocrats Private Limited,"July 7, 2025",Long Term Bank Facilities- Proposed Term loan,Rs. 2.50 Cr.,IVR B- (INC)(Reaffirmed),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Raudra Technocrats Private Limited,"July 7, 2025",Short Term Non fund based limits,Rs. 5.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Marda Industries Private Limited,"July 7, 2025",Long Term Bank Facilities - Cash Credit,Rs. 1.35 Cr.,IVR C+ (INC)(Downgraded),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Marda Industries Private Limited,"July 7, 2025",Long Term Bank Facilities - Term Loan,Rs. 11.50 Cr.,IVR C+ (INC)(Reaffirmed),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Raudra Technocrats Private Limited,"July 7, 2025",Long Term Bank Facilities- Cash Credit,Rs. 5.00 Cr.,IVR B- (INC)(Reaffirmed),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Raudra Technocrats Private Limited,"July 7, 2025",Long Term Bank Facilities- Proposed Term loan,Rs. 2.50 Cr.,IVR B- (INC)(Reaffirmed),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Raudra Technocrats Private Limited,"July 7, 2025",Short Term Non fund based limits,Rs. 5.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Marda Industries Private Limited,"July 7, 2025",Long Term Bank Facilities - Cash Credit,Rs. 1.35 Cr.,IVR C+ (INC)(Downgraded),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Marda Industries Private Limited,"July 7, 2025",Long Term Bank Facilities - Term Loan,Rs. 11.50 Cr.,IVR C+ (INC)(Reaffirmed),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Primacy Industries Private Limited,"July 7, 2025",Long Term Fund Based Bank Facilities,Rs. 82.38 Cr.,IVR BB (INC)(Downgraded),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Primacy Industries Private Limited,"July 7, 2025",Optionally Convertible Debentures,Rs. 28.80 Cr.,IVR BB (INC)(Downgraded),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Primacy Industries Private Limited,"July 7, 2025",Compulsory Convertible Debentures,Rs. 5.33 Cr.,IVR BB (INC)(Downgraded),Negative,350,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prathu Ginning Mill Private Limited (Erstwhile Nandi Cotton Ginning Mill Private Limited),"July 8, 2025",Long Term Bank Facilities,Rs. 22.61 Cr.,IVR BB- (INC)(Downgraded),Negative,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prathu Ginning Mill Private Limited (Erstwhile Nandi Cotton Ginning Mill Private Limited),"July 8, 2025",Short Term Bank Facilities,Rs. 4.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Safeco Hygiene Films Private Limited,"July 8, 2025",Long Term Bank Facilities,Rs. 8.22 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Safeco Hygiene Films Private Limited,"July 8, 2025",Short Term Bank Facilities,Rs. 1.05 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prathu Ginning Mill Private Limited (Erstwhile Nandi Cotton Ginning Mill Private Limited),"July 8, 2025",Long Term Bank Facilities,Rs. 22.61 Cr.,IVR BB- (INC)(Downgraded),Negative,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Prathu Ginning Mill Private Limited (Erstwhile Nandi Cotton Ginning Mill Private Limited),"July 8, 2025",Short Term Bank Facilities,Rs. 4.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Safeco Hygiene Films Private Limited,"July 8, 2025",Long Term Bank Facilities,Rs. 8.22 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Safeco Hygiene Films Private Limited,"July 8, 2025",Short Term Bank Facilities,Rs. 1.05 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Agson Global Private Limited,"July 8, 2025",Long Term Bank Facilities,Rs. 1544.00 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Agson Global Private Limited,"July 8, 2025",Short Term Bank Facilities,Rs. 150.00 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shree Ram Proteins Limited,"July 8, 2025",Long Term Bank Facilities,Rs. 37.15 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Shree Ram Proteins Limited,"July 8, 2025",Short Term Bank Facilities,Rs. 0.10 Cr.,IVR D (INC)(Reaffirmed),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Siva Sai Exports,"July 8, 2025",Long Term Bank Facilities,Rs. 17.91 Cr.,IVR BB (INC)(Downgraded),Negative,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Siva Sai Exports,"July 8, 2025",Short Term Bank Facilities,Rs. 172.09 Cr.,IVR A4 (INC)(Downgraded),Nil,349,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Mitsumi Distribution FZCO,"July 9, 2025",Issuer Rating,-,IVR B (INC)(Downgraded),Negative,348,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Santlal Industries Limited,"July 10, 2025",Long Term Fund based facilities -Cash Credit,Rs. 30.00 Cr.,IVR B+ (INC)(Downgraded),Negative,347,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Santlal Industries Limited,"July 10, 2025",Short Term Fund based facilities Warehouse Receipt Financing,Rs. 70.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,347,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Kapsons Industries Private Limited,"July 10, 2025",Long Term Bank Facilities,Rs. 145.00 Cr.,IVR B+ (INC)(Downgraded),Negative,347,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
PVR Spinning and Weaving Limited,"July 11, 2025",Long Term Facilities,Rs. 36.00 Cr.,IVR B+ (INC)(Downgraded),Negative,346,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
PVR Spinning and Weaving Limited,"July 11, 2025",Long Term Facilities,Rs. 36.00 Cr.,IVR B+ (INC)(Downgraded),Negative,346,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Suriya Spinning Mills,"July 11, 2025",Long Term Bank Facilities,Rs. 44.62 Cr.,IVR BB (INC)(Downgraded),Negative,346,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Lion Fabrics Private Limited,"July 11, 2025",Long Term Bank Facilities,Rs. 92.85 Cr.,IVR D (INC)(Reaffirmed),Nil,346,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Radius & Deserve Land Developers Private Limited,"July 14, 2025",Non-Convertible Debentures,Rs. 302.00 Cr.,IVR D (INC)(Reaffirmed),Nil,343,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vikrma Impex Private Limited,"July 15, 2025",Long Term Bank Facilities,Rs. 6.94 Cr.,IVR BB- (INC)(Downgraded),Negative,342,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vikrma Impex Private Limited,"July 15, 2025",Short Term Bank Facilities,Rs. 26.00 Cr.,IVR A4 (INC)(Reaffirmed),Nil,342,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Vikrma Impex Private Limited,"July 15, 2025",Long Term / Short Term Bank Facilities,Rs. 4.06 Cr.,IVR BB-/IVR A4; (INC)(Downgraded/Reaffirmed),Negative/-,342,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Impact Sare Magnum Townships Private Limited,"July 16, 2025",Long Term Bank Facilities,Rs. 20.10 Cr.,IVR B (INC)(Downgraded),Negative,341,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Impact Sare Magnum Townships Private Limited,"July 16, 2025",Short Term Bank Facilities,Rs. 2.13 Cr.,IVR A4 (INC)(Reaffirmed),Nil,341,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
Impact Sare Magnum Townships Private Limited,"July 16, 2025",Long Term Bank Facilities,Rs. 20.10 Cr.,IVR B (INC)(Downgraded),Negative,341,HOT,Infomerics,INC at Infomerics — ready for displacement,Your rating is non-cooperative at Infomerics — ACER offers a fresh rerating with faster turnaround
