Company Name,Date,Instruments,Size,Current Ratings,Outlook,Rating_Date,Days_Since,Urgency,In_D365,Match_Type,D365_Agencies,D365_Also_INC,Why_Target,ACER_Pitch
Radha Smelters Private Limited,"April 11, 2022",Long Term Fund Based Facility - Term Loan,Rs. 23.86 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-11,1533.0,ULTRA HOT,True,Exact,"CARE, CRISIL",NO,"ULTRA HOT (1533 days overdue) + MULTI-AGENCY: also in D365 with CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Radha Smelters Private Limited,"April 11, 2022",Long Term Fund Based Facility - SLC COVID 19,Rs. 5.45 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-11,1533.0,ULTRA HOT,True,Exact,"CARE, CRISIL",NO,"ULTRA HOT (1533 days overdue) + MULTI-AGENCY: also in D365 with CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Radha Smelters Private Limited,"April 11, 2022",Long Term Fund Based Facility - SLC COVID19,Rs. 15.47 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-11,1533.0,ULTRA HOT,True,Exact,"CARE, CRISIL",NO,"ULTRA HOT (1533 days overdue) + MULTI-AGENCY: also in D365 with CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Radha Smelters Private Limited,"April 11, 2022",Long Term Fund Based Facility - SLC COVID19,Rs. 0.50 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-11,1533.0,ULTRA HOT,True,Exact,"CARE, CRISIL",NO,"ULTRA HOT (1533 days overdue) + MULTI-AGENCY: also in D365 with CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Agrawal Global Infratech Private Limited,"April 18, 2022",Long Term Bank Facilities,Rs. 26.00 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-18,1526.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL",YES,"ULTRA HOT (1526 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Agrawal Global Infratech Private Limited,"April 18, 2022",Short Term Bank Facilities,Rs. 9.00 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-18,1526.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL",YES,"ULTRA HOT (1526 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Agrawal Global Infratech Private Limited,"April 18, 2022",Long Term Bank Facilities,Rs. 26.00 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-18,1526.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL",YES,"ULTRA HOT (1526 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Agrawal Global Infratech Private Limited,"April 18, 2022",Short Term Bank Facilities,Rs. 9.00 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-18,1526.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL",YES,"ULTRA HOT (1526 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
N.R. Ispat & Power Private Limited,"April 29, 2022",Long Term Bank Facilities,Rs. 47.50 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-29,1515.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL",NO,"ULTRA HOT (1515 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
N.R. Ispat & Power Private Limited,"April 29, 2022",Short Term Bank Facilities,Rs. 2.50 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2022-04-29,1515.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL",NO,"ULTRA HOT (1515 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Rustam Foods Private Limited (RFPL),"May 23, 2022",Long Term Fund Based Facilities,Rs. 2.37 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-05-23,1491.0,ULTRA HOT,True,Fuzzy,ACUITE,NO,ULTRA HOT (1491 days overdue) + MULTI-AGENCY: also in D365 with ACUITE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Rustam Foods Private Limited (RFPL),"May 23, 2022",Short Term Non Fund Based Facilities,Rs. 22.63 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2022-05-23,1491.0,ULTRA HOT,True,Fuzzy,ACUITE,NO,ULTRA HOT (1491 days overdue) + MULTI-AGENCY: also in D365 with ACUITE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Bravo Sponge Iron Private Limited,"November 17, 2022",Long Term Bank Facilities,Rs. 167.29 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2022-11-17,1313.0,ULTRA HOT,True,Exact,"ACUITE, CARE, CRISIL",NO,"ULTRA HOT (1313 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Bravo Sponge Iron Private Limited,"November 17, 2022",Short Term Bank Facilities,Rs. 40.50 Cr.,IVR A4+ (INC)(Reaffirmed and withdrawn),Nil,2022-11-17,1313.0,ULTRA HOT,True,Exact,"ACUITE, CARE, CRISIL",NO,"ULTRA HOT (1313 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Ajanta Spintex Private Limited,"December 20, 2022",Long Term Bank Facilities,Rs. 29.77 Cr.,IVR B (INC)(Reaffirmed and Withdrawn),Nil,2022-12-20,1280.0,ULTRA HOT,True,Exact,"ACUITE, CARE, CRISIL",YES,"ULTRA HOT (1280 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Ajanta Spintex Private Limited,"December 20, 2022",Short Term Bank Facilities,Rs. 0.05 Cr.,IVR A4 (INC)(Reaffirmed and Withdrawn),Nil,2022-12-20,1280.0,ULTRA HOT,True,Exact,"ACUITE, CARE, CRISIL",YES,"ULTRA HOT (1280 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Ajanta Spintex Private Limited,"December 20, 2022",Long/Short Term Bank Facilities,Rs. 1.10 Cr.,IVR B/IVR A4; (INC)(Reaffirmed and Withdrawn),Nil,2022-12-20,1280.0,ULTRA HOT,True,Exact,"ACUITE, CARE, CRISIL",YES,"ULTRA HOT (1280 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CARE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Parmeshwari Silk Mills Limited,"December 26, 2022",Long Term Bank Facilities,Rs. 62.00 Cr.,IVR BB (INC)(Reaffirmed & Withdrawn),Nil,2022-12-26,1274.0,ULTRA HOT,True,Exact,CARE,YES,ULTRA HOT (1274 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Manaksia Coated Metals & Industries Limited,"April 18, 2023",Long Term Bank Facilities,Rs. 15.00 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Negative,2023-04-18,1161.0,ULTRA HOT,True,Fuzzy,ACUITE,NO,ULTRA HOT (1161 days overdue) + MULTI-AGENCY: also in D365 with ACUITE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Clean Coal Enterprises Private Limited,"May 2, 2023",Long Term Bank Facilities,Rs. 20.00 Cr.,IVR BB- (INC)(Reaffirmed & Withdrawn),Negative,2023-05-02,1147.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL, IND-RA",YES,"ULTRA HOT (1147 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL, IND-RA",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Clean Coal Enterprises Private Limited,"May 2, 2023",Short Term Bank Facilities,Rs. 5.00 Cr.,IVR A4 (INC)(Reaffirmed & Withdrawn),Nil,2023-05-02,1147.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL, IND-RA",YES,"ULTRA HOT (1147 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL, IND-RA",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Clean Coal Enterprises Private Limited,"May 2, 2023",Long Term Bank Facilities,Rs. 20.00 Cr.,IVR BB- (INC)(Reaffirmed & Withdrawn),Negative,2023-05-02,1147.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL, IND-RA",YES,"ULTRA HOT (1147 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL, IND-RA",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Clean Coal Enterprises Private Limited,"May 2, 2023",Short Term Bank Facilities,Rs. 5.00 Cr.,IVR A4 (INC)(Reaffirmed & Withdrawn),Nil,2023-05-02,1147.0,ULTRA HOT,True,Exact,"ACUITE, CRISIL, IND-RA",YES,"ULTRA HOT (1147 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL, IND-RA",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Earth Minerals Company Limited,"May 2, 2023",Long Term Bank Facilities,Rs. 20.00 Cr.,IVR B+ (INC)(Reaffirmed & Withdrawn),Negative,2023-05-02,1147.0,ULTRA HOT,True,Fuzzy,"ACUITE, CRISIL",YES,"ULTRA HOT (1147 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Earth Minerals Company Limited,"May 2, 2023",Short Term Bank Facilities,Rs. 30.00 Cr.,IVR A4 (INC)(Reaffirmed & Withdrawn),Nil,2023-05-02,1147.0,ULTRA HOT,True,Fuzzy,"ACUITE, CRISIL",YES,"ULTRA HOT (1147 days overdue) + MULTI-AGENCY: also in D365 with ACUITE, CRISIL",MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long term Bank Facilities - Term Loan,Rs. 50.27 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long term Bank Facilities - CECL/GECL 2.0,Rs. 35.59 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long term Bank Facilities - Cash Credit,Rs. 100.00 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Short term Bank Facilities - Standby Line of Credit,Rs. 8.45 Cr.,IVR A4+ (INC)(Withdrawn),Nil,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Short term Bank Facilities - LC/BGs,Rs. 70.00 Cr.,IVR A4+ (INC)(Withdrawn),Nil,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long/Short term Bank Facilities (Proposed),Rs. 4.56 Cr.,IVR BB+/IVR A4+; (INC)(Withdrawn),Stable/-,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - Term Loan,Rs. 77.90 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - CECL,Rs. 0.39 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - Cash Credit,Rs. 28.90 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Short term Bank Facilities - LC,Rs. 5.00 Cr.,IVR A4+ (INC)(Withdrawn),Nil,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - Proposed,Rs. 1.96 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long term Bank Facilities - Term Loan,Rs. 50.27 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long term Bank Facilities - CECL/GECL 2.0,Rs. 35.59 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long term Bank Facilities - Cash Credit,Rs. 100.00 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Short term Bank Facilities - Standby Line of Credit,Rs. 8.45 Cr.,IVR A4+ (INC)(Withdrawn),Nil,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Short term Bank Facilities - LC/BGs,Rs. 70.00 Cr.,IVR A4+ (INC)(Withdrawn),Nil,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Chemicals Limited (VCL),"May 3, 2023",Long/Short term Bank Facilities (Proposed),Rs. 4.56 Cr.,IVR BB+/IVR A4+; (INC)(Withdrawn),Stable/-,2023-05-03,1146.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - Term Loan,Rs. 77.90 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - CECL,Rs. 0.39 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - Cash Credit,Rs. 28.90 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Short term Bank Facilities - LC,Rs. 5.00 Cr.,IVR A4+ (INC)(Withdrawn),Nil,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Vishnu Barium Private Limited,"May 3, 2023",Long term Bank Facilities - Proposed,Rs. 1.96 Cr.,IVR BB+ (INC)(Withdrawn),Stable,2023-05-03,1146.0,ULTRA HOT,True,Exact,CARE,NO,ULTRA HOT (1146 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Shah Nanji Nagsi Export Private Limited,"May 8, 2023",Long/Short Term Bank Facilities,Rs. 15.00 Cr.,IVR BB (INC)(Reaffirmed and Withdrawn),Negative,2023-05-08,1141.0,ULTRA HOT,True,Fuzzy,BRICKWORK,YES,ULTRA HOT (1141 days overdue) + MULTI-AGENCY: also in D365 with BRICKWORK,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Shah Nanji Nagsi Export Private Limited,"May 8, 2023",Short Term Bank Facilities,Rs. 55.00 Cr.,IVR A4 (INC)(Reaffirmed and Withdrawn),Nil,2023-05-08,1141.0,ULTRA HOT,True,Fuzzy,BRICKWORK,YES,ULTRA HOT (1141 days overdue) + MULTI-AGENCY: also in D365 with BRICKWORK,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Choice Trading Corporation Private Limited,"May 26, 2023",Long Term Fund Based Bank Facility - Pre/Post shipment Long Term Bank Facilities,Rs. 165.00 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Negative,2023-05-26,1123.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1123 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Choice Trading Corporation Private Limited,"May 26, 2023",Short Term Non Fund Based Bank Facility - LC/BG/FBD(LC),Rs. 7.45 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2023-05-26,1123.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1123 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Choice Trading Corporation Private Limited,"May 26, 2023",Short Term Non Fund Based Bank Facility - Forward Contract,Rs. 13.77 Cr.,IVR A4+ (INC)(Reaffirmed and Withdrawn),Nil,2023-05-26,1123.0,ULTRA HOT,True,Fuzzy,CARE,NO,ULTRA HOT (1123 days overdue) + MULTI-AGENCY: also in D365 with CARE,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
Enviro Infra Engineers Private Limited,"July 19, 2023",Long Term Bank Facilities,Rs. 41.50 Cr.,IVR BB+ (INC)(Reaffirmed and Withdrawn),Nil,2023-07-19,1069.0,ULTRA HOT,True,Exact,CRISIL,NO,ULTRA HOT (1069 days overdue) + MULTI-AGENCY: also in D365 with CRISIL,MAXIMUM PRIORITY — INC at Infomerics + present at multiple D365 agencies. ACER can displace all current raters with single engagement.
