Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch,Multi_Agency
Mili Steels Private Limited (MSPL),Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB- (Reaffirmed and Withdrawn),2023-02-07,1232.0,ULTRA HOT,False,,Rs. 20.58 Cr. | Rs. 8.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Manaksia Coated Metals & Industries Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-04-18,1162.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1162.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Rama Power and Steel Private Limited,Infomerics,Long Term Bank Facilities,Withdrawn,2023-04-27,1153.0,ULTRA HOT,False,,Rs. 20.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
SKA Steel & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-30,1120.0,ULTRA HOT,True,Infomerics,Rs. 68.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 1120.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Laxcon Steels Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR A- (Reaffirmed and Withdrawn),2023-06-12,1107.0,ULTRA HOT,False,,Rs. 167.25 Cr. | Rs. 90.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
RKSK Steel India Private Limited,Infomerics,Long Term Bank Facilities,Withdrawn,2023-08-09,1049.0,ULTRA HOT,False,,-,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Shivalik Power & Steel Private Limited,Infomerics,Long Term Bank Facilities,Withdrawn,2023-09-28,999.0,ULTRA HOT,False,,-,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
AIC Iron Industries Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR A- (Reaffirmed and Withdrawn),2023-10-16,981.0,ULTRA HOT,False,,Rs. 127.52 Cr. | Rs. 11.75 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Gagan Ferrotech Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2023-10-19,978.0,ULTRA HOT,True,Infomerics,Rs. 210.72 CR. | Rs. 93.75 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 978.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Giriraj Iron Limited,Infomerics,Long Term Fund based facilities Cash Credit | Long Term/ Short Term Fund based/ Non-Fund based facilities Letter of Credit,Withdrawn,2024-02-16,858.0,ULTRA HOT,False,,0.00 (Previously Rs. 20.00 Cr.) | 0.00 (Previously Rs.15.00 Cr.),Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Shabro Metallics Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB- (Reaffirmed and Withdrawn),2024-08-02,690.0,ULTRA HOT,False,,Rs. 8.00 Cr. | Rs. 22.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Kashmir Steel Rolling Mills,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2024-08-16,676.0,ULTRA HOT,False,,Rs. 74.64 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Matsyodari Steel And Alloy Private Limited,Infomerics,Long Term Bank Facilities - Cash Credit | Long Term Bank Facilities - Term Loans | Short Term Facilities - Bank Guarantee,IVR BBB- (Reaffirmed & Withdrawn),2024-10-03,628.0,ULTRA HOT,False,,Rs. 40.00 Cr. | Rs. 75.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Hariom Ingots and Power Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB+ (Downgraded),2024-12-03,567.0,ULTRA HOT,False,,Rs. 26.50 Cr. (enhanced from Rs. 25.61 Cr.) | Rs. 7.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Kedsati Iron & Steel Private Limited,Infomerics,Long Term Bank Facilities | Long Term/ Short Term Bank Facilities,Withdrawn,2024-12-06,564.0,ULTRA HOT,False,,-,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Saatvik Ferro Limited,Infomerics,Long Term/ Short Term Bank Facility | Short Term Bank Facility,IVR BB+/IVR A4+; (INC)(Downgraded),2024-12-27,543.0,ULTRA HOT,True,Infomerics,Rs. 15.00 Cr. | Rs. 10.00 Cr. (includes proposed limit of Rs. 10.00 Cr.),Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 543.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Rayalaseema Steel Re Rolling Mills Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facility,IVR B+ (INC)(Downgraded),2024-12-31,539.0,ULTRA HOT,True,Infomerics,Rs. 45.75 Cr. | Rs. 3.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 539.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Paavan Steel Tech Private Limited,Infomerics,Long Term Facilities | Short Term Facilities,IVR BBB- (Assigned),2025-01-01,538.0,ULTRA HOT,False,,Rs. 61.80 Cr. | Rs. 3.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Jay Bharat Steel Corporation,Infomerics,Long Term Bank Facility | Short Term Bank Facility,IVR BBB- (Assigned),2025-01-03,536.0,ULTRA HOT,False,,Rs. 40.00 Cr. | Rs. 85.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Om Shree Rupesh Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-03,536.0,ULTRA HOT,False,,Rs. 48.25 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Zeon Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-03,536.0,ULTRA HOT,False,,Rs. 10.75 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Mono Steel India Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-01-06,533.0,ULTRA HOT,False,,Rs. 142.00 Cr. (Enhanced from Rs. 52.00 Crore) | Rs. 188.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Inalco Metal Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-08,531.0,ULTRA HOT,False,,Rs. 50.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Tirupati Steel Enterprises,Infomerics,Long-Term Bank Facilities,IVR BBB- (Upgraded),2025-01-14,525.0,ULTRA HOT,False,,Rs. 55.50 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Geetai Steels Private Limited,Infomerics,Long Term Bank Facilities | Long Term Bank Facilities - Proposed | Short Term Bank Facilities,IVR BBB (Assigned),2025-01-21,518.0,ULTRA HOT,False,,Rs. 180.18 Cr. | Rs. 30.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Surya Ferrous Alloys Private Limited,Infomerics,Long Term Bank Facilities | Proposed Short Term Bank Facilities | Short Term Bank Facilities,IVR BBB- (Reaffirmed),2025-01-21,518.0,ULTRA HOT,False,,Rs. 42.47 Cr. | Rs. 9.94 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Balu Iron & Steel Company,Infomerics,Long Term Bank Facilities | Long Term/ Short Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 126.33 Cr. | Rs. 0.91 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
D.M. Metalloys Private Limited,Infomerics,Long Term Bank Facilities- Cash Credit | Long Term Bank Facilities- GECL | Long Term Bank Facilities- OD against FD,IVR BBB- (Assigned),2025-01-27,512.0,ULTRA HOT,False,,Rs. 48.00 Cr. | Rs. 0.76 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
MSR Iron and Steel Industries India Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 30.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Metalfab Hightech Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-27,512.0,ULTRA HOT,True,Infomerics,Rs. 59.61 Cr. | Rs. 50.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 512.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Faridabad Steel Mongers Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-01-30,509.0,ULTRA HOT,False,,Rs. 80.89 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
GBR Metals Private Limited,Infomerics,Long Term Facilities,IVR BBB- (Reaffirmed),2025-01-30,509.0,ULTRA HOT,False,,Rs. 72.78 Cr. (Enhanced from Rs. 57.00 Crore),Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ramesh Iron & Steel Company India Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-31,508.0,ULTRA HOT,True,Infomerics,Rs. 106.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 508.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Amex Alloys Private Limited,Infomerics,Long Term Fund Based Facilities | Proposed Long Term Fund Based Facilities,IVR BBB- (Assigned),2025-02-05,503.0,ULTRA HOT,False,,Rs. 27.50 Cr. | Rs. 15.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Rashmi Sponge Iron And Power Industries Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB+ (Upgraded),2025-02-05,503.0,ULTRA HOT,False,,Rs. 59.25 Cr. | Rs. 15.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Sky Alloys and Power Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR A- (Reaffirmed)(Withdrawn),2025-02-10,498.0,ULTRA HOT,False,,Rs. 153.04 Cr. | Rs. 51.96 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ghankun Steels Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR A- (Assigned),2025-02-14,494.0,ULTRA HOT,False,,Rs. 37.81 Cr. | Rs. 47.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Maruti Ferrous Private Limited,Infomerics,Long Term Bank Facilities,IVR A- (Assigned),2025-02-14,494.0,ULTRA HOT,False,,Rs. 38.96 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
National Steel Company,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-02-17,491.0,ULTRA HOT,True,Infomerics,Rs. 30.20 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 491.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Gasha Steels Private Limited,Infomerics,Long Term Facilities | Short Term Facilities,IVR BBB- (Assigned),2025-02-18,490.0,ULTRA HOT,False,,Rs. 4.20 Cr. | Rs. 15.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Rajasthan Metals,Infomerics,Long Term Bank Facilities | Short Term Bank Facility,IVR B+ (INC)(Downgraded),2025-02-18,490.0,ULTRA HOT,True,Infomerics,Rs. 6.00 Cr. | Rs. 14.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 490.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Thieh Ingots Private Limited,Infomerics,Long Term Facilities | Short Term Facilities,IVR BBB- (Assigned),2025-02-18,490.0,ULTRA HOT,False,,Rs. 5.13 Cr. | Rs. 10.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Nandana Metals and Mining Limited,Infomerics,Long Term Fund-Based Bank Facilities | Long Term Fund-Based Bank Facilities - Proposed,IVR BBB- (Assigned),2025-02-19,489.0,ULTRA HOT,False,,Rs. 25.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Manaksia Aluminium Company Limited,Infomerics,Long Term Bank Facilities | Long Term/Short Term Bank Facilities | Short Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-02-25,483.0,ULTRA HOT,False,,Rs. 63.15 Cr. | Rs. 100.50 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Animesh Steel and Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB (Assigned),2025-02-28,480.0,ULTRA HOT,False,,Rs. 160.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
J B Rolling Mills Limited,Infomerics,Long Term Bank Facilities- Cash Credit | Long Term Bank Facilities- GECL | Long Term Bank Facilities- GECL/Term Loan/ Corporate Loan/ Cash Credit,IVR BBB (Reaffirmed),2025-03-04,476.0,ULTRA HOT,False,,Rs. 78.07 Cr. | Rs. 10.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Vakrangee Metal and Minerals Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-03-04,476.0,ULTRA HOT,False,,Rs. 98.43 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Saru Silver Alloys Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB+ (Upgraded),2025-03-06,474.0,ULTRA HOT,False,,(Rs. 5.50 Cr.) | Rs. 22.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Sakthi Ferro Alloys (India) Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (Reaffirmed and Withdrawn),2025-03-17,463.0,ULTRA HOT,False,,Rs. 100.00 Cr. (Reduced from Rs. 123.00 Crore) | Rs. 32.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Shreeyam Power And Steel Industries Limited,Infomerics,Long Term Bank Facilities | Proposed Long Term/Short Term Bank Facilities | Short Term Bank Facilities,IVR BBB+ (Assigned),2025-03-17,463.0,ULTRA HOT,False,,Rs. 100.00 Cr. | Rs. 35.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Namo Alloys Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-03-18,462.0,ULTRA HOT,True,Infomerics,Rs. 50.00 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 462.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sri Kanya Iron & Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-03-20,460.0,ULTRA HOT,True,Infomerics,Rs. 47.79 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 460.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Shreyash Aluminium & Alloys Private Limited,Infomerics,Long Term Bank Facilities | Long Term/ Short Term Bank Facilities | Short Term Bank Facility,Withdrawn,2025-03-24,456.0,ULTRA HOT,False,,- | Rs. 25.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Sanvijay Alloys and Power Limited (SAPL),Infomerics,Long Term Facilities | Long Term Facilities - Proposed Term Loan | Short Term Facilities,IVR BBB+ (Reaffirmed),2025-03-26,454.0,ULTRA HOT,False,,Rs. 723.51 Cr. (Enhanced from Rs. 255.77 Cr.) | Rs. 25.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Windlass Steelcrafts LLP,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB+ (Assigned),2025-03-26,454.0,ULTRA HOT,False,,Rs. 7.92 Cr. | Rs. 10.50 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Chandan Steel Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR A- (Reaffirmed),2025-03-27,453.0,ULTRA HOT,False,,Rs. 27.00 Cr. (Reduced from Rs. 39.60 Cr.) | Rs. 551.00 Cr.,Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Everest Metals FZE,Infomerics,Long Term Bank Facilities | Long Term Fund Based Limits - OD Proposed | Proposed Long Term Bank Facilities,IVR C (INC)(Reaffirmed),2025-03-27,453.0,ULTRA HOT,True,Infomerics,Rs. 76.70 Cr. | Rs. 63.30 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 365+ days overdue — most urgent,Your steel company's rating at Infomerics has been INC for 453.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Laxmikripa Steels & Power Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-03-27,453.0,ULTRA HOT,False,,Rs. 30.00 Cr. (enhanced from Rs. 29.71 Cr.),Infomerics,Steel & Metals,,NO,Active,365+ days overdue — most urgent,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
