Company_D365,Company_Infomerics,D365_Agencies,D365_INC,Infomerics_INC,Both_INC,Max_Days_Since,Urgency,Note
Kashvi Power & Steel Pvt. Ltd.,Kashvi Power & Steel Private Limited,CRISIL,NO,NO,NO,363,HOT,Multi-agency steel company — Infomerics + D365 agency
Manaksia Coated Metals & Inds. Ltd.,Manaksia Coated Metals & Industries Limited,ACUITE,NO,YES,NO,1162,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Metal Care Alloys Pvt. Ltd.,Metal Care Alloys Limited,BRICKWORK | IND-RA,YES,NO,NO,337,HOT,Multi-agency steel company — Infomerics + D365 agency
Millenium Steel India Pvt. Ltd.,Millenium Steel India Private Limited,CARE | CRISIL,YES,YES,YES,342,HOT,Multi-agency steel company — Infomerics + D365 agency
Om Shree Rupesh Steel Pvt. Ltd.,Om Shree Rupesh Steel Private Limited,CRISIL,YES,NO,NO,536,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
R L Steels & Energy Ltd.,R L Steels And Energy Limited,CARE,YES,NO,NO,390,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Ramesh Iron & Steel Co. India Pvt. Ltd.,Ramesh Iron & Steel Company India Private Limited,CARE | IND-RA,YES,YES,YES,508,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Rashmi Sponge Iron & Power Inds. Pvt. Ltd.,Rashmi Sponge Iron And Power Industries Private Limited,BRICKWORK | CARE,YES,NO,NO,503,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Safi Steel Traders Pvt. Ltd.,Safi Steel Traders Private Limited,CRISIL | ICRA,YES,NO,NO,391,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Sakthi Ferro Alloys (India) Pvt. Ltd.,Sakthi Ferro Alloys (India) Private Limited,CARE,NO,NO,NO,463,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Sarvottam Rolling Mills Pvt. Ltd.,Sarvottam Rolling Mills Private Limited,CARE | IND-RA,YES,YES,YES,341,HOT,Multi-agency steel company — Infomerics + D365 agency
Satyam Iron & Steel Co. Pvt. Ltd.,Satyam Iron & Steel Company Private Limited,ACUITE,YES,NO,NO,306,HOT,Multi-agency steel company — Infomerics + D365 agency
Shivam Iron & Steel Co. Ltd.,Shivam Iron & Steel Company Limited,IND-RA,YES,NO,NO,335,HOT,Multi-agency steel company — Infomerics + D365 agency
Shivangi Rolling Mills Pvt. Ltd.,Shivangi Rolling Mills Private Limited,IND-RA,NO,NO,NO,390,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Shree Krishna Rolling Mills (Jaipur) Ltd.,Shree Krishna Rolling Mills (Jaipur) Limited,BRICKWORK | CRISIL,YES,NO,NO,347,HOT,Multi-agency steel company — Infomerics + D365 agency
Shri Mahavir Iron & Steel Pvt. Ltd.,Shri Mahavir Iron & Steel Private Limited,CARE,YES,NO,NO,280,HOT,Multi-agency steel company — Infomerics + D365 agency
Sivana Steel & Power Pvt. Ltd.,Sivana Steel & Power Private Limited,ACUITE | CARE,YES,NO,NO,451,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Sri Kanya Iron & Steel Pvt. Ltd.,Sri Kanya Iron & Steel Private Limited,CARE,NO,YES,NO,460,ULTRA HOT,Multi-agency steel company — Infomerics + D365 agency
Steel Exchange India Ltd.,Steel Exchange India Limited,CARE,NO,NO,NO,258,HOT,Multi-agency steel company — Infomerics + D365 agency
Super Iron Foundry Ltd.,Super Iron Foundry Limited,BRICKWORK | CARE | CRISIL,YES,NO,NO,357,HOT,Multi-agency steel company — Infomerics + D365 agency
Team Ferro Alloys Pvt. Ltd.,Team Ferro Alloys Private Limited,BRICKWORK,YES,NO,NO,329,HOT,Multi-agency steel company — Infomerics + D365 agency
Vimla Fuels & Metals Ltd.,Vimla Fuels & Metals Limited,ACUITE,YES,YES,YES,133,MEDIUM,Multi-agency steel company — Infomerics + D365 agency
