Company Name,Rating Date,Current Rater,Instrument,Grade,Rating,Days Since Rating,Urgency,Why Target,ACER Pitch Angle
Sudhir Agro Oils Pvt. Ltd.,09-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Bellona Paper Mill Pvt. Ltd.,09-05-2025,ICRA,Term loans,High Risk,B+,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rishabh Gold Jewels (India) Pvt. Ltd.,09-05-2025,ICRA,Non-government debt,High Risk,B+/A4,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jeevisha Foods Pvt. Ltd.,09-05-2025,ICRA,Term loans,High Risk,B+,410,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 410 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
M S Life Drug House Pvt. Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Lakhotia Transport Co. Pvt. Ltd.,14-05-2025,ICRA,Non-government debt,High Risk,B+/A4,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ciemme Jewels Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rapid Metrorail Gurgaon Ltd.,14-05-2025,ICRA,Term loans,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ireo Hospitality Co. Pvt. Ltd.,14-05-2025,ICRA,Term loans,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Honest Derivatives Pvt. Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Himangi Foods Pvt. Ltd.,14-05-2025,ICRA,Term loans,High Risk,B+,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rapid Metrorail Gurgaon South Ltd.,14-05-2025,ICRA,Term loans,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
City Tiles Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Globe Civil Projects Ltd.,14-05-2025,ICRA,Non-government debt,High Risk,B+/A4,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Avera Resource Pvt. Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Aircon Engineers Pvt. Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K M Toll Road Pvt. Ltd.,14-05-2025,ICRA,Term loans,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Gonglu Agro Pvt. Ltd.,14-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,405,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 405 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kandhari Beverages Pvt. Ltd.,15-05-2025,ICRA,Non-government debt,Moderate Safety,BBB+/A2,404,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 404 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rama Cylinders Pvt. Ltd.,15-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4+,404,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 404 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Globe Automobiles Pvt. Ltd.,15-05-2025,ICRA,Non-government debt,Inadequate Safety,BB+/A4+,404,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 404 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Gillco Developers & Builders Pvt. Ltd.,16-05-2025,ICRA,Term loans,Default,D,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Harikripa Business Venture Pvt. Ltd.,16-05-2025,ICRA,Term loans,Default,D,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rorito International Pvt. Ltd.,16-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kasturi Commodities Pvt. Ltd.,16-05-2025,ICRA,Non-government debt,Default,D,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Venky Hi-Tech Ispat Ltd.,16-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jop Hotels Ltd.,16-05-2025,ICRA,Term loans,Inadequate Safety,BB,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K L R Industries Ltd.,16-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Giriraj Timber Pvt. Ltd.,16-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Global Buildcon Pvt. Ltd.,16-05-2025,ICRA,Non-government debt,High Risk,B/A4,403,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 403 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K2 Metals Pvt. Ltd.,21-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Abhishek Steel Inds. Pvt. Ltd.,21-05-2025,ICRA,Non-government debt,High Risk,B+/A4,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vertex Techno Solutions (Bangalore) Pvt. Ltd.,21-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
A B C Transformers Pvt. Ltd.,21-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Taloja Steel Service Centre Ltd.,21-05-2025,ICRA,Term loans,Default,D,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Supreme Nutri Grain Pvt. Ltd.,21-05-2025,ICRA,Term loans,High Risk,B,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S J V N Thermal Pvt. Ltd.,21-05-2025,ICRA,Term loans,Inadequate Safety,BB+,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
R K G International Pvt. Ltd.,21-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Primuss Metroll Ltd.,21-05-2025,ICRA,Non-government debt,Substantial Risk,C+/A4,398,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 398 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Celebi Delhi Cargo Terminal Mgmt. India Pvt. Ltd.,22-05-2025,ICRA,Term loans,Inadequate Safety,BB+,397,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 397 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Global Metal & Energy Pvt. Ltd.,22-05-2025,ICRA,Term loans,Default,D,397,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 397 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shree Somnath Iron & Power Pvt. Ltd.,23-05-2025,ICRA,Term loans,High Risk,B+,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Eagle Continental Foods Pvt. Ltd.,23-05-2025,ICRA,Non-government debt,Default,D,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Renaissance Buildhome Pvt. Ltd.,23-05-2025,ICRA,Term loans,High Risk,B+,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jain Vinimay Pvt. Ltd.,23-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Aadi Polymers Pvt. Ltd.,23-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
M E P Sanjose Arawali Kante Road Pvt. Ltd.,23-05-2025,ICRA,Term loans,Default,D,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Regen Powertech Pvt. Ltd.,23-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Truevalue Engineering Pvt. Ltd.,23-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Madhucon Sugar & Power Inds. Ltd.,23-05-2025,ICRA,Term loans,Default,D,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mauli Fresh Agro Inds. Pvt. Ltd.,23-05-2025,ICRA,Term loans,High Risk,B+,396,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 396 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Growmore International Ltd.,26-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,393,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 393 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
P S K Infrastructures & Projects Pvt. Ltd.,26-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,B+,393,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 393 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mahesh Mercandise Pvt. Ltd.,26-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,393,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 393 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Om Threads Pvt. Ltd.,26-05-2025,ICRA,Term loans,High Risk,B+,393,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 393 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Indraprastha Automobiles Pvt. Ltd.,26-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,393,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 393 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Stallion Laboratories Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Safi Steel Traders Pvt. Ltd.,28-05-2025,ICRA,Letter Of credit,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Heurtey Petrochem India Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Gurpreet Galvanising Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sarjan Infracon Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S N N Builders Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Piccadily Holiday Resorts Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vardhman Polytex Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Flender Drives Pvt. Ltd.,28-05-2025,ICRA,Non-government debt,High Risk,B+/A4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Atlas Cycles (Haryana) Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Bestech India Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Caspro Metal Inds. Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vipul Industries Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Marigold Paints Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Neogem India Ltd.,28-05-2025,ICRA,Non-government debt,Default,D,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Narendra Emporis Ltd.,28-05-2025,ICRA,Non-government debt,High Risk,B+/A4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ocean Pearl Hotels Pvt. Ltd.,28-05-2025,ICRA,Non-government debt,Substantial Risk,C+/A4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Marinelines Shipbreakers Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ashoka Distillers & Chemicals Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
G M Sugar & Energy Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Alpine Polyrub Pvt. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sudha Bio Power Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Wave Beverages Pvt. Ltd.,28-05-2025,ICRA,Term loans,High Risk,B+,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Spice Islands Inds. Ltd.,28-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,391,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 391 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
B K Threshers Pvt. Ltd.,29-05-2025,ICRA,Non-government debt,Default,D,390,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 390 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Flyjac Logistics Pvt. Ltd.,29-05-2025,ICRA,Non-government debt,Adequate Safety,A+/A1+,390,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 390 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ovis Equipments Pvt. Ltd.,29-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,B+,390,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 390 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Segam Tiles Pvt. Ltd.,30-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,389,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 389 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K V R Projects Pvt. Ltd.,30-05-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,389,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 389 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Future Corporate Resources Pvt. Ltd.,04-06-2025,ICRA,Term loans,Default,D,384,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 384 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
G A V Agro Pvt. Ltd.,05-06-2025,ICRA,Term loans,Default,D,383,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 383 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Excel Foods Pvt. Ltd.,05-06-2025,ICRA,Term loans,High Risk,B+,383,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 383 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mangalmurti Bio-Chem Pvt. Ltd.,06-06-2025,ICRA,Term loans,High Risk,B,382,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 382 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Anthony Garments Pvt. Ltd.,06-06-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,382,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 382 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sri Venkateswara Aerospace Pvt. Ltd.,11-06-2025,ICRA,Non-government debt,High Risk,B+/A4,377,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 377 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Precimeasure Controls Pvt. Ltd.,11-06-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,377,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 377 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
P R G Buildcon India Pvt. Ltd.,11-06-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,377,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 377 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mayfair Hotels & Resorts Ltd.,11-06-2025,ICRA,Bank Guarantee,Moderate Safety,A 3+,377,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 377 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Atlantic Shipping Pvt. Ltd.,11-06-2025,ICRA,Fund based financial facility/instrument,Inadequate Safety,BB,377,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 377 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Damodar Tradelinks Pvt. Ltd.,11-06-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,377,ULTRA HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 377 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
