Company Name,Primary Agency,All Agencies INC,Num Agencies INC,Primary Instrument,All Instruments,Rating,Rating Date,Days Since Rating,Urgency,Sector,Total Amount Cr,Source,Is Super Target T1,Is Super Target T2,Is Three Way INC,Is April2026 Dual INC,Multi Agency INC,Priority Score,Why Target,ACER Pitch
Vardhman Rice Exports Pvt. Ltd.,ACUITE,ACUITE | CRISIL,2,Fund based financial facility/instrument,Fund based financial facility/instrument | Term loans,INC,,62.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at ACUITE | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
S M Interior Pvt. Ltd.,CARE,CARE | CRISIL,2,Bank Guarantee,Bank Guarantee | Fund based financial facility/instrument | Term loans,INC,,56.0,LOW — JULY PRIORITY,Other,0,D365,0,0,0,1,1,12.0,APRIL 2026 DUAL-INC — July 90-day trigger — fund freeze imminent,Your credit at CARE | CRISIL has been INC since April 2026. July 18 = 90-day mark = funding facilities freeze. ACER can issue a fresh rating in 15 days — call now.
Arya Steels Rolling (India) Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE | CRISIL,3,Letter Of credit,Bank Guarantee | Letter Of credit,A 4,30-05-2025,389.0,ULTRA HOT,Steel & Metals,5.003.005.00,D365,1,0,1,1,1,36.89,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | APRIL 2026 DUAL-INC — July 90-day trigger | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (389 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 389 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
New Modern Technomech Pvt. Ltd.,BRICKWORK,ACUITE | BRICKWORK | CARE | CRISIL,4,Bank Guarantee,Bank Guarantee | Letter Of credit,A 4,19-06-2025,369.0,ULTRA HOT,IT/Software,2.8050.005.0043.00,D365,1,0,1,1,1,36.69,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | APRIL 2026 DUAL-INC — July 90-day trigger | MULTI-AGENCY INC (4 agencies) | ULTRA HOT (369 days INC),"Your rating at ACUITE | BRICKWORK | CARE | CRISIL has been INC for 369 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Alamelu Balaji Spg. Mills Pvt. Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Bank Guarantee,Bank Guarantee | Letter Of credit | Long term Loans,A 4,09-05-2025,410.0,ULTRA HOT,Agro/Food,0.203.000.20,D365,1,0,1,0,1,30.1,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (410 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 410 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Ilasakaa Steels Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Letter Of credit,Letter Of credit,D,15-05-2025,404.0,ULTRA HOT,Steel & Metals,2.002.002.00,D365,1,0,1,0,1,30.04,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Ramdev Stainless Strips Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE | CRISIL,3,Term loans,Term loans,C,30-05-2025,389.0,ULTRA HOT,Steel & Metals,0.891.000.34,D365,1,0,1,0,1,29.89,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (389 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 389 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
J B Rolling Mills Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Term loans,Long term Loans | Term loans,B+,04-06-2025,384.0,ULTRA HOT,Steel & Metals,11.0915.222.66,D365,1,0,1,0,1,29.84,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (384 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 384 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Med Freshe Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE | CRISIL,3,Letter Of credit,Letter Of credit,A 4,06-06-2025,382.0,ULTRA HOT,Other,82.005.5010.00,D365,1,0,1,0,1,29.82,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (382 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 382 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
R B Rungta Steels & Food Products Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE | CRISIL,3,Term loans,Fund based financial facility/instrument | Term loans,C,10-06-2025,378.0,ULTRA HOT,Steel & Metals,0.251.413.26,D365,1,0,1,0,1,29.78,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (378 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 378 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Aadarsh Pvt. Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Letter Of credit,Bank Guarantee | Letter Of credit,A 4,17-06-2025,371.0,ULTRA HOT,Other,2.001.502.00,D365,1,0,1,0,1,29.71,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (371 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 371 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Sweety Infrastructure Pvt. Ltd.,BRICKWORK,BRICKWORK | CARE | CRISIL,3,Bank Guarantee,Bank Guarantee,D,17-06-2025,371.0,ULTRA HOT,Construction,80.0020.0020.00,D365,1,0,1,0,1,29.71,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (371 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 371 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Bhardwaj Overseas Pvt. Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Non-government debt,Non-government debt | Term loans,BB-/A4,19-06-2025,369.0,ULTRA HOT,Other,5.501.1812.15,D365,1,0,1,0,1,29.69,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (369 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 369 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Supermint Exports Pvt. Ltd.,CRISIL,BRICKWORK | CARE | CRISIL,3,Bank Guarantee,Bank Guarantee | Letter Of credit | Short-term loan,A 4+,11-08-2025,316.0,HOT,Trading/Exports,24.234.300.50,D365,1,0,1,0,1,27.16,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | HOT (316 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 316 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Ran India Steels Pvt. Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Letter Of credit,Letter Of credit,D,09-09-2025,287.0,HOT,Steel & Metals,28.0040.0036.00,D365,1,0,1,0,1,26.87,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | HOT (287 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 287 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,CARE,BRICKWORK | CARE | CRISIL,3,Term loans,Term loans,B-,16-12-2025,189.0,HOT,Agro/Food,3.003.00,D365,1,0,1,0,1,25.89,TIER 1 SUPER TARGET (5+ signals) | THREE-WAY INC (CRISIL+CARE+BW) | MULTI-AGENCY INC (3 agencies) | HOT (189 days INC),"Your rating at BRICKWORK | CARE | CRISIL has been INC for 189 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
M A Sarsinsa Steels Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Letter Of credit,Fund based financial facility/instrument | Letter Of credit,D,06-05-2025,413.0,ULTRA HOT,Steel & Metals,7.005.00,D365,1,0,0,0,1,22.13,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (413 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 413 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Jaidayal Hitex Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Term loans,Term loans,BB+,06-05-2025,413.0,ULTRA HOT,Other,22.0039.45,D365,1,0,0,0,1,22.13,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (413 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 413 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Reddy Veeranna Constructions Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,D,07-05-2025,412.0,ULTRA HOT,Construction,15.0024.54,D365,1,0,0,0,1,22.12,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (412 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 412 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Geeta Refinery Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Term loans,Letter Of credit | Term loans,D,07-05-2025,412.0,ULTRA HOT,Other,15.004.97,D365,1,0,0,0,1,22.12,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (412 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 412 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Aishwaryagiri Constructions Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,A 4,08-05-2025,411.0,ULTRA HOT,Construction,15.0015.00,D365,1,0,0,0,1,22.11,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (411 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 411 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Krishu Motor Craft Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Term loans,Term loans,C,09-05-2025,410.0,ULTRA HOT,Automobiles,4.003.14,D365,1,0,0,0,1,22.1,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (410 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 410 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Anil Buildcon (India) Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,A 4,13-05-2025,406.0,ULTRA HOT,Construction,28.0028.00,D365,1,0,0,0,1,22.06,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (406 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 406 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Sandhya Infocity Ltd.,CARE,CARE | CRISIL,2,Fund based financial facility/instrument,Fund based financial facility/instrument | Term loans,BB-,13-05-2025,406.0,ULTRA HOT,Mining/Minerals,450.00310.00,D365,1,0,0,0,1,22.06,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (406 days INC),"Your rating at CARE | CRISIL has been INC for 406 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
A & T Infracon Pvt. Ltd.,CRISIL,CARE | CRISIL | IND-RA,3,Long term Loans,Bank Guarantee | Long term Loans | Non-fund based working capital limit,BB,13-05-2025,406.0,ULTRA HOT,Other,45.0010.001.00,D365,1,0,0,0,1,22.06,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (406 days INC),"Your rating at CARE | CRISIL | IND-RA has been INC for 406 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Jai Mata Bala Sundari Steels Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Letter Of credit,Fund based financial facility/instrument | Letter Of credit,A 4,14-05-2025,405.0,ULTRA HOT,Steel & Metals,2.002.00,D365,1,0,0,0,1,22.05,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (405 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 405 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Prabha Infrastructure Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,A 4,15-05-2025,404.0,ULTRA HOT,Construction,1.0025.00,D365,1,0,0,0,1,22.04,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
K Lall Overseas Pvt. Ltd. [Merged],CRISIL,BRICKWORK | CRISIL | IND-RA,3,Letter Of credit,Letter Of credit | Non-fund based working capital limit,A 4,15-05-2025,404.0,ULTRA HOT,Other,19.0030.0030.00,D365,1,0,0,0,1,22.04,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CRISIL | IND-RA has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Shri Rewa Rice Mills Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Term loans,Term loans,B+,15-05-2025,404.0,ULTRA HOT,Agro/Food,11.487.45,D365,1,0,0,0,1,22.04,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Thrive Solar Energy Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,D,15-05-2025,404.0,ULTRA HOT,Energy,0.500.50,D365,1,0,0,0,1,22.04,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Patel Hospital Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Fund based financial facility/instrument,Fund based financial facility/instrument | Long term Loans,BB-,15-05-2025,404.0,ULTRA HOT,Healthcare,3.521.45,D365,1,0,0,0,1,22.04,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Chhabeela Energy Foods Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Letter Of credit,Letter Of credit | Long term Loans,A 4,15-05-2025,404.0,ULTRA HOT,Agro/Food,4.001.30,D365,1,0,0,0,1,22.04,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (404 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 404 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Yadav Solvex Pvt. Ltd.,BRICKWORK,ACUITE | BRICKWORK | CRISIL,3,Term loans,Bank Guarantee | Term loans,C,19-05-2025,400.0,ULTRA HOT,Other,0.047.152.61,D365,1,0,0,0,1,22.0,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (3 agencies) | ULTRA HOT (400 days INC),"Your rating at ACUITE | BRICKWORK | CRISIL has been INC for 400 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Dwarakamai Constructions Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,A 4,19-05-2025,400.0,ULTRA HOT,Construction,12.0030.00,D365,1,0,0,0,1,22.0,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (400 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 400 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Prem Jain Ispat Udyog Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Term loans,Term loans,BB-,19-05-2025,400.0,ULTRA HOT,Other,3.583.90,D365,1,0,0,0,1,22.0,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (400 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 400 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Kodai Cars Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,D,19-05-2025,400.0,ULTRA HOT,Other,2.002.00,D365,1,0,0,0,1,22.0,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (400 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 400 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Adwaith Lakshmi Inds. Ltd.,CRISIL,CRISIL | IND-RA,2,Letter Of credit,Letter Of credit | Term loans,A 4+,20-05-2025,399.0,ULTRA HOT,Other,49.016.00,D365,1,0,0,0,1,21.99,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (399 days INC),"Your rating at CRISIL | IND-RA has been INC for 399 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Ashok Bricks Inds. Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL | ICRA | IND-RA,4,Term loans,Bank Guarantee | Non-government debt | Term loans,D,20-05-2025,399.0,ULTRA HOT,Other,44.0020.000.034.47,D365,1,0,0,0,1,21.99,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (4 agencies) | ULTRA HOT (399 days INC),"Your rating at BRICKWORK | CRISIL | ICRA | IND-RA has been INC for 399 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Anand Triplex Board Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee,A 4+,20-05-2025,399.0,ULTRA HOT,Paper/Packaging,2.002.50,D365,1,0,0,0,1,21.99,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (399 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 399 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Parijat Oil & Feeds Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Fund based financial facility/instrument,Fund based financial facility/instrument | Term loans,C,21-05-2025,398.0,ULTRA HOT,Agro/Food,8.002.45,D365,1,0,0,0,1,21.98,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (398 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 398 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Ghaziabad Ship Breakers Pvt. Ltd.,CRISIL,BRICKWORK | CRISIL,2,Letter Of credit,Letter Of credit | Non-fund-based financial facility/instrument,A 4,22-05-2025,397.0,ULTRA HOT,Other,2.20122.55,D365,1,0,0,0,1,21.97,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (397 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 397 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Fairdeal Steels Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Bank Guarantee,Bank Guarantee | Fund based financial facility/instrument,A 4,23-05-2025,396.0,ULTRA HOT,Steel & Metals,8.005.50,D365,1,0,0,0,1,21.96,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (396 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 396 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Mohammed Enterprises Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Non-fund-based financial facility/instrument,Long term Loans | Non-fund-based financial facility/instrument,A 4,23-05-2025,396.0,ULTRA HOT,Other,30.00,D365,1,0,0,0,1,21.96,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (396 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 396 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Safal Seeds & Biotech Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Term loans,Long term Loans | Term loans,C,26-05-2025,393.0,ULTRA HOT,Agro/Food,2.000.77,D365,1,0,0,0,1,21.93,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (393 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 393 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Kings International Ltd.,CRISIL,BRICKWORK | CRISIL,2,Letter Of credit,Letter Of credit,A 4,26-05-2025,393.0,ULTRA HOT,Other,1.001.00,D365,1,0,0,0,1,21.93,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (393 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 393 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
Gajanan Siddhivinayak Foods Pvt. Ltd.,BRICKWORK,BRICKWORK | CRISIL,2,Term loans,Term loans,C,26-05-2025,393.0,ULTRA HOT,Agro/Food,5.706.56,D365,1,0,0,0,1,21.93,TIER 1 SUPER TARGET (5+ signals) | MULTI-AGENCY INC (2 agencies) | ULTRA HOT (393 days INC),"Your rating at BRICKWORK | CRISIL has been INC for 393 days. ACER offers a fresh, active rating in 15 days with dedicated analyst access — call before July 31."
