Company,Agencies_INC_April2026,Agency_Count,Instruments,Max_Days_Since_Rating,Urgency,Data_Source,Why_Target,ACER_Pitch
Mittapally Agro Products Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Non-government debt,70.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Natraj Electro Casting Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Non-government debt | Term loans,70.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
New Modern Technomech Pvt. Ltd.,ACUITE | CARE,2,Bank Guarantee | Letter Of credit | Non-government debt,68.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CARE are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Balaji Agro Pvt. Ltd.,ACUITE | CRISIL,2,Letter Of credit | Long term Loans | Short-term loan,67.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Nimbus Motors Pvt. Ltd.,CARE | CRISIL,2,Fund based financial facility/instrument | Term loans,62.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Vardhman Rice Exports Pvt. Ltd.,ACUITE | CRISIL,2,Fund based financial facility/instrument | Term loans,62.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Su-Solartech Systems Pvt. Ltd.,ACUITE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,61.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at ACUITE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
S M Interior Pvt. Ltd.,CARE | CRISIL,2,Bank Guarantee | Fund based financial facility/instrument | Term loans,56.0,LOW,D365,INC at 2 agencies in April 2026 fiscal year-end peak,"Your credit ratings at CARE, CRISIL are ALL INC from April 2026. ACER offers consolidated rating resolution for all your instruments in 21 days."
Alamelu Balaji Spg. Mills Pvt. Ltd.,BRICKWORK,1,Letter Of credit | Non-fund-based financial facility/instrument | Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arth Micro Finance Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bell Finvest (India) Ltd.,CARE,1,Term loans,83.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bharat Engineering Construction Co. Pvt. Ltd.,ACUITE,1,Bank Guarantee | Long term Loans,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Eminent Dealers Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hayat Hospital Pvt. Ltd.,BRICKWORK,1,Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hotline Capital Services Pvt. Ltd.,CARE,1,Non-government debt,83.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Indrajit Properties Pvt. Ltd. (2011),BRICKWORK,1,Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Inmac Computers Ltd.,ACUITE,1,Bank Guarantee,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jaipur Jewels Global Ltd.,ACUITE,1,Bank Guarantee,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kakan Rice Mill Pvt. Ltd.,ACUITE,1,Bank Guarantee | Term loans,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Lido Commercial Co. Ltd.,ACUITE,1,Bank Guarantee | Fund based financial facility/instrument | Term loans,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Metal Care Alloys Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit | Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
P S T S Heavy Lift & Shift Ltd.,BRICKWORK,1,Bank Guarantee,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Pallavapuram Tambaram M S W Pvt. Ltd.,BRICKWORK,1,Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Prime Mover Auto Associates Pvt. Ltd.,ACUITE,1,Bank Guarantee | Long term Loans,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Radius Sumer Developers Pvt. Ltd.,BRICKWORK,1,Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sattva Engineering Construction Ltd.,BRICKWORK,1,Bank Guarantee,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sew Bellary Highways Ltd.,BRICKWORK,1,Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sew Infrastructure Ltd.,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shamanur Sugars Ltd.,BRICKWORK,1,Bank Guarantee,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Spine Arthoscopic & Joint Replacement Centre Pvt. Ltd.,BRICKWORK,1,Term loans,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Steamline Industries Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Victory Spinning Mills Pvt. Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit | Long term Loans,83.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Yash Vegetable Oils Pvt. Ltd.,BRICKWORK,1,Letter Of credit,83.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
3 G Telecom Infra India Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
A K Lumbers Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Abhishek Propbuild Pvt. Ltd.,CARE,1,Term loans,82.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ace Commercial Co. Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ainwesha Engineering & Projects Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Amar Prakaash Developerss Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Anand Mine Tools Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arena Lifestyles Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arrow Constructions Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arunodaya Print Pack Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ashish Infracon Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,82.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ashok Bricks Inds. Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Asian Hotels (West) Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Auro Industries Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit | Long term Loans,82.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
B A S S Minerals India Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
B N S R Inds. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
B N T Connections Impex Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
B S T Textile Mills Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,82.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
B V S Distilleries Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Balaji Fiber Reinforce Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhardwaj Construction Co. Pvt. Ltd.,IND-RA,1,Non-fund-based financial facility/instrument,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhartia Yarns Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhopal Tractors Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhoruka Power Corpn. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Biomedix Optotechnik & Devices Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Blue Duck Textiles Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Brindha Cotton Mills Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Cabbana Infrastructures Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Century Aluminium Mfg. Co. Ltd.,BRICKWORK,1,Bank Guarantee | Letter Of credit,82.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Chandrakona Cold Storage Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Chetan Overseas Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Cleantec Infra Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Coirfoam (India) Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Cybercity Builders & Developers Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
D C S Techno Services Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
D H I Mobility Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
D M L Exim Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
D M L World Trade Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Darshan Overseas Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Dhanlaxmi Electricals Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Dhruv Cotfab Pvt. Ltd.,ACUITE,1,Term loans,82.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Elysium Pharmaceuticals Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Enem Nostrum Remedies Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Everon Castings Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Excellous Commodities Pvt. Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit,82.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G M A Pinnacle Automotives Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G M W Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G R Engineering Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G S C O Infrastructure Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ganges Gardens Realtors Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Geetha Krishna Spg. Mills Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Gem Motors (India) Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Gemus Engineering Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Gen Next Motors Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Haldia Nirman Projects Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Harihara Metalloys Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hemant Surgical Inds. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hercules Hospitalities Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hetro Spinners Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Himalayan Road Construction Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hindustan Adhesives Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Indian Pulp & Paper Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Infres Methodex Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
International Coil Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
J C Construction Pvt. Ltd.,BRICKWORK,1,Bank Guarantee | Term loans,82.0,LOW,D365,INC at BRICKWORK in April 2026 peak abandonment period,Your BRICKWORK rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
J P Infra Realty Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
J P Motor Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
J S K Corporation Pvt. Ltd.,IND-RA,1,Term loans,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jai Kar Techno Pvt. Ltd.,ACUITE,1,Bank Guarantee | Fund based financial facility/instrument,82.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jajoo Surgicals Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
James Retail Pvt. Ltd.,IND-RA,1,Non-government debt,82.0,LOW,D365,INC at IND-RA in April 2026 peak abandonment period,Your IND-RA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
