Company Name,Current Rating Agency,Instrument,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Why Target,ACER Pitch
Dwarakamai Constructions Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-19,401.0,ULTRA HOT,30.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Dwarkadhis Projects Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-05-28,392.0,ULTRA HOT,18.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Dynamic Ship Recyclers Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-03-16,100.0,MEDIUM,31.64,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
E C R Buildtech Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-09-08,289.0,HOT,34.80,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
E Land Fashion India Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-24,92.0,MEDIUM,175.43,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
E M C Super Speciality Hospitals Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-03-20,96.0,MEDIUM,12.53,Healthcare,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
E M I Transmission Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,D,2025-10-16,251.0,HOT,510.79,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
E S H Ispat Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-03-10,106.0,MEDIUM,4.59,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Eagle Steels Rolling Mills Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-12-08,198.0,HOT,0.50,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Earth Water Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-07,229.0,HOT,35.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ebixcash Mobility Software India Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,D,2025-07-25,334.0,HOT,766.96,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ecofil Technologies India Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-17,99.0,MEDIUM,40.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Economic Transport Organisation Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-20,216.0,HOT,0.10,Logistics,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Eden Critical Care Hospital Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-25,91.0,MEDIUM,17.80,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Efcee Global Ship Recycling Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-07-31,328.0,HOT,95.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ehsaas Frozen Foods Pvt. Ltd.,Brickwork,Term loans,Term Loan,C-,2025-08-13,315.0,HOT,4.28,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ekana Sportz City Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-03-26,90.0,MEDIUM,275.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Elcom Innovations Pvt. Ltd.,Brickwork,Term loans,Term Loan,B,2025-05-07,413.0,ULTRA HOT,6.95,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Elegance Food Processing & Impex Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-03-12,104.0,MEDIUM,0.25,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Element Chemilink Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-07-16,343.0,HOT,20.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Elite Contractors (Chennai) Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-03,386.0,ULTRA HOT,13.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Elixir Enterprises & Hotels Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-10-30,237.0,HOT,41.25,Hotels/Tourism,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ellora Construction Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-03-16,100.0,MEDIUM,2.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Elsamex Maintenance Services Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-01-16,159.0,MEDIUM,15.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Elysium Pharmaceuticals Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-09-08,289.0,HOT,6.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Emc Ltd. [Merged],Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,D,2026-01-08,167.0,MEDIUM,57.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Emgee Cables & Communications Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-03-17,99.0,MEDIUM,5.00,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Emgee Infrastructure Holdings (India) Pvt. Ltd.,Brickwork,Non-government debt,NCD,D,2025-07-24,335.0,HOT,24.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Eminent Dealers Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-04-01,84.0,LOW,0.41,Trading/Exports,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Emkay Automobile Inds. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-08-25,303.0,HOT,4.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Emperor Foodex Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-15,405.0,ULTRA HOT,2.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Empire Multipack Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-09-12,285.0,HOT,1.45,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Enerfra Projects ( India ) Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-06-11,378.0,ULTRA HOT,50.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Energie Elecinfra Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-07-29,330.0,HOT,2.50,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Engenrin Hydro Power Ltd.,Brickwork,Term loans,Term Loan,D,2025-12-03,203.0,HOT,29.12,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Enginemates Heat Transfer Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-22,398.0,ULTRA HOT,2.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Entertainment City Ltd.,Brickwork,Term loans,Term Loan,D,2026-04-03,82.0,LOW,673.42,Media/Retail,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Enzen Global Solutions Pvt. Ltd.,Brickwork,Term loans,Term Loan,B,2025-09-23,274.0,HOT,26.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Eskay-Bee Intl. Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-08-01,327.0,HOT,68.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ess Ess Kay Engg. Co. Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-09-22,275.0,HOT,4.90,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Essel Infraprojects Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-21,215.0,HOT,968.22,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ethnic Tobacco (India) Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,D,2026-03-31,85.0,LOW,6.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Euro Leder Fashion Ltd.,Brickwork,Non-government debt,NCD,A 4,2026-02-24,120.0,MEDIUM,18.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Eurotas Infrastructure Ltd.,Brickwork,Term loans,Term Loan,D,2025-08-19,309.0,HOT,331.06,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Everest Infra Energy Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2026-02-17,127.0,MEDIUM,149.56,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Everest Starch (India) Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-19,401.0,ULTRA HOT,26.42,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Everflow Petrofils Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-12-02,204.0,HOT,,Energy,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Excell Autovista Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B,2025-11-12,224.0,HOT,100.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Expanded Polymer Systems Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-02-27,117.0,MEDIUM,51.00,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Express Publications (Madurai) Pvt. Ltd.,Brickwork,Term loans,Term Loan,B+,2026-03-13,103.0,MEDIUM,75.58,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Extol Industries Ltd.,Brickwork,Term loans,Term Loan,D,2025-12-31,175.0,MEDIUM,9.60,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Exxaro Tiles Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,BB-,2025-08-11,317.0,HOT,1.57,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ezeego One Travel & Tours Ltd.,Brickwork,Term loans,Term Loan,D,2025-10-10,257.0,HOT,432.00,Hotels/Tourism,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
F S Housing Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-06-03,386.0,ULTRA HOT,100.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
F T Textiles Pvt. Ltd.,Brickwork,Term loans,Term Loan,BB-,2026-03-13,103.0,MEDIUM,40.48,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Fair Food Overseas Pvt. Ltd.,Brickwork,Term loans,Term Loan,BB,2025-11-19,217.0,HOT,1.22,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Fairdeal Steels Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-23,397.0,ULTRA HOT,5.50,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Famous Stationery Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2026-02-25,119.0,MEDIUM,10.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Farmgate Agro Milch Pvt. Ltd.,Brickwork,Term loans,Term Loan,BB+,2026-03-13,103.0,MEDIUM,3.84,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Favorich Infra Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-20,216.0,HOT,24.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Feather Spintex Pvt. Ltd.,Brickwork,Non-government debt,NCD,C/A4,2025-07-30,329.0,HOT,32.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Featherlite Buildcon Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-08-05,323.0,HOT,11.94,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Fenoplast Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-05-23,397.0,ULTRA HOT,0.90,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Fie Refineries & Chemical Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-07-02,357.0,HOT,1.65,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Filtron Engineers Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2025-11-20,216.0,HOT,2.10,Manufacturing,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Five Vision Promoters Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-07-29,330.0,HOT,15.75,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Foods & Inns Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-02-13,131.0,MEDIUM,10.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Formulated Polymers Pvt. Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,A 4,2026-01-09,166.0,MEDIUM,0.90,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Fortune Rice Ltd.,Brickwork,Term loans,Term Loan,B,2026-02-19,125.0,MEDIUM,0.40,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Friends Auto (India) Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,D,2026-03-27,89.0,LOW,2.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Frontier Capital Ltd.,Brickwork,Term loans,Term Loan,C,2025-09-02,295.0,HOT,50.00,BFSI,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Frostees India Pvt. Ltd.,Brickwork,Term loans,Term Loan,B,2025-08-04,324.0,HOT,1.20,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Fuji Silvertech Concrete Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-12-02,204.0,HOT,30.00,IT/Technology,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G B Chowdhury Holdings Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-12,408.0,ULTRA HOT,0.60,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G B R Metals Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-09-29,268.0,HOT,4.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G E P L Capital Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-11-13,223.0,HOT,55.00,BFSI,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G G Automotive Gears Ltd.,Brickwork,Term loans,Term Loan,B+,2025-07-18,341.0,HOT,3.38,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G G F Industries Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-02-25,119.0,MEDIUM,0.12,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G H Crop Science Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-05-07,413.0,ULTRA HOT,43.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G H O Agro Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-05-13,407.0,ULTRA HOT,24.04,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G H V (India) Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4+,2025-10-31,236.0,HOT,820.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G I C Insuflex Conductors Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-09-19,278.0,HOT,0.05,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G I Industries Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,D,2025-05-23,397.0,ULTRA HOT,85.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G K Dairy & Milk Products Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-06-20,369.0,ULTRA HOT,0.09,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G N A Drivelines Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-10,106.0,MEDIUM,1.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G P Designs Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-06-24,365.0,ULTRA HOT,0.65,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G R M Foods Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2026-02-27,117.0,MEDIUM,1.88,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G S Agri Exim Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2026-03-17,99.0,MEDIUM,3.00,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G S Auto International Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-06,383.0,ULTRA HOT,5.50,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G S Autocomp Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-08-01,327.0,HOT,0.50,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G Surgiwear Ltd.,Brickwork,Term loans,Term Loan,BB,2026-03-24,92.0,MEDIUM,1.03,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G T Z (India) Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-05-28,392.0,ULTRA HOT,5.25,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
G V R Infra Projects Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,D,2025-12-22,184.0,HOT,1213.33,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gaaneshkartikey Construction Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-17,99.0,MEDIUM,14.00,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gagan Trexpo Pvt. Ltd.,Brickwork,Non-government debt,NCD,C/A4,2025-07-18,341.0,HOT,20.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gajanan Siddhivinayak Foods Pvt. Ltd.,Brickwork,Term loans,Term Loan,C,2025-05-26,394.0,ULTRA HOT,6.56,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gajavelli Spinning Mills Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,B,2025-08-06,322.0,HOT,5.94,Textiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gajlaxmi Steel Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-12-26,180.0,HOT,1.75,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gajra Gears Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,D,2026-03-13,103.0,MEDIUM,2.90,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gajraj Mining Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-07,413.0,ULTRA HOT,4.00,Mining/Minerals,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Galaxy Offset (India) Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2026-03-31,85.0,LOW,0.68,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Galaxy Transmissions Pvt. Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,A 4,2025-09-19,278.0,HOT,88.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ganadhi Pati Construction Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,BB-,2025-05-19,401.0,ULTRA HOT,31.75,Construction,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ganga Iron & Steel Trading Co. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-05-23,397.0,ULTRA HOT,6.61,Steel,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ganga Papers India Ltd.,Brickwork,Term loans,Term Loan,B+,2025-06-04,385.0,ULTRA HOT,7.13,Paper/Packaging,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ganges Internationale Pvt. Ltd.,Brickwork,Bank Guarantee,Bank Guarantee,A 4,2025-10-07,260.0,HOT,95.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gangotri Paper Mills Pvt. Ltd.,Brickwork,Term loans,Term Loan,B,2025-10-24,243.0,HOT,13.40,Paper/Packaging,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Ganjam Nagappa & Son Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-11-04,232.0,HOT,19.79,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gardex India Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-06-11,378.0,ULTRA HOT,3.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Garg Acrylics Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,A 4,2025-06-13,376.0,ULTRA HOT,15.50,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Garg Heart & Multispeciality Hospital Pvt. Ltd.,Brickwork,Term loans,Term Loan,B-,2026-02-23,121.0,MEDIUM,39.36,Healthcare,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gargya Autocity Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,Fund Based,C,2025-09-03,294.0,HOT,24.00,Automobiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Geeta Refinery Pvt. Ltd.,Brickwork,Term loans,Term Loan,D,2025-05-07,413.0,ULTRA HOT,4.97,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gem Sugars Ltd.,Brickwork,Non-fund-based financial facility/instrument,Non-Fund Based,A 4,2026-03-03,113.0,MEDIUM,9.13,Agro/Food,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Gemini Dyeing & Prtg. Mills Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-07-29,330.0,HOT,2.00,Textiles,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Genesis Finance Co. Ltd.,Brickwork,Term loans,Term Loan,B,2025-12-05,201.0,HOT,12.08,BFSI,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Genesis I T Innovations Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-10-27,240.0,HOT,4.00,Other,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
Genesis Institute Of Medical Science Pvt. Ltd.,Brickwork,Letter Of credit,Letter of Credit,A 4,2025-10-16,251.0,HOT,72.92,Chemicals/Pharma,Brickwork INC — displacement opportunity,Brickwork has INC'd your rating — ACER can replace with a fresh rating within 30 days
