Company Name,Current Rating Agency,Instrument,Rating,Rating Date,Days Since Rating,Urgency,Amount Cr,Sector,Source,Is Super Target T1,Is Super Target T2,Is Three Way INC,Multi Agency INC,Priority Score,SEBI Note,Why Target,ACER Pitch Script
Thermotech Engineering (Pune) Pvt. Ltd.,CARE,NCD,B-/A4,2025-05-08,412.0,ULTRA HOT,5.00,Manufacturing,D365,0.0,1.0,0.0,0.0,14.11,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (412 days overdue),Your NCD rating at CARE has been INC for 412 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Anuspa Heritage Products Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-09,411.0,ULTRA HOT,3.75,Manufacturing,D365,0.0,1.0,0.0,1.0,17.1,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (411 days overdue),Your NCD rating at CARE has been INC for 411 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Bellona Paper Mill Pvt. Ltd.,ICRA,NCD,B+/A4,2025-05-09,411.0,ULTRA HOT,3.19,Paper/Packaging,D365,0.0,1.0,0.0,1.0,17.1,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (411 days overdue),Your NCD rating at ICRA has been INC for 411 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Jsw Mahanadi Power Co. Ltd.,ICRA,NCD,D,2025-05-09,411.0,ULTRA HOT,773.00,Energy,D365,0.0,1.0,0.0,0.0,14.1,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (411 days overdue),Your NCD rating at ICRA has been INC for 411 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
R N P Scaffolding & Formwork Pvt. Ltd.,ICRA,NCD,B/A4,2025-05-09,411.0,ULTRA HOT,30.00,Other,D365,0.0,1.0,0.0,0.0,14.1,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (411 days overdue),Your NCD rating at ICRA has been INC for 411 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Rishabh Gold Jewels (India) Pvt. Ltd.,ICRA,NCD,B+/A4,2025-05-09,411.0,ULTRA HOT,2.00,Jewellery,D365,0.0,1.0,0.0,0.0,14.1,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (411 days overdue),Your NCD rating at ICRA has been INC for 411 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
M N C Electricals Pvt. Ltd.,CARE,NCD,B-/A4,2025-05-12,408.0,ULTRA HOT,12.00,Energy,D365,0.0,1.0,0.0,1.0,17.07,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (408 days overdue),Your NCD rating at CARE has been INC for 408 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Velko Infratek Projects Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-12,408.0,ULTRA HOT,44.00,Construction,D365,0.0,1.0,0.0,1.0,17.07,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (408 days overdue),Your NCD rating at CARE has been INC for 408 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Arihant Retail Pvt. Ltd.,BRICKWORK,NCD,D,2025-05-13,407.0,ULTRA HOT,9.50,Media/Retail,D365,0.0,1.0,0.0,0.0,14.06,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (407 days overdue),Your NCD rating at BRICKWORK has been INC for 407 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Ganpati Mega Builders (India) Pvt. Ltd.,CARE,NCD,B/A4,2025-05-13,407.0,ULTRA HOT,9.00,Construction,D365,0.0,1.0,0.0,1.0,13.42,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (407 days overdue),Your NCD rating at CARE has been INC for 407 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Jagdamba Timbers Pvt. Ltd.,CARE,NCD,B-/A4,2025-05-13,407.0,ULTRA HOT,2.00,Other,D365,0.0,1.0,0.0,1.0,17.06,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (407 days overdue),Your NCD rating at CARE has been INC for 407 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Madhur Knit Crafts Ltd.,CARE,NCD,B-/A4,2025-05-13,407.0,ULTRA HOT,3.00,IT/Technology,D365,0.0,1.0,0.0,0.0,14.06,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (407 days overdue),Your NCD rating at CARE has been INC for 407 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Associated Industrial Furnaces Pvt. Ltd.,CARE,NCD,B-/A4,2025-05-14,406.0,ULTRA HOT,13.50,Other,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Deep Wines & Agencies Pvt. Ltd.,CARE,NCD,BB-/A4,2025-05-14,406.0,ULTRA HOT,10.27,Other,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Deepak Vegpro Pvt. Ltd.,CARE,NCD,BB/A4,2025-05-14,406.0,ULTRA HOT,100.00,Other,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Globe Civil Projects Ltd.,ICRA,NCD,B+/A4,2025-05-14,406.0,ULTRA HOT,78.50,Construction,D365,0.0,1.0,0.0,0.0,11.01,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at ICRA has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Gonglu Agro Pvt. Ltd.,ICRA,NCD,D,2025-05-14,406.0,ULTRA HOT,1.00,Agro/Food,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at ICRA has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Lakhotia Transport Co. Pvt. Ltd.,ICRA,NCD,B+/A4,2025-05-14,406.0,ULTRA HOT,46.00,Logistics,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at ICRA has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Matsya Automobiles Ltd.,CARE,NCD,B-/A4,2025-05-14,406.0,ULTRA HOT,15.00,Automobiles,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Sai Shreeja Cars Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-14,406.0,ULTRA HOT,0.20,Automobiles,D365,0.0,1.0,0.0,1.0,17.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Shree Shankar Vijay Timber Exports Pvt. Ltd.,CARE,NCD,D,2025-05-14,406.0,ULTRA HOT,47.00,Trading/Exports,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Varron Industriies Pvt. Ltd.,CARE,NCD,D,2025-05-14,406.0,ULTRA HOT,109.10,Other,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Vijay Solvex Ltd.,CARE,NCD,BB/A4,2025-05-14,406.0,ULTRA HOT,60.00,Other,D365,0.0,1.0,0.0,0.0,14.05,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (406 days overdue),Your NCD rating at CARE has been INC for 406 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Globe Automobiles Pvt. Ltd.,ICRA,NCD,BB+/A4+,2025-05-15,405.0,ULTRA HOT,36.38,Automobiles,D365,0.0,1.0,0.0,0.0,11.63,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (405 days overdue),Your NCD rating at ICRA has been INC for 405 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Kandhari Beverages Pvt. Ltd.,ICRA,NCD,BBB+/A2,2025-05-15,405.0,ULTRA HOT,0.66,Other,D365,0.0,1.0,0.0,0.0,11.33,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (405 days overdue),Your NCD rating at ICRA has been INC for 405 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
R S Fuel Pvt. Ltd.,CARE,NCD,BB-/A4,2025-05-15,405.0,ULTRA HOT,25.00,Energy,D365,0.0,1.0,0.0,0.0,14.04,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (405 days overdue),Your NCD rating at CARE has been INC for 405 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Alpha Pacific Systems Pvt. Ltd.,CARE,NCD,B/A4,2025-05-16,404.0,ULTRA HOT,4.00,IT/Technology,D365,0.0,1.0,0.0,1.0,17.03,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at CARE has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Eminent Dealers Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-16,404.0,ULTRA HOT,9.50,Trading/Exports,D365,0.0,1.0,0.0,1.0,17.03,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at CARE has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Global Buildcon Pvt. Ltd.,ICRA,NCD,B/A4,2025-05-16,404.0,ULTRA HOT,6.50,Construction,D365,0.0,1.0,0.0,0.0,14.03,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at ICRA has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Harikripa Business Venture Pvt. Ltd.,ICRA,NCD,D,2025-05-16,404.0,ULTRA HOT,3.00,Automobiles,D365,0.0,1.0,0.0,1.0,17.12,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at ICRA has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Kasturi Commodities Pvt. Ltd.,ICRA,NCD,D,2025-05-16,404.0,ULTRA HOT,75.00,Other,D365,0.0,1.0,0.0,0.0,14.03,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at ICRA has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Lords Chloro Alkali Ltd.,BRICKWORK,NCD,B/A4,2025-05-16,404.0,ULTRA HOT,20.00,Other,D365,0.0,1.0,0.0,0.0,14.03,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at BRICKWORK has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Venky Hi-Tech Ispat Ltd.,ICRA,NCD,D,2025-05-16,404.0,ULTRA HOT,4.50,IT/Technology,D365,0.0,1.0,0.0,0.0,14.03,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (404 days overdue),Your NCD rating at ICRA has been INC for 404 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Caprihans India Ltd.,CARE,NCD,B+/A4,2025-05-19,401.0,ULTRA HOT,1.00,Other,D365,,,,,,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (401 days overdue),Your NCD rating at CARE has been INC for 401 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Bajarang Cotgin Pvt. Ltd.,BRICKWORK,NCD,D,2025-05-20,400.0,ULTRA HOT,21.00,Other,D365,0.0,1.0,0.0,0.0,13.99,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (400 days overdue),Your NCD rating at BRICKWORK has been INC for 400 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Abhishek Steel Inds. Pvt. Ltd.,ICRA,NCD,B+/A4,2025-05-21,399.0,ULTRA HOT,2.00,Steel,D365,0.0,1.0,0.0,0.0,13.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at ICRA has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Kiran Global Chems Ltd.,CARE,NCD,D,2025-05-21,399.0,ULTRA HOT,107.00,Chemicals/Pharma,D365,0.0,1.0,0.0,0.0,13.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at CARE has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Nikkamal Jewels Pvt. Ltd.,BRICKWORK,NCD,C/A4,2025-05-21,399.0,ULTRA HOT,9.95,Jewellery,D365,0.0,1.0,0.0,0.0,13.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at BRICKWORK has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Primuss Metroll Ltd.,ICRA,NCD,C+/A4,2025-05-21,399.0,ULTRA HOT,18.50,Other,D365,0.0,1.0,0.0,1.0,16.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at ICRA has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Ray Engineering Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-21,399.0,ULTRA HOT,70.00,Manufacturing,D365,0.0,1.0,0.0,0.0,13.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at CARE has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Rishabh Constructions Pvt. Ltd.,CARE,NCD,D,2025-05-21,399.0,ULTRA HOT,56.24,Construction,D365,0.0,1.0,0.0,0.0,13.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at CARE has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Viraj Syntex Pvt. Ltd.,CARE,NCD,B+/A4,2025-05-21,399.0,ULTRA HOT,1.35,Other,D365,0.0,1.0,0.0,1.0,16.98,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (399 days overdue),Your NCD rating at CARE has been INC for 399 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Aadi Polymers Pvt. Ltd.,ICRA,NCD,B+/A4,2025-05-23,397.0,ULTRA HOT,2.50,Chemicals/Pharma,D365,0.0,1.0,0.0,0.0,13.96,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (397 days overdue),Your NCD rating at ICRA has been INC for 397 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Biogenetic Drugs Pvt. Ltd.,BRICKWORK,NCD,B+/A4,2025-05-23,397.0,ULTRA HOT,11.00,Chemicals/Pharma,D365,0.0,1.0,0.0,0.0,13.96,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (397 days overdue),Your NCD rating at BRICKWORK has been INC for 397 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Eagle Continental Foods Pvt. Ltd.,ICRA,NCD,D,2025-05-23,397.0,ULTRA HOT,30.50,Agro/Food,D365,0.0,1.0,0.0,1.0,16.96,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (397 days overdue),Your NCD rating at ICRA has been INC for 397 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Ecron Acunova Ltd.,CARE,NCD,D,2025-05-26,394.0,ULTRA HOT,15.00,Other,D365,0.0,1.0,0.0,0.0,13.93,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (394 days overdue),Your NCD rating at CARE has been INC for 394 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
V R S Foods Ltd.,IND-RA,NCD,BBB/A3+,2025-05-26,394.0,ULTRA HOT,7.00,Agro/Food,D365,0.0,1.0,0.0,0.0,13.93,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (394 days overdue),Your NCD rating at IND-RA has been INC for 394 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Vesta Equipment Pvt. Ltd.,CARE,NCD,D,2025-05-26,394.0,ULTRA HOT,8.50,Manufacturing,D365,0.0,1.0,0.0,1.0,17.0,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (394 days overdue),Your NCD rating at CARE has been INC for 394 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Chrysalis Trading Pvt. Ltd.,BRICKWORK,NCD,D,2025-05-27,393.0,ULTRA HOT,15.00,Trading/Exports,D365,0.0,1.0,0.0,0.0,13.92,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (393 days overdue),Your NCD rating at BRICKWORK has been INC for 393 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Ganesh Saw Mills Pvt. Ltd.,CARE,NCD,B-/A4,2025-05-27,393.0,ULTRA HOT,2.50,Other,D365,0.0,1.0,0.0,0.0,13.92,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (393 days overdue),Your NCD rating at CARE has been INC for 393 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Ram'S Assorted Cold Storage Ltd.,CARE,NCD,D,2025-05-27,393.0,ULTRA HOT,45.00,Other,D365,0.0,1.0,0.0,1.0,16.92,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (393 days overdue),Your NCD rating at CARE has been INC for 393 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Sangotra Fashions Pvt. Ltd.,BRICKWORK,NCD,C/A4,2025-05-27,393.0,ULTRA HOT,9.50,Other,D365,0.0,1.0,0.0,1.0,16.92,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (393 days overdue),Your NCD rating at BRICKWORK has been INC for 393 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Ashoka Distillers & Chemicals Pvt. Ltd.,ICRA,NCD,B+/A4,2025-05-28,392.0,ULTRA HOT,10.65,Chemicals/Pharma,D365,0.0,1.0,0.0,1.0,16.93,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (392 days overdue),Your NCD rating at ICRA has been INC for 392 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
Cenosphere India Pvt. Ltd.,CARE,NCD,B/A4,2025-05-28,392.0,ULTRA HOT,0.50,Other,D365,0.0,1.0,0.0,1.0,16.91,NCD requires SEBI debt rating license — confirm ACER has SEBI CRA registration before pitching,ULTRA HOT (392 days overdue),Your NCD rating at CARE has been INC for 392 days — you cannot use this instrument for fundraising. ACER can reactivate your SEBI-regulated NCD program within 30 days.
