Company Name,Current Rater,Instrument Type,Current Rating,INC Date,Last Good Rating Date,Days Since INC,INC Urgency,TransitionRecency,Sector,State,Why Target,ACER Pitch Angle
Jayachandran Alloys Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,2025-08-06,58,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-23 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Renaatus Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,2025-05-12,58,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-23 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
B C L Secure Premises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-22,2025-09-16,59,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-22 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Technoplast Packaging Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2026-04-20,2025-11-19,61,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-20 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Junna Solar Systems Ltd.,CRISIL,Term loans,B,2026-04-17,2025-07-04,64,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-17 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Fores Elastomech India Pvt. Ltd.,CRISIL,Term loans,B,2026-04-16,2025-08-26,65,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-16 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Boxcoworld Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,D,2026-04-15,2025-05-27,66,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-15 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,CARE,Term loans,BB+,2026-04-15,2025-09-23,66,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-15 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Rathi Bars Ltd.,CARE,Term loans,B-,2026-04-14,2025-06-13,67,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-14 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Capital Record Centre Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2026-01-15,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Goel Ganga India Pvt. Ltd.,ACUITE,Term loans,C,2026-04-09,2025-09-30,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Heidelco Medicore Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2025-09-04,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Jayachandran Industries Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-09,2025-07-31,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Madras Race Club,CRISIL,Long term Loans,B,2026-04-09,2026-01-19,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Orion Edutech Pvt. Ltd.,CRISIL,Term loans,B,2026-04-09,2026-01-23,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Pradeep Stainless India Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-09,2025-06-30,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Q-Line Biotech Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2025-09-04,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
S N S Infracon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2025-05-27,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Starline Cars Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-09,2025-06-06,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Super Hoze Inds. Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-09,2026-01-02,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
A & T Infracon Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3,2026-04-08,2025-09-24,73,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-08 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Kundana Techno Tex Pvt. Ltd.,CARE,Non-government debt,BBB-/A3,2026-04-07,2025-10-09,74,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-07 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Trucap Finance Ltd.,CARE,Fund based financial facility/instrument,D,2026-04-02,2025-07-18,79,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-02 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Prime Mover Auto Associates Pvt. Ltd.,ACUITE,Long term Loans,C,2026-04-01,2025-11-20,80,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-01 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Assago Industries Pvt. Ltd.,CARE,Term loans,BB+,2026-03-31,2025-10-08,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
I H B Ltd.,IND-RA,Term loans,A+,2026-03-31,2025-08-07,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Sheetal Cool Products Ltd.,CRISIL,Term loans,B,2026-03-31,2025-05-07,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Wardwizard Innovations & Mobility Ltd.,CRISIL,Term loans,B,2026-03-31,2025-05-26,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Diwanka Energy Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-27,2025-08-25,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Gujarat Polyfilms Pvt. Ltd.,CRISIL,Term loans,B,2026-03-27,2025-08-19,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Karamveer Electronics Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-27,2025-09-18,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Munnangi Seafoods Pvt. Ltd.,CRISIL,Long term Loans,B,2026-03-27,2025-08-12,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Namdhari Seeds Pvt. Ltd.,CRISIL,Term loans,B,2026-03-27,2025-08-01,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
