Company Name,Current Rater,Instrument Type,Grade,Rating,Last Rating Date,Days Since Downgrade,Is INC,Urgency,Why Target,ACER Pitch Angle
Mohib Shoes Pvt. Ltd.,CARE,Letter Of credit,Default,D,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
K G Flexx Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Peekay Agencies Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Vardhman Rice Exports Pvt. Ltd.,ACUITE | CRISIL,Term loans,High Risk,B-,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by ACUITE | CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Krystal Integrated Services Ltd.,CRISIL,Bank Guarantee,High Safety,A 2,2026-04-30,51.0,False,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Sri Seshasai Spg. Mills Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
N C C Infraspace Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
R D Samant Contractors Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Bahl Builders Pvt. Ltd.,CARE,Non-government debt,Inadequate Safety,BB-/A4,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Veerabhadra Minerals Pvt. Ltd.,CRISIL,Letter Of credit,High Risk,B,2026-04-30,51.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Shakti Apifoods Pvt. Ltd.,ACUITE,Long term Loans,Inadequate Safety,BB,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by ACUITE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Guru Laxmi Cottex Pvt. Ltd.,CARE,Term loans,High Risk,B+,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Shrishti Eletromech Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Prasad International Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Precise Chemi Pharma Pvt. Ltd.,CRISIL,Letter Of credit,High Risk,A 4,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Seftech India Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Rishabh Metals & Chemicals Pvt. Ltd.,ACUITE,Long term Loans,Inadequate Safety,BB,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by ACUITE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Right Tight Fastners Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Kamal Cotspin Pvt. Ltd.,CARE,Fund based financial facility/instrument,Inadequate Safety,BB-,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Spinora Tiles Pvt. Ltd.,CARE,Term loans,High Risk,B-,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Starcon Infra Projects India Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-29,52.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Parul Foods Specialities Pvt. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Quadragen Vethealth Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Sahib Tradelinks Pvt. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Epicu Agro Products Pvt. Ltd.,ICRA,Non-government debt,Inadequate Safety,BB+/A4+,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by ICRA — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Safal Seeds & Biotech Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Q Max Test Equipments Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-28,53.0,False,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Ola Electric Technologies Pvt. Ltd.,ICRA,Letter Of credit,Moderate Safety,BBB,2026-04-28,53.0,False,MEDIUM,"Downgraded in last 90 days by ICRA — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
R M P Fab Sourcing Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Shanmugappriya Textiles Pvt. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Polyrub Cooper Standard F T S Pvt. Ltd.,CRISIL,Long term Loans,Moderate Safety,BBB,2026-04-28,53.0,False,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Enam Castings Pvt. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Agarwal Toughened Glass India Ltd.,CRISIL,Fund based financial facility/instrument,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
K B S C Auto Pvt. Ltd.,CARE,Non-government debt,High Risk,B+/A4,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
L G F Vitrified Pvt. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Aaradhya Disposal Inds. Ltd.,CRISIL,Term loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Sandhya Infocity Ltd.,ICRA,Term loans,High Risk,B+,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by ICRA — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Unique Punch Systems Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Reeshav Automobiles Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Ramji Acro Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
D T L Ancillaries Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Samay Project Services Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Sanei Motors Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,High Risk,B,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
V R G Industries Pvt. Ltd.,ACUITE,Term loans,High Risk,B-,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by ACUITE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Sarvottam Health Care Pvt. Ltd.,ACUITE,Term loans,Inadequate Safety,BB+,2026-04-28,53.0,False,MEDIUM,"Downgraded in last 90 days by ACUITE — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Trisquare Switchgears Pvt. Ltd.,CARE,Non-government debt,Inadequate Safety,BB-/A4,2026-04-28,53.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Metal Crafts Constructors Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Sivana Steel & Power Pvt. Ltd.,CARE,Term loans,High Risk,B-,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Spansules Pharmatech Pvt. Ltd.,CARE,Non-government debt,Inadequate Safety,BB-/A4,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Spansules Formulations India Pvt. Ltd.,CARE,Non-government debt,Inadequate Safety,BB-/A4,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Mohini Health & Hygiene Ltd.,CARE,Term loans,High Risk,B,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Rawmet Resources Pvt. Ltd.,CARE,Non-government debt,Inadequate Safety,BB-/A4,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Hotcrete Infrastructure Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,Substantial Risk,C,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by ICRA — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Shining Engineers & Founders Pvt. Ltd.,CRISIL,Letter Of credit,High Risk,A 4,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Shri Mahavir Iron & Steel Pvt. Ltd.,CARE,Term loans,Inadequate Safety,BB-,2026-04-27,54.0,True,MEDIUM,"Downgraded in last 90 days by CARE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Magnum Lubricants (India) Pvt. Ltd.,CRISIL,Letter Of credit,High Risk,B,2026-04-24,57.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
V R Malwa Pvt. Ltd.,IND-RA,Term loans,Inadequate Safety,BB+,2026-04-24,57.0,False,MEDIUM,"Downgraded in last 90 days by IND-RA — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Hi-Tech Pharmaceuticals Pvt. Ltd.,ACUITE,Long term Loans,High Risk,B+,2026-04-24,57.0,True,MEDIUM,"Downgraded in last 90 days by ACUITE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
P Dass Forging Pvt. Ltd.,ACUITE,Term loans,High Risk,B,2026-04-24,57.0,True,MEDIUM,"Downgraded in last 90 days by ACUITE — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Narmada Spinning Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-24,57.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Wapcos Ltd.,IND-RA,Term loans,Inadequate Safety,BB+,2026-04-24,57.0,False,MEDIUM,"Downgraded in last 90 days by IND-RA — dissatisfied client, high switch probability","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast"
Navitas Green Solutions Pvt. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-24,57.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
Kamtanath Food Product Pvt. Ltd.,CRISIL,Long term Loans,High Risk,B,2026-04-24,57.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
H S India Ltd.,CRISIL,Term loans,High Risk,B,2026-04-23,58.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
G M Iron & Steel Co. Ltd.,CRISIL,Bank Guarantee,High Risk,A 4,2026-04-23,58.0,True,MEDIUM,"Downgraded in last 90 days by CRISIL — dissatisfied client, high switch probability + INC STATUS: abandoned by rater","ACER can re-assess your rating with a fresh perspective — our analysts are reachable, turnaround is fast; your current agency has marked you non-cooperative — ACER offers a clean start"
