Company Name,Date,Agency,Instrument,Grade,Rating,Status,Ammount,INC_Flag,Urgency,Months_Since_Rating,Days_Since_Rating,is_INC,Category
Basak Bottling Plant Pvt. Ltd.,2025-06-25,CRISIL,Fund based financial facility/instrument,High Risk,B+,Reaffirmed,3.30,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bhadora Industries Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,7.50,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bhadora Industries Ltd.,2025-05-29,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,1.43,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bhadora Industries Ltd.,2025-05-29,CRISIL,Term loans,High Risk,B+,Reaffirmed,0.92,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bhagwan Precision Pvt. Ltd.,2025-05-29,CRISIL,Term loans,High Risk,B-,Reaffirmed,5.40,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bhandari Steels Ltd.,2025-06-25,CRISIL,Fund based financial facility/instrument,High Risk,B+,Reaffirmed,11.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bhandari Steels Ltd.,2025-06-25,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,5.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bhandari Steels Ltd.,2025-06-25,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,1.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bharat Caarriers Ltd.,2025-05-29,CRISIL,Term loans,Default,D,Reaffirmed,2.06,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bharat Motors Ltd.,2025-06-09,CRISIL,Fund based financial facility/instrument,Default,D,Reaffirmed,16.00,Y,HIGH,12.5,376.0,True,ULTRA HOT
Bharat Motors Ltd.,2025-06-09,CRISIL,Term loans,Default,D,Reaffirmed,0.50,Y,HIGH,12.5,376.0,True,ULTRA HOT
Bharat Motors Ltd.,2025-06-09,CRISIL,Term loans,Default,D,Reaffirmed,1.83,Y,HIGH,12.5,376.0,True,ULTRA HOT
Bhardwaj Overseas Pvt. Ltd.,2025-06-09,CRISIL,Term loans,Inadequate Safety,BB-,Reaffirmed,5.50,Y,HIGH,12.5,376.0,True,ULTRA HOT
Bimla Maru Fashions Pvt. Ltd.,2025-06-25,CRISIL,Letter Of credit,Default,D,Reaffirmed,14.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bimla Maru Fashions Pvt. Ltd.,2025-06-25,CRISIL,Long term Loans,Default,D,Reaffirmed,1.25,Y,HIGH,12.0,360.0,True,ULTRA HOT
Biotech International Ltd.,2025-06-12,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,3.00,Y,HIGH,12.4,373.0,True,ULTRA HOT
Biotech International Ltd.,2025-06-12,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,6.50,Y,HIGH,12.4,373.0,True,ULTRA HOT
Biotech International Ltd.,2025-06-12,CRISIL,Long term Loans,High Risk,B-,Reaffirmed,4.80,Y,HIGH,12.4,373.0,True,ULTRA HOT
Bliss Anand Pvt. Ltd.,2025-05-22,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,33.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Bliss Anand Pvt. Ltd.,2025-05-22,CRISIL,Term loans,High Risk,B+,Reaffirmed,2.00,Y,HIGH,13.1,394.0,True,ULTRA HOT
Blue Whale Machinery Technologies Pvt. Ltd.,2025-05-29,CRISIL,Fund based financial facility/instrument,Default,D,Reaffirmed,6.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Blue Whale Machinery Technologies Pvt. Ltd.,2025-05-29,CRISIL,Letter Of credit,Default,D,Reaffirmed,4.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Blue Whale Machinery Technologies Pvt. Ltd.,2025-05-29,CRISIL,Non-fund-based financial facility/instrument,Default,D,Reaffirmed,5.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bonny Babycare Pvt. Ltd.,2025-06-25,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,0.40,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bonny Babycare Pvt. Ltd.,2025-06-25,CRISIL,Term loans,High Risk,B+,Reaffirmed,4.10,Y,HIGH,12.0,360.0,True,ULTRA HOT
Bonton Technomake Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,1.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bonton Technomake Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,High Risk,B,Reaffirmed,11.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Borah Agencies Pvt. Ltd.,2025-05-29,CRISIL,Fund based financial facility/instrument,High Risk,B,Reaffirmed,6.45,Y,HIGH,12.9,387.0,True,ULTRA HOT
Borah Agencies Pvt. Ltd.,2025-05-29,CRISIL,Fund based financial facility/instrument,High Risk,B,Reaffirmed,0.05,Y,HIGH,12.9,387.0,True,ULTRA HOT
Bucon Infratech Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,10.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Buds Tea Inds. Ltd.,2025-06-25,CRISIL,Bank Guarantee,Default,D,Reaffirmed,2.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Buds Tea Inds. Ltd.,2025-06-25,CRISIL,Long term Loans,Default,D,Reaffirmed,8.75,Y,HIGH,12.0,360.0,True,ULTRA HOT
C E Serviced Offices Pvt. Ltd.,2025-05-08,CRISIL,Long term Loans,High Risk,B,Reaffirmed,4.45,Y,HIGH,13.6,408.0,True,ULTRA HOT
C E Serviced Offices Pvt. Ltd.,2025-05-08,CRISIL,Term loans,High Risk,B,Reaffirmed,3.55,Y,HIGH,13.6,408.0,True,ULTRA HOT
C I C O Technologies Ltd.,2025-06-09,CRISIL,Long term Loans,Inadequate Safety,BB,Reaffirmed,4.05,Y,HIGH,12.5,376.0,True,ULTRA HOT
C I C O Technologies Ltd.,2025-06-09,CRISIL,Term loans,Inadequate Safety,BB,Reaffirmed,21.95,Y,HIGH,12.5,376.0,True,ULTRA HOT
C I C O Technologies Ltd.,2025-06-19,CRISIL,Long term Loans,Inadequate Safety,BB,Withdrawn,4.05,Y,HIGH,12.2,366.0,True,ULTRA HOT
C I C O Technologies Ltd.,2025-06-19,CRISIL,Term loans,Inadequate Safety,BB,Withdrawn,21.95,Y,HIGH,12.2,366.0,True,ULTRA HOT
C S M Technologies Ltd.,2025-05-30,CRISIL,Bank Guarantee,High Risk,A 4+,Withdrawn,17.00,Y,HIGH,12.9,386.0,True,ULTRA HOT
C S M Technologies Ltd.,2025-05-30,CRISIL,Term loans,Inadequate Safety,BB+,Withdrawn,8.00,Y,HIGH,12.9,386.0,True,ULTRA HOT
Carreg Commodities Pvt. Ltd.,2025-05-08,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,5.00,Y,HIGH,13.6,408.0,True,ULTRA HOT
Ceedee Metalloys Pvt. Ltd.,2025-05-14,CRISIL,Letter Of credit,High Risk,A 4+,Reaffirmed,2.00,Y,HIGH,13.4,402.0,True,ULTRA HOT
Cenosphere India Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.25,Y,HIGH,12.9,387.0,True,ULTRA HOT
Cenosphere India Pvt. Ltd.,2025-05-29,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,2.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Cenosphere India Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.75,Y,HIGH,12.9,387.0,True,ULTRA HOT
Centuary Fibre Plates Pvt. Ltd.,2025-05-23,CRISIL,Bank Guarantee,High Risk,A 4,Withdrawn,0.50,Y,HIGH,13.1,393.0,True,ULTRA HOT
Centuary Fibre Plates Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,High Risk,B,Withdrawn,4.00,Y,HIGH,13.1,393.0,True,ULTRA HOT
Centuary Fibre Plates Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,High Risk,B,Withdrawn,4.55,Y,HIGH,13.1,393.0,True,ULTRA HOT
Chandan Hospital Ltd.,2025-05-07,CRISIL,Term loans,Inadequate Safety,BB+,Reaffirmed,19.00,Y,HIGH,13.6,409.0,True,ULTRA HOT
Chandan Hospital Ltd.,2025-05-07,CRISIL,Term loans,Inadequate Safety,BB+,Reaffirmed,96.00,Y,HIGH,13.6,409.0,True,ULTRA HOT
Chandralekha Constructions Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,6.58,Y,HIGH,12.9,387.0,True,ULTRA HOT
Chemrow India Pvt. Ltd.,2025-05-27,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,33.00,Y,HIGH,13.0,389.0,True,ULTRA HOT
Chhajed Foods Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,Default,D,Reaffirmed,4.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Chhajed Foods Pvt. Ltd.,2025-05-29,CRISIL,Letter Of credit,Default,D,Reaffirmed,5.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Chhajed Foods Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,Default,D,Reaffirmed,7.73,Y,HIGH,12.9,387.0,True,ULTRA HOT
Chhajed Foods Pvt. Ltd.,2025-05-29,CRISIL,Term loans,Default,D,Reaffirmed,9.40,Y,HIGH,12.9,387.0,True,ULTRA HOT
Chhajed Foods Pvt. Ltd.,2025-05-29,CRISIL,Term loans,Default,D,Reaffirmed,8.87,Y,HIGH,12.9,387.0,True,ULTRA HOT
Chinar Steel Segment Centre Pvt. Ltd.,2025-06-12,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,26.19,Y,HIGH,12.4,373.0,True,ULTRA HOT
Churiwal Technopack Pvt. Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,5.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Churiwal Technopack Pvt. Ltd.,2025-06-25,CRISIL,Term loans,High Risk,B,Reaffirmed,4.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Circle Infotech Pvt. Ltd.,2025-06-25,CRISIL,Letter Of credit,Default,D,Reaffirmed,9.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
City Promoter & Buildwell Pvt. Ltd.,2025-06-12,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,5.00,Y,HIGH,12.4,373.0,True,ULTRA HOT
City Promoter & Buildwell Pvt. Ltd.,2025-06-12,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB,Reaffirmed,2.00,Y,HIGH,12.4,373.0,True,ULTRA HOT
Corodex Infrastructure Pvt. Ltd.,2025-05-29,CRISIL,Bank Guarantee,Default,D,Reaffirmed,9.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Corodex Infrastructure Pvt. Ltd.,2025-05-29,CRISIL,Letter Of credit,Default,D,Reaffirmed,14.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Corodex Infrastructure Pvt. Ltd.,2025-05-29,CRISIL,Long term Loans,Default,D,Reaffirmed,10.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Coronet Engineers Pvt. Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,2.42,Y,HIGH,12.0,360.0,True,ULTRA HOT
Coronet Engineers Pvt. Ltd.,2025-06-25,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,2.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Coronet Engineers Pvt. Ltd.,2025-06-25,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,4.68,Y,HIGH,12.0,360.0,True,ULTRA HOT
Creative International Pvt. Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,3.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Creative International Pvt. Ltd.,2025-06-25,CRISIL,Term loans,High Risk,B,Reaffirmed,17.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
D F I Hospitals Pvt. Ltd.,2025-06-25,CRISIL,Term loans,High Risk,B+,Reaffirmed,48.25,Y,HIGH,12.0,360.0,True,ULTRA HOT
D R S Millennium Pvt. Ltd.,2025-06-19,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,11.00,Y,HIGH,12.2,366.0,True,ULTRA HOT
D'Lords Footwear & Fashions Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,1.00,Y,HIGH,13.1,393.0,True,ULTRA HOT
D-Vois Communications Pvt. Ltd.,2025-05-23,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,3.60,Y,HIGH,13.1,393.0,True,ULTRA HOT
D-Vois Communications Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,High Risk,B,Reaffirmed,15.62,Y,HIGH,13.1,393.0,True,ULTRA HOT
D-Vois Communications Pvt. Ltd.,2025-05-23,CRISIL,Term loans,High Risk,B,Reaffirmed,27.89,Y,HIGH,13.1,393.0,True,ULTRA HOT
Darshan Extrusions Pvt. Ltd.,2025-05-28,CRISIL,Letter Of credit,High Risk,A 4+,Reaffirmed,3.80,Y,HIGH,12.9,388.0,True,ULTRA HOT
Darshan Extrusions Pvt. Ltd.,2025-05-28,CRISIL,Term loans,Inadequate Safety,BB-,Reaffirmed,8.80,Y,HIGH,12.9,388.0,True,ULTRA HOT
Dayal Cotspin Ltd.,2025-05-08,CRISIL,Long term Loans,Default,D,Reaffirmed,2.00,Y,HIGH,13.6,408.0,True,ULTRA HOT
Debson Pumps Pvt. Ltd.,2025-06-10,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,1.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Debson Pumps Pvt. Ltd.,2025-06-10,CRISIL,Long term Loans,High Risk,B,Reaffirmed,0.11,Y,HIGH,12.5,375.0,True,ULTRA HOT
Deepika Infratech Pvt. Ltd.,2025-05-23,CRISIL,Bank Guarantee,Default,D,Reaffirmed,130.50,Y,HIGH,13.1,393.0,True,ULTRA HOT
Deson Marketing Pvt. Ltd.,2025-05-29,CRISIL,Fund based financial facility/instrument,High Risk,A 4+,Downgraded,48.00,Y,HIGH,12.9,387.0,True,ULTRA HOT
Dev Bhoomi Cars Pvt. Ltd.,2025-06-10,CRISIL,Fund based financial facility/instrument,High Risk,B,Reaffirmed,10.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Dhanashree Agro Products Pvt. Ltd.,2025-05-19,CRISIL,Bank Guarantee,Default,D,Reaffirmed,1.20,Y,HIGH,13.2,397.0,True,ULTRA HOT
Dhanashree Agro Products Pvt. Ltd.,2025-05-19,CRISIL,Letter Of credit,Default,D,Reaffirmed,1.50,Y,HIGH,13.2,397.0,True,ULTRA HOT
Dhanashree Agro Products Pvt. Ltd.,2025-05-19,CRISIL,Long term Loans,Default,D,Reaffirmed,60.00,Y,HIGH,13.2,397.0,True,ULTRA HOT
Dhoot Developers Pvt. Ltd.,2025-06-10,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,28.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Dhoot Developers Pvt. Ltd.,2025-06-10,CRISIL,Short-term loan,High Risk,A 4,Reaffirmed,72.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Digitals India Security Products Pvt. Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,2.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Diligent S C M Solutions Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,Inadequate Safety,BB,Withdrawn,23.50,Y,HIGH,13.1,393.0,True,ULTRA HOT
Diligent S C M Solutions Pvt. Ltd.,2025-05-23,CRISIL,Term loans,Inadequate Safety,BB,Withdrawn,1.92,Y,HIGH,13.1,393.0,True,ULTRA HOT
Diligent S C M Solutions Pvt. Ltd.,2025-05-23,CRISIL,Term loans,Inadequate Safety,BB,Withdrawn,2.02,Y,HIGH,13.1,393.0,True,ULTRA HOT
Divine Infracon Pvt. Ltd.,2025-06-10,CRISIL,Term loans,Default,D,Reaffirmed,373.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Dolphin Mart Pvt. Ltd.,2025-06-12,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,1.50,Y,HIGH,12.4,373.0,True,ULTRA HOT
Earthcon Universal Infratech Pvt. Ltd.,2025-05-23,CRISIL,Term loans,Default,D,Reaffirmed,125.00,Y,HIGH,13.1,393.0,True,ULTRA HOT
East End Silks Pvt. Ltd.,2025-05-27,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,2.50,Y,HIGH,13.0,389.0,True,ULTRA HOT
East End Silks Pvt. Ltd.,2025-05-27,CRISIL,Letter Of credit,High Risk,A 4+,Downgraded,1.50,Y,HIGH,13.0,389.0,True,ULTRA HOT
East End Silks Pvt. Ltd.,2025-05-27,CRISIL,Non-fund-based financial facility/instrument,High Risk,A 4+,Downgraded,2.50,Y,HIGH,13.0,389.0,True,ULTRA HOT
East West Products Ltd.,2025-06-09,CRISIL,Long term Loans,Inadequate Safety,BB,Reaffirmed,11.88,Y,HIGH,12.5,376.0,True,ULTRA HOT
East West Products Ltd.,2025-06-09,CRISIL,Term loans,Inadequate Safety,BB,Reaffirmed,1.77,Y,HIGH,12.5,376.0,True,ULTRA HOT
Eastern Foods Pvt. Ltd.,2025-06-10,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.75,Y,HIGH,12.5,375.0,True,ULTRA HOT
Eastern Foods Pvt. Ltd.,2025-06-10,CRISIL,Fund based financial facility/instrument,High Risk,B,Reaffirmed,4.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Eastern Power Distribution Co. Of Andhra Pradesh Ltd.,2025-06-13,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,100.00,Y,HIGH,12.4,372.0,True,ULTRA HOT
Eastern Power Distribution Co. Of Andhra Pradesh Ltd.,2025-06-13,CRISIL,Long term Loans,High Risk,B,Downgraded,27.36,Y,HIGH,12.4,372.0,True,ULTRA HOT
Eco Cements Ltd.,2025-06-12,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,20.00,Y,HIGH,12.4,373.0,True,ULTRA HOT
Econ Cylinders Pvt. Ltd.,2025-06-10,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.50,Y,HIGH,12.5,375.0,True,ULTRA HOT
Econ Cylinders Pvt. Ltd.,2025-06-10,CRISIL,Long term Loans,High Risk,B,Reaffirmed,5.00,Y,HIGH,12.5,375.0,True,ULTRA HOT
Electrica Engineers (India) Pvt. Ltd.,2025-05-21,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Downgraded,6.00,Y,HIGH,13.2,395.0,True,ULTRA HOT
Ellenbarrie Industrial Gases Ltd.,2025-06-25,CRISIL,Bank Guarantee,High Safety,A 2+,Reaffirmed,25.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Emcer Tiles Pvt. Ltd.,2025-05-13,CRISIL,Bank Guarantee,High Risk,A 4+,Withdrawn,5.75,Y,HIGH,13.4,403.0,True,ULTRA HOT
Emcer Tiles Pvt. Ltd.,2025-05-13,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Withdrawn,0.13,Y,HIGH,13.4,403.0,True,ULTRA HOT
Emcer Tiles Pvt. Ltd.,2025-05-13,CRISIL,Term loans,Inadequate Safety,BB+,Withdrawn,30.93,Y,HIGH,13.4,403.0,True,ULTRA HOT
Emdee Digitronics Pvt. Ltd.,2025-05-09,CRISIL,Bank Guarantee,High Risk,A 4+,Downgraded,14.00,Y,HIGH,13.6,407.0,True,ULTRA HOT
Emdee Digitronics Pvt. Ltd.,2025-05-09,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Downgraded,8.00,Y,HIGH,13.6,407.0,True,ULTRA HOT
Emdee Digitronics Pvt. Ltd.,2025-05-28,CRISIL,Bank Guarantee,High Risk,A 4+,Reaffirmed,14.00,Y,HIGH,12.9,388.0,True,ULTRA HOT
Emdee Digitronics Pvt. Ltd.,2025-05-28,CRISIL,Fund based financial facility/instrument,Inadequate Safety,BB+,Reaffirmed,8.00,Y,HIGH,12.9,388.0,True,ULTRA HOT
Empire Alcobrev Pvt. Ltd.,2025-06-25,CRISIL,Term loans,Inadequate Safety,BB,Reaffirmed,5.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Endoc Lifecare Pvt. Ltd.,2025-05-23,CRISIL,Long term Loans,High Risk,B,Reaffirmed,1.00,Y,HIGH,13.1,393.0,True,ULTRA HOT
Epic Research Ltd.,2025-05-26,CRISIL,Term loans,High Risk,B,Reaffirmed,7.50,Y,HIGH,13.0,390.0,True,ULTRA HOT
Eswari Exports Pvt. Ltd.,2025-05-22,CRISIL,Long term Loans,High Risk,B,Reaffirmed,10.30,Y,HIGH,13.1,394.0,True,ULTRA HOT
Ethelbari Tea Co. (1932) Ltd.,2025-05-26,CRISIL,Bank Guarantee,High Risk,A 4,Reaffirmed,0.09,Y,HIGH,13.0,390.0,True,ULTRA HOT
Ethelbari Tea Co. (1932) Ltd.,2025-05-26,CRISIL,Long term Loans,High Risk,B+,Reaffirmed,0.67,Y,HIGH,13.0,390.0,True,ULTRA HOT
Excellent Power Cable Pvt. Ltd.,2025-05-23,CRISIL,Term loans,High Risk,B+,Reaffirmed,5.00,Y,HIGH,13.1,393.0,True,ULTRA HOT
Excelsource International Pvt. Ltd.,2025-06-25,CRISIL,Letter Of credit,High Risk,A 4+,Reaffirmed,1.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
Excelsource International Pvt. Ltd.,2025-06-25,CRISIL,Term loans,Inadequate Safety,BB,Reaffirmed,18.00,Y,HIGH,12.0,360.0,True,ULTRA HOT
