Company Name,Current Agency,Instrument,Rating,Original Rating Date,12mo Due Date,Recommended Call Date,Day of Week,Months Since Rating
Oasis Commercial Pvt. Ltd.,ACUITE,Term loans,BB,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Distilleries Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Overseas Exports Pvt. Ltd. [Merged],ACUITE,Bank Guarantee,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Overseas Exports Pvt. Ltd. [Merged],ACUITE,Letter Of credit,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Overseas Exports Pvt. Ltd. [Merged],ACUITE,Long term Loans,BB,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Oasis Overseas Exports Pvt. Ltd. [Merged],ACUITE,Term loans,BB,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Omsons Marketing Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Omsons Marketing Ltd.,ACUITE,Term loans,BB,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Techno Blow Moulders Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Techno Blow Moulders Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Techno Blow Moulders Pvt. Ltd.,ACUITE,Term loans,B+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Vijeta Beverages Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Aggarwal Fibres Pvt. Ltd.,ACUITE,Term loans,B,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Fie Refineries & Chemical Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
J G Foundry Ltd.,BRICKWORK,Term loans,B-,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Kavisha Motors Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Minmet Refractory Solutions Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Royale Manor Hotels & Inds. Ltd.,BRICKWORK,Term loans,B-,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Shanti Refrigeration Inds. Pvt. Ltd.,BRICKWORK,Letter Of credit,C,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Shanti Refrigeration Inds. Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Shree Ashtvinayak Roller Flour Mills Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Sobti Infratech Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Ami Riddhi Chem Pvt. Ltd.,BRICKWORK,Non-government debt,C/A4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Vikran Engineering Ltd.,CARE,Letter Of credit,A 4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Vikran Engineering Ltd.,CARE,Non-government debt,BB-/A4,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Ocean Motors Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,D,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Ocean Motors Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,D,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Ocean Motors Pvt. Ltd.,CRISIL,Long term Loans,D,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Therdose Pharma Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Therdose Pharma Pvt. Ltd.,ICRA,Non-government debt,D,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Therdose Pharma Pvt. Ltd.,ICRA,Term loans,D,2025-07-02,2026-07-02,2026-07-02,Thursday,11.8
Pongalur Pioneer Textiles Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Pongalur Pioneer Textiles Pvt. Ltd.,ACUITE,Letter Of credit,A 4+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Pongalur Pioneer Textiles Pvt. Ltd.,ACUITE,Term loans,BB+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Catwalk Worldwide Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Catwalk Worldwide Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Devee Biologicals Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Gujarat Infrapipes Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Gujarat Infrapipes Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Gujarat Infrapipes Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lakshmi Float Glass Ltd.,BRICKWORK,Term loans,B,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lakshmi Float Glass Ltd.,BRICKWORK,Term loans,B,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lamina Suspension Products Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lamina Suspension Products Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lamina Suspension Products Ltd.,BRICKWORK,Term loans,B+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Man Structurals Pvt. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Man Structurals Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Mantra Softech (India) Pvt. Ltd.,BRICKWORK,Non-government debt,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Mantra Softech (India) Pvt. Ltd.,BRICKWORK,Non-government debt,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
O P Gupta Contractors Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
S N Dairy Foods Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Sai Tech Medicare Pvt. Ltd.,BRICKWORK,Term loans,C-,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Shree Bhageshwari Papers Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Shree Bhageshwari Papers Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Shree Bhageshwari Papers Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Shree Bhageshwari Papers Pvt. Ltd.,BRICKWORK,Term loans,BB,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Shree Sita Ram Paper Mills Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Shree Sita Ram Paper Mills Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Valvaya Capital Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Valvaya Capital Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Valvaya Capital Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Vineet Oils Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Agsons Agencies (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Coalsale Co. Ltd.,CARE,Bank Guarantee,A 4+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Coalsale Co. Ltd.,CARE,Non-fund-based financial facility/instrument,A 4+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Herald Publications Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Herald Publications Pvt. Ltd.,CARE,Fund based financial facility/instrument,BB,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Herald Publications Pvt. Ltd.,CARE,Term loans,BB,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Kabra Commercial Ltd.,CARE,Letter Of credit,A 4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
L G W Industries Ltd.,CARE,Fund based financial facility/instrument,B,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
L G W Industries Ltd.,CARE,Term loans,B,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lakshmi Infrastructure & Developers India Pvt. Ltd.,CARE,Non-government debt,D,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lall Steels Pvt. Ltd.,CARE,Non-government debt,BB-/A4,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Lall Steels Pvt. Ltd.,CARE,Term loans,BB-,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Parmeshwari Silk Mills Ltd.,CARE,Fund based financial facility/instrument,BB+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Parmeshwari Silk Mills Ltd.,CARE,Term loans,BB+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Parmeshwari Silk Mills Ltd.,CARE,Term loans,BB+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
R C Plasto Tanks & Pipes Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
R C Plasto Tanks & Pipes Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 4+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
R C Plasto Tanks & Pipes Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-07-03,2026-07-03,2026-07-03,Friday,11.7
Kaveri Engineering Projects Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Kaveri Engineering Projects Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Lark Projects Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Mighty Auto Wheels Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Neptune Ventures & Developers Pvt. Ltd.,BRICKWORK,Term loans,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Perambalur Sugar Mills Ltd.,BRICKWORK,Term loans,C,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Rock & Storm Distillaries Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Sand Dune Constructions Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Value Added Fashion Fabrics Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Best I T World (India) Pvt. Ltd.,CARE,Letter Of credit,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Deen Dayal Foods Pvt. Ltd.,CARE,Term loans,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Dodsal Enterprises Pvt. Ltd.,CARE,Non-government debt,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Greenergy Wind Corpn. Pvt. Ltd.,CARE,Term loans,BB-,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Jackson Laboratories Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
K B Tea Product Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Maschio Gaspardo India Pvt. Ltd.,CARE,Non-government debt,BB+/A4+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Mayur Leather Products Ltd.,CARE,Bank Guarantee,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Mayur Leather Products Ltd.,CARE,Non-government debt,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Mayur Leather Products Ltd.,CARE,Term loans,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Padam Motors Pvt. Ltd.,CARE,Term loans,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Saastha Ware Housing Pvt. Ltd.,CARE,Term loans,B+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Supreme & Co. Pvt. Ltd.,CARE,Letter Of credit,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Supreme & Co. Pvt. Ltd.,CARE,Non-government debt,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Supreme & Co. Pvt. Ltd.,CARE,Non-government debt,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Supreme & Co. Pvt. Ltd.,CARE,Term loans,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
U M Green Lighting Pvt. Ltd.,CARE,Non-government debt,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Guinea Motors Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Guinea Motors Pvt. Ltd.,CRISIL,Term loans,D,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Karnataka Power Corpn. Ltd.,ICRA,Non-fund-based financial facility/instrument,B+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Karnataka Power Corpn. Ltd.,ICRA,Term loans,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Karnataka Power Corpn. Ltd.,ICRA,Term loans,B+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Kaveri Infraprojects Pvt. Ltd.,ICRA,Fund based financial facility/instrument,BB+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Kaveri Infraprojects Pvt. Ltd.,ICRA,Non-government debt,BB+/A4+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
T M I Healthcare Pvt. Ltd.,ICRA,Fund based financial facility/instrument,A 4,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
T M I Healthcare Pvt. Ltd.,ICRA,Term loans,B+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Indian Cane Power Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Indian Cane Power Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Indian Cane Power Ltd.,IND-RA,Term loans,BB+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Kavitha Gold & Diamonds Pvt. Ltd.,IND-RA,Term loans,BBB-,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Kunj Roller Flour Mills Pvt. Ltd.,IND-RA,Fund based financial facility/instrument,BB+,2025-07-04,2026-07-04,2026-07-04,Saturday,11.7
Eswari Global Metal Inds. Pvt. Ltd.,ACUITE,Letter Of credit,A 4+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Eswari Global Metal Inds. Pvt. Ltd.,ACUITE,Long term Loans,BB+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Ganapati Fishing Lines Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Ganapati Fishing Lines Pvt. Ltd.,ACUITE,Long term Loans,BB-,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Pan Synthetics Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Pan Synthetics Pvt. Ltd.,ACUITE,Long term Loans,BB-,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Power2Sme Pvt. Ltd.,ACUITE,Term loans,B+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Sri Narayani Plastics Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Sri Narayani Plastics Pvt. Ltd.,ACUITE,Long term Loans,BB-,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Swaraj Suiting Ltd.,ACUITE,Term loans,BB+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Ambey Metallic Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Ambey Metallic Pvt. Ltd.,ACUITE,Letter Of credit,A 4+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Bharat Industrial Enterprises Pvt. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Bharat Industrial Enterprises Pvt. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Bharat Industrial Enterprises Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Blossom Grocery & Foods India Pvt. Ltd.,BRICKWORK,Non-government debt,D,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
I B C Knowledge Park Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,BB,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Pasura Crop Care Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Pasura Crop Care Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Sabarmati Capital Two Ltd.,BRICKWORK,Term loans,D,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Shiva Shakti Grains (India) Pvt. Ltd.,BRICKWORK,Term loans,D,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
A V I Ansh Textile Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
A V I Ansh Textile Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
A V I Ansh Textile Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Capital Photo Service Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Ganga Spintex Pvt. Ltd.,CARE,Term loans,B,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Tehri Pulp & Paper Ltd.,CARE,Non-fund-based financial facility/instrument,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Tehri Pulp & Paper Ltd.,CARE,Term loans,BB-,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
United Teleservices Ltd.,CARE,Letter Of credit,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Stanley Lifestyles Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Stanley Lifestyles Ltd.,CRISIL,Letter Of credit,A 4,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Stanley Lifestyles Ltd.,CRISIL,Term loans,B+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
Osia Hyper Retail Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-07,2026-07-07,2026-07-07,Tuesday,11.6
K M Global Credit Pvt. Ltd.,ACUITE,Term loans,BB+,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Sunpower Cement Co. Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Sunpower Cement Co. Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Sunpower Cement Co. Pvt. Ltd.,ACUITE,Long term Loans,C,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Team Universal Infratech Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
J L D M Textiles Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
J P Engineers Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Mahalakshmi Profiles Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Mahalakshmi Profiles Pvt. Ltd.,BRICKWORK,Term loans,B,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Mahalaxmi Associates Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Mahalaxmi Associates Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Reckon Organics Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Reckon Organics Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Safari Bikes Ltd.,BRICKWORK,Letter Of credit,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Shivpriya Cables Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Shivpriya Cables Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Sri Maharaja Oil Imports & Exports India Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Stalwart Alloys India Ltd.,BRICKWORK,Fund based financial facility/instrument,B,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Stalwart Alloys India Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Sunrise Victuals Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Truvolt Engineering Co. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Truvolt Engineering Co. Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Truvolt Engineering Co. Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
Active Tools Pvt. Ltd.,BRICKWORK,Term loans,D,2025-07-08,2026-07-08,2026-07-08,Wednesday,11.6
