Company Name,Current Rater,Instrument Type,Current Rating,Last Rating Date,Days Overdue,Urgency,DeadRisk,Why Target,ACER Pitch Angle
NRVS Steels Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,1513.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
NRTMT (India) Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,1513.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
N.R. Ispat & Power Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,1513.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Rustam Foods Private Limited (RFPL),INFOMERICS,Long Term Fund Based Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-05-23,1489.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Sonasati Organics Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (CE)(INC)(Reaffirmed and Withdrawn),2022-10-31,1328.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Bravo Sponge Iron Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-11-17,1311.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Rebanta Steels Private Limited,INFOMERICS,Bank Facilities,IVR BB- (INC)(Withdrawn),2022-11-18,1310.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Mid India Creations LLP,INFOMERICS,Short Term Fund based facilities - Overdraft,IVR A4 (INC(Reaffirmed)(Withdrawn),2022-11-24,1304.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Ajanta Spintex Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B (INC)(Reaffirmed and Withdrawn),2022-12-20,1278.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Parmeshwari Silk Mills Limited,INFOMERICS,Long Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2022-12-26,1272.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Deepshikha Exim Private Limited,INFOMERICS,Term Loan,IVR B+ (INC)(Withdrawn),2023-01-02,1265.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Kataria Automobiles Private Limited (KAPL),INFOMERICS,Long Term Fund based facilities - Cash Credit,IVR BB (INC)(Reaffirmed and Withdrawn),2023-02-10,1226.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
FORTUNE GROUP,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-03-02,1206.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
GP Petroleums Ltd,INFOMERICS,Long/Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Reaffirmed and withdrawn),2023-03-28,1180.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Manaksia Coated Metals & Industries Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-04-18,1159.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
BLA Projects Private Limited,INFOMERICS,Long term Bank Facilities,IVR BB (INC) (Reaffirmed and withdrawn),2023-04-27,1150.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Earth Minerals Company Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-02,1145.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Clean Coal Enterprises Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed & Withdrawn),2023-05-02,1145.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Vishnu Chemicals Limited (VCL),INFOMERICS,Long term Bank Facilities - Term Loan,IVR BB+ (INC)(Withdrawn),2023-05-03,1144.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Vishnu Barium Private Limited,INFOMERICS,Long term Bank Facilities - Term Loan,IVR BB+ (INC)(Withdrawn),2023-05-03,1144.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Shah Nanji Nagsi Export Private Limited,INFOMERICS,Long/Short Term Bank Facilities,IVR BB (INC)(Reaffirmed and Withdrawn),2023-05-08,1139.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Choice Trading Corporation Private Limited,INFOMERICS,Long Term Fund Based Bank Facility - Pre/Post shipment Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-05-26,1121.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
SKA Steel & Power Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-30,1117.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Hind Energy Coal and Benefication (India) Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-06-02,1114.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Precision Power Products (India) Private Limited,INFOMERICS,Long Term Fund Based Facility - Cash Credit,IVR BB (INC)(Reaffirmed and Withdrawn),2023-06-02,1114.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
East India Drums & Barrels Manufacturing Company (EIDBMC),INFOMERICS,Long Term Fund Based Facility - Term Loan,IVR BB (INC)(Reaffirmed & Withdrawn),2023-06-14,1102.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
HMA Agro Industries Limited,INFOMERICS,Long Term Bank Facilities,IVR BBB+ (INC)(Reaffirmed and Withdrawn),2023-06-19,1097.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Enviro Infra Engineers Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-07-19,1067.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Hariwansh Packaging Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed & Withdrawn),2023-08-07,1048.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Zodiac Energy Limited,INFOMERICS,Long Term Fund based Facilities - Cash Credit,IVR BB (INC)(Reaffirmed and Withdrawn),2023-09-25,999.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Gagan Ferrotech Limited,INFOMERICS,Long Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2023-10-19,975.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Shivalik Auto Engineering Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed & Withdrawn),2023-10-19,975.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),INFOMERICS,Long Term Bank Facilities,IVR D (INC)(Reaffirmed and Withdrawn),2023-11-07,956.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Vedx International Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Withdrawn),2023-12-21,912.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
A.V. Agro Foods,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed and withdrawn),2023-12-27,906.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Uttamenergy Limited (UEL),INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2024-01-22,880.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Krishna Defence and Allied Industries Limited,INFOMERICS,Long Term Bank Facilities,IVR BB (INC)(Reaffirmed and Withdrawn),2024-02-29,842.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
RBA Finance Private Limited,INFOMERICS,Long Term Fund Based Facilities - Cash Credit,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,835.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
South Seas Distilleries & Breweries Private Limited,INFOMERICS,Long Term Fund Based Bank Facilities - Term loans,IVR BB (INC)(Downgraded and Withdrawn),2024-03-19,823.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Panchal Agro Fresh,INFOMERICS,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),2024-11-27,570.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
IFL Housing Finance Limited,INFOMERICS,Long-Term Bank Facilities,IVR BB (INC) (Downgraded),2024-12-09,558.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Shree Automotive Private Limited,INFOMERICS,Long Term Bank Facilities (including proposed facility of Rs. 12.77 crore),IVR BB (INC)(Downgraded),2024-12-13,554.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Kalpataruvu Spinning Mills Private Limited,INFOMERICS,Long Term Bank Facilities,IVR D (INC)(Downgraded),2024-12-16,551.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Sir Shadi Lal Enterprises Limited,INFOMERICS,Long Term Bank Facilities,IVR B (INC)(Reaffirmed),2024-12-17,550.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Sri Vasudeva Textiles Private Limited,INFOMERICS,Long Term Bank Facilities - Term Loan,IVR BB- (INC)(Downgraded),2024-12-18,549.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Shri Vasudeva Weaving Mills Private Limited,INFOMERICS,Long Term Bank Facilities - Term Loan,IVR BB- (INC)(Downgraded),2024-12-18,549.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Bliss Anand Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2024-12-19,548.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Vandana Ispat Private Limited (erstwhile Vandana Ispat Limited),INFOMERICS,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2024-12-20,547.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Karnal Food Pack Cluster Limited,INFOMERICS,Long Term Bank Facility,IVR B (INC)(Downgraded),2024-12-20,547.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Akshar Gamma Steriles LLP,INFOMERICS,Long Term Bank Facility,IVR BB- (INC) (Downgraded),2024-12-23,544.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Saatvik Ferro Limited,INFOMERICS,Long Term/ Short Term Bank Facility,IVR BB+/IVR A4+; (INC)(Downgraded),2024-12-27,540.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Satvik Enterprises Limited,INFOMERICS,Long Term Bank Facility,IVR BB+ (INC)(Downgraded),2024-12-27,540.0,HIGH,MEDIUM RISK - 18+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; MEDIUM RISK - 18+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Alka Chemi Pack Private Limited,INFOMERICS,Long Term Bank Facility,IVR B+ (INC) (Downgraded),2024-12-31,536.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Rayalaseema Steel Re Rolling Mills Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2024-12-31,536.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Trimurthi Exports,INFOMERICS,Proposed Long Term Bank Facility,IVR B- (INC) (Reaffirmed),2025-01-01,535.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
P.K. Pharmatech Private Limited,INFOMERICS,Long Term Bank Facility- Cash Credit,IVR B+(INC) (Downgraded),2025-01-01,535.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Samrat Gems Impex Private Limited,INFOMERICS,Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-01-01,535.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Laxmi Dia Jewels Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-01-02,534.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Svarog Global Power Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-02,534.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Crystal Cold Storage Company Private Limited,INFOMERICS,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-01-06,530.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
NS Engineering Company Private Limited,INFOMERICS,Long Term Bank Facility,IVR B+ (INC)(Downgraded),2025-01-06,530.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Balaji Dayalpura Infra Private Limited,INFOMERICS,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-01-06,530.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Paliwal Sons Dairy Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-07,529.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Ram Kumar Narwani,INFOMERICS,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-01-08,528.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Shashadhar Cold Storage Private Limited,INFOMERICS,Long Term Bank Facility,IVR B- (INC)(Reaffirmed),2025-01-08,528.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Swambhunath Cold Storage Private Limited,INFOMERICS,Long Term Bank Facility,IVR B- (INC)(Reaffirmed),2025-01-08,528.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Fortune Resources Private Limited,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-08,528.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Grand Marine Foods,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-09,527.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Puran Chand Rice Mills Private Limited,INFOMERICS,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-01-09,527.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
Safa Enterprises,INFOMERICS,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-09,527.0,HIGH,LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,ULTRA HOT: INC + 365+ days overdue; LOW-MEDIUM RISK - 15+ MONTHS OVERDUE,VERIFY ACTIVE BEFORE CALLING
