Company Name,Instrument Type,Current Agency,Rating,Rating Date,Urgency,Months Since Rating
Abhishek Steel Inds. Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-21,HIGH,13.2
Biogenetic Drugs Pvt. Ltd.,Non-government debt,BRICKWORK,B+/A4,2025-05-23,HIGH,13.1
Eagle Continental Foods Pvt. Ltd.,Non-government debt,ICRA,D,2025-05-23,HIGH,13.1
Eagle Continental Foods Pvt. Ltd.,Non-government debt,ICRA,D,2025-05-23,HIGH,13.1
Aadi Polymers Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-23,HIGH,13.1
Chrysalis Trading Pvt. Ltd.,Non-government debt,BRICKWORK,D,2025-05-27,HIGH,13.0
Ecron Acunova Ltd.,Non-government debt,CARE,D,2025-05-26,HIGH,13.0
Ganesh Saw Mills Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-05-27,HIGH,13.0
Ram'S Assorted Cold Storage Ltd.,Non-government debt,CARE,D,2025-05-27,HIGH,13.0
Sangotra Fashions Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-05-27,HIGH,13.0
V R S Foods Ltd.,Non-government debt,IND-RA,BBB/A3+,2025-05-26,HIGH,13.0
Vesta Equipment Pvt. Ltd.,Non-government debt,CARE,D,2025-05-26,HIGH,13.0
Ashoka Distillers & Chemicals Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,12.9
B K Threshers Pvt. Ltd.,Non-government debt,ICRA,D,2025-05-29,HIGH,12.9
Cenosphere India Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-05-28,HIGH,12.9
Flender Drives Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,12.9
Flyjac Logistics Pvt. Ltd.,Non-government debt,ICRA,A+/A1+,2025-05-29,HIGH,12.9
Flyjac Logistics Pvt. Ltd.,Non-government debt,ICRA,A 1+,2025-05-29,HIGH,12.9
G M Sugar & Energy Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,12.9
Gurpreet Galvanising Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,12.9
K V R Projects Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-05-30,HIGH,12.9
Narendra Emporis Ltd.,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,12.9
Neogem India Ltd.,Non-government debt,ICRA,D,2025-05-28,HIGH,12.9
Ocean Pearl Hotels Pvt. Ltd.,Non-government debt,ICRA,C+/A4,2025-05-28,HIGH,12.9
R L Steels & Energy Ltd.,Non-government debt,CARE,B+/A4,2025-05-29,HIGH,12.9
Rai Metal Works Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-05-30,HIGH,12.9
Rai Metal Works Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-05-30,HIGH,12.9
Sologres Granito Pvt. Ltd.,Non-government debt,CARE,BB/A4,2025-05-29,HIGH,12.9
Star Chem Poly Trade Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-05-28,HIGH,12.9
G L S Films Inds. Pvt. Ltd.,Non-government debt,CARE,D,2025-06-02,HIGH,12.8
G L S Films Inds. Pvt. Ltd.,Non-government debt,CARE,D,2025-06-02,HIGH,12.8
Gainwell Engineering Pvt. Ltd.,Non-government debt,CARE,BB+/A4,2025-06-02,HIGH,12.8
Leel Electricals Ltd.,Non-government debt,CARE,D,2025-06-02,HIGH,12.8
Aakash Exploration Services Ltd.,Non-government debt,CARE,BB+/A4+,2025-06-02,HIGH,12.8
Aakash Exploration Services Ltd.,Non-government debt,CARE,BB+/A4+,2025-06-02,HIGH,12.8
Bhoomi Resources Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-06-04,HIGH,12.7
Finolex J-Power Systems Ltd.,Non-government debt,CARE,B+/A4,2025-06-04,HIGH,12.7
Future Corporate Resources Pvt. Ltd.,Debentures / Bonds / notes / bills,ICRA,D,2025-06-04,HIGH,12.7
Jayatma Industries Ltd.,Non-government debt,CARE,C/A4,2025-06-03,HIGH,12.7
Narayani Coke Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2025-06-05,HIGH,12.7
Osaw Indl. Products Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-06-03,HIGH,12.7
Shri Jagdamba Polymers Ltd.,Non-government debt,CARE,BB/A4,2025-06-05,HIGH,12.7
A S A Agrotech Pvt. Ltd.,Non-government debt,BRICKWORK,B-/A4,2025-06-05,HIGH,12.7
Advance Metering Technology Ltd.,Non-government debt,CARE,C/A4,2025-06-03,HIGH,12.7
Melcon (Vizag) Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-06-06,HIGH,12.6
P V Power Technologies Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-06-06,HIGH,12.6
P V Power Technologies Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-06-06,HIGH,12.6
P V Power Technologies Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-06-06,HIGH,12.6
Phoenix Structural & Engg. Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-06,HIGH,12.6
Phoenix Structural & Engg. Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-06,HIGH,12.6
Shri Gautam Shipbreaking Inds. Pvt. Ltd.,Non-government debt,CARE,BB+/A4+,2025-06-06,HIGH,12.6
Somi Conveyor Beltings Ltd.,Non-government debt,CARE,BB-/A4,2025-06-06,HIGH,12.6
Atlantic Shipping Pvt. Ltd.,Non-government debt,ICRA,BB/A4+,2025-06-11,HIGH,12.5
Bagkiya Constructions Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-10,HIGH,12.5
Harman Rice Pvt. Ltd.,Non-government debt,CARE,D,2025-06-10,HIGH,12.5
Knitcraft Apparels Intl. Pvt. Ltd.,Non-government debt,CARE,D,2025-06-11,HIGH,12.5
Pab Organics Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-06-10,HIGH,12.5
Patwari Electricals Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-06-10,HIGH,12.5
Rika Global Impex Ltd.,Non-government debt,CARE,BB-/A4,2025-06-09,HIGH,12.5
Sotefin Bharat Ltd.,Non-government debt,CARE,B+/A4,2025-06-10,HIGH,12.5
Sri Venkateswara Aerospace Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-11,HIGH,12.5
Sri Venkateswara Aerospace Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-11,HIGH,12.5
A K Infraprojects Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-06-10,HIGH,12.5
Banglore Polymers Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-06-13,HIGH,12.4
Banglore Polymers Pvt. Ltd.,Non-government debt,CARE,C/A4,2025-06-13,HIGH,12.4
Feedback Energy Distribution Co. Ltd.,Non-government debt,CARE,D,2025-06-13,HIGH,12.4
P M P Textiles Spg. Mills Ltd.,Non-government debt,CARE,D,2025-06-12,HIGH,12.4
Poornima Handicrafts Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-13,HIGH,12.4
Sophisticated Industrial Materials Analytic Labs Pvt. Ltd.,Non-government debt,CARE,B/A4,2025-06-13,HIGH,12.4
Azeen Agro Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-17,HIGH,12.3
R N Metals Pvt. Ltd.,Non-government debt,BRICKWORK,C,2025-06-17,HIGH,12.3
Shiva Polytubes Pvt. Ltd.,Non-government debt,BRICKWORK,C/A4,2025-06-16,HIGH,12.3
Shree Shyam Sponge & Power Ltd.,Non-government debt,CARE,B/A4,2025-06-16,HIGH,12.3
Ayushman Merchants Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-20,HIGH,12.2
Bhardwaj Overseas Pvt. Ltd.,Non-government debt,CARE,BB-/A4,2025-06-19,HIGH,12.2
Electro Polychem Ltd.,Non-government debt,ICRA,B-/A4,2025-06-18,HIGH,12.2
Hindusthan National Glass & Inds. Ltd.,Non-government debt,CARE,D,2025-06-19,HIGH,12.2
Mangal Electrical Inds. Ltd.,Non-government debt,CARE,B+/A4,2025-06-20,HIGH,12.2
Mangal Electrical Inds. Ltd.,Non-government debt,CARE,B+/A4,2025-06-20,HIGH,12.2
United Coke Pvt. Ltd.,Non-government debt,BRICKWORK,B+/A4,2025-06-18,HIGH,12.2
Atul Motors Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Atul Motors Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Canter Engineers Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Chowgule Industries Pvt. Ltd.,Non-government debt,ICRA,A/A1,2025-06-23,HIGH,12.1
Cryolor Asia Pacific Pvt. Ltd.,Non-government debt,ICRA,A 4+,2025-06-23,HIGH,12.1
Cryolor Asia Pacific Pvt. Ltd.,Non-government debt,ICRA,BB+/A4+,2025-06-23,HIGH,12.1
Hero Electric Vehicles Pvt. Ltd.,Non-government debt,CARE,D,2025-06-23,HIGH,12.1
Lanarsy Infra Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Lanarsy Infra Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Presidency Exports & Inds. Ltd.,Non-government debt,ICRA,D,2025-06-23,HIGH,12.1
Tirupati Shelters Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Arihant Solvex Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-23,HIGH,12.1
Bhadrashree Steel & Power Ltd.,Non-government debt,BRICKWORK,B,2025-06-25,HIGH,12.0
French Motor Car Co. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-25,HIGH,12.0
Ganpati Moulders Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-06-25,HIGH,12.0
Globe Automobiles Pvt. Ltd.,Non-government debt,ICRA,BB+/A4,2025-06-25,HIGH,12.0
Mcleod Russel India Ltd.,Non-government debt,ICRA,D,2025-06-25,HIGH,12.0
My Box Technologies Pvt. Ltd.,Non-government debt,IND-RA,B+/A4,2025-06-25,HIGH,12.0
Rayban Foods Pvt. Ltd.,Non-government debt,ICRA,D,2025-06-24,HIGH,12.0
Sri Jayarama Motors Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-06-25,HIGH,12.0
Sriaranath Logistics Ltd.,Non-government debt,IND-RA,BB-/A4+,2025-06-25,HIGH,12.0
Ascon Infratech Pvt. Ltd.,Non-government debt,IND-RA,BB-/A4+,2025-06-25,HIGH,12.0
J G Hosiery Pvt. Ltd.,Non-government debt,ICRA,A/A2+,2025-12-23,LOW,6.0
Rhino Lux Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-12-23,LOW,6.0
Yash Exports (India) Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-23,LOW,6.0
Borana Weaves Ltd.,Non-government debt,CARE,BB+/A4+,2025-12-26,LOW,5.9
C D R Projects Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-24,LOW,5.9
I G W India Technologies Pvt. Ltd.,Non-government debt,CARE,BBB+/A2,2025-12-26,LOW,5.9
I G W India Technologies Pvt. Ltd.,Non-government debt,CARE,BBB+/A2,2025-12-26,LOW,5.9
Ktex Nonwovens Pvt. Ltd.,Non-government debt,CARE,BB/A4,2025-12-24,LOW,5.9
Ktex Nonwovens Pvt. Ltd.,Non-government debt,CARE,BB/A4,2025-12-24,LOW,5.9
Metco Roof Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-24,LOW,5.9
N M Foodimpex Pvt. Ltd.,Non-government debt,BRICKWORK,C,2025-12-26,LOW,5.9
Seguro Foundations & Structures Pvt. Ltd.,Non-government debt,CARE,D,2025-12-24,LOW,5.9
W F B Baird & Co. India Pvt. Ltd.,Non-government debt,CARE,BBB-/A3,2025-12-26,LOW,5.9
Weener Empire Plastics Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-24,LOW,5.9
Winner Nippon Leatherette Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-24,LOW,5.9
Sun Agrifresh Inds. Pvt. Ltd.,Non-government debt,CARE,D,2025-12-29,LOW,5.8
Advanced Computers & Mobiles India Pvt. Ltd.,Non-government debt,CARE,D,2025-12-29,LOW,5.8
Advanced Computers & Mobiles India Pvt. Ltd.,Non-government debt,CARE,D,2025-12-29,LOW,5.8
Antique Cottex Pvt. Ltd.,Non-government debt,ICRA,B+/A4,2025-12-30,LOW,5.7
B N R Infrastructure Projects Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-02,LOW,5.6
Global International Imex Pvt. Ltd.,Non-government debt,ICRA,D,2026-01-02,LOW,5.6
Kuldeep Motors Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-02,LOW,5.6
Noble Moulds Pvt. Ltd.,Non-government debt,BRICKWORK,B-/A4,2026-01-02,LOW,5.6
Bawa Float Glass Ltd.,Non-government debt,CARE,BB+/A4+,2026-01-06,LOW,5.5
Buildon Plasters Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-07,LOW,5.5
Dirco Polymers Pvt. Ltd.,Non-government debt,CARE,BB+/A4+,2026-01-05,LOW,5.5
Euro Safety Footwear (India) Ltd.,Non-government debt,CARE,BB+/A4+,2026-01-05,LOW,5.5
Ritzy Chemicals Pvt. Ltd.,Non-government debt,CARE,D,2026-01-07,LOW,5.5
Ritzy Chemicals Pvt. Ltd.,Non-government debt,CARE,D,2026-01-07,LOW,5.5
Smilax Laboratories Ltd.,Non-government debt,CARE,BB/A4,2026-01-06,LOW,5.5
Ananya Engineering Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-06,LOW,5.5
Classic Enterprises Pvt. Ltd.,Non-government debt,CARE,B-/A4,2026-01-09,LOW,5.4
Gowthami Solvent Oils Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-09,LOW,5.4
Jaipur Rugs Co. Ltd.,Non-government debt,CARE,BB-/A4,2026-01-08,LOW,5.4
Motor & General Sales Pvt. Ltd.,Non-government debt,CARE,D,2026-01-09,LOW,5.4
Motor & General Sales Pvt. Ltd.,Non-government debt,CARE,D,2026-01-09,LOW,5.4
Pai-Aim Solder (India) Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-01-08,LOW,5.4
U B Cotton Pvt. Ltd.,Non-government debt,CARE,BB/A4,2026-01-09,LOW,5.4
Jagruti Sugar & Allied Inds. Ltd.,Non-government debt,IND-RA,BB-/A4+,2026-01-12,LOW,5.3
S R S Ltd.,Non-government debt,IND-RA,D,2026-01-12,LOW,5.3
Shashi Cables Ltd.,Non-government debt,IND-RA,BB-/A4+,2026-01-12,LOW,5.3
Sivaguru Spinning Mills Pvt. Ltd.,Non-government debt,IND-RA,B+/A4,2026-01-12,LOW,5.3
Swastik Coal Corpn. Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-12,LOW,5.3
Uttarakhand Engineering Products Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-01-12,LOW,5.3
Amarpali Cylinders Pvt. Ltd.,Non-government debt,CARE,B+/A4,2026-01-12,LOW,5.3
Ansal Housing Ltd.,Non-government debt,IND-RA,D,2026-01-12,LOW,5.3
Arti Silk Mills Pvt. Ltd.,Non-government debt,CARE,B/A4,2026-01-12,LOW,5.3
Athulitha Laboratories Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
B N T Innovations Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
B V L Exports Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Bay Datacom Solutions Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Camerich Papers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Chanakya Technos Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Classic Knits India Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Commercial Auto Products Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Continental Milkose (India) Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Crystal Cable Inds. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Delco Infrastructure Projects Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Dembla Timber Co. Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Dhara Petrochemicals Pvt. Ltd. [Merged],Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Eapro Global Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Ecokrin Hygiene Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Egwood Boards & Panels Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Elastochemie Impex Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Element Chemilink Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Emdee Digitronics Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Encorp Powertrans Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Extol Infracon India Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Fivebro International Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
G M W Engineers Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Gayatri Microns Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
George Maijo Inds. Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Globarena Technologies Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Goodwear Fashions Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Goodwin Jewellers Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Gupta & Sons (Motors) Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Hansraj Agrofresh Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Har Auto Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Imperial Tubes Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Jai Hari Inds. Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Jai Kumar Arun Kumar Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Jain Vinimay Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Jainex Metaliks Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Jatson Power Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Joseph Leslie Dynamiks Mfg. Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Jyoti Buildtech Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
K M K Global Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
K P M Processing Mill Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Kaizen Cold Formed Steel Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Kannappan Iron & Steel Co. Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Kavit Pu Leather Cloth Inds. Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Khedut Solvexp Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2026-01-16,LOW,5.2
Kinjal Chemicals Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Kolluri Impex Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Konark Synthetic Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
L T S Plastics (India) Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Landmark Royal Engg. (India) Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Lanson Motors Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
M G I (India) Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Malwa Automotives Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Man Tubinox Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Mandar Health & Hygiene Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Mani Export Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Manik Commercial Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Maniyar Refinery Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Maya Construction Co. Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Mega Vitrified Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Mintech Global Pvt. Ltd.,Non-government debt,IND-RA,D,2026-01-16,LOW,5.2
Motorsales Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
Multifilms Plastics Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-01-16,LOW,5.2
