Company Name,Priority Tier,Score,Current Rater(s),Instrument Type,Rating,Last Rating Date,Days Overdue,Urgency,Signal_UltraHot,Signal_DualINC,Signal_RecentTransition,Signal_MultiAgency,Signal_Downgraded,Why Target,ACER Pitch Angle
Indica Conveyors Ltd.,TIER 1 — MAXIMUM PRIORITY,6,BRICKWORK | CRISIL,Letter Of credit,D,2025-09-01,367,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Mother India Agrofoods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,6,ACUITE | BRICKWORK | CRISIL,Term loans,B,2025-08-29,366,HIGH,1,1,0,1,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW | rated by 3+ agencies,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Jaidayal Hitex Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,BB+,2025-06-20,410,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
M A Sarsinsa Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-07-16,410,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Geeta Refinery Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,D,2025-08-21,409,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Reddy Veeranna Constructions Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,D,2025-09-18,409,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Aishwaryagiri Constructions Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-05,408,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Instinct Infra & Power Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL,Bank Guarantee,A 4+,2026-02-10,407,HIGH,1,0,1,0,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC,"You just became INC — ACER can restore your rating track record within weeks, not months"
Krishu Motor Craft Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2026-02-26,407,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Anil Buildcon (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-07-11,403,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Sandhya Infocity Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CARE | CRISIL,Fund based financial facility/instrument,BB-,2025-07-21,403,HIGH,1,0,0,1,1,ULTRA HOT (365+ days INC) | rated by 3+ agencies | recently downgraded,"Over 12 months without a valid rating — ACER provides fastest turnaround, guaranteed analyst availability"
Jai Mata Bala Sundari Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,A 4,2026-04-20,402,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Multicolor Steels (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL,Fund based financial facility/instrument,BB,2026-04-30,402,HIGH,1,0,1,0,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC,"You just became INC — ACER can restore your rating track record within weeks, not months"
Prem Jain Ispat Udyog Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,BB+,2026-02-19,402,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Patel Hospital Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,BB-,2025-10-17,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Prabha Infrastructure Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-11-10,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Shri Rewa Rice Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B+,2025-07-29,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Thrive Solar Energy Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-08-22,401,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Dwarakamai Constructions Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-11,397,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Kodai Cars Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,D,2025-09-10,397,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Adwaith Lakshmi Inds. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL | IND-RA,Letter Of credit,A 4+,2026-01-09,396,HIGH,1,0,1,0,0,ULTRA HOT (365+ days INC) | JUST transitioned to INC,"You just became INC — ACER can restore your rating track record within weeks, not months"
Anand Triplex Board Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,BB+,2026-01-22,396,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Parijat Oil & Feeds Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,C,2025-11-12,395,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Fairdeal Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-10,393,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Gajanan Siddhivinayak Foods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-07-21,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Granite Mart Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-07-30,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Kings International Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,A 4,2025-10-07,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Pandit Automobiles Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-06-02,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Trans Valves (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-10,390,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Sharma Orthopedic (India) Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B,2025-06-24,389,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Omkar Speciality Chemicals Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Long term Loans,D,2025-05-30,388,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Satyam Ispat (North East) Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-08-14,387,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Shubham Cotton Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B,2025-06-11,387,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Prakash Road Lines Corpn. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-07-17,383,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Salasaar Iron & Steels Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2026-01-31,382,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Simran International Export (India) Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,A 4,2025-09-05,382,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Sri M K Paper Mills Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-09-29,382,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Raunaq International Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,C,2025-09-25,381,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Rawalwasia Textile Inds. Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,ACUITE | BRICKWORK | CARE,Letter Of credit,A 4,2026-04-08,379,HIGH,1,0,0,1,1,ULTRA HOT (365+ days INC) | rated by 3+ agencies | recently downgraded,"Over 12 months without a valid rating — ACER provides fastest turnaround, guaranteed analyst availability"
Aditya Motocorp Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,C,2025-09-09,375,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Manoj Cables Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,D,2026-02-23,374,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
P R G Buildcon India Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,CRISIL | ICRA | IND-RA,Term loans,D,2026-04-02,374,HIGH,1,0,0,1,1,ULTRA HOT (365+ days INC) | rated by 3+ agencies | recently downgraded,"Over 12 months without a valid rating — ACER provides fastest turnaround, guaranteed analyst availability"
Anmol Steel Processors Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Letter Of credit,D,2025-10-07,373,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Shree Sita Agro Foods Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Long term Loans,B,2025-10-29,373,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Shree Sita Edibles Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,B,2025-10-29,373,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Jinaam'S Dress Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Bank Guarantee,D,2025-08-22,372,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Nandi International Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B,2026-03-06,372,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Sri Bhavani Castings Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Term loans,B,2025-10-29,372,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
Osia Gems Pvt. Ltd.,TIER 1 — MAXIMUM PRIORITY,5,BRICKWORK | CRISIL,Fund based financial facility/instrument,BB,2025-12-23,367,HIGH,1,1,0,0,0,ULTRA HOT (365+ days INC) | DUAL INC at CRISIL+BW,"Two agencies have abandoned you — ACER offers clean slate, full SEBI recognition, dedicated analyst"
