Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Months Since Rating,Category,Multi Agency INC,Why Target,ACER Pitch Angle
I S P Construction Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
I S P Construction Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
International Mega Food Park Ltd.,Term loans,CRISIL,D,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
International Mega Food Park Ltd.,Term loans,CRISIL,D,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Kalamandir Jewellers Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Kalamandir Jewellers Ltd.,Term loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Motorcraft Sales Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Nemcare Hospitals Pvt. Ltd.,Term loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Ocean Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-07-02,MEDIUM,11.8,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Ocean Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-07-02,MEDIUM,11.8,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Ocean Motors Pvt. Ltd.,Long term Loans,CRISIL,D,2025-07-02,MEDIUM,11.8,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Ratnaa Shree Anandhaas Hotels Pvt. Ltd.,Long term Loans,CRISIL,B,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Ratnaa Shree Anandhaas Hotels Pvt. Ltd.,Term loans,CRISIL,B,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
S B Deshmukh Infra Pvt. Ltd.,Long term Loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
S B Deshmukh Infra Pvt. Ltd.,Term loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Sebros Industries Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Sebros Industries Pvt. Ltd.,Long term Loans,CRISIL,B,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Super Olefins Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Super Olefins Pvt. Ltd.,Long term Loans,CRISIL,B,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Tamanna Internationals Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Tamanna Internationals Pvt. Ltd.,Term loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vasugan Medical Specialities Pvt. Ltd.,Term loans,CRISIL,B,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vertigo Impex Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Aastrid Life Sciences Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Aastrid Life Sciences Pvt. Ltd.,Long term Loans,CRISIL,BB+,2025-06-30,MEDIUM,11.8,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Guinea Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-07-04,MEDIUM,11.7,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Guinea Motors Pvt. Ltd.,Term loans,CRISIL,D,2025-07-04,MEDIUM,11.7,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
R C Plasto Tanks & Pipes Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-03,MEDIUM,11.7,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
R C Plasto Tanks & Pipes Pvt. Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 4+,2025-07-03,MEDIUM,11.7,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
R C Plasto Tanks & Pipes Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-07-03,MEDIUM,11.7,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Dugar Overseas Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Dugar Overseas Pvt. Ltd.,Long term Loans,CRISIL,BB,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
E D A C Engineering Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Elkayem Auto Ancillaries Pvt. Ltd.,Long term Loans,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Esdee Paints Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Globe Panel Inds. India Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Globe Panel Inds. India Pvt. Ltd.,Term loans,CRISIL,B,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Greenchef Appliances Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-08,MEDIUM,11.6,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Greenchef Appliances Ltd.,Letter Of credit,CRISIL,B,2025-07-08,MEDIUM,11.6,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Lakshmi Ganesh Agro Fertilizers Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Lakshmi Ganesh Agro Fertilizers Pvt. Ltd.,Term loans,CRISIL,BB,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Linc Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Linc Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Orion Conmerx Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Orion Conmerx Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Putzmeister India Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Putzmeister India Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Putzmeister India Pvt. Ltd.,Long term Loans,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Putzmeister India Pvt. Ltd.,Term loans,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Samaro Global Inds. Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Samaro Global Inds. Pvt. Ltd.,Term loans,CRISIL,BB-,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Spinoff Technopark Ltd.,Term loans,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Spinoff Technopark Ltd.,Term loans,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Stanley Lifestyles Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-07,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Stanley Lifestyles Ltd.,Letter Of credit,CRISIL,A 4,2025-07-07,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Stanley Lifestyles Ltd.,Term loans,CRISIL,B+,2025-07-07,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
T I Anode Fabricators Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
T I Anode Fabricators Pvt. Ltd.,Term loans,CRISIL,BB,2025-07-08,MEDIUM,11.6,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Technofab Engineering Ltd.,Bank Guarantee,CRISIL,D,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Technofab Engineering Ltd.,Long term Loans,CRISIL,D,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vamshadhara Paper Mills Ltd.,Bank Guarantee,CRISIL,A 3,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vamshadhara Paper Mills Ltd.,Letter Of credit,CRISIL,A 3,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vamshadhara Paper Mills Ltd.,Long term Loans,CRISIL,BBB-,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Abhiyan Dealcomm Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB-,2025-07-08,MEDIUM,11.6,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Abhiyan Dealcomm Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB-,2025-07-08,MEDIUM,11.6,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Abhiyan Dealcomm Pvt. Ltd.,Term loans,CRISIL,BB-,2025-07-08,MEDIUM,11.6,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Anunay Fab Ltd.,Letter Of credit,CRISIL,A 4,2025-07-08,MEDIUM,11.6,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Anunay Fab Ltd.,Term loans,CRISIL,B-,2025-07-08,MEDIUM,11.6,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Aquarius Engineers Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Aquarius Engineers Pvt. Ltd.,Term loans,CRISIL,BB+,2025-07-08,MEDIUM,11.6,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Atop Food Products Ltd.,Long term Loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Atria Power Corpn. Pvt. Ltd.,Term loans,CRISIL,B+,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Avon Containners Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B+,2025-07-11,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Avon Containners Pvt. Ltd.,Letter Of credit,CRISIL,B+,2025-07-11,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Avon Containners Pvt. Ltd.,Term loans,CRISIL,B+,2025-07-11,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Azad Impex Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
B K Agro Products Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Bahl Builders Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Bajrang Cotton Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,BRICKWORK_INC,CRISIL INC (12 months overdue) + BRICKWORK_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balajee Education Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balajee Education Pvt. Ltd.,Short-term loan,CRISIL,A 4,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balajee Education Pvt. Ltd.,Term loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balarama Krishna Spinning Mills Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balarama Krishna Spinning Mills Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balarama Krishna Spinning Mills Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Balarama Krishna Spinning Mills Pvt. Ltd.,Term loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Beloorbayir Biotech Ltd.,Letter Of credit,CRISIL,A 4,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Beloorbayir Biotech Ltd.,Term loans,CRISIL,B+,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Nilanjan Iron Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Nilanjan Iron Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Nilanjan Iron Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
S V R Drugs Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,2025-07-09,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
S V R Drugs Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,2025-07-09,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
S V R Drugs Pvt. Ltd.,Term loans,CRISIL,BB+,2025-07-09,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Shivam Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Shivam Motors Pvt. Ltd.,Term loans,CRISIL,D,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Shritirupati Steelcast Ltd.,Term loans,CRISIL,BB+,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Synergy Agri Products Pvt. Ltd.,Long term Loans,CRISIL,D,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Synergy Agri Products Pvt. Ltd.,Term loans,CRISIL,D,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
U P S Constructions Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
U R S S Techservices Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
U R S S Techservices Pvt. Ltd.,Letter Of credit,CRISIL,B,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
U T M Engineering Pvt. Ltd.,Bank Guarantee,CRISIL,D,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
V N M Jewel Crafts Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vaishnavi Food Products Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vaishnavi Food Products Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-11,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vallabh Textiles Co. Ltd.,Letter Of credit,CRISIL,D,2025-07-11,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vallabh Textiles Co. Ltd.,Long term Loans,CRISIL,D,2025-07-11,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vallabh Textiles Co. Ltd.,Term loans,CRISIL,D,2025-07-11,MEDIUM,11.5,HOT,ACUITE_INC,CRISIL INC (12 months overdue) + ACUITE_INC — multi-agency SME,Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Veda Engineering Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Veda Engineering Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-10,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vedang Cellular Services Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
Vedang Cellular Services Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-07-09,MEDIUM,11.5,HOT,,CRISIL INC (12 months overdue),Renewal due soon (12mo) — proactive reach before CRISIL auto-renews.
