Company Name,Instrument Type,Current Rating,Rating Date,Urgency,Category,Is INC,Size
Kritika Wires Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),"August 26, 2025",MEDIUM,HOT,True,Rs. 48.08 Cr.
Uralungal Labour Contract Co-operative Society Limited,Long Term Bank Facilities,IVR B- (INC)(Downgraded),"September 26, 2025",MEDIUM,HOT,True,Rs. 697.23 Cr.
SRC Company Infra Private Limited,Short Term Facilities,IVR A4+ (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 170.00 Cr.
SRC Company Infra Private Limited,Long Term Facilities,IVR BB+ (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 13.00 Cr.
BK Print and Pack Haridwar,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),"September 5, 2025",MEDIUM,HOT,True,Rs. 12.50 Cr.
Jaywant Sugars Limited,Long Term Fund Based Bank Facilities,IVR BB- (INC) (Downgraded),"December 11, 2025",MEDIUM,HOT,True,Rs. 524.36 Cr.
Marda Industries Private Limited,Long Term Bank Facilities - Cash Credit,IVR C+ (INC)(Downgraded),"July 7, 2025",MEDIUM,HOT,True,Rs. 1.35 Cr.
Marda Industries Private Limited,Long Term Bank Facilities - Term Loan,IVR C+ (INC)(Reaffirmed),"July 7, 2025",MEDIUM,HOT,True,Rs. 11.50 Cr.
SCC Builders Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"July 22, 2025",MEDIUM,HOT,True,Rs. 148.10 Cr.
Honest Alloys Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),"October 29, 2025",MEDIUM,HOT,True,Rs. 17.50 Cr.
Mathan Caar Decors,Long Term Bank Facilities,IVR B- (INC) (Downgraded),"December 1, 2025",MEDIUM,HOT,True,Rs. 20.00 Cr.
Bindra Steel Private Limited,Long Term Facilities,IVR BB+ (INC)(Downgraded),"November 17, 2025",MEDIUM,HOT,True,Rs. 190.00 Cr.
Bindra Steel Private Limited,Short Term Facilities,IVR A4+ (INC)(Downgraded),"November 17, 2025",MEDIUM,HOT,True,Rs. 20.00 Cr.
Grospinz Fabz Limited,Short Term Bank Facilities,IVR A3 (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 125.50 Cr.
Grospinz Fabz Limited,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 119.65 Cr.
Niros Ispat Private Limited,Short Term Bank Facilities,IVR A3+ (INC)(Downgraded),"September 5, 2025",MEDIUM,HOT,True,Rs. 25.00 Cr.
Indo Unique Flame Limited,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),"September 22, 2025",MEDIUM,HOT,True,Rs. 28.00 Cr.
Indo Unique Flame Limited,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),"September 22, 2025",MEDIUM,HOT,True,Rs. 39.00 Cr.
Hindupur Steel & Alloys Private Limited,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),"September 5, 2025",MEDIUM,HOT,True,Rs. 127.07 Cr.
Sattva Engineering Construction Private Limited,Long Term Facilities,IVR B (INC) (Downgraded),"December 4, 2025",MEDIUM,HOT,True,Rs. 24.62 Cr.
Sattva Engineering Construction Private Limited,Short Term Facilities,IVR A4 (INC) (Reaffirmed),"December 4, 2025",MEDIUM,HOT,True,Rs. 44.50 Cr.
Polycarb Advance Science Private Limited,Long Term Facilities,IVR D (INC)(Reaffirmed),"July 22, 2025",MEDIUM,HOT,True,Rs. 20.00 Cr.
United Facilities and Logistics Private Limited,Long Term Bank Facilities,IVR B (INC) (Downgraded),"December 4, 2025",MEDIUM,HOT,True,Rs. 3.50 Cr.
United Facilities and Logistics Private Limited,Long/Short Term Bank Facilities (Proposed),IVR B/IVR A4; (INC) (Downgraded/Reaffirmed),"December 4, 2025",MEDIUM,HOT,True,Rs. 10.50 Cr.
Aurum Jewels Limited,Proposed Long Term Facilities,IVR BB+ (INC)(Downgraded),"July 16, 2025",MEDIUM,HOT,True,Rs. 75.00 Cr.
Aurum Jewels Limited,Long Term Facilities,IVR BB+ (INC)(Downgraded),"July 16, 2025",MEDIUM,HOT,True,Rs. 25.00 Cr.
Sparsh Hospitals & Critical Care Private Limited,Long Term Bank Facilities,IVR B (INC)(Downgraded),"July 3, 2025",MEDIUM,HOT,True,Rs. 11.47 Cr.
SDB Developers Private Limited,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),"July 22, 2025",MEDIUM,HOT,True,Rs. 87.60 Cr.
SP Sai IT Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"July 3, 2025",MEDIUM,HOT,True,Rs. 100.00 Cr.
Share India Securities Limited,Proposed Commercial Paper Programme,IVR A4+ (INC)(Downgraded),"September 22, 2025",MEDIUM,HOT,True,Rs. 200.00 Cr.
Share India Securities Limited,Short term - non-fund-based limit - Bank Guarantee,IVR A4+ (INC)(Downgraded),"September 22, 2025",MEDIUM,HOT,True,Rs. 1513.00 Cr.
Share India Securities Limited,Proposed Short term - non-fund-based limit,IVR A4+ (INC)(Downgraded),"September 22, 2025",MEDIUM,HOT,True,Rs. 87.00 Cr.
Sambaragi Traders,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"November 12, 2025",MEDIUM,HOT,True,Rs. 60.00 Cr. (Including proposed limit of Rs. 10.00 Crore)
Sai Industries Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"November 12, 2025",MEDIUM,HOT,True,Rs. 8.35 Cr.
Avtar Installments Private Limited,Proposed Long Term Bank Facilities,IVR BB- (INC) (Downgraded),"December 5, 2025",MEDIUM,HOT,True,Rs. 30.00 Cr.
NS Periasamy & Co,Long Term Bank Facilities,IVR C (INC)(Downgraded),"July 18, 2025",MEDIUM,HOT,True,Rs. 4.00 Cr.
NS Periasamy & Co,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"July 18, 2025",MEDIUM,HOT,True,Rs. 3.00 Cr.
Royal Imports and Exports,Long Term Bank Facilities,IVR BB (INC) (Downgraded),"November 17, 2025",MEDIUM,HOT,True,Rs. 67.00 Cr.
Royal Imports and Exports,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"November 17, 2025",MEDIUM,HOT,True,Rs. 4.50 Cr.
Prathu Ginning Mill Private Limited (Erstwhile Nandi Cotton Ginning Mill Private Limited),Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"July 8, 2025",MEDIUM,HOT,True,Rs. 22.61 Cr.
Prathu Ginning Mill Private Limited (Erstwhile Nandi Cotton Ginning Mill Private Limited),Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"July 8, 2025",MEDIUM,HOT,True,Rs. 4.00 Cr.
Anand Carbo Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"August 1, 2025",MEDIUM,HOT,True,Rs. 19.00 Cr.
Anand Carbo Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"August 1, 2025",MEDIUM,HOT,True,Rs. 47.00 Cr.
Anand Carbo Limited,Long Term/ Short Term Bank Facilities,IVR BB-/ IVR A4 (INC) (Downgraded/Reaffirmed),"August 1, 2025",MEDIUM,HOT,True,Rs. 11.00 Cr.
Karmyogi Kundalikrao Ramrao Jagtap Patil Kukadi Sahakari Sakhar Karkhana Limited,Long Term Facilities,IVR D (INC)(Downgraded),"August 29, 2025",MEDIUM,HOT,True,Rs. 48.15 Cr.
MR Enterprises,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),"September 5, 2025",MEDIUM,HOT,True,Rs. 79.84 Cr.
Sri Kanakamahalakshmi Agencies,Long Term Bank Facility,IVR B+ (INC)(Downgraded),"November 20, 2025",MEDIUM,HOT,True,Rs. 15.00 Cr.
Sai Industries Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"November 12, 2025",MEDIUM,HOT,True,Rs. 18.45 Cr.
Bogmallo Enterprises Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),"July 4, 2025",MEDIUM,HOT,True,Rs. 0.80 Cr.
Box Corugators and Offset Printers,Long Term Fund based facilities,IVR C- (INC)(Downgraded),"August 25, 2025",MEDIUM,HOT,True,Rs. 17.00 Cr.
Ultra Mile,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"December 16, 2025",MEDIUM,HOT,True,Rs. 2.20 Cr.
Tinna Trade Limited,Long Term Bank Facilities,IVR B (INC)(Downgraded),"November 26, 2025",MEDIUM,HOT,True,Rs. 35.20 Cr.
Tinna Trade Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"November 26, 2025",MEDIUM,HOT,True,Rs. 24.00 Cr.
SSNR Power Private Limited,Long Term Facilities,IVR BB (INC)(Downgraded),"November 20, 2025",MEDIUM,HOT,True,Rs. 28.79 Cr.
SSNR Power Private Limited,Short Term Facilities,IVR A4 (INC)(Downgraded),"November 20, 2025",MEDIUM,HOT,True,Rs. 3.00 Cr.
Shrushti Contech Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),"November 26, 2025",MEDIUM,HOT,True,Rs. 50.00 Cr.
Shrushti Contech Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"November 26, 2025",MEDIUM,HOT,True,Rs. 37.49 Cr.
Anant Pulses Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),"July 22, 2025",MEDIUM,HOT,True,Rs. 14.00 Cr. (includes proposed limit of Rs. 2.00 Cr.)
Shree Ram Brinechem Private Limited,Long Term Bank Facilities,IVR C (INC)(Downgraded),"October 23, 2025",MEDIUM,HOT,True,Rs. 6.00 Cr.
Saurashtra Fuels Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"June 30, 2025",MEDIUM,HOT,True,Rs. 175.00 Cr.
Saurashtra Fuels Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"June 30, 2025",MEDIUM,HOT,True,Rs. 85.00 Cr.
Shree Balajee Agro Mills Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),"July 22, 2025",MEDIUM,HOT,True,Rs. 17.00 Cr. (includes proposed limit of Rs. 2.00 Cr.)
Agroh Kodinar Veraval Highways Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),"December 12, 2025",MEDIUM,HOT,True,Rs. 100.00 Cr.
Sakthi Poultry Private Limited,Long Term Facilities,IVR BB (INC) (Downgraded),"December 5, 2025",MEDIUM,HOT,True,Rs. 26.62 Cr.
R E Infra Private Limited,Long Term Facilities,IVR BB- (INC)(Downgraded),"November 20, 2025",MEDIUM,HOT,True,Rs. 7.00 Cr.
R E Infra Private Limited,Short Term Facilities,IVR A4 (INC)(Downgraded),"November 20, 2025",MEDIUM,HOT,True,Rs. 54.00 Cr.
La Scenteur Fragrance Technologies Private Limited,Long Term Bank Facilities,IVR B- (INC)(Downgraded),"July 22, 2025",MEDIUM,HOT,True,Rs. 11.54 Cr.
Uniclan Hygiene Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"July 4, 2025",MEDIUM,HOT,True,Rs. 32.25 Cr.
Uniclan Hygiene Private Limited,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),"July 4, 2025",MEDIUM,HOT,True,Rs. 1.50 Cr.
VFS Capital Limited,Fund Based - Long Term Bank Facilities â€“ Term Loans,IVR D (INC) (Downgraded),"November 21, 2025",MEDIUM,HOT,True,Rs. 506.79 Cr.
VFS Capital Limited,Proposed Fund Based - Long Term Bank Facilities,IVR D (INC) (Downgraded),"November 21, 2025",MEDIUM,HOT,True,Rs. 593.21 Cr.
Siva Sai Exports,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"July 8, 2025",MEDIUM,HOT,True,Rs. 17.91 Cr.
Siva Sai Exports,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"July 8, 2025",MEDIUM,HOT,True,Rs. 172.09 Cr.
PCK Cotton Private Limited,Proposed Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"August 1, 2025",MEDIUM,HOT,True,Rs. 2.92 Cr.
PCK Cotton Private Limited,Long/Short Term Bank Facilities,IVR B/IVR A4; (INC)(Downgraded),"August 1, 2025",MEDIUM,HOT,True,Rs. 5.00 Cr.
PCK Cotton Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"August 1, 2025",MEDIUM,HOT,True,Rs. 0.10 Cr.
PCK Cotton Private Limited,Long Term Bank Facilities,IVR B (INC)(Downgraded),"August 1, 2025",MEDIUM,HOT,True,Rs. 31.98 Cr.
Sau Mathurabai Bhausaheb Thorat Sevabhavi Trust,Proposed Long-Term / Short Term Bank Facilities,IVR B+ / IVR A4 ; (INC) (Downgraded/Reaffirmed),"October 31, 2025",MEDIUM,HOT,True,Rs. 34.00 Cr.
Shrushti Contech Private Limited,Long term Bank Facilities - Proposed,IVR BB+ (INC)(Downgraded),"November 26, 2025",MEDIUM,HOT,True,Rs. 15.00 Cr.
Shrushti Contech Private Limited,Short term Bank Facilities - Proposed,IVR A4+ (INC)(Downgraded),"November 26, 2025",MEDIUM,HOT,True,Rs. 52.51 Cr.
S R B Consultancy Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"October 16, 2025",MEDIUM,HOT,True,Rs. 71.00 Cr.
Meenakshi Ammal Trust,Long/ Short Term Bank Facilities,IVR B+/IVR A4; (INC) (Downgraded & Reaffirmed),"December 2, 2025",MEDIUM,HOT,True,Rs. 5.00 Cr.
Ultracab (India) Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),"December 8, 2025",MEDIUM,HOT,True,Rs. 21.80 Cr.
Ultracab (India) Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"December 8, 2025",MEDIUM,HOT,True,Rs. 22.49 Cr.
Jain Agro Industries,Long Term Bank Facility,IVR B+ (INC)(Downgraded),"July 4, 2025",MEDIUM,HOT,True,Rs. 36.55 Cr.
Sri Savitr Solar Private Limited,Short Term Facilities,IVR A4 (INC) (Reaffirmed),"December 9, 2025",MEDIUM,HOT,True,Rs. 5.50 Cr.
Sri Savitr Solar Private Limited,Long Term Facilities,IVR B (INC) (Downgraded),"December 9, 2025",MEDIUM,HOT,True,Rs. 64.50 Cr.
SVP Industries Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"November 4, 2025",MEDIUM,HOT,True,Rs. 16.00 Cr.
SVP Industries Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"November 4, 2025",MEDIUM,HOT,True,Rs. 163.77 Cr.
Maruti Educational Trust,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"December 12, 2025",MEDIUM,HOT,True,Rs. 175.00 Cr.
Maruti Educational Trust,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"December 12, 2025",MEDIUM,HOT,True,Rs. 45.00 Cr.
RamJi Das Dhal Construction Private Limited,Long Term Bank Facility,IVR B+ (INC)(Downgraded),"September 10, 2025",MEDIUM,HOT,True,Rs. 5.00 Cr.
RamJi Das Dhal Construction Private Limited,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),"September 10, 2025",MEDIUM,HOT,True,Rs. 45.00 Cr.
RKF InfoServices Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"October 16, 2025",MEDIUM,HOT,True,Rs. 57.60 Cr.
Sneh Polymers Private Limited,Long Term/Short Term Facilities,IVR BB / IVR A4; (INC) (Downgraded),"November 6, 2025",MEDIUM,HOT,True,Rs. 22.00 Cr.
Ultra Mile,Long Term Bank Facilities (incl. Proposed facility),IVR B (INC)(Downgraded),"December 16, 2025",MEDIUM,HOT,True,Rs. 10.80 Cr.
Sneh Polymers Private Limited,Short Term Bank Facilities,IVR A4 (INC) (Downgraded),"November 6, 2025",MEDIUM,HOT,True,Rs. 5.20 Cr.
Ramkrishna Cotspin Private Limited,Long Term Bank Facilities,IVR C (INC)(Downgraded),"November 7, 2025",MEDIUM,HOT,True,Rs. 56.98 Cr.
Ramkrishna Cotspin Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"November 7, 2025",MEDIUM,HOT,True,Rs. 4.25 Cr.
PVR Spinning and Weaving Limited,Long Term Facilities,IVR B+ (INC)(Downgraded),"July 11, 2025",MEDIUM,HOT,True,Rs. 36.00 Cr.
Eagle Steel Industries Private Limited,Long Term Facilities,IVR C (INC)(Downgraded),"November 17, 2025",MEDIUM,HOT,True,Rs. 12.00 Cr.
The Kothari Wheels,Proposed short term bank facilities,IVR A4 (INC)(Downgraded),"December 22, 2025",MEDIUM,HOT,True,Rs. 7.30 Cr.
The Kothari Wheels,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"December 22, 2025",MEDIUM,HOT,True,Rs. 10.00 Cr.
The Kothari Wheels,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"December 22, 2025",MEDIUM,HOT,True,Rs. 1.35 Cr.
Metropole Vinimay Private Limited,Long Term Bank Facilities,IVR BB (INC) (Downgraded),"December 18, 2025",MEDIUM,HOT,True,Rs. 44.47 Cr.
Rosemerry Solvent Private Limited,Long Term Bank Facilities (Incl. Proposed Facility),IVR BB (INC) (Downgraded),"December 18, 2025",MEDIUM,HOT,True,Rs. 45.00 Cr.
Guru Nanak Educational Society,Long Term Bank Facilities,IVR B (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 52.43 Cr.
J M Mhatre Infra Private Limited (JMMIPL),Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),"June 27, 2025",MEDIUM,HOT,True,Rs. 375.00 Cr.
J M Mhatre Infra Private Limited (JMMIPL),Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"June 27, 2025",MEDIUM,HOT,True,Rs. 135.71 Cr.
Meenakshi Ammal Trust,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),"December 2, 2025",MEDIUM,HOT,True,Rs. 55.00 Cr.
Sneh Polymers Private Limited,Long Term Facilities,IVR BB (INC) (Downgraded),"November 6, 2025",MEDIUM,HOT,True,Rs. 94.82 Cr.
Sau Mathurabai Bhausaheb Thorat Sevabhavi Trust,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),"October 31, 2025",MEDIUM,HOT,True,Rs. 30.00 Cr.
Bogmallo Enterprises Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"July 4, 2025",MEDIUM,HOT,True,Rs. 137.5 Cr.
Satkar Foods,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),"July 3, 2025",MEDIUM,HOT,True,Rs. 23.00 Cr.
AB Udyog Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 30.85 Cr. (Including proposed limit of Rs. 1.85 Crore)
AB Udyog Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 1.15 Cr.
Pramukh Creation,Long Term Bank Facilities,IVR B (INC)(Downgraded),"September 5, 2025",MEDIUM,HOT,True,Rs. 10.00 Cr.
MBR Silos Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"September 5, 2025",MEDIUM,HOT,True,Rs. 47.50 Cr.
Texport Syndicate India Limited,Short Term Facilities,IVR A3+ (INC)(Downgraded),"October 31, 2025",MEDIUM,HOT,True,Rs. 190.24 Cr.
Unique Construction,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 18.00 Cr.
Unique Construction,Short Term Bank Facilities,IVR A3 (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 182.00 Cr.
Shivam Cotton Industries,Long Term Instruments/Facilities,IVR B (INC)(Downgraded),"July 4, 2025",MEDIUM,HOT,True,Rs. 12.00 Cr.
Zodiac Dealers Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 5.00 Cr. (includes proposed facility of Rs. 4.80 Cr.)
Urjankur Shree Tatyasaheb Kore Warana Power Company Limited (USTKWPCL),Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),"August 19, 2025",MEDIUM,HOT,True,Rs. 119.96 Cr.
Science House Medicals Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"September 3, 2025",MEDIUM,HOT,True,Rs. 19.00 Cr.
Science House Medicals Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),"September 3, 2025",MEDIUM,HOT,True,Rs. 41.00 Cr. (Including proposed limit of Rs. 10.00 Crore)
Crystal Balaji Industries Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"September 8, 2025",MEDIUM,HOT,True,Rs. 229.53 Cr.
Bhanderi Lab Grown Diamonds LLP,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"September 1, 2025",MEDIUM,HOT,True,Rs. 36.51 Cr.
Melt-O-Therm Furnaces Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"October 6, 2025",MEDIUM,HOT,True,Rs. 0.18 Cr.
Nightingale Finvest Private Limited,Long Term Facilities,IVR BB+ (INC)(Reaffirmed),"October 17, 2025",MEDIUM,HOT,True,Rs. 76.04 Cr.
Nightingale Finvest Private Limited,Proposed Long Term facilities,IVR BB+ (INC)(Reaffirmed),"October 17, 2025",MEDIUM,HOT,True,Rs. 0.33 Cr.
Melt-O-Therm Furnaces Private Limited,Long Term Bank Facilities,IVR C- (INC)(Reaffirmed),"October 6, 2025",MEDIUM,HOT,True,Rs. 9.82 Cr.
Fable Food Products Private Limited,Long Term Bank Facilities,IVR BB+ (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 64.00 Cr.
Fable Food Products Private Limited,Short Term Bank Facilities,IVR A4+ (INC) (Downgraded),"November 28, 2025",MEDIUM,HOT,True,Rs. 10.00 Cr.
Castor Girnar Industries Private Limited,Long Term/ Short Term Bank Facilities,IVR BB+/IVR A4+; (INC) (Downgraded),"December 10, 2025",MEDIUM,HOT,True,Rs. 57.00 Cr.
Castor Girnar Industries Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),"December 10, 2025",MEDIUM,HOT,True,Rs. 7.00 Cr.
Manbhum Ispat Private Limited,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),"December 19, 2025",MEDIUM,HOT,True,Rs. 181.72 Cr.
Agrawal Sponge Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),"July 22, 2025",MEDIUM,HOT,True,Rs. 12.50 Cr.
Agrawal Sponge Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),"July 22, 2025",MEDIUM,HOT,True,Rs. 27.50 Cr.
Manbhum Ispat Private Limited,Short Term Bank Facilities,IVR A3 (INC)(Downgraded),"December 19, 2025",MEDIUM,HOT,True,Rs. 8.33 Cr.
R. K. Madhani and Company,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"August 6, 2025",MEDIUM,HOT,True,Rs. 116.00 Cr.
M N Ramesh Engineers And Contractors,Long Term/Short Term Bank Facilities (Proposed),IVR BB/IVR A4+; (INC)(Downgraded/Reaffirmed),"August 7, 2025",MEDIUM,HOT,True,Rs. 43.33 Cr.
Raudra Technocrats Private Limited,Short Term Non fund based limits,IVR A4 (INC)(Reaffirmed),"July 7, 2025",MEDIUM,HOT,True,Rs. 5.00 Cr.
Raudra Technocrats Private Limited,Long Term Bank Facilities- Proposed Term loan,IVR B- (INC)(Reaffirmed),"July 7, 2025",MEDIUM,HOT,True,Rs. 2.50 Cr.
Raudra Technocrats Private Limited,Long Term Bank Facilities- Cash Credit,IVR B- (INC)(Reaffirmed),"July 7, 2025",MEDIUM,HOT,True,Rs. 5.00 Cr.
MNR Cottons Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),"August 8, 2025",MEDIUM,HOT,True,Rs. 3.80 Cr.
Raghava Constructions India Private Limited,Long Term Bank Facilities,IVR B (INC) (Downgraded),"October 16, 2025",MEDIUM,HOT,True,Rs. 100.00 Cr.
Laxmiroop Private Limited,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),"December 2, 2025",MEDIUM,HOT,True,Rs. 123.56 Cr.
ALM Food Products Limited,Long Term/Short Term Facilities,IVR BB/IVR A4; (INC)(Downgraded),"September 29, 2025",MEDIUM,HOT,True,Rs. 165.00 Cr.
P Venugopal Naidu,Long Term Facilities,IVR B (INC)(Downgraded),"September 16, 2025",MEDIUM,HOT,True,Rs. 25.44 Cr.
Cosmos Industries Limited,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),"September 4, 2025",MEDIUM,HOT,True,Rs. 46.61 Cr.
P Venugopal Naidu,Short Term Facilities,IVR A4 (INC)(Reaffirmed),"September 16, 2025",MEDIUM,HOT,True,Rs. 10.00 Cr.
Kamala Ginning and Oil Industries Private Limited,Long Term Facilities,IVR BB- (INC)(Downgraded),"November 14, 2025",MEDIUM,HOT,True,Rs. 42.00 Cr.
Shree Biradev Finance Private Limited,Fund based - Long Term Bank Facilities - CC/OD,IVR BB+(INC) (Downgraded),"October 27, 2025",MEDIUM,HOT,True,Rs. 20.00 Cr.
Shree Biradev Finance Private Limited,Fund based - Long Term Bank Facilities - Term Loan,IVR BB+ (INC) (Downgraded),"October 27, 2025",MEDIUM,HOT,True,Rs. 7.57 Cr.
Shree Biradev Finance Private Limited,Fund based - Long Term Bank Facilities - Term Loan,IVR BB+ (INC) (Downgraded),"October 27, 2025",MEDIUM,HOT,True,Rs. 2.79 Cr.
