Company Name,Current Rater,Instrument Type,Current Rating,INC Date,Last Good Rating Date,Days Since INC,INC Urgency,TransitionRecency,Sector,State,Why Target,ACER Pitch Angle
Jayachandran Alloys Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,2025-08-06,58,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-23 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Renaatus Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,2025-05-12,58,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-23 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
B C L Secure Premises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-22,2025-09-16,59,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-22 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Technoplast Packaging Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2026-04-20,2025-11-19,61,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-20 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Junna Solar Systems Ltd.,CRISIL,Term loans,B,2026-04-17,2025-07-04,64,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-17 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Fores Elastomech India Pvt. Ltd.,CRISIL,Term loans,B,2026-04-16,2025-08-26,65,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-16 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Boxcoworld Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,D,2026-04-15,2025-05-27,66,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-15 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,CARE,Term loans,BB+,2026-04-15,2025-09-23,66,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-15 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Rathi Bars Ltd.,CARE,Term loans,B-,2026-04-14,2025-06-13,67,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-14 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Capital Record Centre Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2026-01-15,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Goel Ganga India Pvt. Ltd.,ACUITE,Term loans,C,2026-04-09,2025-09-30,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Heidelco Medicore Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2025-09-04,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Jayachandran Industries Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-09,2025-07-31,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Madras Race Club,CRISIL,Long term Loans,B,2026-04-09,2026-01-19,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Orion Edutech Pvt. Ltd.,CRISIL,Term loans,B,2026-04-09,2026-01-23,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Pradeep Stainless India Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-09,2025-06-30,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Q-Line Biotech Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2025-09-04,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
S N S Infracon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-09,2025-05-27,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Starline Cars Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-09,2025-06-06,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Super Hoze Inds. Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-09,2026-01-02,72,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
A & T Infracon Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 3,2026-04-08,2025-09-24,73,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-08 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Kundana Techno Tex Pvt. Ltd.,CARE,Non-government debt,BBB-/A3,2026-04-07,2025-10-09,74,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-07 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Trucap Finance Ltd.,CARE,Fund based financial facility/instrument,D,2026-04-02,2025-07-18,79,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-02 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Prime Mover Auto Associates Pvt. Ltd.,ACUITE,Long term Loans,C,2026-04-01,2025-11-20,80,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-04-01 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Assago Industries Pvt. Ltd.,CARE,Term loans,BB+,2026-03-31,2025-10-08,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
I H B Ltd.,IND-RA,Term loans,A+,2026-03-31,2025-08-07,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Sheetal Cool Products Ltd.,CRISIL,Term loans,B,2026-03-31,2025-05-07,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Wardwizard Innovations & Mobility Ltd.,CRISIL,Term loans,B,2026-03-31,2025-05-26,81,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-31 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Diwanka Energy Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-27,2025-08-25,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Gujarat Polyfilms Pvt. Ltd.,CRISIL,Term loans,B,2026-03-27,2025-08-19,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Karamveer Electronics Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-27,2025-09-18,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Munnangi Seafoods Pvt. Ltd.,CRISIL,Long term Loans,B,2026-03-27,2025-08-12,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Namdhari Seeds Pvt. Ltd.,CRISIL,Term loans,B,2026-03-27,2025-08-01,85,LOW,JUST NOW (0-90 days),N/A,N/A,"Transitioned to INC on 2026-03-27 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
L T K Industries Pvt. Ltd.,CRISIL,Term loans,B,2026-03-20,2025-05-20,92,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-20 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Nandan Petrochem Ltd.,ICRA,Long term Loans,BB+,2026-03-20,2025-11-07,92,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-20 (was rated before) — fresh frustration, high switch probability",ICRA is no longer rating you actively — ACER can provide continuity with competitive pricing
Yashmun Engineers Ltd.,CRISIL,Fund based financial facility/instrument,B-,2026-03-20,2026-02-10,92,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-20 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Exicom Technologies India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-03-17,2026-01-20,95,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-17 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Shish Jewels Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 4,2026-03-17,2025-09-05,95,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-17 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Trafiksol Its Technologies Ltd.,CRISIL,Bank Guarantee,D,2026-03-17,2025-11-26,95,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-17 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Southern Power Distribution Co. Of Telangana Ltd.,CARE,Letter Of credit,A 4,2026-03-13,2025-07-31,99,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-13 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Jodhani Papers Pvt. Ltd.,IND-RA,Term loans,BBB,2026-03-11,2025-05-13,101,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-11 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Maheshwari Mining Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-11,2026-03-11,101,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-11 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Indexone Industries Ltd.,CRISIL,Letter Of credit,A 4,2026-03-10,2025-11-05,102,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
M M Shawl Engineers & Contractors Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-10,2025-09-01,102,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Machino Plastics Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-03-10,2026-02-02,102,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Nikvin Healthcare (India) Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-03-10,2025-08-21,102,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Passavant Energy & Environment India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-10,2026-01-20,102,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
B R Oil Inds. Pvt. Ltd.,CARE,Term loans,BBB-,2026-03-09,2026-01-09,103,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-09 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Jyote Motors Pvt. Ltd.,CARE,Term loans,D,2026-03-09,2025-09-12,103,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-09 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Clean Coal Enterprises Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2026-03-06,2025-09-08,106,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-06 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Avinash Developers Pvt. Ltd.,ACUITE,Fund based financial facility/instrument,BB+,2026-03-04,2025-09-19,108,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-04 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Versabyte Data Systems Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-03-04,2025-09-15,108,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-04 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Nectar Lifesciences Ltd.,CARE,Bank Guarantee,A 4,2026-03-02,2025-07-16,110,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-02 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Pramila Projects Pvt. Ltd.,CARE,Bank Guarantee,D,2026-03-02,2025-12-04,110,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-03-02 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
V Care Seeds Pvt. Ltd.,CRISIL,Term loans,B,2026-02-28,2025-06-02,112,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-28 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Suprabha Protective Products Pvt. Ltd.,ICRA,Long term Loans,B+,2026-02-27,2026-02-27,113,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-27 (was rated before) — fresh frustration, high switch probability",ICRA is no longer rating you actively — ACER can provide continuity with competitive pricing
Pragati Infra Solutions Pvt. Ltd.,CARE,Non-government debt,BBB/A3+,2026-02-25,2025-08-05,115,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-25 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Bateli Tea Co. Ltd.,ACUITE,Long term Loans,BBB,2026-02-24,2025-10-07,116,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-24 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Dalmia Laminators Ltd.,ACUITE,Bank Guarantee,A 4+,2026-02-24,2025-10-07,116,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-24 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Dalmia Tea Plantation & Inds. Ltd.,ACUITE,Long term Loans,BBB,2026-02-24,2025-10-07,116,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-24 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
Prathista Inds. Ltd.,CRISIL,Long term Loans,B,2026-02-23,2025-05-29,117,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-23 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Kochar Infotech Ltd.,CRISIL,Long term Loans,B,2026-02-19,2025-05-29,121,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-19 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Supreme Hydro Engg. Pvt. Ltd.,CARE,Non-government debt,BBB+/A2,2026-02-18,2025-09-17,122,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-18 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Foods & Inns Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-02-13,2026-02-13,127,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-13 (was rated before) — fresh frustration, high switch probability",Brickwork transitioned you to INC — ACER can restore your rating track record faster
Suvidhi Rayons Pvt. Ltd.,CRISIL,Long term Loans,BB+,2026-02-13,2025-06-06,127,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-13 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Tezpur Institute Of Medical Sciences Pvt. Ltd.,CARE,Term loans,D,2026-02-12,2026-01-13,128,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-12 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Instinct Infra & Power Ltd.,CRISIL,Bank Guarantee,A 4+,2026-02-10,2025-05-30,130,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Khedut Solvexp Pvt. Ltd.,CRISIL,Term loans,BB+,2026-02-10,2025-06-30,130,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-10 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Harbir Automobile Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2026-02-09,2025-09-23,131,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Unimax Chemicals Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-02-09,2025-06-11,131,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-09 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
S P Mani & Mohan Dairy (India) Pvt. Ltd.,ICRA,Term loans,BB+,2026-02-03,2025-07-31,137,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-03 (was rated before) — fresh frustration, high switch probability",ICRA is no longer rating you actively — ACER can provide continuity with competitive pricing
Green Urja Pvt. Ltd.,CRISIL,Term loans,BB+,2026-02-02,2025-12-18,138,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-02-02 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Indratara Agro Inds. Pvt. Ltd.,CRISIL,Term loans,BB,2026-01-31,2025-06-13,140,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-31 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Kashmirilal Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2026-01-30,2025-07-08,141,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-30 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
R B A Finance Pvt. Ltd.,CRISIL,Term loans,BB+,2026-01-30,2025-09-15,141,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-30 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
C-Tech Engineers Pvt. Ltd.,CARE,Bank Guarantee,D,2026-01-23,2025-05-07,148,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-23 (was rated before) — fresh frustration, high switch probability",CARE has marked you INC — ACER's fresh assessment approach can get you back on track
Beckhaul Digital Technologies Pvt. Ltd.,CRISIL,Bank Guarantee,BB+,2026-01-21,2025-07-31,150,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-21 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Mccmahadeo Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2026-01-16,2025-08-21,155,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-16 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Vsoft Technologies Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2026-01-14,2025-05-27,157,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-14 (was rated before) — fresh frustration, high switch probability",Acuité transitioned you to INC — ACER specializes in SME reactivations
E C L Finance Ltd.,CRISIL,Letter Of credit,A 4,2026-01-12,2026-01-12,159,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-12 (was rated before) — fresh frustration, high switch probability",CRISIL has stopped rating you — ACER offers same SEBI-recognized credentials with dedicated SME team
Adwaith Lakshmi Inds. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2026-01-09,2025-06-18,162,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-09 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
Indicon Construction Pvt. Ltd.,IND-RA,Term loans,B+,2026-01-09,2025-10-30,162,LOW,RECENT (91-180 days),N/A,N/A,"Transitioned to INC on 2026-01-09 (was rated before) — fresh frustration, high switch probability",India Ratings transitioned you to INC — ACER can provide immediate rating restore
