Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
J P N Pharma Pvt. Ltd.,ACUITE,Term loans,B,2025-04-08,HIGH,Pharma/Biotech,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Gujarat Alkalies & Chemicals Ltd.,CARE,Bank Guarantee,A 1+,2025-04-08,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
J S W Paints Pvt. Ltd.,CARE,Letter Of credit,A 2+,2025-04-07,HIGH,Chemicals,Active,Rating Watch,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Kothari Sugars & Chemicals Ltd.,CRISIL,Bank Guarantee,A 2,2025-04-07,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
I O L Chemicals & Pharmaceuticals Ltd.,CARE,Bank Guarantee,A 1+,2025-04-07,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
V N Dyers & Processors Pvt. Ltd.,CRISIL,Long term Loans,BBB-,2025-04-07,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Calyx Chemicals & Pharmaceuticals Ltd.,ACUITE,Term loans,BBB-,2025-04-06,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Topnotch Chemicals Pvt. Ltd.,ACUITE,Term loans,BBB-,2025-04-06,HIGH,Chemicals,Active,Initial Rating,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Nuchem Dyestuffs Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-04-06,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Sparkk Life Sciences (SLS),Infomerics,Long term Bank Facilities,IVR BBB-,2025-04-03,HIGH,Pharma/Biotech,Active,Negative,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Fredun Pharmaceuticals Limited,Infomerics,Long Term Bank Facilities,IVR BBB (Upgraded),2025-04-02,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Westin Resins and Polymers Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (Reaffirmed),2025-04-01,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Shri Bajrang Chemical Distillery LLP,Infomerics,Short Term Facilities,IVR A3 (Assigned),2025-03-28,HIGH,Chemicals,Active,Nil,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Aurinko Energy Private Limited (AEPL),Infomerics,Long Term Bank Facility,IVR BBB (Reaffirmed),2025-03-27,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Medi Pharma Drug House,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-03-20,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
North Point Pharmaceutical Distributors,Infomerics,Long Term Bank Facilities,Withdrawn,2025-03-18,HIGH,Pharma/Biotech,Active,Nil,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Supreet Chemicals Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC)(Reaffirmed),2025-03-17,HIGH,Chemicals,INC,Nil,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Swati Camphor and Speciality Chemicals Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-03-13,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Imperial Life Sciences Pvt. Ltd.,CRISIL,Bank Guarantee,D,2025-03-12,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Vadera Tradelink Pvt. Ltd.,CARE,Bank Guarantee,D,2025-03-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Jay Formulations Limited (JFL),Infomerics,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-03-11,HIGH,Pharma/Biotech,INC,Nil,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Spansules Formulations India Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-03-11,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Spansules Pharmatech Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-03-11,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Veer Plastics Private Limited,Infomerics,Long Term Bank Facilities,IVR A- (Reaffirmed),2025-03-11,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Haldia Petrochemicals Ltd. [Merged],IND-RA,Non-government debt,A+/A1,2025-03-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
R M Chemicals Pvt. Ltd.,CRISIL,Letter Of credit,A-,2025-03-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gujarat State Fertilizers & Chemicals Ltd.,CARE,Bank Guarantee,A 1+,2025-03-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Baroda Agro Chemicals Ltd.,CARE,Long term Loans,D,2025-03-09,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Kamdhenu Colour & Coatings Ltd.,CARE,Term loans,BBB,2025-03-07,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Onesource Specialty Pharma Ltd.,IND-RA,Non-fund based working capital limit,A 1,2025-03-06,HIGH,Pharma/Biotech,Active,Initial Rating,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Moksha Thermoplastics Private Limited,Infomerics,Long Term Facilities,IVR B+ (INC)(Downgraded),2025-03-06,HIGH,Chemicals,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Shalimar Paints Ltd.,CARE,Non-government debt,BB+/A4+,2025-03-06,HIGH,Chemicals,Active,Downgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Kodarma Chemical Private Limited,Infomerics,Short Term Bank Facilities,IVR A3 (Assigned),2025-02-26,HIGH,Chemicals,Active,Nil,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Mahi Drugs Private Limited,Infomerics,Long Term Facilities,IVR BB+ (Assigned),2025-02-25,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Nayati Medical Private Limited (Formerly known as Nayati Pharma Private Limited),Infomerics,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-02-17,HIGH,Pharma/Biotech,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Standard Surfactants Limited,Infomerics,Proposed Short Term Bank Facilities,IVR A4+ (Assigned),2025-02-14,HIGH,Chemicals,Active,Nil,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Micro Life Sciences Pvt. Ltd.,ICRA,Non-government debt,AA/A1+,2025-02-12,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Meril Life Sciences Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 1+,2025-02-12,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Hasti Petro Chemical & Shipping Ltd.,IND-RA,Non-fund based working capital limit,A 2+,2025-02-12,HIGH,Chemicals,Active,Initial Rating,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Meril Life Sciences India Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 1+,2025-02-12,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Elkay Telelinks Ltd.,CARE,Non-government debt,BBB-/A3,2025-02-12,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Bliss G V S Pharma Ltd.,CRISIL,Long term Loans,BBB+,2025-02-09,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Punjab Chemicals & Crop Protection Ltd.,CARE,Non-government debt,BBB+/A2,2025-02-09,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Safex Chemicals India Ltd.,CRISIL,Term loans,A,2025-02-07,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
National Plastic Inds. Ltd.,CARE,Letter Of credit,A 3,2025-02-07,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Therdose Pharma Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-02-07,HIGH,Pharma/Biotech,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Strides Pharma Science Ltd.,CARE,Term loans,A,2025-02-07,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Vinni Chemicals Private Limited,Infomerics,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),2025-02-07,HIGH,Chemicals,INC,Negative,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Fie Refineries & Chemical Pvt. Ltd.,BRICKWORK,Term loans,C,2025-02-07,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Crest Speciality Resins Pvt. Ltd.,CRISIL,Term loans,A-,2025-02-06,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Shri Shyam Agro Biotech Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (Assigned),2025-02-03,HIGH,Pharma/Biotech,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Hindusthan Speciality Chemicals Limited,Infomerics,Short Term Non-Fund Based Facilities,IVR A4 (INC)(Reaffirmed),2025-02-03,HIGH,Chemicals,INC,Nil,INC at Infomerics — Chemical/Pharma company needs new independent rating.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Jammu Pigments Limited,Infomerics,Long Term Bank Facilities,IVR A (Upgraded),2025-01-27,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Mittal Pigments Private Limited,Infomerics,Short Term Bank Facilities,IVR A1 (Upgraded),2025-01-27,HIGH,Chemicals,Active,Nil,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Turbhe Chemicals Pvt. Ltd.,CARE,Non-government debt,B+/A4,2025-01-12,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Adachi Natural Polymer Ltd.,CARE,Non-fund-based financial facility/instrument,A 4,2025-01-12,HIGH,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term loans,BB,2025-01-12,HIGH,Chemicals,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Eugia Pharma Specialities Ltd.,IND-RA,Non-government debt,AA/A1+,2025-01-12,HIGH,Pharma/Biotech,Active,Initial Rating,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Southern Petrochemical Inds. Corpn. Ltd.,IND-RA,Non-fund based working capital limit,A 1,2025-01-12,HIGH,Chemicals,Active,Upgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Medicamen Biotech Ltd.,CRISIL,Letter Of credit,A 3,2025-01-12,HIGH,Pharma/Biotech,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
G D Dyestuff Inds. Ltd.,IND-RA,Term loans,B+,2025-01-12,HIGH,Chemicals,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Viswaat Chemicals Ltd.,CARE,Non-government debt,BB/A4,2025-01-12,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Hema Dyechem Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-01-12,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Hyfun Agrilink Private Limited,Infomerics,Long term Bank Facilities- Cash credit,IVR A- (Upgraded),2025-01-10,HIGH,Chemicals,Active,Stable,Rating overdue — annual renewal window.,Infomerics-rated Chemicals/Pharma company. ACER offers sector expertise and faster rating delivery.,infomerics
Arvind Dyeing & Bleaching Mills Pvt. Ltd.,CRISIL,Long term Loans,BBB+,2025-01-10,HIGH,Chemicals,Active,Reaffirmed,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Fermenta Biotech Ltd.,CARE,Bank Guarantee,A 3+,2025-01-10,HIGH,Pharma/Biotech,Active,Upgraded,Rating overdue — annual review due.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Lok Chemicals Pvt. Ltd.,CARE,Non-government debt,BB+/A4,2025-01-10,HIGH,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
