Infomerics Name,d365 Name,Infomerics Normalized,d365 Normalized,Match Score,Match Quality,INF Instrument,INF Rating,INF Rating Date,INF Urgency,Sector,d365 Agency,d365 Instrument,d365 Rating,d365 Rating Date,d365 Urgency,d365 INC,Why Target
Shri Santhosh Meenakshi Textiles Private Limited,Shri Santhosh Meenakshi Textiles Pvt. Ltd.,SHRI SANTHOSH MEENAKSHI TEXTILES,SHRI SANTHOSH MEENAKSHI TEXTILES,100.0,EXACT,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-11-28,MEDIUM,Textiles,CRISIL,Long term Loans,B,2025-11-20,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Jupiter International Limited,Jupiter International Ltd.,JUPITER,JUPITER,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Reaffirmed and Withdrawn),2025-11-19,MEDIUM,Other/Unknown,CRISIL,Fund based financial facility/instrument,BBB+,2026-01-02,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Sri Venkatesh Granites Private Limited,Sri Venkatesh Granites Pvt. Ltd.,SRI VENKATESH GRANITES,SRI VENKATESH GRANITES,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-09-05,MEDIUM,Other/Unknown,CRISIL,Long term Loans,B,2026-04-30,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
4S Spintex India Private Limited,4S Spintex India Pvt. Ltd.,4S SPINTEX,4S SPINTEX,100.0,EXACT,Long Term Bank Facilities,IVR B- (INC)(Reaffirmed),2025-05-23,HIGH,Other/Unknown,IND-RA,Term loans,B-,2025-06-25,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Capital Power Systems Limited,Capital Power Systems Ltd.,CAPITAL POWER SYSTEMS,CAPITAL POWER SYSTEMS,100.0,EXACT,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-09-16,MEDIUM,Infrastructure,ACUITE,Bank Guarantee,A 2,2025-05-06,HIGH,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Nikhil Adhesives Limited,Nikhil Adhesives Ltd.,NIKHIL ADHESIVES,NIKHIL ADHESIVES,100.0,EXACT,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-06-17,MEDIUM,Other/Unknown,CRISIL,Letter Of credit,A 3+,2025-09-30,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Dhariwal Infrastructure Limited,Dhariwal Infrastructure Ltd.,DHARIWAL INFRASTRUCTURE,DHARIWAL INFRASTRUCTURE,100.0,EXACT,Issuer Rating,IVR A-(Is) (Withdrawn),2017-10-03,HIGH,Infrastructure,IND-RA,Term loans,A+,2026-02-03,LOW,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Himadri Speciality Chemical Limited,Himadri Speciality Chemical Ltd.,HIMADRI SPECIALITY CHEMICAL,HIMADRI SPECIALITY CHEMICAL,100.0,EXACT,Commercial Paper,IVR A1+ (Withdrawn),2018-05-09,HIGH,Chemicals,ICRA,Non-government debt,AA-/A1+,2025-09-10,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Smilax Laboratories Limited,Smilax Laboratories Ltd.,SMILAX LABORATORIES,SMILAX LABORATORIES,100.0,EXACT,Long Term Fund Based Facilities- Cash Credit,-,2018-04-26,HIGH,Other/Unknown,CARE,Non-government debt,BB/A4,2026-01-06,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Glass Wall Systems (India) Private Limited,Glass Wall Systems (India) Ltd.,GLASS WALL SYSTEMS (),GLASS WALL SYSTEMS (),100.0,EXACT,Short-Term Non-Fund based facility Bank Guarantee,IVR A4+ (Assigned & Withdrawn),2021-08-09,HIGH,Other/Unknown,CRISIL,Bank Guarantee,A 2+,2026-04-02,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Mangalam Cement Limited,Mangalam Cement Ltd.,MANGALAM CEMENT,MANGALAM CEMENT,100.0,EXACT,Non-Convertible Debentures (Proposed),IVR AA- (Withdrawn),2019-01-11,HIGH,Construction,CARE,Term loans,A+,2026-03-26,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Paisalo Digital Limited,Paisalo Digital Ltd.,PAISALO DIGITAL,PAISALO DIGITAL,100.0,EXACT,Proposed Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),2025-12-09,MEDIUM,Other/Unknown,BRICKWORK,Fund based financial facility/instrument,AA,2026-04-20,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Kota Electricity Distribution Limited,Kota Electricity Distribution Ltd.,KOTA ELECTRICITY DISTRIBUTION,KOTA ELECTRICITY DISTRIBUTION,100.0,EXACT,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-07-29,MEDIUM,Infrastructure,IND-RA,Term loans,A-,2025-09-29,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Vikram India Limited,Vikram India Ltd.,VIKRAM,VIKRAM,100.0,EXACT,Short Term Bank Facilities,IVR A3 (Upgraded),2025-04-21,HIGH,Other/Unknown,CRISIL,Bank Guarantee,A 4,2026-02-28,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Swastik Pipe Limited,Swastik Pipe Ltd.,SWASTIK PIPE,SWASTIK PIPE,100.0,EXACT,Long Term Bank Facilities â€“ Cash Credit,IVR D (INC)(Downgraded),2026-01-20,LOW,Other/Unknown,IND-RA,Non-government debt,D,2026-01-22,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Tirupati Conductors Private Limited,Tirupati Conductors Pvt. Ltd.,TIRUPATI CONDUCTORS,TIRUPATI CONDUCTORS,100.0,EXACT,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2026-01-15,LOW,Other/Unknown,BRICKWORK,Bank Guarantee,A 4,2025-06-20,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Earth Water Limited,Earth Water Ltd.,EARTH WATER,EARTH WATER,100.0,EXACT,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-10-23,MEDIUM,Infrastructure,BRICKWORK,Bank Guarantee,D,2025-11-07,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Aventura Components Private Limited,Aventura Components Pvt. Ltd.,AVENTURA COMPONENTS,AVENTURA COMPONENTS,100.0,EXACT,Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-10-23,MEDIUM,Other/Unknown,BRICKWORK,Bank Guarantee,D,2025-08-07,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Santpuria Alloys Private Limited,Santpuria Alloys Pvt. Ltd.,SANTPURIA ALLOYS,SANTPURIA ALLOYS,100.0,EXACT,Short Term Facilities,IVR A2 (Upgraded and Withdrawn),2025-05-14,HIGH,Steel & Metals,CRISIL,Fund based financial facility/instrument,A-,2026-03-31,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Edelweiss Financial Services Limited,Edelweiss Financial Services Ltd.,EDELWEISS FINANCIAL SERVICES,EDELWEISS FINANCIAL SERVICES,100.0,EXACT,Proposed Commercial Paper (CPs),IVR A1+ (Reaffirmed),2025-12-24,LOW,BFSI,CRISIL,Debentures / Bonds / notes / bills,PP-MLD A+,2026-01-09,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Edelweiss Rural & Corporate Services Limited,Edelweiss Rural & Corporate Services Ltd.,EDELWEISS RURAL RPORATE SERVICES,EDELWEISS RURAL RPORATE SERVICES,100.0,EXACT,Proposed Commercial Paper (CPs),IVR A1+ (Reaffirmed),2025-12-24,LOW,Other/Unknown,CRISIL,Long term Loans,A+,2026-01-09,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Aakash Polyfilms Limited,Aakash Polyfilms Ltd.,AAKASH POLYFILMS,AAKASH POLYFILMS,100.0,EXACT,Long-Term Bank Facilities,IVR BBB (Upgraded),2025-11-21,MEDIUM,Other/Unknown,BRICKWORK,Fund based financial facility/instrument,BB-,2026-02-04,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Shivganga Drillers Private Limited,Shivganga Drillers Ltd.,SHIVGANGA DRILLERS,SHIVGANGA DRILLERS,100.0,EXACT,Long Term Facilities,IVR BBB+ (Upgraded),2025-08-08,MEDIUM,Other/Unknown,BRICKWORK,Fund based financial facility/instrument,BB-,2026-01-02,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Vishal Fashions Private Limited,Vishal Fashions Pvt. Ltd.,VISHAL FASHIONS,VISHAL FASHIONS,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-08-08,MEDIUM,Other/Unknown,BRICKWORK,Fund based financial facility/instrument,BB-,2025-06-24,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Sandhya Chemplast Private Limited,Sandhya Chemplast Pvt. Ltd.,SANDHYA CHEMPLAST,SANDHYA CHEMPLAST,100.0,EXACT,Short Term Bank Facilities,Withdrawn,2025-09-22,MEDIUM,Chemicals,CRISIL,Fund based financial facility/instrument,B+,2026-03-20,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
ECAP Equities Limited,Ecap Equities Ltd.,ECAP EQUITIES,ECAP EQUITIES,100.0,EXACT,Proposed Commercial Paper (CPs),IVR A1+ (Reaffirmed),2025-12-24,LOW,Other/Unknown,CRISIL,Debentures / Bonds / notes / bills,PP-MLD A+,2026-03-12,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Bansal Infraprojects Private Limited,Bansal Infraprojects Pvt. Ltd.,BANSAL INFRAPROJECTS,BANSAL INFRAPROJECTS,100.0,EXACT,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-11-05,MEDIUM,Infrastructure,CRISIL,Bank Guarantee,A 4+,2025-08-20,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Siddhartha Engineering Limited,Siddhartha Engineering Ltd.,SIDDHARTHA ENGINEERING,SIDDHARTHA ENGINEERING,100.0,EXACT,Long Term Bank Facilities,IVR BBB- (Upgraded),2026-02-05,LOW,Other/Unknown,ACUITE,Bank Guarantee,A 4,2026-03-02,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Sri Avantika Contractors (I) Limited,Sri Avantika Contractors (I) Ltd.,SRI AVANTIKA CONTRACTORS (I),SRI AVANTIKA CONTRACTORS (I),100.0,EXACT,Short Term Facilities,IVR A3 (INC)(Reaffirmed),2025-10-31,MEDIUM,Other/Unknown,CRISIL,Bank Guarantee,A 4,2025-08-22,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Pongalur Pioneer Textiles Private Limited,Pongalur Pioneer Textiles Pvt. Ltd.,PONGALUR PIONEER TEXTILES,PONGALUR PIONEER TEXTILES,100.0,EXACT,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-10-15,MEDIUM,Textiles,ACUITE,Bank Guarantee,A 4+,2025-07-03,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Valiant Glass Works Private Limited,Valiant Glass Works Pvt. Ltd.,VALIANT GLASS WORKS,VALIANT GLASS WORKS,100.0,EXACT,Short term Bank Facilities,IVR A3 (Reaffirmed),2025-07-31,MEDIUM,Other/Unknown,CARE,Term loans,B,2025-12-08,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Harman Finochem Limited,Harman Finochem Ltd.,HARMAN FINOCHEM,HARMAN FINOCHEM,100.0,EXACT,Short Term Bank Facilities,IVR A4 (ISSUER NOT COOPERATING),2025-10-09,MEDIUM,Chemicals,CRISIL,Long term Loans,A+,2026-03-31,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Capri Global Capital Limited,Capri Global Capital Ltd.,CAPRI GLOBAL CAPITAL,CAPRI GLOBAL CAPITAL,100.0,EXACT,Proposed Non-Convertible Debentures (NCDs),IVR AA (Reaffirmed),2026-01-13,LOW,BFSI,ACUITE,Fund based financial facility/instrument,AA,2026-03-19,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Shirdi Sai Electricals Limited,Shirdi Sai Electricals Ltd.,SHIRDI SAI ELECTRICALS,SHIRDI SAI ELECTRICALS,100.0,EXACT,Short Term Facilities,IVR A3+ (Downgraded),2025-11-12,MEDIUM,Infrastructure,ICRA,Non-fund-based financial facility/instrument,BB+,2026-03-17,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Fusion Industries Limited,Fusion Finance Ltd.,FUSION,FUSION,100.0,EXACT,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-08-07,MEDIUM,Other/Unknown,CARE,Term loans,A,2026-04-07,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
RAIC Integrated Sponge & Power Private Limited,Raic Integrated Sponge & Power Pvt. Ltd.,RAIC INTEGRATED SPONGE & POWER,RAIC INTEGRATED SPONGE & POWER,100.0,EXACT,Long Term Bank Facilities,IVR A- (Reaffirmed and Withdrawn),2023-10-16,HIGH,Infrastructure,CRISIL,Non-fund-based financial facility/instrument,A 1,2026-03-31,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Zen Technologies Limited,Zen Technologies Ltd.,ZEN TECHNOLOGIES,ZEN TECHNOLOGIES,100.0,EXACT,Short Term Bank Facilities - Non Fund Based - Letter of Credit,Withdrawn,2022-05-05,HIGH,Other/Unknown,CRISIL,Fund based financial facility/instrument,A,2025-08-05,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Vishesh Diagnostics Private Limited,Vishesh Diagnostics Pvt. Ltd.,VISHESH DIAGNOSTICS,VISHESH DIAGNOSTICS,100.0,EXACT,(Proposed) Short Term Facility - Fund Based - Overdraft,Withdrawn,2021-01-21,HIGH,Healthcare,IND-RA,Term loans,B-,2025-12-19,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Regaal Resources Private Limited,Regaal Resources Ltd.,REGAAL RESOURCES,REGAAL RESOURCES,100.0,EXACT,Long Term Bank Facilities,Withdrawn,2022-12-12,HIGH,Other/Unknown,CRISIL,Term loans,A-,2025-11-07,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Spanv Medisearch Lifesciences Private Limited,Spanv Medisearch Lifesciences Pvt. Ltd.,SPANV MEDISEARCH LIFESCIENCES,SPANV MEDISEARCH LIFESCIENCES,100.0,EXACT,Proposed Long Term Bank Facilities - Cash Credit,Provisional IVR A (CE)(Withdrawn),2022-01-05,HIGH,Other/Unknown,CARE,Term loans,AA-,2025-10-08,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Kings Infra Ventures Limited,Kings Infra Ventures Ltd.,KINGS INFRA VENTURES,KINGS INFRA VENTURES,100.0,EXACT,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),2025-10-10,MEDIUM,Infrastructure,CRISIL,Long term Loans,BB,2026-04-02,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Waaree Energies Limited,Waaree Energies Ltd.,WAAREE ENERGIES,WAAREE ENERGIES,100.0,EXACT,NCD Series - II,(Withdrawn),2021-01-28,HIGH,Other/Unknown,CARE,Term loans,AA-,2026-02-05,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Sagar Metallics Private Limited,Sagar Metallics Pvt. Ltd.,SAGAR METALLICS,SAGAR METALLICS,100.0,EXACT,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-06-30,MEDIUM,Steel & Metals,CARE,Term loans,B-,2026-02-12,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Radha Smelters Private Limited,Radha Smelters Pvt. Ltd.,RADHA SMELTERS,RADHA SMELTERS,100.0,EXACT,Long Term Fund Based Facility - Term Loan,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-11,HIGH,Other/Unknown,CRISIL,Term loans,BBB+,2025-12-11,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Rameswar Udyog Private Limited,Rameswar Udyog Pvt. Ltd.,RAMESWAR UDYOG,RAMESWAR UDYOG,100.0,EXACT,Long Term Facilities,IVR BBB- (Reaffirmed),2025-10-04,MEDIUM,Other/Unknown,ICRA,Long term Loans,B+,2025-12-12,MEDIUM,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Jupiter Hospital Projects Private Limited,Jupiter Hospital Projects Pvt. Ltd.,JUPITER HOSPITAL PROJECTS,JUPITER HOSPITAL PROJECTS,100.0,EXACT,Long Term Bank Facilities,Withdrawn,,UNKNOWN,Healthcare,ICRA,Term loans,AA-,2026-03-10,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Maps Granito Private Limited,Maps Granito Pvt. Ltd.,MAPS GRANITO,MAPS GRANITO,100.0,EXACT,Short Term Facilities,IVR A3 (Reaffirmed),2025-09-05,MEDIUM,Other/Unknown,IND-RA,Non-government debt,B-/A4,2025-08-21,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Rudra Cottex Private Limited,Rudra Cottex Pvt. Ltd.,RUDRA COTTEX,RUDRA COTTEX,100.0,EXACT,Short Term Bank Facilities - Bank Guarantee,IVR A3+ (Upgraded),2025-07-29,MEDIUM,Other/Unknown,IND-RA,Term loans,BBB,2025-09-25,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Hazoor Multi Projects Limited,Hazoor Multi Projects Ltd.,HAZOOR MULTI PROJECTS,HAZOOR MULTI PROJECTS,100.0,EXACT,Proposed Short Term Bank Facilities- Bank Guarantee,Withdrawn,2025-10-15,MEDIUM,Other/Unknown,ACUITE,Long term Loans,BBB,2026-03-31,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Nagammal Mills Private Limited,Nagammal Mills Pvt. Ltd.,NAGAMMAL MILLS,NAGAMMAL MILLS,100.0,EXACT,Long Term Facilities,IVR BB- (Reaffirmed),2025-08-25,MEDIUM,Other/Unknown,IND-RA,Non-fund based working capital limit,A 4,2025-06-25,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Nila Infrastructures Limited,Nila Infrastructures Ltd.,NILA INFRASTRUCTURES,NILA INFRASTRUCTURES,100.0,EXACT,Short Term Facilities,IVR A3+ (Reaffirmed),2025-09-30,MEDIUM,Infrastructure,BRICKWORK,Non-government debt,BBB+/A2,2026-02-26,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Auro Sundram International Private Limited,Auro Sundram Intl. Pvt. Ltd.,AURO SUNDRAM,AURO SUNDRAM,100.0,EXACT,Short Term Bank Facilities,IVR A4+ (Upgraded and Withdrawn),2026-01-23,LOW,Other/Unknown,CRISIL,Non-fund-based financial facility/instrument,A 3,2025-06-30,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
L H Sugar Factories Limited,L H Sugar Factories Ltd.,L H SUGAR FACTORIES,L H SUGAR FACTORIES,100.0,EXACT,Short Term Bank Facilities,IVR A2+ (Reaffirmed/Assigned),2025-10-09,MEDIUM,Agro/Food,IND-RA,Term loans,A-,2025-09-16,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Sri Chamundeswari Sugars Limited,Sri Chamundeswari Sugars Ltd.,SRI CHAMUNDESWARI SUGARS,SRI CHAMUNDESWARI SUGARS,100.0,EXACT,Long Term Facilities,IVR BB- (INC)(Downgraded),2025-07-31,MEDIUM,Agro/Food,IND-RA,Term loans,BB+,2026-03-27,LOW,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
L N Malviya Infra Projects Private Limited,L N Malviya Infra Projects Pvt. Ltd.,L N MALVIYA INFRA PROJECTS,L N MALVIYA INFRA PROJECTS,100.0,EXACT,Short Term Bank Facilities,IVR A2 (Upgraded),2025-07-02,MEDIUM,Infrastructure,BRICKWORK,Bank Guarantee,A 4,2025-05-28,HIGH,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Nilons Enterprises Private Limited,Nilons Enterprises Pvt. Ltd.,NILONS,NILONS,100.0,EXACT,Long term Bank Facilities,Withdrawn,2025-05-12,HIGH,Other/Unknown,CRISIL,Long term Loans,B,2025-09-25,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Bhairavnath Sugar Works Limited,Bhairavnath Sugar Works Ltd.,BHAIRAVNATH SUGAR WORKS,BHAIRAVNATH SUGAR WORKS,100.0,EXACT,Long Term Bank Facilities - Cash Credit,IVR BB+ (Reaffirmed),2025-03-31,HIGH,Agro/Food,ACUITE,Long term Loans,BB+,2025-10-03,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Telawne Power Equipments Private Limited,Telawne Power Equipments Pvt. Ltd.,TELAWNE POWER EQUIPMENTS,TELAWNE POWER EQUIPMENTS,100.0,EXACT,Short Term Bank Facilities - BG,IVR A3 (Upgraded),2025-01-15,HIGH,Infrastructure,IND-RA,Non-government debt,B/A4,2026-04-28,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Uma Ispat Private Limited,Uma Ispat Pvt. Ltd.,UMA ISPAT,UMA ISPAT,100.0,EXACT,Long Term Facilities,IVR BB+ (Reaffirmed and Withdrawn),2025-02-25,HIGH,Other/Unknown,ACUITE,Term loans,BBB-,2025-12-31,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Deccan Ferro Alloys Private Limited,Deccan Ferro Alloys Pvt. Ltd.,DECCAN FERRO ALLOYS,DECCAN FERRO ALLOYS,100.0,EXACT,Long Term Fund Based Facility,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,HIGH,Steel & Metals,ACUITE,Long term Loans,BBB+,2025-07-04,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Dineshchandra Tanot Infra Private Limited,Dineshchandra Tanot Infra Pvt. Ltd.,DINESHCHANDRA TANOT INFRA,DINESHCHANDRA TANOT INFRA,100.0,EXACT,Proposed Long Term Fund based facility - Term Loan,Withdrawn,2021-11-13,HIGH,Infrastructure,IND-RA,Term loans,AAA,2025-09-10,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
