Company Name,Instrument,Rating,Rating Date,Urgency,Outlook,Current Rater,Sector,Why Target
Gagan Ferrotech Limited,Long Term Bank Facilities,IVR BB (INC) (Downgraded ),2023-10-19,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Gagan Ferrotech Limited,Short Term Bank Facilities,IVR A4 (INC) (Downgraded),2023-10-19,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Metallic Ferro Alloys LLP,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-05-30,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Metallic Ferro Alloys LLP,Short Term Bank Facilities,IVR A3+ (Reaffirmed),2025-05-30,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Chandan Steel Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),2025-03-27,HIGH,Positive,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Chandan Steel Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),2025-03-27,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Srivatsav Urban Estates & Developers Private Limited (Erstwhile M G M Castings Private Limited),Long Term Bank Facilities,,2024-06-10,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shreyash Aluminium & Alloys Private Limited,Long Term/ Short Term Bank Facilities,IVR BBB-/IVR A3; (Reaffirmed),2025-03-24,HIGH,Stable/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shreyash Aluminium & Alloys Private Limited,Short Term Bank Facility,IVR A3 (Reaffirmed),2025-03-24,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Suncity Metals and Tubes Private Limited (Erstwhile Suncity Sheets Private Limited),Long Term Bank Facilities,IVR A- (Reaffirmed),2025-05-19,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Suncity Metals and Tubes Private Limited (Erstwhile Suncity Sheets Private Limited),Short Term Bank Facilities,IVR A2+ (Reaffirmed),2025-05-19,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Hill Brow Metallics and Construction Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-03-29,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Hill Brow Metallics and Construction Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-03-29,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Chandan Steel Limited,Long Term Bank Facilities,IVR A- (Reaffirmed),2025-03-27,HIGH,Positive,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Chandan Steel Limited,Short Term Bank Facilities,IVR A2+ (Reaffirmed),2025-03-27,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Srivatsav Urban Estates & Developers Private Limited (Erstwhile M G M Castings Private Limited),Long Term Bank Facilities,,2024-06-10,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shreyash Aluminium & Alloys Private Limited,Long Term/ Short Term Bank Facilities,IVR BBB-/IVR A3; (Reaffirmed),2025-03-24,HIGH,Stable/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shreyash Aluminium & Alloys Private Limited,Short Term Bank Facility,IVR A3 (Reaffirmed),2025-03-24,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Suncity Metals and Tubes Private Limited (Erstwhile Suncity Sheets Private Limited),Long Term Bank Facilities,IVR A- (Reaffirmed),2025-05-19,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Suncity Metals and Tubes Private Limited (Erstwhile Suncity Sheets Private Limited),Short Term Bank Facilities,IVR A2+ (Reaffirmed),2025-05-19,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Hill Brow Metallics and Construction Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-03-29,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Hill Brow Metallics and Construction Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-03-29,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Jay Bharat Steel Corporation,Long Term Bank Facility,IVR BBB- (Assigned),2025-01-03,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Jay Bharat Steel Corporation,Short Term Bank Facility,IVR A3 (Assigned),2025-01-03,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sonar Casting Limited,Long Term Bank Facilities - Term Loan,IVR A- (CE) (Reaffirmed),2025-03-25,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sonar Casting Limited,Long Term Bank Facilities - Cash Credit,IVR A- (CE) (Reaffirmed),2025-03-25,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sonar Casting Limited,Short Term Bank Facilities - Bank Guarantee,IVR A2+ (CE) (Reaffirmed),2025-03-25,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sonar Casting Limited,Long Term Bank Facilities - Term Loan,IVR BB- (Assigned),2025-03-25,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Manaksia Aluminium Company Limited,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-02-25,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Manaksia Aluminium Company Limited,Long Term/Short Term Bank Facilities,IVR BBB+/ IVR A2 (Reaffirmed),2025-02-25,HIGH,Stable/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Manaksia Aluminium Company Limited,Short Term Bank Facilities,IVR A2 (Reaffirmed),2025-02-25,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Ganpati Sponge Iron Private Limited,Long Term Fund Based Facility - Cash Credit,IVR BB+ (Assigned and Withdran),2021-06-11,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Mono Steel India Limited,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-01-06,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Mono Steel India Limited,Short Term Bank Facilities,IVR A2 (Reaffirmed),2025-01-06,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
GLS Aluminium Industries Private Limited (Erstwhile GLS Foils Product Private Limited),Long Term Bank Facilities,IVR BBB- (Upgraded),2025-04-28,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
GLS Aluminium Industries Private Limited (Erstwhile GLS Foils Product Private Limited),Short Term Bank Facilities,IVR A3 (Upgraded),2025-04-28,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
MSR Iron and Steel Industries India Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Ramesh Iron & Steel Company India Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-31,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Saatvik Ferro Limited,Long Term/ Short Term Bank Facility,IVR BB+/IVR A4+; (INC)(Downgraded),2024-12-27,HIGH,Negative/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Saatvik Ferro Limited,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),2024-12-27,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Rajasthan Metals,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-02-18,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Rajasthan Metals,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),2025-02-18,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Faridabad Steel Mongers Private Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-01-30,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Tirupati Steel Enterprises,Long-Term Bank Facilities,IVR BBB- (Upgraded),2025-01-14,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Balu Iron & Steel Company,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-01-27,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Balu Iron & Steel Company,Long Term/ Short Term Bank Facilities,IVR B+/IVR A4; (INC)(Downgraded/Reaffirmed),2025-01-27,HIGH,Negative/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Enershell Alloys & Steel Private Limited,Long Term Bank Facilities,IVR BBB-,2025-03-31,HIGH,Positive,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Enershell Alloys & Steel Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-03-31,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Saru Silver Alloys Private Limited,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-03-06,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Saru Silver Alloys Private Limited,Short Term Bank Facilities,IVR A2 (Upgraded),2025-03-06,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Fabro Forge,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-01-23,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Fabro Forge,Long/Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Downgraded),2025-01-23,HIGH,Negative/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Rayalaseema Steel Re Rolling Mills Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2024-12-31,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Rayalaseema Steel Re Rolling Mills Private Limited,Short Term Bank Facility,IVR A4 (INC)(Reaffirmed),2024-12-31,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Vraj Metaliks Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-05-26,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Vraj Metaliks Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-05-26,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Surya Ferrous Alloys Private Limited,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-01-21,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Surya Ferrous Alloys Private Limited,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-01-21,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Surya Ferrous Alloys Private Limited,Proposed Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-01-21,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shree Ramdev Metalex LLP (SRML),Long term fund-based facility - Cash Credit,IVR BBB- (Reaffirmed),2025-04-24,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shree Ramdev Metalex LLP (SRML),Short term non-fund-based facility - Letter of Credit,IVR A3 (Reaffirmed),2025-04-24,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shree Ramdev Metalex LLP (SRML),Long term/ Short term non-fund-based facility - Letter of Credit,IVR BBB-/ IVR A3 (Reaffirmed),2025-04-24,HIGH,Stable/-,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
GBR Metals Private Limited,Long Term Facilities,IVR BBB- (Reaffirmed),2025-01-30,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Jalna Siddhivinayak Alloys Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-04-07,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Jalna Siddhivinayak Alloys Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),2025-04-07,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sri Kanya Iron & Steel Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-03-20,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
R.K. Steels,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-05-29,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Struc-Rite Metal Building Systems,Long Term Bank Facilities - Term Loan,IVR C (Reaffirmed),2025-04-15,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Struc-Rite Metal Building Systems,Long Term Bank Facilities - Term Loan,IVR C (Assigned),2025-04-15,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Struc-Rite Metal Building Systems,Long Term Bank Facilities - Cash Credit,IVR C (Reaffirmed),2025-04-15,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Struc-Rite Metal Building Systems,Short Term Bank Facilities - Letter of Credit,IVR A4 (Reaffirmed),2025-04-15,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Struc-Rite Metal Building Systems,Short-Term Bank Facilities - Bill Discounting,IVR A4 (Reaffirmed),2025-04-15,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Madhur Iron & Steel (I) Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-03-31,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Madhur Iron & Steel (I) Limited,Short Term Bank Facilities,IVR A3+ (Reaffirmed),2025-03-31,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
National Steel Company,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-02-17,HIGH,Negative,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Paavan Steel Tech Private Limited,Long Term Facilities,IVR BBB- (Assigned),2025-01-01,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Paavan Steel Tech Private Limited,Short Term Facilities,IVR A3 (Assigned),2025-01-01,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Om Shree Rupesh Steel Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-03,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Zeon Steel Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-03,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Inalco Metal Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-08,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Geetai Steels Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),2025-01-21,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Geetai Steels Private Limited,Short Term Bank Facilities,IVR A3+ (Assigned),2025-01-21,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Geetai Steels Private Limited,Long Term Bank Facilities - Proposed,IVR BBB (Assigned),2025-01-21,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
D.M. Metalloys Private Limited,Long Term Bank Facilities- Cash Credit,IVR BBB- (Assigned),2025-01-27,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
D.M. Metalloys Private Limited,Long Term Bank Facilities- GECL,IVR BBB- (Assigned),2025-01-27,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
D.M. Metalloys Private Limited,Long Term Bank Facilities- OD against FD,IVR BBB- (Assigned),2025-01-27,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Amex Alloys Private Limited,Long Term Fund Based Facilities,IVR BBB- (Assigned),2025-02-05,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Amex Alloys Private Limited,Proposed Long Term Fund Based Facilities,IVR BBB- (Assigned),2025-02-05,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Maruti Ferrous Private Limited,Long Term Bank Facilities,IVR A- (Assigned),2025-02-14,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Ghankun Steels Private Limited,Long Term Bank Facilities,IVR A- (Assigned),2025-02-14,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Ghankun Steels Private Limited,Short Term Bank Facilities,IVR A2+ (Assigned),2025-02-14,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Gasha Steels Private Limited,Long Term Facilities,IVR BBB- (Assigned),2025-02-18,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Gasha Steels Private Limited,Short Term Facilities,IVR A3 (Assigned),2025-02-18,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Nandana Metals and Mining Limited,Long Term Fund-Based Bank Facilities,IVR BBB- (Assigned),2025-02-19,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Nandana Metals and Mining Limited,Long Term Fund-Based Bank Facilities - Proposed,IVR BBB- (Assigned),2025-02-19,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Vakrangee Metal and Minerals Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2025-03-04,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sova Electrocasting Limited,Long Term Bank Facilities,IVR C (Assigned),2025-03-11,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Castech Auto Private Limited,Long Term Bank Facilities,IVR B+ (Assigned),2025-03-12,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
SNB Metal and Alloys,Long Term Bank Facilities,IVR BB (Assigned),2025-03-28,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
SNB Metal and Alloys,Long Term Bank Facilities - Proposed,IVR BB (Assigned),2025-03-28,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
SNB Metal and Alloys,Short Term Bank Facilities,IVR A4 (Assigned),2025-03-28,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Nakoda Steelmet Engineering Private Limited,Long Term Bank Facilities,IVR BB (Assigned),2025-03-28,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Nakoda Steelmet Engineering Private Limited,Long Term Bank Facilities - Proposed,IVR BB (Assigned),2025-03-28,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Nakoda Steelmet Engineering Private Limited,Short Term Bank Facilities,IVR A4 (Assigned),2025-03-28,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Nakoda Steelmet Engineering Private Limited,Short Term Bank Facilities - Proposed,IVR A4 (Assigned),2025-03-28,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Sonal Irons Industry Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2025-04-02,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Poshs Metal Industries Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2025-04-03,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Poshs Metal Industries Private Limited,Short Term Bank Facilities,IVR A3 (Assigned),2025-04-03,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Poshs Metal Aurangabad LLP,Long Term Bank Facilities,IVR BBB- (Assigned),2025-04-03,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Gaj Laxmi Castings Private Limited,Long Term Facilities,IVR BB (Assigned),2025-04-08,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Gaj Laxmi Castings Private Limited,Proposed - Cash Credit,IVR BB (Assigned),2025-04-08,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shri Krishna Steelage Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),2025-04-08,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Shri Krishna Steelage Private Limited,Long Term Bank Facilities (Proposed),IVR BB+ (Assigned),2025-04-08,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Indalium Metal Products Limited,Long Term Bank Facilities,IVR BB+ (Assigned),2025-04-22,HIGH,Stable,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
Indalium Metal Products Limited,Short Term Bank Facilities,IVR A4+ (Assigned),2025-04-22,HIGH,Nil,Infomerics,Steel & Metals,HIGH urgency rating in Steel & Metals sector — overdue for renewal.
