Company Name,Instrument,Current Rating (Full),Current Rating,Action,Rating Date,Days Since Rating,Urgency,Outlook,Sector,Is INC,Current Rater,Why Target,Pitch Angle
JHV Construction Company Private Limited,Long Term Bank Facilities,IVR B (INC)(Downgraded),IVR B (INC),Downgraded,2026-02-09,123,LOW,Negative,Construction,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Paragon Apparel Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),IVR B+ (INC),Downgraded,2026-02-09,123,LOW,Negative,Textiles,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Nature Delight Dairy & Dairy Products Private Limited,Long Term Facilities,IVR BBB- (INC)(Downgraded),IVR BBB- (INC),Downgraded,2026-02-09,123,LOW,Negative,Agro/Food,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Anil Buildcon India Private Limited,Long Term /Short Term Bank Facility,IVR B+/IVR A4; (INC)(Downgraded),IVR B+/IVR A4; (INC),Downgraded,2026-02-09,123,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
EM Square Homes Private Limited,Long Term Bank Facility,IVR BB (INC)(Downgraded),IVR BB (INC),Downgraded,2026-02-09,123,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Lahari Laminates Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-09,123,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Radiant Industries,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-09,123,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Emperial Films LLP,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),IVR A4 (INC),Downgraded,2026-02-09,123,LOW,Nil,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Emperial Films LLP,Long Term Bank Facilities,IVR BB (INC)(Downgraded),IVR BB (INC),Downgraded,2026-02-09,123,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
S & P feeds Private Limited,Long Term Bank Facilities â€“ Term Loan,IVR BB+ (INC)(Downgraded),IVR BB+ (INC),Downgraded,2026-02-06,126,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
S & P feeds Private Limited,Long Term Bank Facilities â€“ Cash Credit,IVR BB+ (INC)(Downgraded),IVR BB+ (INC),Downgraded,2026-02-06,126,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Shri Mahesh Co-operative Spinning Mills Limited,Proposed Long Term/ Short Term Bank Facilities,IVR B+/A4; (INC) (Downgraded),IVR B+/A4; (INC),Downgraded,2026-02-06,126,LOW,Negative/-,Textiles,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Shri Mahesh Co-operative Spinning Mills Limited,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),IVR B+ (INC),Downgraded,2026-02-06,126,LOW,Negative,Textiles,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sudharsana Developers,Long Term Facilities,IVR BB- (INC)(Downgraded),IVR BB- (INC),Downgraded,2026-02-06,126,LOW,Negative,Construction,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
S & P feeds Private Limited,Short Term Bank Facilities â€“ Short Term Loan,IVR A4+ (INC)(Downgraded),IVR A4+ (INC),Downgraded,2026-02-06,126,LOW,Nil,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
BGR Construction LLP,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),IVR B+ (INC),Downgraded,2026-02-06,126,LOW,Negative,Construction,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
JSE Infotech Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),IVR B+ (INC),Downgraded,2026-02-06,126,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Vamica Resorts Infra Limited,Long Term Instruments  Non-Convertible Debenture- Proposed,IVR B (INC)(Downgraded),IVR B (INC),Downgraded,2026-02-05,127,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sambandam Spinning Mills Limited,Long Term Bank Facilities,IVR BB (Downgraded),IVR BB,Downgraded,2026-02-05,127,LOW,Stable,Textiles,False,Infomerics,"Downgraded by Infomerics — dissatisfied client, open to better alternative.",Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sambandam Spinning Mills Limited,Fixed Deposit,IVR BB (Downgraded),IVR BB,Downgraded,2026-02-05,127,LOW,Stable,Textiles,False,Infomerics,"Downgraded by Infomerics — dissatisfied client, open to better alternative.",Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sambandam Spinning Mills Limited,Short Term Bank Facilities,IVR A4 (Downgraded),IVR A4,Downgraded,2026-02-05,127,LOW,Nil,Textiles,False,Infomerics,"Downgraded by Infomerics — dissatisfied client, open to better alternative.",Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sushee Hi Tech Projects Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),IVR BB- (INC),Downgraded,2026-02-04,128,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Arunachal Timber Traders Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-04,128,LOW,Negative,Trading,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Annai Resorts and Spa Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),IVR B+ (INC),Downgraded,2026-02-04,128,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Maghalakshmi Plaazaa,Long Term Bank Facilities,IVR B- (INC)(Downgraded),IVR B- (INC),Downgraded,2026-02-04,128,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Arunachal Timber Traders Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-04,128,LOW,Negative,Trading,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
N.N Global Mercantile Private Limited,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),IVR B+ (INC),Downgraded,2026-02-04,128,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Duke Fabrics India Limited,Long Term/ Short Term Bank Facilities,IVR B/IVR A4; (INC) (Downgraded/Reaffirmed),IVR B/IVR A4; (INC) (Downgraded/Reaffirmed),Downgraded,2026-02-04,128,LOW,Negative/-,Textiles,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Duke Fabrics India Limited,Long Term Bank Facilities,IVR B (INC) (Downgraded),IVR B (INC),Downgraded,2026-02-04,128,LOW,Negative,Textiles,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Metaguard Engineers and Contractors,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),IVR B+ (INC),Downgraded,2026-02-04,128,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
ETO Motors Private Limited,Long Term Bank Facilities (Proposed),IVR B- (INC)(Downgraded),IVR B- (INC),Downgraded,2026-02-04,128,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Value Added Fashion Fabrics Private Limited,Long Term Facilities,IVR BB- (INC)(Downgraded),IVR BB- (INC),Downgraded,2026-02-03,129,LOW,Negative,Textiles,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
The Seksaria Biswan Sugar Factory Limited,Short Term Bank Facilities,IVR A2+ (INC)(Downgraded),IVR A2+ (INC),Downgraded,2026-02-03,129,LOW,Nil,Agro/Food,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Bhavani Shipping Services (India) Private Limited,Long Term Bank Facility,IVR B (INC) (Downgraded),IVR B (INC),Downgraded,2026-02-03,129,LOW,Negative,Logistics,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Gates Wears,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),IVR B+ (INC),Downgraded,2026-02-03,129,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Worldwide Oilfield Machine Private Limited,Short Term Bank Facilities,IVR A4+ (Downgraded),IVR A4+,Downgraded,2026-02-03,129,LOW,Nil,Other/Unknown,False,Infomerics,"Downgraded by Infomerics — dissatisfied client, open to better alternative.",Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Worldwide Oilfield Machine Private Limited,Long Term Bank Facilities,IVR BB+ (Downgraded),IVR BB+,Downgraded,2026-02-03,129,LOW,Stable,Other/Unknown,False,Infomerics,"Downgraded by Infomerics — dissatisfied client, open to better alternative.",Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
The Seksaria Biswan Sugar Factory Limited,Long Term Bank Facilities,IVR A- (INC)(Downgraded),IVR A- (INC),Downgraded,2026-02-03,129,LOW,Negative,Agro/Food,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Cimechel Electric Private Limited,Short Term Facilities,A4 (INC) (Downgraded),A4 (INC),Downgraded,2026-02-03,129,LOW,Nil,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sunny Infraprojects Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),IVR BB (INC),Downgraded,2026-02-03,129,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Ambuj Hotel and Real Estate Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-03,129,LOW,Negative,Construction,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Shanti Gold International Limited,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),IVR BBB (INC),Downgraded,2026-02-03,129,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Shanti Gold International Limited,Short Term Bank Facilities,IVR A3+ (INC)(Downgraded),IVR A3+ (INC),Downgraded,2026-02-03,129,LOW,Nil,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Sunny Infraprojects Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),IVR A4 (INC),Downgraded,2026-02-03,129,LOW,Nil,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Cimechel Electric Private Limited,Long Term Facilities,IVR BB (INC) (Downgraded),IVR BB (INC),Downgraded,2026-02-03,129,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Surya Processors Private Limited,Long Term Bank Facilities,IVR B- (INC)(Downgraded),IVR B- (INC),Downgraded,2026-02-03,129,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Surya Processors Private Limited,Long Term Bank Facilities,IVR B- (INC)(Downgraded),IVR B- (INC),Downgraded,2026-02-03,129,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Vijay Kumar Sahu Infrastructure Private Limited,Short Term Facilities,IVR A4 (INC) (Downgraded),IVR A4 (INC),Downgraded,2026-02-02,130,LOW,Nil,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
IBIS Smart Marble Private Limited,Long Term Bank Facilities,IVR BB- (INC) (Downgraded),IVR BB- (INC),Downgraded,2026-02-02,130,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Fastbuild Blocks Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-02,130,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Vijay Kumar Sahu Infrastructure Private Limited,Long Term Facilities,IVR BB (INC) (Downgraded),IVR BB (INC),Downgraded,2026-02-02,130,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Fastbuild Blocks Private Limited,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),IVR C+ (INC),Downgraded,2026-02-02,130,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Prabodh Steel Private Limited,Long Term Bank Facilities,IVR B (INC) (Downgraded),IVR B (INC),Downgraded,2026-02-02,130,LOW,Negative,Steel & Metals,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Tushar Builders & BKP Infra LLP,Long Term Bank Facilities,IVR B- (INC) (Downgraded),IVR B- (INC),Downgraded,2026-02-02,130,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Mahalaxmi Distributors,Long Term Facilities,IVR B (INC) (Downgraded),IVR B (INC),Downgraded,2026-02-02,130,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Kavita Industries,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),IVR C+ (INC),Downgraded,2026-02-02,130,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Dayal Energy & Protein Private Limited,Long Term Instruments /Facilities,IVR BB (INC) (Downgraded),IVR BB (INC),Downgraded,2026-01-30,133,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
QuadGen Wireless Solutions Private limited,Long Term Bank Facilities,IVR BB (INC) (Downgraded),IVR BB (INC),Downgraded,2026-01-30,133,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
QuadGen Wireless Solutions Private limited,Short Term Bank Facilities,IVR A4 (INC) (Downgraded),IVR A4 (INC),Downgraded,2026-01-30,133,LOW,Nil,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
QuadGen Wireless Solutions Private limited,Proposed Long Term/ Short Term Bank Facilities,IVR BB/IVR A4; (INC) (Downgraded),IVR BB/IVR A4; (INC),Downgraded,2026-01-30,133,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
QuadGen Wireless Solutions Private limited,Long Term/ Short Term Bank Facilities,IVR BB/IVR A4; (INC) (Downgraded),IVR BB/IVR A4; (INC),Downgraded,2026-01-30,133,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Dayal Energy & Protein Private Limited,Short Term Instruments /Facilities,IVR A4 (INC) (Downgraded),IVR A4 (INC),Downgraded,2026-01-30,133,LOW,Nil,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
HR Ispat Private Limited,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),IVR B+ (INC),Downgraded,2026-01-29,134,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Dhruv Industries Limited,Long/Short Term Bank Facilities,IVR B+/IVR A4; (INC)(Downgraded/Reaffirmed),IVR B+/IVR A4; (INC)(Downgraded/Reaffirmed),Downgraded,2026-01-29,134,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Cruso Granito Private Limited,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),IVR C+ (INC),Downgraded,2026-01-29,134,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Pristine Commercials Private Limited,Long term Bank Facilities,IVR BBB- (INC) (Downgraded),IVR BBB- (INC),Downgraded,2026-01-29,134,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Pristine Commercials Private Limited,Long/ Short Term Bank Facilities,IVR BBB-/IVR A3; (INC) (Downgraded),IVR BBB-/IVR A3; (INC),Downgraded,2026-01-29,134,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Vinsum Axpress India Private Limited,Long Term Bank Facilities,IVR BB (INC)(Downgraded),IVR BB (INC),Downgraded,2026-01-29,134,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Dhruv Industries Limited,Long Term Bank  Facilities,IVR B+ (INC)(Downgraded),IVR B+ (INC),Downgraded,2026-01-29,134,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Panesar Steel & Power Limited,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),IVR B+ (INC),Downgraded,2026-01-29,134,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Assam Electronics Development Corporation Limited,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),IVR BB- (INC),Downgraded,2026-01-28,135,LOW,Negative,Construction,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Agrawal Infrabuild Private Limited,Long Term Facilities,IVR BBB (INC)(Downgraded),IVR BBB (INC),Downgraded,2026-01-28,135,LOW,Negative,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Viyan Tex Industries LLP,Long Term Bank Facilities,IVR BB (INC)(Downgraded),IVR BB (INC),Downgraded,2026-01-28,135,LOW,Negative,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Agrawal Infrabuild Private Limited,Short Term Facility,IVR A3+ (INC)(Downgraded),IVR A3+ (INC),Downgraded,2026-01-28,135,LOW,Nil,Infrastructure,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
N.E. Agency,Long term / Short Term Bank Facilities,IVR C+/IVR A4; (INC)(Downgraded),IVR C+/IVR A4; (INC),Downgraded,2026-01-27,136,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
Tirubala International Private Limited,Long Term/ Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Downgraded),IVR BB/IVR A4; (INC),Downgraded,2026-01-27,136,LOW,Negative/-,Other/Unknown,True,Infomerics,Downgraded + INC — walked out on Infomerics. Highest priority lead.,Your rating was recently downgraded. ACER can provide a fresh assessment with independent analysis and faster service.
