Company Name,Instrument,Current Rating,Rating Date,Urgency,Outlook,Sector,Current Rater,Why Target,Pitch Angle,Priority Score
Mahadev Yarns Private Limited,Long Term Bank Facilities - Cash Credit,IVR B (INC)(Reaffirmed and Withdrawn),2021-12-29,HIGH,Nil,Textiles,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Mahadev Yarns Private Limited,Long Term Fund Based Facilities - Term Loan,IVR B (INC)(Reaffirmed and Withdrawn),2021-12-29,HIGH,Nil,Textiles,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Deccan Ferro Alloys Private Limited,Long Term Fund Based Facility,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-01-08,HIGH,Nil,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Deccan Ferro Alloys Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-01-08,HIGH,Nil,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Long/Short Term Bank Facilities,IVR BB+/IVR A4+; (INC)(Reaffirmed and Withdrawn),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Proposed Bank Facilities - Long Term/Short Term,IVR BB+/IVR A4+; (INC)(Reaffirmed),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Long/Short Term Bank Facilities,IVR BB+/IVR A4+; (INC)(Reaffirmed and Withdrawn),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Khandelwal Jewellers (Akola) Pvt Ltd,Proposed Bank Facilities - Long Term/Short Term,IVR BB+/IVR A4+; (INC)(Reaffirmed),2022-04-06,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Radha Smelters Private Limited,Long Term Fund Based Facility - Cash Credit,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-11,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Radha Smelters Private Limited,Long Term Fund Based Facility - Term Loan,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-11,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Radha Smelters Private Limited,Long Term Fund Based Facility - SLC COVID 19,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-11,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Radha Smelters Private Limited,Long Term Fund Based Facility - SLC COVID19,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-11,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Radha Smelters Private Limited,Long Term Fund Based Facility - SLC COVID19,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-11,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Agrawal Global Infratech Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-18,HIGH,Nil,Infrastructure,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Agrawal Global Infratech Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-18,HIGH,Nil,Infrastructure,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Agrawal Global Infratech Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-18,HIGH,Nil,Infrastructure,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Agrawal Global Infratech Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-18,HIGH,Nil,Infrastructure,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
NRTMT (India) Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
NRVS Steels Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,HIGH,Nil,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
N.R. Ispat & Power Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-04-29,HIGH,Nil,Infrastructure,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
N.R. Ispat & Power Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-04-29,HIGH,Nil,Infrastructure,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Rustam Foods Private Limited (RFPL),Short Term Non Fund Based Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-05-23,HIGH,Nil,Agro/Food,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Rustam Foods Private Limited (RFPL),Long Term Fund Based Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-05-23,HIGH,Nil,Agro/Food,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sonasati Organics Private Limited,Short Term Bank Facilities,IVR A4+ (CE)(INC)(Reaffirmed and withdrawn),2022-10-31,HIGH,Nil,Agro/Food,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sonasati Organics Private Limited,Short Term Bank Facilities,IVR A4+ (CE)(INC)(Reaffirmed and withdrawn),2022-10-31,HIGH,Nil,Agro/Food,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sonasati Organics Private Limited,Long Term Bank Facilities,IVR BB+ (CE)(INC)(Reaffirmed and Withdrawn),2022-10-31,HIGH,Nil,Agro/Food,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Sonasati Organics Private Limited,Long Term Bank Facilities,IVR BB+ (CE)(INC)(Reaffirmed and Withdrawn),2022-10-31,HIGH,Nil,Agro/Food,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Bravo Sponge Iron Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-11-17,HIGH,Nil,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Bravo Sponge Iron Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and withdrawn),2022-11-17,HIGH,Nil,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Rebanta Steels Private Limited,Bank Facilities,IVR BB- (INC)(Withdrawn),2022-11-18,HIGH,Nil,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Ajanta Spintex Private Limited,Long/Short Term Bank Facilities,IVR B/IVR A4; (INC)(Reaffirmed and Withdrawn),2022-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Ajanta Spintex Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed and Withdrawn),2022-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Ajanta Spintex Private Limited,Long Term Bank Facilities,IVR B (INC)(Reaffirmed and Withdrawn),2022-12-20,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Parmeshwari Silk Mills Limited,Long Term Bank Facilities,IVR BB (INC)(Reaffirmed & Withdrawn),2022-12-26,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Deepshikha Exim Private Limited,Term Loan,IVR B+ (INC)(Withdrawn),2023-01-02,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Kataria Automobiles Private Limited (KAPL),Long Term Fund based facilities - Term Loan,IVR BB (INC)(Reaffirmed and Withdrawn),2023-02-10,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Kataria Automobiles Private Limited (KAPL),Short Term Fund based facilities - Bank Guarantee,IVR A4 (INC)(Reaffirmed and Withdrawn),2023-02-10,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Kataria Automobiles Private Limited (KAPL),Long Term Fund based facilities - Cash Credit,IVR BB (INC)(Reaffirmed and Withdrawn),2023-02-10,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
FORTUNE GROUP,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2023-03-02,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
FORTUNE GROUP,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-03-02,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
FORTUNE GROUP,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-03-02,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
FORTUNE GROUP,Short Term Bank Facilities,IVR A4+ (INC)(Reaffirmed and Withdrawn),2023-03-02,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
GP Petroleums Ltd,Long/Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Reaffirmed and withdrawn),2023-03-28,HIGH,Stable/-,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
GP Petroleums Ltd,Long/Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Reaffirmed and withdrawn),2023-03-28,HIGH,Stable/-,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Manaksia Coated Metals & Industries Limited,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-04-18,HIGH,Negative,Steel & Metals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
BLA Projects Private Limited,Long term Bank Facilities,IVR BB (INC) (Reaffirmed and withdrawn),2023-04-27,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
BLA Projects Private Limited,Short term Bank Facilities,IVR A4 (INC) (Reaffirmed and withdrawn),2023-04-27,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Clean Coal Enterprises Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Clean Coal Enterprises Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Earth Minerals Company Limited,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Clean Coal Enterprises Private Limited,Long Term Bank Facilities,IVR BB- (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Negative,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Clean Coal Enterprises Private Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Earth Minerals Company Limited,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - CECL,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - Proposed,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - Term Loan,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - Cash Credit,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Short term Bank Facilities - LC,IVR A4+ (INC)(Withdrawn),2023-05-03,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Short term Bank Facilities - LC/BGs,IVR A4+ (INC)(Withdrawn),2023-05-03,HIGH,Nil,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Short term Bank Facilities - Standby Line of Credit,IVR A4+ (INC)(Withdrawn),2023-05-03,HIGH,Nil,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Long term Bank Facilities - Cash Credit,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Long term Bank Facilities - CECL/GECL 2.0,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Long term Bank Facilities - Term Loan,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Long/Short term Bank Facilities (Proposed),IVR BB+/IVR A4+; (INC)(Withdrawn),2023-05-03,HIGH,Stable/-,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - Cash Credit,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Long term Bank Facilities - Term Loan,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - CECL,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Short term Bank Facilities - LC,IVR A4+ (INC)(Withdrawn),2023-05-03,HIGH,Nil,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Barium Private Limited,Long term Bank Facilities - Proposed,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Other/Unknown,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Long term Bank Facilities - CECL/GECL 2.0,IVR BB+ (INC)(Withdrawn),2023-05-03,HIGH,Stable,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
Vishnu Chemicals Limited (VCL),Short term Bank Facilities - Standby Line of Credit,IVR A4+ (INC)(Withdrawn),2023-05-03,HIGH,Nil,Chemicals,Infomerics,INC rating = walked out on current rater. Immediate need for new agency.,Company has INC status — stopped cooperating with Infomerics. Needs new rating agency urgently. ACER can provide fresh start with clean slate.,100
