Company Name,Current Rater,Instrument,Rating,Rating Date,Days Since Rating,Days Overdue,Urgency,Status,Sector,Why Target,Pitch Angle
Fastenex Pvt. Ltd.,CRISIL,Letter Of credit,A 1,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ceigall Malout Abohar Sadhuwali Highways Pvt. Ltd.,CRISIL,Term loans,AAA,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Samhi Hotels (Ahmedabad) Pvt. Ltd.,ICRA,Term loans,A-,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Samhi Hotels (Gurgaon) Pvt. Ltd.,ICRA,Term loans,A-,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Samhi Hotels (Gurgaon) Pvt. Ltd.,ICRA,Bank Guarantee,A 2+,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Caspia Hotels Pvt. Ltd.,ICRA,Term loans,A-,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Caspia Hotels Pvt. Ltd.,ICRA,Bank Guarantee,A 2+,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rana Milk Foods Pvt. Ltd.,CARE,Term loans,D,2025-05-06,402,37,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Cement Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-05-06,402,37,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rubber King Tyre Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-05-06,402,37,HIGH,Downgraded,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Metallurgical Industry Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Metallurgical Industry Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Metallurgical Industry Pvt. Ltd.,CRISIL,Short-term loan,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
My Home Inds. Pvt. Ltd.,IND-RA,Term loans,AA-,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
My Home Inds. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 1+,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
My Home Inds. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mutual Automotive Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A-,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bangalore International Airport Ltd.,IND-RA,Long term Loans,AAA,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Best Koki Automotive Pvt. Ltd.,ACUITE,Long term Loans,BB+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mutual Automotive Pvt. Ltd.,CRISIL,Term loans,A-,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Mutual Automotive Pvt. Ltd.,CRISIL,Bank Guarantee,A 2+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
My Home Inds. Pvt. Ltd.,IND-RA,Non-government debt,AA-/A1+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Isotex Corporation Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
M A Sarsinsa Steels Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Laxmi Goldorna House Ltd.,CRISIL,Term loans,BB,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rubber King Tyre Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-05-06,402,37,HIGH,Downgraded,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rubber King Tyre Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-05-06,402,37,HIGH,Downgraded,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
G R N Constructions Pvt. Ltd.,CRISIL,Long term Loans,A-,2025-05-06,402,37,HIGH,Initial Rating,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
G R N Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 2+,2025-05-06,402,37,HIGH,Initial Rating,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
United Cars Pvt. Ltd.,CRISIL,Long term Loans,BB-,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
United Cars Pvt. Ltd.,CRISIL,Term loans,BB-,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Cement Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Metallurgical Industry Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Rashmi Metallurgical Industry Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
United Cars Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A 4+,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Petro Carbon & Chemicals Ltd.,IND-RA,Non-fund based working capital limit,A 3+,2025-05-06,402,37,HIGH,Reaffirmed,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
V S V Renewables Pvt. Ltd.,ICRA,Term loans,BBB+,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Pharmax India Pvt. Ltd.,CRISIL,Term loans,BBB,2025-05-06,402,37,HIGH,Upgraded,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
P & S Jewellery Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,D,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
P & S Jewellery Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,D,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Alloy Steel Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Petro Carbon & Chemicals Ltd.,IND-RA,Term loans,BBB,2025-05-06,402,37,HIGH,Initial Rating,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Petro Carbon & Chemicals Ltd.,IND-RA,Term loans,BBB,2025-05-06,402,37,HIGH,Reaffirmed,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Pharmax India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB,2025-05-06,402,37,HIGH,Upgraded,Chemicals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bhartia Infra Projects Ltd.,CRISIL,Term loans,A-,2025-05-06,402,37,HIGH,Downgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Maruti Papers Pvt. Ltd.,CRISIL,Long term Loans,BBB,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Maruti Papers Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 3+,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Onkar International Pvt. Ltd.,CARE,Non-government debt,C/A4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Onkar International Pvt. Ltd.,CARE,Non-government debt,C/A4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Alloy Steel Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Alloy Steel Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Northern Electric Cables Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Alloy Steel Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Bhartia Infra Projects Ltd.,CRISIL,Bank Guarantee,A 2+,2025-05-06,402,37,HIGH,Downgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Vindhyachal Expressway Pvt. Ltd.,CRISIL,Term loans,BBB+,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Onkar International Pvt. Ltd.,CARE,Non-government debt,C/A4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Onkar International Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Virupaksha Organics Ltd.,IND-RA,Non-fund based working capital limit,A 2,2025-05-06,402,37,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Virupaksha Organics Ltd.,IND-RA,Term loans,BBB+,2025-05-06,402,37,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
P & S Jewellery Ltd.,BRICKWORK,Fund based financial facility/instrument,D,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Metaliks Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,AA,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Metaliks Pvt. Ltd.,CRISIL,Term loans,AA,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Orissa Metaliks Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Navyug (India) Ltd.,CARE,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Neelkamal Polytex Inds. Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A 4+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
360 One Capital Market Pvt. Ltd.,CRISIL,Bank Guarantee,A 2,2025-05-06,402,37,HIGH,Rating Watch,BFSI,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Nexo Industries Pvt. Ltd.,CARE,Term loans,BB-,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Naini Papers Ltd.,CRISIL,Fund based financial facility/instrument,A-,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Naini Papers Ltd.,CRISIL,Long term Loans,A-,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Naini Papers Ltd.,CRISIL,Long term Loans,A-,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
360 One Capital Market Pvt. Ltd.,CRISIL,Short-term loan,A 2,2025-05-06,402,37,HIGH,Rating Watch,BFSI,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
360 One Capital Market Pvt. Ltd.,CRISIL,Short-term loan,A 2,2025-05-06,402,37,HIGH,Rating Watch,BFSI,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
360 One Capital Market Pvt. Ltd.,CRISIL,Short-term loan,A 2,2025-05-06,402,37,HIGH,Rating Watch,BFSI,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Nexo Industries Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Nexo Industries Pvt. Ltd.,CARE,Fund based financial facility/instrument,BB-,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
J P W Infratech Pvt. Ltd.,CRISIL,Bank Guarantee,A 2,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Laxmi Goldorna House Ltd.,CRISIL,Fund based financial facility/instrument,BB,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Amrit Exports Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Amrit Exports Pvt. Ltd.,CRISIL,Term loans,BB+,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sukshetra Infra Projects Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Downgraded,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
J K G Overseas Pvt. Ltd.,CRISIL,Non-fund-based financial facility/instrument,A 4+,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
J K G Overseas Pvt. Ltd.,CRISIL,Term loans,BB-,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sushila Parmar International Pvt. Ltd.,ACUITE,Letter Of credit,A 2,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
K B Sponge Iron Ltd.,CARE,Bank Guarantee,D,2025-05-06,402,37,HIGH,Downgraded,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Ascent Hotels Pvt. Ltd.,ICRA,Term loans,A-,2025-05-06,402,37,HIGH,Rating Watch,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sree Jayajothi Cements Pvt. Ltd.,IND-RA,Term loans,AA-,2025-05-06,402,37,HIGH,Downgraded,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sree Jayajothi Cements Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 1+,2025-05-06,402,37,HIGH,Reaffirmed,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sri Siddheshwar Engineers India Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-05-06,402,37,HIGH,Reaffirmed,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Davinder Sandhu Impex Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-05-06,402,37,HIGH,Initial Rating,Construction,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Jaidayal Hitex Pvt. Ltd.,CRISIL,Letter Of credit,A 4+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Jaidayal Hitex Pvt. Ltd.,CRISIL,Term loans,BB+,2025-05-06,402,37,HIGH,Downgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Sowparnika Projects & Infrastructure Pvt. Ltd.,ICRA,Term loans,B+,2025-05-06,402,37,HIGH,Reaffirmed,Infrastructure,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
K B Sponge Iron Ltd.,CARE,Term loans,D,2025-05-06,402,37,HIGH,Downgraded,Steel & Metals,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
K R Auto Components Pvt. Ltd.,IND-RA,Term loans,BBB,2025-05-06,402,37,HIGH,Initial Rating,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
Jajoo Rashmi Refractories Ltd.,CRISIL,Fund based financial facility/instrument,A 2,2025-05-06,402,37,HIGH,Upgraded,Other/Unknown,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Coast Frozen Foods Pvt. Ltd.,CARE,Bank Guarantee,D,2025-05-06,402,37,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
West Coast Fine Foods (India) Pvt. Ltd.,CARE,Non-government debt,D,2025-05-06,402,37,HIGH,Reaffirmed,Agro/Food,Rating overdue — annual review date passed.,Rating renewal due. ACER offers faster processing and dedicated coverage.
