Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,Sector,State,Lead Segment,Why Target,ACER Pitch Angle,Priority Score,Contact Person,Contact Info
Akarshan Spinners Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC) (Reaffirmed),2025-02-17,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Akshar Gamma Steriles LLP,Long Term Bank Facility,Infomerics,IVR BB- (INC) (Downgraded),2024-12-23,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Alka Chemi Pack Private Limited,Long Term Bank Facility,Infomerics,IVR B+ (INC) (Downgraded),2024-12-31,HIGH,Chemicals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Alkameyst Life Private Limited,Issuer,Infomerics,IVR B- (INC)(Downgraded),2025-03-31,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Alok Buildtech Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-05-06,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Alstrong Enterprises India Private Limited,Short Term Facilities,Infomerics,IVR D (INC) (Reaffirmed),2025-04-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Anadrone Systems Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),2025-03-19,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Anagha Stones LLP,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-25,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Anshika Fasteners Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-12,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-04-01,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Arete Institute of Medical Sciences Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-04-04,HIGH,Education,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Argunt Aggregates Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-06-04,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Aria Hotels and Consultancy Services Private Limited,Cash Credit,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-28,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Armco Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-06-02,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Arrow Powertech Private Limited,Proposed Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-02-03,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Ascent E Digit Solutions Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-04-18,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Ashapura Options Private Limited,Bank Facilities - Long Term (Proposed),Infomerics,IVR BB+ (INC)(Withdrawn),2021-09-30,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Asian Sealing Products Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-05-05,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Asset Homes Private Limited,Long Term Bank Facilities- Proposed,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-08,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Auro Impex & Chemicals Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-06-12,HIGH,Chemicals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Avyukta Agro Impex Private Limited,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),2025-05-29,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
BFG International Private Limited,Non-Fund Facilities - Letter of Credit,Infomerics,IVR A4 (INC)(Reaffirmed),2025-04-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
BLA Projects Private Limited,Short term Bank Facilities,Infomerics,IVR A4 (INC) (Reaffirmed and withdrawn),2023-04-27,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Baba Kailashpati Agro Processing Private Limited,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-05-08,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Balaji Dayalpura Infra Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-01-06,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Balaji Industrial and Agricultural Castings Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR B/ IVR A4 (INC) (Downgraded/Reaffirmed),2025-04-11,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Balu Iron & Steel Company,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-01-27,HIGH,Steel & Metals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bemco Sleepers Limited,Short Term Facility,Infomerics,IVR A4 (INC)(Reaffirmed),2025-03-31,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Beohari Bansukli Pathways Private Limited,Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-03-28,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bharat Heart & Super Speciality Hospitals,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Healthcare,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bharat Insulation Company India Private Limited,Long Term Bank  Facilities,Infomerics,IVR BB (INC) (Downgraded),2025-01-14,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bharti Foods,Short Term Non- Fund-based Bank Facilities - Forward Contract,Infomerics,IVR A4 (INC)(Reaffirmed),2025-05-23,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bharti Industries,Proposed Term Loan,Infomerics,IVR BB- (INC)(Reaffirmed),2025-05-23,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bhatia Trading Company,Long Term Bank Facilities - Proposed,Infomerics,IVR C+ (INC)(Downgraded),2025-04-01,HIGH,Trading,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bliss Anand Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2024-12-19,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Blizzard Ceramica LLP,Long Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-31,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Bravo Sponge Iron Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),2022-11-17,HIGH,Steel & Metals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
C K Constructions India Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed),2025-03-28,HIGH,Construction,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Chadha Papers Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-03-03,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Chaitanya Energy Private Limited,Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-03-10,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Chaitra Civil Ventures LLP,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-06-06,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Choice Trading Corporation Private Limited,Long Term Fund Based Bank Facility - Pre/Post shipment Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-05-26,HIGH,Trading,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Clean Coal Enterprises Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Clearsynth Labs Limited (CLL),Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-13,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Crystal Cold Storage Company Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-01-06,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Cyrix Healthcare Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-05-16,HIGH,Healthcare,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
D.K. Tissues & Papers Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),2025-02-18,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
D.N. Homes Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-04-04,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
DMR Builders Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-28,HIGH,Construction,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
DR N Sahewalla and Company Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-03-27,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Davinder Sandhu Impex Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-22,HIGH,Construction,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Deccan Ferro Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2022-01-08,HIGH,Steel & Metals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Deepshikha Exim Private Limited,Term Loan,Infomerics,IVR B+ (INC)(Withdrawn),2023-01-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Dhosa Chandaneswar Bratyajana Samity,Long Term Bank Facility,Infomerics,IVR B (INC)(Downgraded),2025-04-30,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Dhwaja Shares & Securities Private Limited,Long Term/Short Term Bank Facilities,Infomerics,IVR BB/IVR A4+; (INC)(Downgraded),2025-01-30,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Draken Metals Trading Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-05-23,HIGH,Steel & Metals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Earth Minerals Company Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Reaffirmed & Withdrawn),2023-05-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
East India Drums & Barrels Manufacturing Company (EIDBMC),Long Term Fund Based Facility - Cash Credit,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),2023-06-14,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Enviro Infra Engineers Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),2023-07-19,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Eppeltone Engineers Private Limited,Long Term Bank Facilities - Term Loan,Infomerics,IVR B (INC)(Downgraded),2025-04-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Ess and Bee International,Short Term Bank Facility,Infomerics,IVR A4 (INC) (Reaffirmed),2025-06-03,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Euro Safety Footwear India Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-06-04,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Everest Metals FZE,Long Term Bank Facilities,Infomerics,IVR C (INC)(Reaffirmed),2025-03-27,HIGH,Steel & Metals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Everrenew Energy Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-05-26,HIGH,Infrastructure,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
FORTUNE GROUP,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),2023-03-02,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Fabro Forge,Long/Short Term Bank Facilities,Infomerics,IVR BB/IVR A4; (INC)(Downgraded),2025-01-23,HIGH,Steel & Metals,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Farm Fresh Kashmir,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-03-06,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Farm India Impex Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-05-19,HIGH,Agro/Food,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),2025-05-19,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Fortune Resources Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-01-08,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Frontier Knitters Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),2025-04-01,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
Future Enterprises Limited,Short Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),2025-02-24,HIGH,Other/Unknown,Unknown,INC — Not Cooperating,INC status = walked out on Infomerics. Immediately needs new rating agency.,Your Infomerics rating shows INC status. ACER provides a clean slate — fresh independent rating with dedicated analyst.,100,,
