Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Canara Bank,ICRA,Debentures / Bonds / notes / bills,AAA,2026-09-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
National Bank For Financing Infrastructure & Devp.,IND-RA,Non-government debt,AAA/A1+,2026-09-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I C L Fincorp Ltd.,ACUITE,Debentures / Bonds / notes / bills,BBB-,2026-09-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Laxmi India Finance Ltd.,ACUITE,Long term Loans,A-,2026-09-03,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Shelter Finance Corpn. Ltd.,IND-RA,Term loans,AA-,2026-09-03,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kisetsu Saison Finance (India) Pvt. Ltd.,CARE,Non-government debt,AAA/A1+,2026-09-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I K F Finance Ltd.,IND-RA,Term loans,AA-,2026-09-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Motilal Oswal Financial Services Ltd.,ICRA,Non-government debt,AA+,2026-09-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Edelweiss Financial Services Ltd.,CRISIL,Debentures / Bonds / notes / bills,PP-MLD A+,2026-09-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Manba Finance Ltd.,CARE,Term loans,BBB+,2026-09-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Tamilnadu Transport Devp. Finance Corpn. Ltd.,CARE,Short-term loan,A 3,2026-08-04,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Indostar Capital Finance Ltd.,CARE,Fund based financial facility/instrument,AA-,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Godrej Finance Ltd.,CARE,Fund based financial facility/instrument,AA+,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Shri Ram Finance Corpn. Pvt. Ltd.,ACUITE,Term loans,A,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aham Housing Finance Ltd.,CARE,Term loans,BBB,2026-08-04,LOW,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aptus Finance India Pvt. Ltd.,CARE,Fund based financial facility/instrument,AA,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
H D F C Bank Ltd.,CARE,Non-government debt,AAA/A1+,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kamal Autofinance Pvt. Ltd.,CARE,Term loans,BBB-,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Axis Bank Ltd.,ICRA,Debentures / Bonds / notes / bills,AA+,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Piramal Finance Ltd.,CARE,Non-government debt,AA+/A1+,2026-08-04,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Credila Financial Services Ltd.,CARE,Term loans,AA,2026-08-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Small Industries Devp. Bank Of India,CRISIL,Long term Loans,AAA,2026-08-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
S K Finance Ltd.,CARE,Term loans,AA-,2026-08-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Oxyzo Financial Services Ltd.,CRISIL,Term loans,A+,2026-08-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Varashakti Housing Finance Pvt. Ltd.,ACUITE,Long term Loans,BBB-,2026-08-01,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
S R G Housing Finance Ltd.,ACUITE,Term loans,BBB+,2026-08-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Karnataka Bank Ltd.,ICRA,Debentures / Bonds / notes / bills,A+,2026-08-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mahindra Rural Housing Finance Ltd.,IND-RA,Term loans,AAA,2026-08-01,LOW,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Fusion Finance Ltd.,CARE,Term loans,A,2026-07-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
J M J Fintech Ltd.,ACUITE,Long term Loans,BB,2026-07-04,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Veritas Finance Ltd.,CARE,Short-term loan,A 1+,2026-07-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Savery Transport Finance Ltd.,CARE,Term loans,BBB+,2026-07-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Infrastructure Finance Co. Ltd.,CARE,Debentures / Bonds / notes / bills,AAA,2026-07-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
P T C India Financial Services Ltd.,CRISIL,Long term Loans,A,2026-06-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Bajaj Finance Ltd.,CARE,Short-term loan,A 1+,2026-06-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Ummeed Housing Finance Pvt. Ltd.,ACUITE,Term loans,A,2026-06-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Infinity Fincorp Solutions Pvt. Ltd.,CRISIL,Term loans,A+,2026-06-04,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Capital Small Finance Bank Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,A+,2026-06-04,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Jalnidhi Bitumen Specialities Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,B+,2026-06-04,LOW,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Dugar Finance & Invsts. Ltd.,ACUITE,Term loans,BBB,2026-06-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Shubham Housing Devp. Finance Co. Ltd.,CARE,Non-government debt,AA-/A1+,2026-06-04,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kotak Mahindra Bank Ltd.,CRISIL,Debentures / Bonds / notes / bills,AAA,2026-06-04,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Incred Financial Services Ltd.,CRISIL,Long term Loans,AA-,2026-06-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Muthoot Fincorp Ltd.,CRISIL,Debentures / Bonds / notes / bills,A+,2026-06-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Easy Home Finance Ltd.,IND-RA,Non-government debt,A-,2026-06-03,LOW,BFSI,Active,Upgraded,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Roha Housing Finance Pvt. Ltd.,CARE,Term loans,A-,2026-06-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Geojit Financial Services Ltd.,CRISIL,Bank Guarantee,A 1,2026-06-03,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Fedbank Financial Services Ltd.,IND-RA,Term loans,AA+,2026-06-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Unimoni Financial Services Ltd.,ACUITE,Long term Loans,BBB,2026-06-03,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
J M Financial Services Ltd.,ICRA,Debentures / Bonds / notes / bills,PP-MLD AA,2026-06-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aditya Birla Housing Finance Ltd.,ICRA,Non-government debt,AAA/A1+,2026-06-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Indian Bank,CRISIL,Debentures / Bonds / notes / bills,AAA,2026-06-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Khushbu Auto Finance Ltd.,CARE,Term loans,BBB,2026-06-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Nuvama Wealth Finance Ltd.,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AA-,2026-06-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
L I C Housing Finance Ltd.,CARE,Debentures / Bonds / notes / bills,AAA,2026-06-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Electronica Finance Ltd.,IND-RA,Term loans,A,2026-06-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
State Bank Of India,IND-RA,Debentures / Bonds / notes / bills,AAA,2026-05-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Snapmint Financial Services Pvt. Ltd.,CRISIL,Long term Loans,BBB,2026-05-03,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
State Bank Of India,CRISIL,Debentures / Bonds / notes / bills,AA+,2026-05-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I B L Finance Ltd.,ACUITE,Long term Loans,BBB-,2026-05-03,LOW,BFSI,Active,Initial Rating,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Agrim Housing Finance Pvt. Ltd.,CARE,Term loans,BBB-,2026-05-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Finkurve Financial Services Ltd.,CRISIL,Term loans,BBB,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Bank Of India,IND-RA,Debentures / Bonds / notes / bills,AA+,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Namra Finance Ltd.,ACUITE,Term loans,A-,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Motilal Oswal Financial Services Ltd.,IND-RA,Term loans,AA,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kosamattam Finance Ltd.,IND-RA,Term loans,A,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Home First Finance Co. India Ltd.,CARE,Term loans,AA,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Arman Financial Services Ltd.,ACUITE,Term loans,A-,2026-05-02,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Hinduja Leyland Finance Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD AA+,2026-05-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Niif Infrastructure Finance Ltd.,CARE,Debentures / Bonds / notes / bills,AAA,2026-05-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Utkarsh Small Finance Bank Ltd.,CARE,Debentures / Bonds / notes / bills,A,2026-05-01,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I K F Finance Ltd.,CARE,Term loans,A+,2026-05-01,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Svasti Microfinance Pvt. Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD BBB-,2026-05-01,LOW,BFSI,Active,Withdrawn,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Pahal Financial Services Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-05,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Cent Bank Home Finance Ltd.,IND-RA,Term loans,A-,2026-04-05,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Mahindra Rural Housing Finance Ltd.,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AAA,2026-04-03,LOW,BFSI,Active,Reaffirmed,Active BFSI company with rating — potential ACER client.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
