Company Name,Instrument,Current Rating,Rating Date,Days Since Rating,Days Overdue,Urgency,Outlook,Sector,Current Rater,Why Target,Pitch Angle
Unimoni Financial Services Limited,Long Term /Short Term Non Fund Based Facility Bank Guarantee,,2021-04-30,1869,1504,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Unimoni Financial Services Limited,Short Term Non Fund Facility Treasury Limit,,2021-04-30,1869,1504,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Unimoni Financial Services Limited,Short Term Fund Based Facility Overdraft,,2021-04-30,1869,1504,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Unimoni Financial Services Limited,Long Term Fund Based Facility Term Loan,,2021-04-30,1869,1504,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Ganpati Sponge Iron Private Limited,Long Term Fund Based Facility - Cash Credit,IVR BB+ (Assigned and Withdran),2021-06-11,1827,1462,HIGH,Stable,Steel & Metals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Khandelwal Jewellers (Akola) Pvt Ltd,Proposed Bank Facilities - Long Term/Short Term,IVR BB+/IVR A4+; (INC)(Reaffirmed),2022-04-06,1528,1163,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Khandelwal Jewellers (Akola) Pvt Ltd,Proposed Bank Facilities - Long Term/Short Term,IVR BB+/IVR A4+; (INC)(Reaffirmed),2022-04-06,1528,1163,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed),2022-04-06,1528,1163,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Khandelwal Jewellers (Akola) Pvt Ltd,Long Term Bank Facilities,IVR BB+ (INC)(Reaffirmed),2022-04-06,1528,1163,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Scientific Security Management Services Private Limited (SSMS),Short Term Bank Facilities - Bank Guarantee,IVR A3 (Revised & Witthdrawn),2022-11-09,1311,946,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Scientific Security Management Services Private Limited (SSMS),Short Term Bank Facilities - Bank Guarantee,IVR A3 (Revised & Witthdrawn),2022-11-09,1311,946,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Medec Dragon Private Limited,Proposed Commercial Paper,IVR A1 (Assigned),2023-05-10,1129,764,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Proposed Long Term Fund Based Facility,IVR BB (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Long Term Fund Based Facility - Cash Credit,IVR BB (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Long Term Fund Based Facility - Term Loan,IVR BB (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Long Term Fund Based Facility - Cash Credit,IVR BB (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Long Term Fund Based Facility - Term Loan,IVR BB (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Precision Power Products (India) Private Limited,Proposed Long Term Fund Based Facility,IVR BB (ISSUER NOT COOPERATING),2023-06-02,1106,741,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Gagan Ferrotech Limited,Short Term Bank Facilities,IVR A4 (INC) (Downgraded),2023-10-19,967,602,HIGH,Nil,Steel & Metals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Gagan Ferrotech Limited,Long Term Bank Facilities,IVR BB (INC) (Downgraded ),2023-10-19,967,602,HIGH,Negative,Steel & Metals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Bhagaban Mohapatra Construction and Engineers Private Limited,Long Term/ Short Term Unallocated,-,2023-11-24,931,566,HIGH,Nil,Construction,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krishana Phoschem Limited (KPL),Long Term Fund Based Bank Facility - Cash Credit,IVR BBB+ (Reaffirmed),2024-01-01,893,528,HIGH,Stable,Chemicals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krishana Phoschem Limited (KPL),Proposed Long Term Fund Based Facility - Term Loan,IVR BBB+(Assigned),2024-01-01,893,528,HIGH,Stable,Chemicals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krishana Phoschem Limited (KPL),Short Term Non -Fund Based Bank Facility - Pre Settlement Risk (PSR,IVR A2 (Reaffirmed),2024-01-01,893,528,HIGH,Nil,Chemicals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krishana Phoschem Limited (KPL),Long Term Fund Based Bank Facility - Term Loan,IVR BBB+ (Reaffirmed),2024-01-01,893,528,HIGH,Stable,Chemicals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krishana Phoschem Limited (KPL),Short Term Non -Fund Based Bank Facility - Letter of Credit,IVR A2 (Reaffirmed),2024-01-01,893,528,HIGH,Nil,Chemicals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
G. G. Automotive Gears Limited,Long/Short Term Bank Facility - Bank Guarantee,IVR BBB- / IVR A3,2024-01-29,865,500,HIGH,Stable/-,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
G. G. Automotive Gears Limited,Long Term Fund Based Facility - Term Loans,IVR BBB-,2024-01-29,865,500,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
G. G. Automotive Gears Limited,Long Term Fund Based Facility - Cash Credit,IVR BBB-,2024-01-29,865,500,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Sri Rama Educational Trust,Fund Based Bank Facilities Proposed Cash Credit,IVR BB+,2024-02-21,842,477,HIGH,Stable,Education,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Sri Rama Educational Trust,Fund Based Bank Facilities - Proposed Term Loans,IVR BB+,2024-02-21,842,477,HIGH,Stable,Education,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Sri Rama Educational Trust,Fund Based Bank Facilities Proposed Cash Credit,IVR BB+,2024-02-21,842,477,HIGH,Stable,Education,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Sri Rama Educational Trust,Fund Based Bank Facilities - Proposed Term Loans,IVR BB+,2024-02-21,842,477,HIGH,Stable,Education,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
RBA Finance Private Limited,Long Term Fund Based Limit - Term Loans,,2024-03-07,827,462,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
RBA Finance Private Limited,Long Term Fund Based Limit - Term Loans,,2024-03-07,827,462,HIGH,Nil,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Raj Process Equipments & Systems Private Limited,Long Term Bank Facilities,,2024-03-15,819,454,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Srivatsav Urban Estates & Developers Private Limited (Erstwhile M G M Castings Private Limited),Long Term Bank Facilities,,2024-06-10,732,367,HIGH,Nil,Steel & Metals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Srivatsav Urban Estates & Developers Private Limited (Erstwhile M G M Castings Private Limited),Long Term Bank Facilities,,2024-06-10,732,367,HIGH,Nil,Steel & Metals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Kashmir Steel Rolling Mills,Long Term Bank Facilities,IVR BBB- (Assigned),2024-08-16,665,300,HIGH,Stable,Steel & Metals,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Shri Dutt India Private Limited,Short Term Facilities,IVR A2 (Reaffirmed and Withrawn),2024-10-22,598,233,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Sara Sae Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),2024-11-12,577,212,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Saravana Selvarathnam Retail Private Limited,Long Term Facilities,IVR BBB- (Reaffirmed),2024-11-13,576,211,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
BBG Infrastructure Private Limited,Proposed Short Term Bank Facilities - Bank Guarantee,IVR A3+ (Assigned),2024-11-19,570,205,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
BBG Infrastructure Private Limited,Short Term Bank Facilities - Bank Guarantee,IVR A3+ (Assigned),2024-11-19,570,205,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Satellite Developers Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2024-11-19,570,205,HIGH,Stable,Construction,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
BBG Infrastructure Private Limited,Long Term Bank Facilities - Cash Credit,IVR BBB (Assigned),2024-11-19,570,205,HIGH,Stable,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Birla Precision Technologies Limited,Short Term Facilities,IVR A3+ (Assigned),2024-11-20,569,204,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Birla Precision Technologies Limited,Long Term Facilities,IVR BBB (Assigned),2024-11-20,569,204,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Birla Precision Technologies Limited,Long Term Facilities - Proposed,IVR BBB (Assigned),2024-11-20,569,204,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
ACAIPL Investment and Financial Services Private Limited,Proposed Bank Facilities,IVR BBB (Assigned),2024-11-22,567,202,HIGH,Stable,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
ACAIPL Investment and Financial Services Private Limited,Long Term Bank Facilities,IVR BBB (Assigned),2024-11-22,567,202,HIGH,Stable,BFSI,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
TPS Infrastructure Limited,Long Term Bank Facilities,IVR BBB (Reaffirmed),2024-11-25,564,199,HIGH,Positive,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Swiss Park Vanijya Private Limited,Long Term Facilities,IVR A+ (Reaffirmed),2024-11-25,564,199,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
TPS Infrastructure Limited,Short Term Bank Facilities,IVR A3+ (Upgraded),2024-11-25,564,199,HIGH,Nil,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Globus Warehousing And Trading Private Limited,Long Term Bank Facilities,IVR A (Assigned),2024-11-26,563,198,HIGH,Stable,Construction,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Globus Warehousing And Trading Private Limited,Short Term Bank Facilities,IVR A1 (Assigned/Reaffirmed),2024-11-26,563,198,HIGH,Nil,Construction,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Globus Warehousing And Trading Private Limited,Long Term Bank Facilities,IVR A (Reaffirmed),2024-11-26,563,198,HIGH,Stable,Construction,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Panchal Agro Fresh,Long Term Bank Facilities,IVR C+ (INC)(Downgraded),2024-11-27,562,197,HIGH,Negative,Agro/Food,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Trident Infrahomes Private Limited,Long Term Bank Facility,IVR BBB (Assigned),2024-11-27,562,197,HIGH,Stable,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
ATCO Projects Private Limited,Long Term Facilities,IVR BBB- (Assigned),2024-11-27,562,197,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Spider Fashions Private Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed),2024-11-27,562,197,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Spider Fashions Private Limited,Long Term Bank Facility,IVR BB (Reaffirmed),2024-11-27,562,197,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Trident Spaces Private Limited,Long Term Bank Facilities,IVR BB+ (Assigned),2024-11-27,562,197,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Maruti Spintex Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),2024-11-28,561,196,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Maruti Spintex Private Limited,Short Term Bank Facilities,IVR A3 (Upgraded),2024-11-28,561,196,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Maruti Spintex Private Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2024-11-28,561,196,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Aroma India Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Leade Liquor Manufacturing Private Limited,Long Term Bank Facility,IVR BBB- (Upgraded),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Prath Cotspin Private Limited,Long Term Bank Facilities,IVR BB (Reaffirmed),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Prath Cotspin Private Limited,Short Term Bank Facilities,IVR A4 (Reaffirmed),2024-11-29,560,195,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krushna Cotex Private Limited,Short Term Bank Facilities,IVR A4+ (Reaffirmed),2024-11-29,560,195,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Aroma India Private Limited,Short Term Bank Facility,IVR A3 (Upgraded),2024-11-29,560,195,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Oaken Gold Bottling Private Limited,Long Term Bank Facilities,IVR BBB- (Upgraded),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Oaken Gold Bottling Private Limited,Short Term Bank Facility,IVR A3 (Assigned),2024-11-29,560,195,HIGH,Nil,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
G Rajam Chetty and Sons Jewellers LLP,Long Term Bank Facilities,IVR BBB (Upgraded),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Krushna Cotex Private Limited,Long Term Bank Facilities,IVR BB+ (Reaffirmed),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
G Rajam Chetty and Sons Jewellers LLP,Long Term Bank Facilities (proposed),IVR BBB (Assigned),2024-11-29,560,195,HIGH,Stable,Other/Unknown,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Fiberweb India Limited,Long Term Bank Facilities,IVR BBB- (Assigned),2024-12-02,557,192,HIGH,Stable,Textiles,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Fiberweb India Limited,Short Term Bank Facilities,IVR A3 (Assigned),2024-12-02,557,192,HIGH,Nil,Textiles,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Sri Pavithra Constructions,Long Term Bank Facilities,IVR BB (Upgraded),2024-12-03,556,191,HIGH,Stable,Construction,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
Hariom Ingots and Power Private Limited,Long Term Bank Facilities,IVR BB+ (Downgraded),2024-12-03,556,191,HIGH,Stable,Infrastructure,Infomerics,Rating overdue — annual review date passed. Immediate renewal needed.,Your Infomerics rating is overdue for renewal. Switch to ACER for faster turnaround and dedicated analyst access.
