Company Name,RM_Tier,Aug_Week,Amt_Cr,NCD,Rev_Avg_Lakhs,Sector,Agency,Windows,Window_Count,Urgency,Why_Target,Pitch
Telangana Fiber Grid Corpn. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),2183.53,0,5.0,Textiles,IND-RA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Pink City Expressway Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1760.55,0,5.0,Other,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Cloudtail India Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1750.0,1,20.0,Other,ICRA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
S K S Power Generation (Chhattisgarh) Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1600.0,0,5.0,Energy/Power,ICRA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Madhya Pradesh Power Generating Company Limited,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1300.0,0,5.0,Energy,Infomerics,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2026-12-31 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Pace Digitek Infra Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1163.0,0,4.0,Construction,ACUITE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Energo Engineering Projects Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1150.0,0,3.0,Other,ICRA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Kundli Manesar Expressway Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1114.16,0,5.0,Other,IND-RA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
I L & F S Energy Development Co. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1037.85,0,5.0,Energy/Power,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Bhoruka Power Corpn. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),1012.82,0,5.0,Energy/Power,IND-RA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Gensol Engineering Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),925.0,1,5.0,Other,ICRA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Chhapra-Hajipur Expressways Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),857.0,0,5.0,Other,ICRA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Bijapur-Hungund Tollway Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),846.5,0,5.0,Infrastructure,ACUITE,October 2026,1,LOW,INC rating hits HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Helios Photo Voltaic Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),824.71,0,5.0,Other,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (67 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
G H V (India) Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),820.0,0,4.0,Other,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Kanpur Edibles Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),800.0,0,3.0,Agro & Food,CARE,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Magnite Developers Private Limited,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),800.0,1,3.0,Other,Infomerics,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-01-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.
Trucap Finance Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),750.0,0,5.0,BFSI/NBFC,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
C D S Infra Projects Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),725.0,0,4.0,Construction,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Entertainment City Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),673.42,0,5.0,Other,BRICKWORK,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
MEP Longjian VTR Private Limited,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),646.93,0,3.0,Other,Infomerics,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Future Enterprises Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),602.0,0,4.0,Other,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Mayfair Hotels & Resorts Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),600.06,0,5.0,Hotels & Tourism,ICRA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Aparna Infrahousing Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),600.0,0,5.0,Construction,CRISIL,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Radius Sumer Developers Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),600.0,0,5.0,Other,BRICKWORK,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Gimatex Industries Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),598.0,0,5.0,Manufacturing,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Raghava Constructions India Private Limited,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),584.0,0,3.0,Construction,Infomerics,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Caprihans India Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),570.0,1,5.0,Other,CARE,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
A G S Transact Technologies Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),552.44,0,5.0,IT/Technology,CRISIL,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Shri Ambalika Sugar Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),550.0,1,20.0,Agro & Food,IND-RA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Akbar Travels Of India Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),544.5,0,5.0,Hotels & Tourism,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
C S Construction Co. Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),532.0,0,4.0,Construction,CRISIL,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Electronics Corpn. Of Tamil Nadu Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),520.0,0,5.0,Other,IND-RA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
MEP Longjian Loha Waranga Road Private Limited,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),515.09,0,3.0,Construction,Infomerics,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds
Sadbhav Vidarbha Highway Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),514.0,0,5.0,Construction,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Sevenhills Healthcare Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),510.11,0,5.0,Healthcare,CRISIL,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Ecstasy Realty Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),500.0,0,5.0,Construction,CARE,October 2026,1,LOW,INC rating hits HOT threshold on 2026-11-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shyama Power India Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),469.44,1,20.0,Energy,IND-RA,October 2026,1,LOW,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Shashi Cables Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),457.11,1,20.0,Infrastructure,IND-RA,October 2026,1,LOW,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Tamilnadu Transmission Corpn. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),448.87,1,5.0,Other,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Fabworth Promoters Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),380.0,1,5.0,Other,CARE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shree Ram Vessel Scrap Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),370.0,1,20.0,Other,BRICKWORK,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
B L Agro Inds. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),352.0,1,20.0,Agro & Food,IND-RA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Ainwesha Engineering & Projects Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),326.04,1,20.0,Other,IND-RA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
G R Engineering Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),322.62,1,20.0,Other,IND-RA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Tribeni Constructions Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),304.0,1,20.0,Construction,ICRA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Advant I T Park Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),300.0,1,20.0,Other,BRICKWORK,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Rai Bahadur Narain Singh Sugar Mills Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),275.02,1,20.0,Agro & Food,CARE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
U M S L Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),273.0,1,3.0,Other,ICRA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Flexituff Ventures Intl. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),251.17,1,20.0,Other,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Etco Denim Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),246.45,1,5.0,Textiles,CARE,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Nandan Petrochem Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),245.0,1,20.0,Chemicals & Pharma,ICRA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Aarti Distilleries Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),221.78,1,5.0,Other,ICRA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
K G S Sugar & Infra Corpn. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),210.81,1,5.0,Construction,ICRA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Shreeji Infrastructure India Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),199.0,1,20.0,Construction,IND-RA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Transaction Solutions Intl. (India) Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),186.04,1,5.0,Other,CARE,October 2026,1,LOW,INC rating hits HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
R S A Infraproject Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),175.0,1,20.0,Construction,CARE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Standard Infratech India Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),163.05,1,20.0,Construction,IND-RA,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Machino Plastics Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),162.2,1,5.0,Chemicals & Pharma,ICRA+CRISIL,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Technosys Security Systems Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),155.0,1,20.0,IT/Technology,IND-RA,October 2026,1,LOW,INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Lok Chemicals Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),151.0,1,20.0,Chemicals & Pharma,CARE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Sunalco Alloys Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),135.0,1,20.0,Steel & Metals,CARE,October 2026,1,LOW,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
D M L Exim Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),130.0,1,20.0,Other,IND-RA,Q2 2027,1,LOW (<90 days),"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.
Gina Engineering Co. Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),130.0,1,20.0,Manufacturing,ICRA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
S G G D Projects Devp. Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),127.5,1,20.0,Construction,BRICKWORK,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Tejas Cargo India Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),124.3,1,5.0,Logistics,CARE,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Victoria Foods Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),124.1,1,4.0,Agro & Food,CARE,October 2026,1,MEDIUM,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Lulu India Shopping Mall Pvt. Ltd.,TIER 1 — Senior RM,Aug Wk1 (Aug 3-7),120.0,1,20.0,Other,IND-RA,Q1 2027,1,LOW/MEDIUM,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
