Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,Pipeline_Window,Call_Window,NCD_Linked,Captured_In_Aug_RM_Plan,Why_Target_Note,Recommended_Action,Trigger
P & Y Enterprises Pvt. Ltd.,IND-RA,Term loans,B-,2026-04-02,374.78,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹375 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
T K Toll Road Pvt. Ltd.,ICRA,Term loans,D,2026-04-16,370.95,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹371 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Cabbana Infrastructures Pvt. Ltd.,IND-RA,Term loans,D,2026-04-02,363.72,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹364 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
I L & F S Engg. & Construction Co. Ltd.,CARE,Term loans,D,2026-04-16,352.81,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹353 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
J P Infra Realty Pvt. Ltd.,IND-RA,Term loans,B-,2026-04-02,350.0,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹350 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Haryana Power Generation Corpn. Ltd.,BRICKWORK,Term Loan,BB,16-Jan-2026,340.15,Energy,LOW,October 2026,Oct Wk2 (Oct 8-14),False,False,₹340 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Halder Venture Ltd.,CRISIL,Fund-Based,BB+,21-Jan-2026,337.27,Other,LOW,October 2026,Oct Wk3 (Oct 15-21),False,False,₹337 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Kanakia Hotels & Resorts Pvt. Ltd.,BRICKWORK,Term Loan,BBB,03-Nov-2025,322.5,Hotels & Tourism,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹322 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Southern Power Distribution Co. Of Telangana Ltd.,CARE,Letter of Credit,A 4,2026-03-13,300.0,Energy,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹300 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Reliable Exports (India) Pvt. Ltd.,BRICKWORK,Term Loan,C,25-Feb-2026,289.99,Logistics,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹290 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
M E P Sanjose Talaja Mahuva Road Pvt. Ltd.,ACUITE,Term Loan,B-,19-Nov-2025,289.37,Construction,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,False,₹289 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Amar Prakaash Developerss Pvt. Ltd.,IND-RA,Term loans,D,2026-04-02,288.67,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹289 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Infinity Infotech Parks Ltd.,BRICKWORK,Fund-Based,BB,27-Nov-2025,287.24,IT/Technology,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,False,₹287 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Grand Canyon SEZ Private Limited,Infomerics,Long Term Bank Facilities - LRD,IVR BB (INC)(Downgraded),14-Oct-2025,283.03,Other,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,False,₹283 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Prathima Infrastructure Ltd.,ACUITE,Bank Guarantee,A 4+,10-Oct-2025,280.0,Construction,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,False,₹280 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
M S Khurana Engg. Ltd.,BRICKWORK,Bank Guarantee,A 4,28-Oct-2025,275.0,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹275 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
U M S L Ltd.,ICRA,Non-Fund-Based,A 4,27-Oct-2025,273.0,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹273 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
M E P Sanjose Mahuva Kagavadar Road Pvt. Ltd.,ACUITE,Term Loan,B-,20-Nov-2025,272.11,Construction,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,False,₹272 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Kute Sons Dairys Limited,Infomerics,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2026-01-12,269.17,Agro & Food,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,False,₹269 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Akbar Travels Of India Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,07-Oct-2025,268.0,Hotels & Tourism,MEDIUM,October 2026,Oct Wk1 (Oct 1-7),False,False,₹268 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Gem Sugars Ltd.,BRICKWORK,Fund-Based,B+,03-Mar-2026,264.0,Agro & Food,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹264 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Jai Hind Sugar Pvt. Ltd.,BRICKWORK,Fund-Based,B,2025-12-31,259.29,Agro & Food,LOW/MEDIUM,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,False,₹259 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Yatin Steels India Pvt. Ltd.,ACUITE,Letter of Credit,A 4,25-Feb-2026,250.5,Steel & Metals,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹250 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Renuka Realtors,Infomerics,Long Term Bank Facilities (Proposed),IVR C+ (INC)(Downgraded),16-Oct-2025,250.0,Construction,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹250 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Yashnand Engineers & Contractors Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,04-Mar-2026,249.5,Manufacturing,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹250 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Southern Power Distribution Co. Of Telangana Ltd.,CARE,Term Loan,B-,2026-03-13,248.53,Energy,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹249 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Asian Hotels (West) Ltd.,IND-RA,Term loans,D,2026-04-02,247.76,Hotels & Tourism,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹248 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Jay Shree Tea & Inds. Ltd.,BRICKWORK,Fund-Based,BB,18-Nov-2025,247.0,Agro & Food,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,False,₹247 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Etco Denim Pvt. Ltd.,CARE,Term loans,D,2026-04-09,246.45,Textiles,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹246 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Jaywant Sugars Ltd.,CRISIL,Term Loan,B,13-Nov-2025,244.48,Agro & Food,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,False,₹244 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Jayantisuper Construction Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,27-Nov-2025,240.5,Construction,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,False,₹240 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
F Robin Power Solutions Pvt. Ltd.,IND-RA,Term Loan,BB+,2026-03-30,235.0,Energy,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹235 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
M/S Idupulapadu Cotton Mills Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC)(Downgraded),16-Oct-2025,233.0,Agro & Food,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹233 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Indoshell Mould Ltd.,BRICKWORK,Term Loan,B-,2026-03-17,231.44,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹231 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Shrinath Rotopack Pvt. Ltd.,IND-RA,Fund-Based,BB+,16-Oct-2025,230.0,Other,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹230 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Mantri Developers Pvt. Ltd.,CARE,Fund based financial facility/instrument,D,2026-04-02,230.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹230 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Bansal Ship Breakers Pvt. Ltd.,IND-RA,Non-Fund-Based,BB+,12-Nov-2025,227.46,Other,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,False,₹227 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Kiran Infra Engineers Ltd.,CRISIL,Bank Guarantee,A 4+,26-Feb-2026,225.0,Construction,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹225 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Malbros International Pvt. Ltd.,ACUITE,Term Loan,BB-,2026-03-11,225.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹225 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Vatika Seven Elements Pvt. Ltd.,CARE,Term loans,D,2026-04-23,225.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹225 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Miot Hospitals Pvt. Ltd.,CARE,Term Loan,B+,09-Jan-2026,221.89,Healthcare,LOW,October 2026,Oct Wk1 (Oct 1-7),False,False,₹222 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Aarti Distilleries Pvt. Ltd.,ICRA,Term Loan,BB+,25-Nov-2025,221.78,Other,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,False,₹222 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Assago Industries Pvt. Ltd.,CARE,Term Loan,BB+,2026-03-31,220.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹220 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Vishwaraj Sugar Inds. Ltd.,IND-RA,Term Loan,B-,24-Nov-2025,215.0,Agro & Food,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),False,False,₹215 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Sri Avantika Contractors (I) Limited,Infomerics,Short Term Facilities,IVR A3 (INC)(Reaffirmed),31-Oct-2025,214.0,Automobiles,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹214 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Pioneer Power Corpn. Ltd.,ACUITE,Term Loan,BB+,28-Oct-2025,213.21,Energy,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹213 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
K G S Sugar & Infra Corpn. Ltd.,ICRA,Term loans,D,2026-04-16,210.81,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹211 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
R K Engineers Sales Ltd.,CRISIL,Bank Guarantee,A 2,03-Nov-2025,209.0,Manufacturing,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹209 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Wagad Infraprojects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,06-Jan-2026,207.0,Construction,LOW,October 2026,Oct Wk1 (Oct 1-7),False,False,₹207 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
R S A L Steel Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2026-04-29,206.55,Steel & Metals,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹207 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Aditya Construction Co. India Pvt. Ltd.,BRICKWORK,Term Loan,C,04-Feb-2026,204.0,Construction,LOW,October 2026,Nov Wk1 (Nov 1-7),False,False,₹204 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Hild Energy Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-11,203.9,Energy,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹204 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Shri Prabhulingeshwar Sugars & Chemicals Ltd.,ACUITE,Term Loan,BB+,2026-03-12,201.32,Agro & Food,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹201 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Candeur Constructions Pvt. Ltd.,ICRA,Term Loan,B+,13-Feb-2026,200.0,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,False,₹200 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Flexituff Ventures Intl. Ltd.,CARE,Non-fund based working capital limit,D,2026-04-17,199.02,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹199 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Wave Beverages Pvt. Ltd.,IND-RA,Term Loan,BB+,06-Nov-2025,197.5,Other,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹198 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Sri Raja Rajeswari Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,29-Oct-2025,197.0,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹197 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Sri Raja Rajeswari Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,11-Feb-2026,197.0,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,False,₹197 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
KLSR Infratech Limited,Infomerics,Proposed Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (INC)(Downgraded),03-Nov-2025,192.0,Construction,MEDIUM,October 2026,Nov Wk1 (Nov 1-7),False,False,₹192 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
Texport Syndicate India Limited,Infomerics,Short Term Facilities,IVR A3+ (INC)(Downgraded),31-Oct-2025,190.24,Logistics,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹190 Cr instrument — meets Tier 2 (₹100-499 Cr) trigger but NOT found in Aug RM deployment plan,ADD to Tier 2 Mid-RM — amount-band trigger missed,Amount Band (100-499cr)
