Company Name,Amt_Cr,NCD,Window_Count,Windows,Urgency,N_Instruments,Sector,Agencies,Tier,Aug_Week
C S Construction Co. Pvt. Ltd.,978.0,0,1,October 2026,MEDIUM,2,Construction,CRISIL,TIER 1 — Senior RM,Aug Wk1
Gama Infraprop Pvt. Ltd.,963.17,0,3,October 2026; Q1 2027; Q2 2027,LOW/MEDIUM,6,Construction,CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
Goel Ganga India Pvt. Ltd.,879.61,0,2,October 2026; Q2 2027,LOW (<90 days),3,Other,ACUITE,TIER 1 — Senior RM,Aug Wk1
Chhapra-Hajipur Expressways Ltd.,857.0,0,1,Q2 2027,LOW (<90 days),1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Right Tight Fastners Pvt. Ltd.,848.02,0,2,October 2026; Q2 2027,LOW (<90 days),5,Other,CRISIL,TIER 1 — Senior RM,Aug Wk1
Bijapur-Hungund Tollway Pvt. Ltd.,846.5,0,1,October 2026,LOW,1,Infrastructure,ACUITE,TIER 1 — Senior RM,Aug Wk1
Kanpur Edibles Pvt. Ltd.,838.21,0,1,Q1 2027,LOW/MEDIUM,2,Agro & Food,CARE,TIER 1 — Senior RM,Aug Wk1
Helios Photo Voltaic Ltd.,826.86,0,1,Q2 2027,LOW (<90 days),2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
G H V (India) Pvt. Ltd.,820.0,0,1,October 2026,MEDIUM,1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Shri Prabhulingeshwar Sugars and Chemicals Limited,817.57,0,2,October 2026; Q1 2027,LOW/MEDIUM,2,Agro & Food,Infomerics,TIER 1 — Senior RM,Aug Wk1
Dee Vee Projects Ltd.,814.6,1,1,October 2026,LOW,3,Construction,ACUITE; CARE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Akbar Travels Of India Pvt. Ltd.,812.5,0,1,October 2026,MEDIUM,2,Hotels & Tourism,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
H E S Infra Ltd.,802.0,0,1,Q1 2027,HOT,1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Magnite Developers Private Limited,800.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,Infomerics,TIER 1 — Senior RM,Aug Wk1
Raghava Constructions India Private Limited,750.0,0,1,October 2026,MEDIUM,3,Construction,Infomerics,TIER 1 — Senior RM,Aug Wk1
Trucap Finance Ltd.,750.0,0,1,Q2 2027,LOW (<90 days),1,BFSI/NBFC,CARE,TIER 1 — Senior RM,Aug Wk1
Pratibha Syntex Ltd.,746.52,1,2,October 2026; Q1 2027,MEDIUM,3,Other,ACUITE; IND-RA,TIER 1 — Senior RM,Aug Wk1
C D S Infra Projects Ltd.,725.0,0,1,October 2026,MEDIUM,1,Construction,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
A G S Transact Technologies Ltd.,706.2,0,1,Q2 2027,LOW (<90 days),2,IT/Technology,CRISIL,TIER 1 — Senior RM,Aug Wk1
Gimatex Industries Pvt. Ltd.,700.0,0,1,October 2026,MEDIUM,2,Manufacturing,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Shree Hari Infraprojects Pvt. Ltd.,680.0,1,2,October 2026; Q2 2027,LOW (<90 days),4,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Entertainment City Ltd.,673.42,0,1,Q2 2027,LOW (<90 days),1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Mahendra Strips Pvt. Ltd.,656.2,0,2,October 2026; Q1 2027,MEDIUM,3,Other,ACUITE,TIER 1 — Senior RM,Aug Wk1
K G Flexx Pvt. Ltd.,650.5,0,2,October 2026; Q2 2027,LOW (<90 days),4,Other,CRISIL,TIER 1 — Senior RM,Aug Wk1
MEP Longjian VTR Private Limited,646.93,0,1,October 2026,MEDIUM,1,Other,Infomerics,TIER 1 — Senior RM,Aug Wk1
Caprihans India Ltd.,622.75,1,1,Q1 2027,LOW/MEDIUM,3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Sevenhills Healthcare Pvt. Ltd.,616.92,0,1,Q2 2027,LOW (<90 days),2,Healthcare,CRISIL,TIER 1 — Senior RM,Aug Wk1
Mayfair Hotels & Resorts Ltd.,605.06,0,1,October 2026,MEDIUM,2,Hotels & Tourism,ICRA,TIER 1 — Senior RM,Aug Wk1
Aparna Infrahousing Pvt. Ltd.,600.0,0,1,October 2026,MEDIUM,1,Construction,CRISIL,TIER 1 — Senior RM,Aug Wk1
Candeur Constructions Pvt. Ltd.,600.0,0,1,October 2026,LOW,2,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Radius Sumer Developers Pvt. Ltd.,600.0,0,1,Q2 2027,LOW (<90 days),1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Nilkanth Mining Co.,590.99,0,1,October 2026,MEDIUM,2,Mining & Minerals,Infomerics,TIER 1 — Senior RM,Aug Wk1
MEP Longjian Loha Waranga Road Private Limited,588.75,0,1,October 2026,MEDIUM,2,Construction,Infomerics,TIER 1 — Senior RM,Aug Wk1
Nectar Lifesciences Ltd.,586.19,0,1,October 2026,LOW,3,Other,BRICKWORK; CARE,TIER 1 — Senior RM,Aug Wk1
Ambica Jute Mills Ltd.,559.22,0,2,October 2026; Q2 2027,LOW (<90 days),4,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
MEP Longjian CLR Private Limited,550.05,0,1,October 2026,MEDIUM,2,Other,Infomerics,TIER 1 — Senior RM,Aug Wk1
Shri Ambalika Sugar Pvt. Ltd.,550.0,1,1,October 2026,MEDIUM,1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
Southern Power Distribution Co. Of Telangana Ltd.,548.53,0,1,Q1 2027,LOW/MEDIUM,2,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Tamilnadu Transmission Corpn. Ltd.,538.87,1,1,October 2026,MEDIUM,2,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Shri Rathna Akshaya Estates Private Limited,531.08,0,1,Q1 2027,HOT,1,Other,Infomerics,TIER 1 — Senior RM,Aug Wk1
Jaywant Sugars Limited,524.36,0,1,Q1 2027,HOT,1,Agro & Food,Infomerics,TIER 1 — Senior RM,Aug Wk1
Electronics Corpn. Of Tamil Nadu Ltd.,520.0,0,1,Q1 2027,LOW/MEDIUM,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Garden Court Distilleries Private Limited,517.67,0,2,October 2026; Q1 2027,LOW/MEDIUM,2,Other,Infomerics,TIER 1 — Senior RM,Aug Wk1
Sadbhav Vidarbha Highway Ltd.,514.0,0,1,Q2 2027,LOW (<90 days),1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Everrenew Energy Pvt. Ltd.,513.0,1,2,October 2026; Q2 2027,MEDIUM,4,Energy,IND-RA,TIER 1 — Senior RM,Aug Wk1
Aristo Securities Private Limited,506.61,1,1,Q1 2027,HOT,5,Other,Infomerics,TIER 1 — Senior RM,Aug Wk1
Ecstasy Realty Pvt. Ltd.,500.0,0,1,October 2026,LOW,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
U M S L Ltd.,481.61,1,1,October 2026,MEDIUM,3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Shyama Power India Ltd.,469.44,1,1,October 2026,LOW,1,Energy,IND-RA,TIER 1 — Senior RM,Aug Wk1
Flexituff Ventures Intl. Ltd.,463.5,1,1,Q2 2027,LOW (<90 days),3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Shashi Cables Ltd.,457.11,1,1,October 2026,LOW,1,Infrastructure,IND-RA,TIER 1 — Senior RM,Aug Wk1
W F B Baird & Co. India Pvt. Ltd.,433.67,1,1,Q1 2027,HOT,4,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Etco Denim Pvt. Ltd.,388.44,1,1,Q2 2027,LOW (<90 days),3,Textiles,CARE,TIER 1 — Senior RM,Aug Wk1
Fabworth Promoters Pvt. Ltd.,385.0,1,1,October 2026,MEDIUM,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Shree Ram Vessel Scrap Pvt. Ltd.,374.0,1,1,Q2 2027,LOW (<90 days),2,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Atlas Constructions Pvt. Ltd.,368.0,1,1,Q1 2027,HOT,2,Construction,CRISIL,TIER 1 — Senior RM,Aug Wk1
B L Agro Inds. Ltd.,352.0,1,1,October 2026,MEDIUM,1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
J G Hosiery Pvt. Ltd.,341.73,1,1,Q1 2027,HOT,3,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Transaction Solutions Intl. (India) Pvt. Ltd.,341.33,1,1,October 2026,LOW,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Ainwesha Engineering & Projects Ltd.,326.04,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
G R Engineering Pvt. Ltd.,322.62,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Tribeni Constructions Ltd.,304.0,1,1,October 2026,MEDIUM,1,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Advant I T Park Pvt. Ltd.,300.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
M R L Tyres Ltd.,294.0,1,2,October 2026; Q1 2027,HOT,3,Automobiles,CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
K G S Sugar & Infra Corpn. Ltd.,280.67,1,1,Q2 2027,LOW (<90 days),2,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Rai Bahadur Narain Singh Sugar Mills Ltd.,280.0,1,1,October 2026,MEDIUM,2,Agro & Food,CARE,TIER 1 — Senior RM,Aug Wk1
K B K Biotech Pvt. Ltd.,276.0,1,2,October 2026; Q2 2027,LOW (<90 days),4,Chemicals & Pharma,CARE; ICRA,TIER 1 — Senior RM,Aug Wk1
A P R Constructions Ltd.,261.0,1,1,October 2026,LOW,2,Construction,ICRA; IND-RA,TIER 1 — Senior RM,Aug Wk1
Lanson Motors Pvt. Ltd.,253.34,1,2,October 2026; Q1 2027,MEDIUM,3,Automobiles,ACUITE; CRISIL; IND-RA,TIER 1 — Senior RM,Aug Wk1
Invreco Pvt. Ltd.,250.0,1,1,Q1 2027,HOT,1,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Krishna Buildestates Pvt. Ltd.,246.6,1,1,Q1 2027,LOW/MEDIUM,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Nandan Petrochem Ltd.,245.0,1,1,Q1 2027,LOW/MEDIUM,2,Chemicals & Pharma,ICRA,TIER 1 — Senior RM,Aug Wk1
Aarti Distilleries Pvt. Ltd.,231.25,1,1,October 2026,MEDIUM,2,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Victoria Foods Pvt. Ltd.,215.5,1,1,October 2026,MEDIUM,3,Agro & Food,CARE,TIER 1 — Senior RM,Aug Wk1
Tejas Cargo India Ltd.,210.0,1,1,Q1 2027,LOW/MEDIUM,3,Logistics,CARE,TIER 1 — Senior RM,Aug Wk1
L & W Building Solutions Pvt. Ltd.,205.0,1,1,Q1 2027,LOW/MEDIUM,1,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Dembla Valves Ltd.,203.28,1,1,Q1 2027,HOT,4,Other,CARE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Hotline Capital Services Pvt. Ltd.,200.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,BFSI,BRICKWORK; CARE,TIER 1 — Senior RM,Aug Wk1
Reliance Home Finance Ltd.,200.0,1,1,October 2026,MEDIUM,1,BFSI,BRICKWORK; CARE,TIER 1 — Senior RM,Aug Wk1
Vimal Coal Pvt. Ltd.,199.98,1,2,October 2026; Q2 2027,LOW (<90 days),4,Energy,CARE,TIER 1 — Senior RM,Aug Wk1
Shreeji Infrastructure India Pvt. Ltd.,199.0,1,1,Q2 2027,LOW (<90 days),1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
Premier Plasmotec Pvt. Ltd.,189.63,1,3,October 2026; Q1 2027; Q2 2027,LOW/MEDIUM,3,Other,BRICKWORK; CARE,TIER 1 — Senior RM,Aug Wk1
A R L Infratech Ltd.,187.8,1,1,October 2026,MEDIUM,3,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Machino Plastics Ltd.,177.2,1,1,Q1 2027,LOW/MEDIUM,3,Chemicals & Pharma,CRISIL; ICRA,TIER 1 — Senior RM,Aug Wk1
Pragati Infra Solutions Pvt. Ltd.,175.26,1,1,October 2026,LOW,2,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
R S A Infraproject Pvt. Ltd.,175.0,1,1,October 2026,MEDIUM,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Rawmet Resources Pvt. Ltd.,172.0,1,2,October 2026; Q2 2027,LOW (<90 days),4,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Ashok Textile Mills Pvt. Ltd.,168.51,1,2,October 2026; Q1 2027,HOT,2,Textiles,ACUITE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Kay Jay Forgings Ltd.,167.61,1,1,October 2026,MEDIUM,3,Steel & Metals,ICRA,TIER 1 — Senior RM,Aug Wk1
Standard Infratech India Pvt. Ltd.,163.05,1,1,October 2026,MEDIUM,1,Construction,IND-RA,TIER 1 — Senior RM,Aug Wk1
R P A Unibakes Pvt. Ltd.,161.52,1,2,October 2026; Q2 2027,LOW (<90 days),4,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
New Modern Technomech Pvt. Ltd.,161.03,1,2,October 2026; Q2 2027,LOW (<90 days),7,IT/Technology,ACUITE; CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
K T M Jewellery Ltd.,159.93,1,1,Q1 2027,LOW/MEDIUM,3,Jewellery,CARE,TIER 1 — Senior RM,Aug Wk1
Skipperseil Ltd.,155.0,1,1,October 2026,LOW,3,Other,CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
Technosys Security Systems Pvt. Ltd.,155.0,1,1,October 2026,LOW,1,IT/Technology,IND-RA,TIER 1 — Senior RM,Aug Wk1
Epicu Agro Products Pvt. Ltd.,154.6,1,2,October 2026; Q2 2027,LOW (<90 days),4,Agro & Food,ICRA,TIER 1 — Senior RM,Aug Wk1
Lok Chemicals Pvt. Ltd.,151.0,1,1,October 2026,MEDIUM,1,Chemicals & Pharma,CARE,TIER 1 — Senior RM,Aug Wk1
Siddapur Distilleries Ltd.,148.01,1,2,October 2026; Q1 2027,MEDIUM,2,Other,ACUITE; IND-RA,TIER 1 — Senior RM,Aug Wk1
Mohan Mutha Exports Pvt. Ltd.,145.0,1,1,October 2026,MEDIUM,3,Logistics,ICRA,TIER 1 — Senior RM,Aug Wk1
R S Development & Constructions India Pvt. Ltd.,144.26,1,2,October 2026; Q1 2027,HOT,3,Construction,BRICKWORK; IND-RA,TIER 1 — Senior RM,Aug Wk1
I G W India Technologies Pvt. Ltd.,142.21,1,1,Q1 2027,HOT,2,IT/Technology,CARE,TIER 1 — Senior RM,Aug Wk1
Charoen Pokphand Seeds (India) Pvt. Ltd.,140.0,1,2,October 2026; Q1 2027,LOW/MEDIUM,2,Agro & Food,ICRA; IND-RA,TIER 1 — Senior RM,Aug Wk1
N K Agro Exports (India) Pvt. Ltd.,138.13,1,1,Q2 2027,LOW (<90 days),4,Agro & Food,CARE,TIER 1 — Senior RM,Aug Wk1
Jaipur Rugs Co. Ltd.,137.43,1,2,October 2026; Q2 2027,LOW (<90 days),3,Other,CARE; ICRA,TIER 1 — Senior RM,Aug Wk1
Excelsource International Pvt. Ltd.,135.79,1,1,Q1 2027,HOT,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Sunalco Alloys Pvt. Ltd.,135.0,1,1,October 2026,LOW,1,Steel & Metals,CARE,TIER 1 — Senior RM,Aug Wk1
D M L Exim Pvt. Ltd.,130.0,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Gina Engineering Co. Pvt. Ltd.,130.0,1,1,Q1 2027,LOW/MEDIUM,1,Manufacturing,ICRA,TIER 1 — Senior RM,Aug Wk1
Superior Films Pvt. Ltd.,129.0,1,2,October 2026; Q1 2027,HOT,3,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
S G G D Projects Devp. Pvt. Ltd.,127.5,1,1,October 2026,MEDIUM,1,Construction,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Ratnadeep Metal & Tubes Ltd.,126.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Steel & Metals,IND-RA,TIER 1 — Senior RM,Aug Wk1
B N R Infrastructure Projects Pvt. Ltd.,125.0,1,2,October 2026; Q1 2027,LOW/MEDIUM,2,Construction,CARE; ICRA,TIER 1 — Senior RM,Aug Wk1
R M N Infrastructures Ltd.,125.0,1,1,Q1 2027,LOW/MEDIUM,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Mackintosh Burn Ltd.,124.45,1,1,October 2026,LOW,2,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Shinde Developers Pvt. Ltd.,123.0,1,2,Q1 2027; Q2 2027,LOW/MEDIUM,2,Other,BRICKWORK; IND-RA,TIER 1 — Senior RM,Aug Wk1
Radiant Textiles Pvt. Ltd.,121.0,1,1,Q1 2027,HOT,1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Lulu India Shopping Mall Pvt. Ltd.,120.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
R K Infracorp Pvt. Ltd.,120.0,1,1,Q1 2027,LOW/MEDIUM,1,Construction,CARE,TIER 1 — Senior RM,Aug Wk1
Siddhi Vinayak Knots & Prints Pvt. Ltd.,119.47,1,1,October 2026,LOW,1,Paper/Packaging,IND-RA,TIER 1 — Senior RM,Aug Wk1
Rajasthan Liquors Ltd.,119.33,1,1,October 2026,MEDIUM,3,Other,CRISIL; ICRA,TIER 1 — Senior RM,Aug Wk1
Lodz Denim Pvt. Ltd.,118.0,1,1,October 2026,LOW,1,Textiles,IND-RA,TIER 1 — Senior RM,Aug Wk1
Space Wood Furnishers Pvt. Ltd.,116.38,1,1,October 2026,MEDIUM,3,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Davariya Brothers Pvt. Ltd.,115.19,1,1,Q1 2027,LOW/MEDIUM,1,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Siddhartha Engineering Ltd.,110.75,1,1,Q1 2027,HOT,2,Manufacturing,CARE,TIER 1 — Senior RM,Aug Wk1
Premier Polyfilm Ltd.,105.92,1,2,October 2026; Q2 2027,LOW (<90 days),6,Other,ICRA,TIER 1 — Senior RM,Aug Wk1
Viswaat Chemicals Ltd.,105.46,1,1,Q1 2027,HOT,2,Chemicals & Pharma,CARE,TIER 1 — Senior RM,Aug Wk1
Vajrateja Rice Cluster Pvt. Ltd.,105.44,1,1,Q2 2027,LOW (<90 days),1,Agro & Food,IND-RA,TIER 1 — Senior RM,Aug Wk1
Envirad Projects Pvt. Ltd.,104.2,1,2,October 2026; Q2 2027,MEDIUM,3,Construction,CARE; CRISIL,TIER 1 — Senior RM,Aug Wk1
Advaith Aerospace Pvt. Ltd.,104.0,1,1,October 2026,LOW,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Ghai Construction Pvt. Ltd.,104.0,1,2,October 2026; Q2 2027,LOW (<90 days),4,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Hotcrete Infrastructure Pvt. Ltd.,103.38,1,2,October 2026; Q2 2027,LOW (<90 days),4,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
K B S C Auto Pvt. Ltd.,101.0,1,2,October 2026; Q2 2027,LOW (<90 days),4,Automobiles,CARE,TIER 1 — Senior RM,Aug Wk1
Spansules Pharmatech Pvt. Ltd.,100.34,1,2,October 2026; Q2 2027,LOW (<90 days),4,Chemicals & Pharma,CARE,TIER 1 — Senior RM,Aug Wk1
Pan Synthetics Pvt. Ltd.,97.92,1,1,October 2026,MEDIUM,4,Other,CRISIL; ICRA,TIER 1 — Senior RM,Aug Wk1
Clrk Industries Pvt. Ltd.,96.0,1,2,October 2026; Q2 2027,LOW (<90 days),6,Manufacturing,CARE,TIER 1 — Senior RM,Aug Wk1
Vikram Roller Flour Mills Ltd.,95.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Agro & Food,CARE,TIER 1 — Senior RM,Aug Wk1
Anand Motor Agencies Ltd.,93.48,1,3,October 2026; Q1 2027; Q2 2027,MEDIUM,7,Automobiles,CARE; CRISIL; IND-RA,TIER 1 — Senior RM,Aug Wk1
Trineva Infra Projects Pvt. Ltd.,93.0,1,1,October 2026,LOW,2,Construction,ICRA,TIER 1 — Senior RM,Aug Wk1
Telawne Power Equipments Pvt. Ltd.,91.2,1,2,October 2026; Q2 2027,MEDIUM,5,Manufacturing,CRISIL; ICRA; IND-RA,TIER 1 — Senior RM,Aug Wk1
C 5 Engineering Pvt. Ltd.,90.0,1,1,October 2026,MEDIUM,2,Manufacturing,CARE,TIER 1 — Senior RM,Aug Wk1
R K R Gold Pvt. Ltd.,90.0,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Shah Nanji Nagsi Overseas Pvt. Ltd.,90.0,1,1,October 2026,MEDIUM,1,Other,BRICKWORK,TIER 1 — Senior RM,Aug Wk1
Vipul Motors Pvt. Ltd.,90.0,1,2,October 2026; Q2 2027,LOW (<90 days),2,Automobiles,CARE,TIER 1 — Senior RM,Aug Wk1
International Coil Ltd.,88.0,1,1,Q2 2027,LOW (<90 days),1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Narayani Coke Pvt. Ltd.,88.0,1,1,Q1 2027,HOT,2,Other,CARE,TIER 1 — Senior RM,Aug Wk1
Mohit Ispat Pvt. Ltd.,87.0,1,1,October 2026,MEDIUM,5,Other,CARE; ICRA,TIER 1 — Senior RM,Aug Wk1
Shri Murlidhar Inds. Pvt. Ltd.,86.0,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Atmastco Ltd.,85.75,1,1,October 2026,LOW,1,Other,IND-RA,TIER 1 — Senior RM,Aug Wk1
Bombay Super Hybrid Seeds Ltd.,85.0,1,1,Q1 2027,LOW/MEDIUM,1,Other,CARE,TIER 1 — Senior RM,Aug Wk1
