Company Name,Windows_Involved,Sector_By_Window,Instrument_Type_By_Window,Sector_Internally_Consistent_Per_Window
Gajraj Automobiles Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Automobiles'] | Q1 2027=['Manufacturing'],October 2026=['Term Loan'] | Q1 2027=['Fund-Based'],True
Goldenglobe Hotels Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Jewellery/Gems'] | Q2 2027=['Hotels & Tourism'],October 2026=['Term Loan'] | Q2 2027=['Long term Loans'],True
Gowthami Solvent Oils Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Chemicals & Pharma'] | Q2 2027=['Agro & Food'],"October 2026=['NCD/Bond', 'Term Loan'] | Q2 2027=['Non-government debt', 'Term loans']",True
Hajra Medical Agency Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Healthcare'] | Q2 2027=['Chemicals & Pharma'],October 2026=['Bank Guarantee'] | Q2 2027=['Bank Guarantee'],True
JS Auto Cast Foundry India Private Limited,October 2026 | Q1 2027,October 2026=['Automobiles'] | Q1 2027=['Manufacturing'],"October 2026=['Long Term Bank Facilities', 'Short Term Bank Facilities'] | Q1 2027=['Long Term Bank Facilities', 'Short Term Bank Facilities']",True
Just Textiles Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],"October 2026=['Fund-Based', 'Letter of Credit', 'Term Loan'] | Q2 2027=['Fund based financial facility/instrument', 'Letter Of credit', 'Term loans']",True
K B K Biotech Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Healthcare'] | Q2 2027=['Chemicals & Pharma'],"October 2026=['Bank Guarantee', 'Term Loan'] | Q2 2027=['Bank Guarantee', 'Non-government debt', 'Term loans']",True
K K V Agro Powers Ltd.,October 2026 | Q2 2027,October 2026=['Agro & Food'] | Q2 2027=['Energy/Power'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Katyayini Paper Mills Private Limited,October 2026 | Q1 2027,October 2026=['Paper/Packaging'] | Q1 2027=['Agro & Food'],"October 2026=['Long Term Facilities', 'Short Term Bank Facilities'] | Q1 2027=['Long Term Facilities', 'Short Term Bank Facilities']",True
M M Shawl Engineers & Contractors Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Manufacturing'] | Q1 2027=['Construction'],October 2026=['Bank Guarantee'] | Q1 2027=['Bank Guarantee'],True
Marut Nandan Textiles Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Metaguard Engineers and Contractors,October 2026 | Q1 2027,October 2026=['Manufacturing'] | Q1 2027=['Construction'],"October 2026=['Long Term Bank Facilities', 'Short Term Bank Facilities'] | Q1 2027=['Long Term Bank Facilities', 'Short Term Bank Facilities']",True
Nash Robotics & Automation Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Automobiles'] | Q1 2027=['Manufacturing'],"October 2026=['Bank Guarantee', 'Letter of Credit', 'Term Loan'] | Q1 2027=['Short-Term Loan']",True
Omnitech Engineering Ltd.,October 2026 | Q2 2027,October 2026=['Manufacturing'] | Q2 2027=['IT/Technology'],"October 2026=['NCD/Bond', 'Non-Fund-Based', 'Term Loan'] | Q2 2027=['Non-fund-based financial facility/instrument', 'Non-government debt', 'Term loans']",True
Orange Auto Private Limited,October 2026 | Q1 2027,October 2026=['Automobiles'] | Q1 2027=['Manufacturing'],"October 2026=['Long Term Facilities', 'Short Term Facilities'] | Q1 2027=['Long Term Facilities', 'Short Term Facilities']",True
Pioneer Fabricators Ltd.,October 2026 | Q1 2027,October 2026=['Manufacturing'] | Q1 2027=['Textiles'],"October 2026=['Bank Guarantee'] | Q1 2027=['Bank Guarantee', 'Letter of Credit', 'Term Loan']",True
Plus Medicare Hospitals Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Healthcare'] | Q2 2027=['Chemicals & Pharma'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Power Engineering (India) Private Limited,October 2026 | Q1 2027,October 2026=['Manufacturing'] | Q1 2027=['Energy'],"October 2026=['Long Term Facilities', 'Short Term Bank Facilities'] | Q1 2027=['Long Term Facilities', 'Short Term Bank Facilities']",True
Q-Line Biotech Ltd.,October 2026 | Q2 2027,October 2026=['Healthcare'] | Q2 2027=['Chemicals & Pharma'],"October 2026=['Bank Guarantee', 'Letter of Credit', 'Term Loan'] | Q2 2027=['Bank Guarantee', 'Letter Of credit', 'Term loans']",True
R M Drip & Sprinklers Systems Ltd.,October 2026 | Q2 2027,October 2026=['Paper/Packaging'] | Q2 2027=['IT/Technology'],"October 2026=['Bank Guarantee', 'Letter of Credit', 'Term Loan'] | Q2 2027=['Bank Guarantee', 'Letter Of credit', 'Term loans']",True
Saam Textiles Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],"October 2026=['Letter of Credit', 'Term Loan'] | Q2 2027=['Letter Of credit', 'Term loans']",True
Safal Seeds & Biotech Ltd.,October 2026 | Q2 2027,October 2026=['Agro & Food'] | Q2 2027=['Chemicals & Pharma'],October 2026=['Term Loan'] | Q2 2027=['Long term Loans'],True
Sainath Autolinks Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Automobiles'] | Q1 2027=['Manufacturing'],October 2026=['Term Loan'] | Q1 2027=['Term Loan'],True
Sambandam Spinning Mills Ltd.,October 2026 | Q1 2027,October 2026=['Textiles'] | Q1 2027=['Agro & Food'],"October 2026=['Bank Guarantee', 'Letter of Credit', 'Term Loan'] | Q1 2027=['Term Loan']",True
Sangram Auto Components Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Manufacturing'] | Q2 2027=['Automobiles'],October 2026=['Fund-Based'] | Q2 2027=['Fund based financial facility/instrument'],True
Shakambari Kniting Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Steel & Metals'] | Q1 2027=['Textiles'],October 2026=['Term Loan'] | Q1 2027=['Term Loan'],True
Shanmugappriya Textiles Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Shivmahal Textiles Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Construction'] | Q2 2027=['Textiles'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Shreyans Oils Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Energy'] | Q2 2027=['Agro & Food'],October 2026=['NCD/Bond'] | Q2 2027=['Non-government debt'],True
Shri Mahesh Co-operative Spinning Mills Limited,October 2026 | Q1 2027,October 2026=['Textiles'] | Q1 2027=['Agro & Food'],"October 2026=['Long Term Bank Facilities', 'Proposed Long Term/ Short Term Bank Facilities'] | Q1 2027=['Long Term Bank Facilities', 'Proposed Long Term/ Short Term Bank Facilities']",True
Sri Balambika Textile Mills Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Textiles'] | Q1 2027=['Agro & Food'],"October 2026=['Letter of Credit', 'Term Loan'] | Q1 2027=['Term Loan']",True
Sri Varadaraja Textiles Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Construction'] | Q1 2027=['Textiles'],"October 2026=['Bank Guarantee', 'Term Loan'] | Q1 2027=['Term Loan']",True
Sri Venkata Srinivasa Oils Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Energy'] | Q2 2027=['Agro & Food'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Supreme Road Transport Pvt. Ltd.,October 2026 | Q1 2027,October 2026=['Logistics'] | Q1 2027=['Construction'],October 2026=['Bank Guarantee'] | Q1 2027=['Bank Guarantee'],True
Suyash Chemical & Fertilizer Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Agro & Food'] | Q2 2027=['Chemicals & Pharma'],"October 2026=['Bank Guarantee', 'Fund-Based', 'Term Loan'] | Q2 2027=['Bank Guarantee', 'Fund based financial facility/instrument', 'Term loans']",True
Swapna Printing Works Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Steel & Metals'] | Q2 2027=['Paper/Packaging'],"October 2026=['Bank Guarantee', 'Term Loan'] | Q2 2027=['Non-government debt']",True
Swelore Engineering Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Manufacturing'] | Q2 2027=['Mining & Minerals'],October 2026=['Bank Guarantee'] | Q2 2027=['Bank Guarantee'],True
Taiko Plastic Technologies Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Chemicals & Pharma'] | Q2 2027=['IT/Technology'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Technoplast Packaging Pvt. Ltd.,October 2026 | Q1 2027 | Q2 2027,October 2026=['IT/Technology'] | Q1 2027=['IT/Technology'] | Q2 2027=['Paper/Packaging'],"October 2026=['Non-Fund-Based', 'Term Loan'] | Q1 2027=['Fund-Based'] | Q2 2027=['Non-fund based working capital limit', 'Term loans']",True
Telawne Power Equipments Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Manufacturing'] | Q2 2027=['Energy/Power'],"October 2026=['Letter of Credit', 'NCD/Bond', 'Non-Fund-Based', 'Term Loan'] | Q2 2027=['Non-government debt']",True
Travancore Titanium Products Ltd.,October 2026 | Q2 2027,October 2026=['Manufacturing'] | Q2 2027=['Mining & Minerals'],October 2026=['Term Loan'] | Q2 2027=['Long term Loans'],True
Vardhman Textile Components Ltd.,October 2026 | Q2 2027,October 2026=['Manufacturing'] | Q2 2027=['Textiles'],October 2026=['Term Loan'] | Q2 2027=['Term loans'],True
Vimal Coal Pvt. Ltd.,October 2026 | Q2 2027,October 2026=['Energy'] | Q2 2027=['Mining & Minerals'],"October 2026=['Letter of Credit', 'NCD/Bond'] | Q2 2027=['Letter Of credit', 'Non-government debt']",True
