Company Name,Rating Date,Instrument,Size,Current Rating,Urgency,Data Source,INC Flag
Sri Rama Educational Trust,2024-02-21,Fund Based Bank Facilities - Proposed Term Loans,Rs. 45.00 Cr.,IVR BB+,HIGH,Infomerics,NO
Sri Rama Educational Trust,2024-02-21,Fund Based Bank Facilities Proposed Cash Credit,Rs. 20.00 Cr.,IVR BB+,HIGH,Infomerics,NO
G.H. Raisoni Educational and Medical Foundation,2023-01-25,Long Term Bank Facilities,Rs. 13.00 Cr.,Withdrawn,HIGH,Infomerics,NO
Sanaka Educational Trust,2024-12-30,Long Term Bank Facilities,Rs. 159.19 Cr. (reduced from Rs. 164.78 Cr.),IVR BBB+ (Upgraded),HIGH,Infomerics,NO
Sanaka Educational Trust,2024-12-30,Short Term Bank Facilities,Rs. 65.00 Cr. (enhanced from Rs. 10.25 Cr.),IVR A2 (Upgraded),HIGH,Infomerics,NO
Babu Banarasi Das Educational Society,2025-11-24,Long Term Fund Based Bank Facilities,Rs. 40.42 Cr.,IVR BB- (INC)(Downgraded),MEDIUM,Infomerics,YES
Vidya Vikas Education Trust,2025-04-22,Long Term Bank Facilities,Rs. 119.50 Cr. (Enhanced from Rs. 66.50 Crore),IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
United Ciigma Institute of Medical Sciences Private Limited,2025-02-21,Long Term Facilities,Rs. 158.82 Cr.,IVR BB- (INC)(Downgraded),HIGH,Infomerics,YES
Guru Nanak Educational Society,2025-09-08,Long Term Bank Facilities,Rs. 52.43 Cr.,IVR B (INC)(Downgraded),MEDIUM,Infomerics,YES
Shri Gangajali Education Society,2025-05-14,Long Term Bank Facilities,Rs. 53.20 Cr.,IVR BBB+ (Upgraded),HIGH,Infomerics,NO
Shri Gangajali Education Society,2025-05-14,Short Term Bank Facilities,-,Withdrawn,HIGH,Infomerics,NO
Ambience Education Society,2024-10-30,Long Term Bank Facilities,Nil (Previous rated amount Rs.4.33 crore),Withdrawn,HIGH,Infomerics,NO
Sri Bhagawan Mahaveer Jain Educational and Cultural Trust,2023-05-09,Long Term Facility - Fund Based,Rs. 468.82 Cr.,IVR BBB+ (Revised)(Withdrawn),HIGH,Infomerics,NO
Sri Bhagawan Mahaveer Jain Educational and Cultural Trust,2023-05-09,Long Term Bank Facilities - Proposed Term Loans,Rs. 11.18 Cr.,IVR BBB+ (Revised)(Withdrawn),HIGH,Infomerics,NO
Sri Bhagawan Mahaveer Jain Educational and Cultural Trust,2023-05-09,Short Term Bank Facilities,Rs. 20.00 Cr.,IVR A2 (Revised)(Withdrawn),HIGH,Infomerics,NO
SML Supervalue Education Private Limited,2025-04-22,Long Term Bank Facilities,Rs. 13.55 Cr. (Enhanced from Rs. 1.82 Crore),IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
Universal Education Foundation,2025-04-22,Long Term Bank Facilities,Rs. 42.20 Cr. (Reduced from Rs.46.40 Crore),IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
National Education Society,2025-04-22,Long Term Bank Facilities,Rs. 101.09 Cr. (reduced from Rs.106.29 crore),IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
Smt. Shakuntla Educational and Welfare Society,2025-02-20,Long Term Bank Facilities,Rs. 50.00 Cr.,IVR A- (Upgraded),HIGH,Infomerics,NO
Master Nihal Singh Memorial Education Society,2025-03-21,Long Term Bank Facilities,Rs. 71.59 Cr.,IVR B (Reaffirmed),HIGH,Infomerics,NO
Bombay Education Trust,2025-05-19,Long Term Bank Facilities,Rs. 106.00 Cr.,IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
TKR Educational Society,2025-07-31,Long Term/Short Bank Facilities,Rs. 20.00 Cr.,IVR BB+/IVR A4+; (Upgraded),MEDIUM,Infomerics,NO
Rukmini Educational Charitable Trust,2025-07-29,Long Term Bank Facilities,Rs. 180.63 Cr. (Reduced from Rs. 207.13 crore),IVR BBB+ (Upgraded),MEDIUM,Infomerics,NO
Rukmini Educational Charitable Trust,2025-07-29,Short Term Bank Facilities,Rs. 10.00 Cr.,IVR A2 (Upgraded),MEDIUM,Infomerics,NO
Rajalakshmi Education Trust,2025-02-11,Long Term Bank Facilities,Rs. 223.32 Cr. (Enhanced from Rs. 187.71 Cr.),IVR BBB+ (Upgraded),HIGH,Infomerics,NO
Rajalakshmi Education Trust,2025-02-11,Short Term Bank Facilities,Rs. 71.00 Cr. (Enhanced from Rs. 64.00 Cr.),IVR A2 (Upgraded),HIGH,Infomerics,NO
Indian School Finance Company Private Limited,2023-01-23,Proposed Non Convertible Debentures,Rs. 50.00 Cr.,Withdrawn,HIGH,Infomerics,NO
Sree Vidyanikethan Educational Trust,2025-03-20,Long Term Bank Facilities,Rs. 147.23 Cr. (enhanced from Rs. 103.05 Cr.),IVR BBB (Upgraded),HIGH,Infomerics,NO
Raman Education Society,2025-09-24,Long Term Bank Facilities,Rs. 40.00 Cr.,IVR B- (INC)(Downgraded),MEDIUM,Infomerics,YES
Dashmesh Educational Charitable Trust,2023-10-11,Long Term Bank Facilities,-,Withdrawn,HIGH,Infomerics,NO
Dashmesh Educational Charitable Trust,2023-10-11,Short Term Bank Facilities,-,Withdrawn,HIGH,Infomerics,NO
Shree Chanakya Education Society,2026-02-04,Long Term Bank Facilities,Rs. 198.61 Cr. (increased from Rs. 141.61 Cr.),IVR BBB (Upgraded),LOW,Infomerics,NO
The Abraham Memorial Educational Trust,2025-04-22,Long Term Bank Facilities,Rs. 72.58 Cr. (Reduced from Rs.77.00 crore),IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
KC Montessori Educational Society,2025-05-08,Long Term Bank Facilities,Nil (Previous rated amount Rs.100.00 crore),Withdrawn,HIGH,Infomerics,NO
KC Montessori Educational Society,2025-05-08,Short Term Bank Facilities,Nil (Previous rated amount Rs.2.00 crore),Withdrawn,HIGH,Infomerics,NO
JMJ Charitable Education Society,2025-02-24,Long Term Facility - Fund Based - Proposed Term Loan,Rs. 20.00 Cr.,IVR B+ (INC)(Downgraded),HIGH,Infomerics,YES
Resona Hospitals & Research Institute Limited,2025-05-16,Long Term Facilities,0.00 (Reduced from Rs. 32.00 Cr.),Withdrawn,HIGH,Infomerics,NO
Arete Institute of Medical Sciences Private Limited,2025-04-04,Long Term Bank Facilities,Rs. 96.00 Cr.,IVR B (INC)(Downgraded),HIGH,Infomerics,YES
Gandhi Institute of Technology and Management,2025-06-11,Long Term Facilities,Rs. 1112.16 Cr. (Enhanced from Rs. 862.93 Crore),IVR A (Upgraded),HIGH,Infomerics,NO
Gandhi Institute of Technology and Management,2025-06-11,Short Term Facilities,Rs. 28.50 Cr.,IVR A1 (Reaffirmed),HIGH,Infomerics,NO
Vidyanidhi Education Trust,2025-12-11,Long Term Facilities,Rs. 58.32 Cr. (Reduced from Rs. 69.43 Cr.),IVR BB+ (Reaffirmed),MEDIUM,Infomerics,NO
Vidyanidhi Education Trust,2025-12-11,Short Term Facilities,Rs. 10.00 Cr.,IVR A4+ (Reaffirmed),MEDIUM,Infomerics,NO
Sri Rajeshwara Educational Society,2025-02-27,Long Term Bank Facilities,Rs. 86.54 Cr. (Enhanced from Rs. 80.32 crore),IVR BBB- (Upgraded),HIGH,Infomerics,NO
Genesis Institute of Medical Science Private Limited,2024-11-29,Term Loans,-,Withdrawn,HIGH,Infomerics,NO
Genesis Institute of Medical Science Private Limited,2024-11-29,GECL,-,Withdrawn,HIGH,Infomerics,NO
Genesis Institute of Medical Science Private Limited,2024-11-29,Bank Guarantee,-,Withdrawn,HIGH,Infomerics,NO
Genesis Institute of Medical Science Private Limited,2024-11-29,Equipment Finance Loan,-,Withdrawn,HIGH,Infomerics,NO
Genesis Institute of Medical Science Private Limited,2024-11-29,Proposed Overdraft,-,Withdrawn,HIGH,Infomerics,NO
Maruti Educational Trust,2025-12-12,Long Term Bank Facilities,Rs. 175.00 Cr.,IVR BB (INC)(Downgraded),MEDIUM,Infomerics,YES
Maruti Educational Trust,2025-12-12,Short Term Bank Facilities,Rs. 45.00 Cr.,IVR A4 (INC)(Downgraded),MEDIUM,Infomerics,YES
Sanskriti Society for Education Research & Development,2024-12-06,Long Term Bank Facilities,Rs. 48.45 Cr.,IVR BBB (Reaffirmed),HIGH,Infomerics,NO
Sanskriti Society for Education Research & Development,2024-12-06,Short Term Bank Facilities,Rs. 30.82 Cr.,IVR A3+ (Reaffirmed),HIGH,Infomerics,NO
Sanskriti Society for Education Research & Development,2024-12-06,Proposed Short Term/Long Term Facility,Rs. 20.73 Cr.,IVR BBB/ IVR A3+ (Assigned),HIGH,Infomerics,NO
Blue Wheel National Health Care and Educational Trust,2026-01-21,Long Term Bank Facility,Rs. 67.00 Cr.,IVR BB+ (INC and Withdrawn),LOW,Infomerics,NO
Jassar Dental Medical Education Health Foundation Limited,2024-12-11,Long Term Bank Facilities,Rs. 40.80 Cr.,IVR BBB (Assigned),HIGH,Infomerics,NO
Jassar Dental Medical Education Health Foundation Limited,2024-12-11,Short Term Bank Facilities,Rs. 24.00 Cr.,IVR A3+ (Assigned),HIGH,Infomerics,NO
Gyan Chetna Educational Society,2024-12-18,Long Term Bank Facilities,Rs. 99.00 Cr.,IVR BB+ (Assigned),HIGH,Infomerics,NO
Gyan Chetna Educational Society,2024-12-18,Short Term Bank Facilities,Rs. 10.50 Cr.,IVR A4+ (Assigned),HIGH,Infomerics,NO
Sri Manakula Vinayaga Educational Trust,2025-01-02,Long Term Facilities,Rs. 193.30 Cr.,IVR BBB- (Assigned),HIGH,Infomerics,NO
Sri Manakula Vinayaga Educational Trust,2025-01-02,Short Term Facilities,Rs. 14.45 Cr.,IVR A3 (Assigned),HIGH,Infomerics,NO
Viswabharathi Educational Society,2025-01-08,Long Term Facilities,Rs. 134.62 Cr.,IVR BB+ (Assigned),HIGH,Infomerics,NO
Ayushmati Education and Social Society,2025-02-06,Long Term Bank Facility,Rs. 33.00 Cr.,IVR BBB (Assigned),HIGH,Infomerics,NO
Bolar Education Trust,2025-04-24,Long Term Bank Facilities,Rs. 26.21 Cr.,IVR BBB- (Assigned),HIGH,Infomerics,NO
Shreeji Education Trust,2025-05-19,Long Term Bank Facilities,Rs. 196.00 Cr.,IVR BBB- (Reaffirmed),HIGH,Infomerics,NO
Jaro Institute of Technology Management and Research Limited,2025-09-04,Long Term Bank Facilities,Rs. 55.00 Cr.,IVR A- (Assigned),MEDIUM,Infomerics,NO
Jaro Institute of Technology Management and Research Limited,2025-09-04,Proposed Long Term Bank Facilities,Rs. 5.00 Cr.,IVR A- (Assigned),MEDIUM,Infomerics,NO
Sri Swaminatha Naidu Educational Trust,2026-02-04,Long Term Facilities,Rs. 72.00 Cr.,IVR BBB (Assigned),LOW,Infomerics,NO
Alpha Foundation for Education and Research,2025-04-22,Long Term Bank Facility,Rs. 62.39 Cr. (reduced from Rs.67.90 crore),IVR BBB+ (Reaffirmed),HIGH,Infomerics,NO
Ramade Memorial Medicare and Research Institute Private Limited,2025-06-13,Long Term Facilities,Rs. 26.96 Cr. (Enhanced from Rs. 8.06 Cr.),IVR BBB- (Reaffirmed),HIGH,Infomerics,NO
Padmashri Institute of Medical Science & Research Centre Private Limited,2025-04-22,Long Term Bank Facilities,Rs. 90.00 Cr.,IVR BB- (Assigned),HIGH,Infomerics,NO
IBC Knowledge Park Private Limited,2025-05-27,Long Term Facilities,Rs. 1380.46 Cr. (Enhanced from Rs. 1177.43 Cr.),IVR A (Reaffirmed),HIGH,Infomerics,NO
Shri Astha Foundation for Education Society,2025-08-12,Long Term Bank Facilities,Rs. 75.62 Cr.,IVR BB (INC)(Downgraded),MEDIUM,Infomerics,YES
Shri Astha Foundation for Education Society,2025-08-12,Short Term Bank Facilities,Rs. 20.00 Cr.,IVR A4 (INC)(Downgraded),MEDIUM,Infomerics,YES
Jaya Educational Society,2025-07-28,Long Term Facilities,Rs. 36.17 Cr.,IVR BB+ (INC)(Downgraded),MEDIUM,Infomerics,YES
Satyam Educational Health and Charitable Trust,2025-09-08,Long Term Bank Facilities,Rs. 232.00 Cr.,IVR BBB- (Reaffirmed),MEDIUM,Infomerics,NO
Satyam Educational Health and Charitable Trust,2025-09-08,Short Term Bank Facilities,Rs. 10.00 Cr.,IVR A3 (Reaffirmed),MEDIUM,Infomerics,NO
SIBIN Learning Cart Private Limited,2025-09-26,Long Term Bank Facilities,Rs. 35.00 Cr. (Enhanced from Rs. 25.00 Crore),IVR BBB (Upgraded),MEDIUM,Infomerics,NO
