Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle,New_Sector
Gagan Ferrotech Ltd.,ACUITE | Infomerics,2,ACUITE,Bank Guarantee | Letter Of credit | Long term Loans,Long term Loans,A+,Withdrawn,2025-05-30,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Steel/Metals
Garg Acrylics Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 4,Downgraded,2025-06-13,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Greenvision Technologies Pvt. Ltd.,BRICKWORK | IND-RA,2,BRICKWORK,Letter Of credit | Non-fund based working capital limit | Term loans,Letter Of credit,A 4,Withdrawn,2025-05-26,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,IT/Software
Harikripa Business Venture Pvt. Ltd.,CARE | ICRA,2,ICRA,Letter Of credit | Non-government debt | Term loans,Non-government debt,D,Reaffirmed,2025-05-16,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Instapower Ltd.,BRICKWORK | CARE,2,CARE,Bank Guarantee | Letter Of credit,Bank Guarantee,A 4,Reaffirmed,2025-06-11,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Energy/Power
L N Malviya Infra Projects Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-05-28,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
Landmark Veneers Pvt. Ltd.,ICRA | Infomerics,2,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-05-09,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Medico Remedies Ltd.,BRICKWORK | CRISIL,2,CRISIL,Bank Guarantee | Letter Of credit | Term loans,Letter Of credit,A 3,Reaffirmed,2025-05-30,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
My Car Pvt. Ltd.,CRISIL | Infomerics,2,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,A 4,Reaffirmed,2025-05-30,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Nextgen Printers Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-06-10,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Omkar Speciality Chemicals Ltd.,BRICKWORK | CRISIL,2,CRISIL,Letter Of credit | Long term Loans | Term loans,Letter Of credit,D,Reaffirmed,2025-05-30,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Pandit Automobiles Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-06-02,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Automobiles/Auto
Pibco Enterprises Pvt. Ltd.,BRICKWORK | CARE,2,CARE,Term loans,Term loans,C,Reaffirmed,2025-05-20,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Primuss Metroll Ltd.,BRICKWORK | ICRA,2,BRICKWORK,Bank Guarantee | Non-government debt | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-30,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Pristine Commercials Pvt. Ltd.,ICRA | Infomerics,2,ICRA,Non-government debt,Non-government debt,B+/A4,Withdrawn,2025-06-04,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Real Grow Exims Pvt. Ltd.,BRICKWORK | CARE,2,CARE,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-06-12,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Saket Infraprojects Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Bank Guarantee | Letter Of credit,Bank Guarantee,A 4,Reaffirmed,2025-05-23,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
Shakambhari Overseas Trades Pvt. Ltd.,ACUITE | BRICKWORK | Infomerics,3,BRICKWORK,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 4,Reaffirmed,2025-06-10,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (3 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Shree Shankar Vijay Timber Exports Pvt. Ltd.,ACUITE | CARE,2,CARE,Bank Guarantee | Letter Of credit | Long term Loans | Non-government debt,Bank Guarantee,D,Downgraded,2025-05-14,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Trading/Exports
Shree Sita Pulses Pvt. Ltd.,CARE | CRISIL,2,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-06-10,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Agro/Food
Shreeji Cotfab Ltd.,ACUITE | CRISIL,2,ACUITE,Long term Loans | Term loans,Term loans,B+,Downgraded,2025-06-10,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Textiles
Shreem Electric Ltd.,CARE | Infomerics,2,CARE,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-16,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Shri Gautam Shipbreaking Inds. Pvt. Ltd.,CARE | CRISIL,2,CARE,Bank Guarantee | Letter Of credit | Non-government debt,Non-government debt,BB+/A4+,Downgraded,2025-06-06,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Shri Gurudatt Sugars Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,A 4,Withdrawn,2025-06-05,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Agro/Food
Sigma Chemtrade Pvt. Ltd.,CRISIL | IND-RA,2,CRISIL,Bank Guarantee | Letter Of credit | Non-fund based working capital limit | Non-fund-based financial facility/instrument,Bank Guarantee,A 4+,Downgraded,2025-06-05,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Siti Networks Ltd.,BRICKWORK | CARE,2,CARE,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-30,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Telecom
Supermax Personal Care Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,Bank Guarantee,D,Reaffirmed,2025-05-08,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Svarrnim Infrastructures Pvt. Ltd.,BRICKWORK | IND-RA,2,BRICKWORK,Bank Guarantee | Non-fund based working capital limit,Bank Guarantee,D,Downgraded,2025-05-23,HIGH,6,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
Uma Spintex India Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Term loans,Term loans,B-,Downgraded,2025-05-20,HIGH,6,YES,Other,Both,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Textiles
A B Crops Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
A B Infra Invsts. Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
A B S Fujitsu General Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-30,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
A B World Trade Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
A G Conveying Systems Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-21,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,IT/Software
A G Fats Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B,Downgraded,2025-06-12,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Agro/Food
A J R Infra & Tolling Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,D,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
A S A Agrotech Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Non-government debt,Non-government debt,B-/A4,Downgraded,2025-06-05,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Agro/Food
A V I Ansh Enterprises Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Fund based financial facility/instrument,Fund based financial facility/instrument,C,Downgraded,2025-05-28,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
A V Rambabu Infra Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-06-09,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
A1 Chips & Exports (India) Pvt. Ltd.,CARE,1,CARE,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Aadi Polymers Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Aakash Exploration Services Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,BB+/A4+,Downgraded,2025-06-02,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Abhilasha Jewellers Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-06-11,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Jewellery/Gems
Abil Chempharma Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-05-16,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Accutime Logistics Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans,Long term Loans,C,Reaffirmed,2025-06-10,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Logistics
Ace Infotexis Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 4+,Reaffirmed,2025-05-23,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Adorn Speciality Polymers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument,B-,Downgraded,2025-06-09,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Aircon Engineers Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-05-14,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Airwave International Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,D,Reaffirmed,2025-06-10,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Ajay Builders Engineers & Construction Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee,Bank Guarantee,A 4,Downgraded,2025-05-19,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Construction
Alaska Fabtech Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-05-21,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,IT/Software
Alfara'A Infraprojects Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee,D,Reaffirmed,2025-05-29,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Infrastructure
Aliens Developers Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans,Bank Guarantee,D,Reaffirmed,2025-05-30,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Construction
Alpine Knits (India) Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-05-22,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Textiles
Alpine Polyrub Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 4,Reaffirmed,2025-05-28,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Ambica Spintex Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-05-26,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Textiles
Amkap Marketing Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-05-21,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Amrutva Exports Pvt. Ltd.,CRISIL,1,CRISIL,Short-term loan,Short-term loan,A 4,Reaffirmed,2025-05-29,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Trading/Exports
Anant Dudh Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,D,Reaffirmed,2025-05-30,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Annanya Interface & Controls Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-05-26,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Arihant Retail Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Non-government debt,Non-government debt,D,Downgraded,2025-05-13,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Media/Retail
Arjav Diamonds (India) Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans,Long term Loans,C,Reaffirmed,2025-06-10,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Jewellery/Gems
Arjuna Natural Pvt. Ltd.,ACUITE,1,ACUITE,Term loans,Term loans,BB-,Withdrawn,2025-05-30,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
Arupadai Arulmurugan Spinners Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,B-,Reaffirmed,2025-05-22,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Textiles
Ashiana Ispat Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,D,Reaffirmed,2025-06-13,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Steel/Metals
Asian Beverage Pvt. Ltd.,ACUITE,1,ACUITE,Letter Of credit | Long term Loans | Term loans,Letter Of credit,D,Reaffirmed,2025-05-21,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Agro/Food
Asian Fertilizers Ltd.,BRICKWORK,1,BRICKWORK,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument,B-,Downgraded,2025-06-05,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Chemicals/Pharma
Asian Multiplexes Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,BB+,Downgraded,2025-05-29,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Media/Retail
Asiatic Electrical & Switchgear Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit | Term loans,Non-fund based working capital limit,D,Withdrawn,2025-05-16,HIGH,5,YES,Other,D365,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,Other (Unclassified)
