Company Name,BFSI_Sub,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_NBFC
Andhra Pradesh Power Finance Corpn. Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,D,2025-08-19,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Ashray Microfinance Ltd.,MFI,CRISIL,Long term Loans,B,2025-10-14,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Capital Controls India Pvt. Ltd.,NBFC,CRISIL,Bank Guarantee,D,2025-10-13,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Capital Photo Service Pvt. Ltd.,NBFC,CARE,Bank Guarantee,A 4,2025-07-07,MEDIUM,4,YES,CARE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Essel Finance Business Loans Ltd.,NBFC,ACUITE,Long term Loans,D,2025-09-30,MEDIUM,4,YES,ACUITE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Exclusive Leasing & Finance Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB-,2025-11-26,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Frontier Capital Ltd.,NBFC,BRICKWORK,Term loans,C,2025-09-02,MEDIUM,4,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Genesis Finance Co. Ltd.,NBFC,BRICKWORK,Term loans,B,2025-12-05,MEDIUM,4,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Inditrade Fincorp Ltd.,NBFC,ACUITE,Term loans,D,2025-10-10,MEDIUM,4,YES,ACUITE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Intec Capital Ltd.,NBFC,CARE,Fund based financial facility/instrument,D,2025-06-20,MEDIUM,4,YES,CARE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
K M Global Credit Pvt. Ltd.,NBFC,ACUITE,Term loans,BB+,2025-09-24,MEDIUM,4,YES,ACUITE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
L R N Finance Ltd.,NBFC,CRISIL,Long term Loans,D,2025-06-24,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Peerless General Finance & Invst. Co. Ltd.,NBFC,CRISIL,Long term Loans,BBB+,2025-09-25,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Rama Ferro Alloys & Finance Pvt. Ltd.,NBFC,CRISIL,Letter Of credit,A 4,2025-06-16,MEDIUM,4,YES,CRISIL,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Sabarmati Capital Two Ltd.,NBFC,BRICKWORK,Term loans,D,2025-07-07,MEDIUM,4,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
United Overseas Finance Ltd.,NBFC,ACUITE,Long term Loans,B+,2025-06-23,MEDIUM,4,YES,ACUITE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
V F S Capital Ltd.,NBFC,ACUITE,Term loans,BB+,2025-09-15,MEDIUM,4,YES,ACUITE,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Valvaya Capital Pvt. Ltd.,NBFC,BRICKWORK,Bank Guarantee,A 4,2025-07-03,MEDIUM,4,YES,BRICKWORK,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Green Malabar Finance Ventures Limited,NBFC,Infomerics,Long Term Fund Based Facility - Term Loans,IVR BB (INC)(Downgraded),2025-08-13,MEDIUM,4,YES,Infomerics,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Inditrade Microfinance Limited,MFI,Infomerics,Long Term Fund-Based Term loan,IVR D (INC)(Reaffirmed),2025-09-23,MEDIUM,4,YES,Infomerics,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Shree Biradev Finance Private Limited,NBFC,Infomerics,Fund based - Long Term Bank Facilities - CC/OD,IVR BB+(INC) (Downgraded),2025-10-27,MEDIUM,4,YES,Infomerics,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
VFS Capital Limited,NBFC,Infomerics,Fund Based - Long Term Bank Facilities â€“ Term Loans,IVR D (INC) (Downgraded),2025-11-21,MEDIUM,4,YES,Infomerics,1,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
A Y E Finance Ltd.,NBFC,ICRA,Long term Loans,A,2025-11-12,MEDIUM,3,NO,ICRA | IND-RA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aadhar Housing Finance Ltd.,HFC,IND-RA,Term loans,AA,2025-09-02,MEDIUM,3,NO,CARE | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Ananya Finance For Inclusive Growth Pvt. Ltd.,NBFC,ACUITE,Long term Loans,BB+,2025-11-11,MEDIUM,3,NO,ACUITE | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Apac Financial Services Pvt. Ltd.,NBFC,ACUITE,Long term Loans,A+,2025-09-10,MEDIUM,3,NO,ACUITE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aptus Value Housing Finance India Ltd.,HFC,ICRA,Term loans,AA,2025-08-13,MEDIUM,3,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Arthan Finance Pvt. Ltd.,NBFC,ACUITE,Term loans,BB+,2025-12-12,MEDIUM,3,NO,ACUITE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aseem Infrastructure Finance Ltd.,NBFC,CARE,Long term Loans,AA+,2025-11-17,MEDIUM,3,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Axis Finance Ltd.,NBFC,CARE,Debentures / Bonds / notes / bills,PP-MLD AAA,2025-12-05,MEDIUM,3,NO,CARE | CRISIL | IND-RA,3,Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Capital India Finance Ltd.,NBFC,ACUITE,Long term Loans,A-,2025-09-29,MEDIUM,3,NO,ACUITE | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Criss Financial Ltd.,NBFC,ICRA,Term loans,BBB,2025-08-26,MEDIUM,3,NO,ICRA | IND-RA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Edelweiss Retail Finance Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,A,2025-10-28,MEDIUM,3,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
G I C Housing Finance Ltd.,HFC,CRISIL,Long term Loans,AA+,2025-10-20,MEDIUM,3,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Hinduja Housing Finance Ltd.,HFC,CARE,Non-government debt,AA+/A1+,2025-11-06,MEDIUM,3,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Home Credit India Finance Pvt. Ltd.,NBFC,CARE,Fund based financial facility/instrument,AA,2025-10-09,MEDIUM,3,NO,CARE | IND-RA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I I F L Capital Services Ltd.,NBFC,ICRA,Non-government debt,A 1+,2025-11-28,MEDIUM,3,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
L & T Finance Ltd.,NBFC,ICRA,Debentures / Bonds / notes / bills,PP-MLD AAA,2025-12-11,MEDIUM,3,NO,CARE | CRISIL | ICRA | IND-RA,4,Multi-agency (4 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Maanaveeya Development & Finance Pvt. Ltd.,NBFC,CARE,Term loans,A-,2025-09-08,MEDIUM,3,NO,CARE | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Mahaveer Finance India Ltd.,NBFC,ICRA,Term loans,BBB+,2025-11-26,MEDIUM,3,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Master Capital Services Ltd.,NBFC,ICRA,Non-fund-based financial facility/instrument,A 2+,2025-12-09,MEDIUM,3,NO,CRISIL | ICRA | Infomerics,3,Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Moneywise Financial Services Pvt. Ltd.,NBFC,ICRA,Debentures / Bonds / notes / bills,PP-MLD A-,2025-07-29,MEDIUM,3,NO,ICRA | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Motilal Oswal Home Finance Ltd.,HFC,IND-RA,Term loans,AA,2025-09-16,MEDIUM,3,NO,CRISIL | IND-RA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Nabkisan Finance Ltd.,NBFC,CARE,Debentures / Bonds / notes / bills,AAA,2025-08-20,MEDIUM,3,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
P N B Housing Finance Ltd.,HFC,ICRA,Debentures / Bonds / notes / bills,AA+,2025-11-27,MEDIUM,3,NO,CARE | CRISIL | ICRA | IND-RA,4,Multi-agency (4 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Paisabuddy Finance Pvt. Ltd.,NBFC,CARE,Term loans,BBB-,2025-10-13,MEDIUM,3,NO,CARE | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Paul Merchants Finance Pvt. Ltd.,NBFC,ACUITE,Long term Loans,A-,2025-12-11,MEDIUM,3,NO,ACUITE | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Repco Home Finance Ltd.,HFC,ICRA,Term loans,AA-,2025-10-09,MEDIUM,3,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Shapoorji Pallonji Finance Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB+,2025-07-25,MEDIUM,3,NO,CRISIL | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Sundaram Finance Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,AAA,2025-08-28,MEDIUM,3,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Svamaan Financial Services Pvt. Ltd.,NBFC,CARE,Term loans,A,2025-09-03,MEDIUM,3,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Tata Capital Housing Finance Ltd.,HFC,IND-RA,Debentures / Bonds / notes / bills,AAA,2025-10-23,MEDIUM,3,NO,CRISIL | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Uttrayan Financial Services Pvt. Ltd.,NBFC,CARE,Fund based financial facility/instrument,BB+,2025-08-21,MEDIUM,3,NO,CARE | Infomerics,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Vastu Housing Finance Corpn. Ltd.,HFC,ICRA,Fund based financial facility/instrument,AA-,2025-07-22,MEDIUM,3,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
5Paisa Capital Ltd.,NBFC,CRISIL,Long term Loans,A+,2025-08-26,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
A K Capital Services Ltd.,NBFC,ACUITE,Long term Loans,AA-,2025-09-25,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Abans Finance Pvt. Ltd.,NBFC,ACUITE,Debentures / Bonds / notes / bills,PP-MLD BBB+,2025-10-03,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Altum Credo Home Finance Pvt. Ltd.,HFC,CARE,Fund based financial facility/instrument,BBB+,2025-07-01,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Andhra Pradesh State Financial Corpn.,NBFC,IND-RA,Term loans,BB+,2025-09-18,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Anik Financial Services Pvt. Ltd.,NBFC,ACUITE,Long term Loans,BB,2025-09-01,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Art Housing Finance (India) Ltd.,HFC,CARE,Fund based financial facility/instrument,BB+,2025-10-24,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Belstar Microfinance Ltd.,MFI,CRISIL,Long term Loans,AA,2025-06-17,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),"MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments"
Berar Finance Ltd.,NBFC,CRISIL,Long term Loans,BBB+,2025-08-20,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Bhanix Finance & Invst. Ltd.,NBFC,ICRA,Fund based financial facility/instrument,BBB-,2025-11-28,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Caparo Financial Solutions Ltd.,NBFC,CRISIL,Long term Loans,BBB-,2025-06-20,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Capital Business Systems Pvt. Ltd.,NBFC,CRISIL,Bank Guarantee,A 2,2025-10-17,MEDIUM,2,NO,CRISIL,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Capital India Home Loans Ltd.,NBFC,ACUITE,Long term Loans,A-,2025-12-04,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Centrum Housing Finance Ltd.,HFC,CARE,Term loans,A-,2025-09-01,MEDIUM,2,NO,CARE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Chemm Finance Ltd.,NBFC,IND-RA,Term loans,B+,2025-11-04,MEDIUM,2,NO,IND-RA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Emkay Global Financial Services Ltd.,NBFC,ICRA,Bank Guarantee,A 2+,2025-08-07,MEDIUM,2,NO,ICRA,1,Approaching renewal (6-12 months),RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Family Home Finance Pvt. Ltd.,HFC,ACUITE,Long term Loans,AA-,2025-09-25,MEDIUM,2,NO,ACUITE,1,Approaching renewal (6-12 months),NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
