Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Gujral Roadways Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-10-30,MEDIUM,Logistics,YES,CARE | IND-RA,2,Bank Guarantee | Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Om Sharda Logistics Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-11-04,MEDIUM,Logistics,YES,CARE | CRISIL,2,Bank Guarantee,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sanatan Logistics Pvt. Ltd.,Non-government debt,IND-RA,B/A4,2025-08-21,MEDIUM,Logistics,YES,CRISIL | IND-RA,2,Bank Guarantee | Non-government debt,Downgraded,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sical Logistics Ltd.,Bank Guarantee,BRICKWORK,D,2025-10-09,MEDIUM,Logistics,YES,BRICKWORK | ICRA,2,Bank Guarantee | Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Tiger Logistics (India) Ltd.,Non-government debt,CARE,B/A4,2025-10-10,MEDIUM,Logistics,YES,CARE | Infomerics,2,Non-government debt,Reaffirmed,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
A S Shipping Agencies Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-11,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Ailsinghani Transport Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-11-24,MEDIUM,Logistics,YES,IND-RA,1,Non-government debt,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Amrut Dredging & Shipping Ltd.,Bank Guarantee,CRISIL,A 4,2025-09-09,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Asianol Shipping Ltd.,Bank Guarantee,CRISIL,A 4,2025-12-10,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
B F C L Terminal Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-17,MEDIUM,Logistics,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Bhambhani Shipping Ltd.,Bank Guarantee,CRISIL,A 4,2025-08-22,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Diamond Shipping Agencies Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-10-20,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Dolphin Offshore Shipping Ltd.,Long term Loans,CRISIL,C,2025-09-18,MEDIUM,Logistics,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Economic Transport Organisation Ltd.,Bank Guarantee,BRICKWORK,D,2025-11-20,MEDIUM,Logistics,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Future Supply Chain Solutions Ltd.,Term loans,CARE,D,2025-07-25,MEDIUM,Logistics,YES,CARE,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Goverdhan Transport Co. Pvt. Ltd.,Term loans,ICRA,B+,2025-07-16,MEDIUM,Logistics,YES,ICRA,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
J P Aviation Services Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-08-29,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Ligare Aviation Ltd.,Bank Guarantee,ACUITE,D,2025-09-16,MEDIUM,Logistics,YES,ACUITE,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Magnum Aviation Pvt. Ltd.,Bank Guarantee,CARE,D,2025-11-06,MEDIUM,Logistics,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Orbit Aviation Pvt. Ltd.,Term loans,BRICKWORK,D,2025-09-26,MEDIUM,Logistics,YES,BRICKWORK,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Rameshwar Transport Co Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-10-29,MEDIUM,Logistics,YES,ACUITE,1,Bank Guarantee | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sai Shipping Co. Pvt. Ltd.,Long term Loans,CRISIL,BB-,2025-11-12,MEDIUM,Logistics,YES,CRISIL,1,Long term Loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Shree Azad Transport Co. Pvt. Ltd.,Term loans,CARE,B-,2025-07-01,MEDIUM,Logistics,YES,CARE,1,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sinha Cold Storage & Warehouse Co. Pvt. Ltd.,Non-government debt,IND-RA,D,2025-08-21,MEDIUM,Logistics,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sovika Aviation Services Pvt. Ltd.,Bank Guarantee,CRISIL,D,2025-08-26,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Transport Solutions India Pvt. Ltd.,Long term Loans,CRISIL,D,2025-11-25,MEDIUM,Logistics,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
23North Logistics Solutions Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-09-09,MEDIUM,Logistics,YES,CARE,1,Non-government debt,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Avaneesh Logistics Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-10-13,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Blackstone Logistics Pvt. Ltd.,Term loans,CRISIL,B-,2025-12-11,MEDIUM,Logistics,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
C C Logistics Solutions Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-09-15,MEDIUM,Logistics,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Cargocare Logistics (India) Pvt. Ltd.,Term loans,IND-RA,B+,2025-06-25,MEDIUM,Logistics,YES,IND-RA,1,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Carrier Engineers Pvt. Ltd.,Long term Loans,CRISIL,B,2025-10-06,MEDIUM,Logistics,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Carrier Wheels Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4,2025-06-25,MEDIUM,Logistics,YES,IND-RA,1,Non-fund based working capital limit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Century Global Logistics Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-08-13,MEDIUM,Logistics,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
D R S Dilip Roadlines Ltd.,Term loans,IND-RA,B-,2025-08-21,MEDIUM,Logistics,YES,IND-RA,1,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Exult Logistics Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-10-20,MEDIUM,Logistics,YES,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Flyjac Logistics Pvt. Ltd.,Non-government debt,ICRA,A+/A1+,2025-12-11,MEDIUM,Logistics,YES,ICRA,1,Non-government debt,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Ghatge Patil Transports Pvt. Ltd.,Bank Guarantee,CARE,D,2025-06-16,MEDIUM,Logistics,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Inter India Roadways Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-08-18,MEDIUM,Logistics,YES,BRICKWORK,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Jayakumari Logistics Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-11-28,MEDIUM,Logistics,YES,BRICKWORK,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Maha Arvind Roadways Pvt. Ltd.,Term loans,IND-RA,BB-,2025-07-15,MEDIUM,Logistics,YES,IND-RA,1,Term loans,Withdrawn,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Oriental Retailers & Logistics Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-09-23,MEDIUM,Logistics,YES,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
P S T S Logistics Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-12-10,MEDIUM,Logistics,YES,BRICKWORK,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Rajendra Trucking Pvt. Ltd.,Term loans,CARE,C,2025-10-15,MEDIUM,Logistics,YES,CARE,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
S R S Travels & Logistics Pvt. Ltd.,Term loans,IND-RA,B,2025-09-11,MEDIUM,Logistics,YES,IND-RA,1,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sampark Global Logistics Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,2025-11-10,MEDIUM,Logistics,YES,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Satya Trucking Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2025-11-13,MEDIUM,Logistics,YES,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
