Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
S M P Exim Pvt. Ltd.,Long term Loans,CRISIL,B,2025-05-08,HIGH,Trading/Exports,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Star Iris Exports Pvt. Ltd.,Long term Loans,CRISIL,B,2025-06-12,HIGH,Trading/Exports,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Sutapa International Exports Pvt. Ltd.,Term loans,CRISIL,B+,2025-05-26,HIGH,Trading/Exports,YES,CRISIL,1,Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Suryamitra Exim Pvt. Ltd.,Non-government debt,CARE,BBB-/A3,2025-05-13,HIGH,Trading/Exports,NO,CARE | Infomerics,2,Non-government debt | Term loans,Withdrawn,Both,4,Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Rating overdue — ACER can complete rating faster than incumbent
Jay Keshav Exports Pvt. Ltd.,Long term Loans,CRISIL,BB+,2025-06-04,HIGH,Trading/Exports,NO,CRISIL,1,Long term Loans | Term loans,Upgraded,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Krishi Rasayan Exports Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,A-,2025-05-30,HIGH,Trading/Exports,NO,CRISIL,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Worldfa Exports Pvt. Ltd.,Bank Guarantee,CRISIL,BBB,2025-06-13,HIGH,Trading/Exports,NO,CRISIL,1,Bank Guarantee | Letter Of credit,Upgraded,D365,3,Rating overdue (>12 months),Rating overdue — ACER can complete rating faster than incumbent
Asuti Trading Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-11-12,MEDIUM,Trading/Exports,YES,CARE | CRISIL,2,Bank Guarantee | Letter Of credit | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Azad Impex Pvt. Ltd.,Letter Of credit,CRISIL,D,2025-07-11,MEDIUM,Trading/Exports,YES,CRISIL | ICRA,2,Letter Of credit | Non-fund-based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Davinder Sandhu Impex Pvt. Ltd.,Term loans,CARE,BB-,2025-07-16,MEDIUM,Trading/Exports,YES,CARE | CRISIL | Infomerics,3,Long term Loans | Term loans,Downgraded,Both,5,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Gimpex Pvt. Ltd.,Non-fund-based financial facility/instrument,BRICKWORK,A 4+,2025-09-29,MEDIUM,Trading/Exports,YES,BRICKWORK | Infomerics,2,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Withdrawn,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Grover Impex Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-08-28,MEDIUM,Trading/Exports,YES,CRISIL | IND-RA,2,Letter Of credit | Non-fund based working capital limit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Karp Impex Ltd.,Fund based financial facility/instrument,BRICKWORK,BB+,2025-08-20,MEDIUM,Trading/Exports,YES,BRICKWORK | Infomerics,2,Fund based financial facility/instrument,Reaffirmed,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Marque Impex Pvt. Ltd.,Term loans,CRISIL,BB+,2025-09-25,MEDIUM,Trading/Exports,YES,CRISIL | Infomerics,2,Term loans,Downgraded,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Millenium Exim Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-12-08,MEDIUM,Trading/Exports,YES,BRICKWORK | ICRA,2,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Mohan Mutha Exports Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-11-28,MEDIUM,Trading/Exports,YES,ICRA | Infomerics,2,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Oyster Exim Pvt. Ltd.,Term loans,IND-RA,B,2025-08-21,MEDIUM,Trading/Exports,YES,CRISIL | IND-RA,2,Bank Guarantee | Term loans,Downgraded,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Padmey Impex Pvt. Ltd.,Letter Of credit,ACUITE,D,2025-11-19,MEDIUM,Trading/Exports,YES,ACUITE | IND-RA,2,Letter Of credit | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Regin Imports & Exports Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,A 3,2025-11-25,MEDIUM,Trading/Exports,YES,CARE | CRISIL,2,Fund based financial facility/instrument | Long term Loans | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Upgraded,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
S G R Exim Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-11-17,MEDIUM,Trading/Exports,YES,BRICKWORK | IND-RA,2,Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Soubhik Exports Ltd.,Bank Guarantee,ACUITE,A 4+,2025-09-04,MEDIUM,Trading/Exports,YES,ACUITE | CRISIL,2,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Tirupati Commodities Impex Pvt. Ltd.,Bank Guarantee,CARE,D,2025-12-05,MEDIUM,Trading/Exports,YES,BRICKWORK | CARE,2,Bank Guarantee | Letter Of credit,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
A J S Impex Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-07-25,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
A O V Exports Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-10-06,MEDIUM,Trading/Exports,YES,CRISIL,1,Bank Guarantee | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Abhinandan Exports Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,MEDIUM,Trading/Exports,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Agarwal & Associates Impex Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-10-17,MEDIUM,Trading/Exports,YES,CRISIL,1,Letter Of credit | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Al-Saqib Exports Pvt. Ltd.,Non-government debt,CARE,D,2025-09-23,MEDIUM,Trading/Exports,YES,CARE,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Birmi Impex Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-08-29,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
C L R K Extractions & Exports Pvt. Ltd.,Bank Guarantee,CARE,D,2025-11-28,MEDIUM,Trading/Exports,YES,CARE,1,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Cereal Exports Pvt. Ltd.,Term loans,BRICKWORK,D,2025-06-26,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Crown Cashew Impex Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,MEDIUM,Trading/Exports,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
D P Garg Exports Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-09-10,MEDIUM,Trading/Exports,YES,CRISIL,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Devin Exim Pvt. Ltd.,Letter Of credit,BRICKWORK,D,2025-10-31,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Dhandapani Exports Pvt. Ltd.,Letter Of credit,BRICKWORK,C,2025-09-11,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Indira Exim Pvt. Ltd.,Term loans,ACUITE,B,2025-07-21,MEDIUM,Trading/Exports,YES,ACUITE,1,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Infrastil Global Impex Pvt. Ltd.,Non-government debt,CARE,B-/A4,2025-07-22,MEDIUM,Trading/Exports,YES,CARE,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
J J Poly Impex Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-11-10,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Bank Guarantee | Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Jai Gopal Intl. Impex Pvt. Ltd.,Non-government debt,CARE,A 4,2025-08-08,MEDIUM,Trading/Exports,YES,CARE,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Jajodia Exports Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B+,2025-07-25,MEDIUM,Trading/Exports,YES,CRISIL,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
K S Impex Ltd.,Long term Loans,CRISIL,D,2025-10-20,MEDIUM,Trading/Exports,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
K V R Exim Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-11-20,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Karthikeya Trading Pvt. Ltd.,Letter Of credit,CRISIL,B,2025-08-22,MEDIUM,Trading/Exports,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
King Impex Pvt. Ltd.,Term loans,IND-RA,A 4,2025-11-24,MEDIUM,Trading/Exports,YES,IND-RA,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Makalu Trading Ltd.,Letter Of credit,CRISIL,D,2025-07-14,MEDIUM,Trading/Exports,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Meghaaarika Impex Pvt. Ltd.,Letter Of credit,CARE,D,2025-11-17,MEDIUM,Trading/Exports,YES,CARE,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
N Satish Exports Pvt. Ltd.,Long term Loans,CRISIL,B,2025-09-29,MEDIUM,Trading/Exports,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Napin Impex Ltd.,Fund based financial facility/instrument,BRICKWORK,D,2025-10-24,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Noor Impex Pvt. Ltd.,Non-government debt,CARE,D,2025-09-16,MEDIUM,Trading/Exports,YES,CARE,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Oasis Overseas Exports Pvt. Ltd. [Merged],Bank Guarantee,ACUITE,A 4+,2025-07-02,MEDIUM,Trading/Exports,YES,ACUITE,1,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Originative Trading Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,2025-07-30,MEDIUM,Trading/Exports,YES,CARE,1,Fund based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Pioneer Tea & Exports Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-11-17,MEDIUM,Trading/Exports,YES,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Promising Exports Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-08-14,MEDIUM,Trading/Exports,YES,CRISIL,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
R S G Exports Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-11-24,MEDIUM,Trading/Exports,YES,IND-RA,1,Non-government debt,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Rajhans Impex Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-07-25,MEDIUM,Trading/Exports,YES,CRISIL,1,Bank Guarantee | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Ratnapriya Impex Pvt. Ltd.,Letter Of credit,CARE,D,2025-07-11,MEDIUM,Trading/Exports,YES,CARE,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Reflexions Narayani Impex Pvt. Ltd.,Non-government debt,ICRA,B/A4,2025-09-24,MEDIUM,Trading/Exports,YES,ICRA,1,Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Regency Linx Exports Pvt. Ltd.,Term loans,CRISIL,D,2025-07-25,MEDIUM,Trading/Exports,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Royal Trexim Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-11-04,MEDIUM,Trading/Exports,YES,CRISIL,1,Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
S C G Exports Pvt. Ltd.,Bank Guarantee,CARE,D,2025-11-21,MEDIUM,Trading/Exports,YES,CARE,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
S S K Exports Ltd.,Term loans,IND-RA,B,2025-09-11,MEDIUM,Trading/Exports,YES,IND-RA,1,Term loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
S T Cottex Exports Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-11-12,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Bank Guarantee | Letter Of credit | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sanchit Exports Pvt. Ltd.,Long term Loans,ACUITE,B,2025-09-16,MEDIUM,Trading/Exports,YES,ACUITE,1,Long term Loans,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sarveshwari Exports Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-10-08,MEDIUM,Trading/Exports,YES,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Snehal Impex Pvt. Ltd.,Term loans,IND-RA,B-,2025-07-18,MEDIUM,Trading/Exports,YES,IND-RA,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Stichwell Exports Pvt. Ltd.,Long term Loans,CRISIL,B,2025-07-31,MEDIUM,Trading/Exports,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Supreme (India) Impex Ltd.,Fund based financial facility/instrument,BRICKWORK,D,2025-09-22,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Surya Exim Ltd.,Bank Guarantee,CRISIL,D,2025-10-30,MEDIUM,Trading/Exports,YES,CRISIL,1,Bank Guarantee | Letter Of credit | Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Trbex Impex Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,B+,2025-07-16,MEDIUM,Trading/Exports,YES,BRICKWORK,1,Fund based financial facility/instrument | Letter Of credit,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Vinil Trading Pvt. Ltd.,Term loans,CRISIL,B,2025-07-11,MEDIUM,Trading/Exports,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Western Coffee Curers & Exports Pvt. Ltd.,Non-government debt,CARE,B+/A4,2025-11-04,MEDIUM,Trading/Exports,YES,CARE,1,Non-government debt | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Gokaldas Exports Ltd.,Term loans,ICRA,A+,2025-09-19,MEDIUM,Trading/Exports,NO,CRISIL | ICRA,2,Fund based financial facility/instrument | Letter Of credit | Non-fund-based financial facility/instrument | Term loans,Reaffirmed,D365,3,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"Multi-agency experience — pitch ACER as faster, cheaper alternative"
Green Asia Impex Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-11-14,MEDIUM,Trading/Exports,NO,BRICKWORK | Infomerics,2,Bank Guarantee | Term loans,Initial Rating,Both,3,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"Multi-agency experience — pitch ACER as faster, cheaper alternative"
Kikani Exports Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 3+,2025-11-14,MEDIUM,Trading/Exports,NO,CARE | IND-RA,2,Non-fund based working capital limit | Non-government debt | Term loans,Upgraded,D365,3,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"Multi-agency experience — pitch ACER as faster, cheaper alternative"
Sagar Grandhi Exports Pvt. Ltd.,Non-government debt,CARE,BBB+/A2,2025-09-25,MEDIUM,Trading/Exports,NO,CARE | ICRA,2,Letter Of credit | Non-government debt,Initial Rating,D365,3,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"Multi-agency experience — pitch ACER as faster, cheaper alternative"
A C P L Exports Pvt. Ltd.,Letter Of credit,ICRA,A 3+,2025-09-23,MEDIUM,Trading/Exports,NO,ICRA,1,Letter Of credit | Non-fund-based financial facility/instrument,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Al-Gyas Exports Pvt. Ltd.,Bank Guarantee,ICRA,A 4+,2025-09-04,MEDIUM,Trading/Exports,NO,ICRA,1,Bank Guarantee | Non-fund-based financial facility/instrument | Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
