Company Name,Current Raters,Rater Count,Instrument,Rating,Last Rating Date,Days Since Rating,Urgency,INC Flag,Sector,Call Today Reason,ACER Pitch Angle
R S Fuel Pvt. Ltd.,CARE,1,Non-government debt,BB-/A4,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Spell Organics Ltd.,CRISIL,1,Fund based financial facility/instrument,B+,2025-05-15,396,HIGH,YES,Other,INC — 396 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Harikripa Business Venture Pvt. Ltd.,CARE | ICRA,2,Non-government debt,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shreem Electric Ltd.,CARE | Infomerics,2,Bank Guarantee,A 4,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Abil Chempharma Pvt. Ltd.,BRICKWORK,1,Letter Of credit,A 4,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Asiatic Electrical & Switchgear Pvt. Ltd.,IND-RA,1,Non-fund based working capital limit,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Baba Naga Agro Pvt. Ltd.,BRICKWORK,1,Letter Of credit,A 4,2025-05-16,395,HIGH,YES,Agro/Food,INC — 395 days overdue | Sector: Agro/Food,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Gillco Developers & Builders Pvt. Ltd.,ICRA,1,Term loans,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Giriraj Timber Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Global Buildcon Pvt. Ltd.,ICRA,1,Non-government debt,B/A4,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
J C O Gas Pipe Ltd.,CRISIL,1,Long term Loans,B,2025-05-16,395,HIGH,YES,Steel/Metals,INC — 395 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
J R Toll Road Pvt. Ltd.,CARE,1,Term loans,D,2025-05-16,395,HIGH,YES,Construction,INC — 395 days overdue | Sector: Construction,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kanco Tea & Inds. Ltd.,ACUITE,1,Bank Guarantee,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kasturi Commodities Pvt. Ltd.,ICRA,1,Non-government debt,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Laxmi Pipes Ltd.,ACUITE,1,Term loans,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Marathon India Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Prem Conductors Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Rohtak-Hissar Tollway Pvt. Ltd.,CARE,1,Term loans,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Rohtak-Panipat Tollway Pvt. Ltd.,CARE,1,Term loans,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Rorito International Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,A 4,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Sadbhav Bangalore Highway Pvt. Ltd.,CARE,1,Term loans,D,2025-05-16,395,HIGH,YES,Construction,INC — 395 days overdue | Sector: Construction,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Sandcity Autotec Pvt. Ltd.,CARE,1,Fund based financial facility/instrument,B-,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shree Lingraj Feeds Ltd.,BRICKWORK,1,Term loans,C,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Skyway Infraprojects Pvt. Ltd.,ACUITE,1,Bank Guarantee,A 4+,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Supertech Ltd.,BRICKWORK,1,Term loans,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Tecknoweld Alloys (India) Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument,D,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Venky Hi-Tech Ispat Ltd.,ICRA,1,Non-fund-based financial facility/instrument,D,2025-05-16,395,HIGH,YES,IT/Software,INC — 395 days overdue | Sector: IT/Software,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Vision Sponge Iron Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,A 3,2025-05-16,395,HIGH,YES,Steel/Metals,INC — 395 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Yash Proteins Pvt. Ltd.,BRICKWORK,1,Term loans,C,2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Cyrix Healthcare Private Limited,Infomerics,1,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-05-16,395,HIGH,YES,Healthcare,INC — 395 days overdue | Sector: Healthcare,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
G Shankar,Infomerics,1,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Indo Global Soft Solutions and Technologies Private Limited,Infomerics,1,Long Term Bank Facilities,IVR D (INC)(Reaffirmed),2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Prestige Properties,Infomerics,1,Long Term Fund Based Bank Facilities,IVR BB+ (INC)(Downgraded),2025-05-16,395,HIGH,YES,Other,INC — 395 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ajay Builders Engineers & Construction Pvt. Ltd.,ACUITE,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Dhanashree Agro Products Pvt. Ltd.,CRISIL,1,Bank Guarantee,D,2025-05-19,392,HIGH,YES,Agro/Food,INC — 392 days overdue | Sector: Agro/Food,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Dynamicengineers Infratrack Pvt. Ltd.,CARE,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Indian Metals & Alloys Mfg. Co. Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Indigo Denim Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,D,2025-05-19,392,HIGH,YES,Textiles,INC — 392 days overdue | Sector: Textiles,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Indus Pharma Pvt. Ltd.,CRISIL,1,Letter Of credit,A 4,2025-05-19,392,HIGH,YES,Healthcare,INC — 392 days overdue | Sector: Healthcare,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
International Switchgears Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
J M J Finance Ltd.,CRISIL,1,Long term Loans,B+,2025-05-19,392,HIGH,YES,BFSI,INC — 392 days overdue | Sector: BFSI,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jaymala Spintex Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
K R V Spinning Mills Pvt. Ltd.,CRISIL,1,Long term Loans,B+,2025-05-19,392,HIGH,YES,Textiles,INC — 392 days overdue | Sector: Textiles,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kailash Prasad Yadav Constructions Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kunnel Engineers & Contractors Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Laxmi En-Fab Pvt. Ltd.,CRISIL,1,Fund based financial facility/instrument,B,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Sankhla Vinyl Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Saptagir Laboratories Pvt. Ltd.,CARE,1,Term loans,C,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shree Vasu Steels Pvt. Ltd.,BRICKWORK,1,Letter Of credit,A 4,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Solapur Tollways Pvt. Ltd.,IND-RA,1,Term loans,D,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Supra Steel & Power Pvt. Ltd.,ACUITE,1,Long term Loans,BB-,2025-05-19,392,HIGH,YES,Steel/Metals,INC — 392 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Surbhi Satcom Pvt. Ltd.,IND-RA,1,Term loans,BB,2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Finolite Ceramic,Infomerics,1,Long Term Bank Facilities,IVR C- (INC)(Downgraded),2025-05-19,392,HIGH,YES,Manufacturing,INC — 392 days overdue | Sector: Manufacturing,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jia Overseas,Infomerics,1,Long Term Bank Facility,IVR D (INC)(Reaffirmed),2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Matadin Bhagwan Dass,Infomerics,1,Long Term Bank Facility,IVR D (INC)(Reaffirmed),2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Raj Infrastructure Development India Private Limited,Infomerics,1,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-05-19,392,HIGH,YES,Construction,INC — 392 days overdue | Sector: Construction,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Suraj Infraventures Private Limited,Infomerics,1,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
YMR Nuts Private Limited,Infomerics,1,Long Term Bank Facility,IVR D (INC)(Reaffirmed),2025-05-19,392,HIGH,YES,Other,INC — 392 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Pibco Enterprises Pvt. Ltd.,BRICKWORK | CARE,2,Term loans,C,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Uma Spintex India Pvt. Ltd.,BRICKWORK | Infomerics,2,Term loans,B-,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Bajarang Cotgin Pvt. Ltd.,BRICKWORK,1,Non-government debt,D,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Frontier Springs Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Healthfore Technologies Ltd.,CARE,1,Term loans,D,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jyoti C N C Automation Ltd.,BRICKWORK,1,Non-fund-based financial facility/instrument,A 4+,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kommineni Infotech Pvt. Ltd.,CARE,1,Bank Guarantee,D,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
M C K Kutty Engineers Pvt. Ltd.,CRISIL,1,Long term Loans,B+,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nailah Chip Boards Pvt. Ltd.,CRISIL,1,Long term Loans,B+,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Prabhat Resources Ltd.,BRICKWORK,1,Fund based financial facility/instrument,D,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shri T P Textiles Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Trimurti Re-Rollers Pvt. Ltd.,CARE,1,Term loans,B-,2025-05-20,391,HIGH,YES,Other,INC — 391 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Mother Earth Environ Tech Private Limited,Infomerics,1,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-05-20,391,HIGH,YES,IT/Software,INC — 391 days overdue | Sector: IT/Software,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Seacoast Shipping Services Limited,Infomerics,1,Long Term Fund Based Limits - Cash Credit,IVR D (INC)(Reaffirmed),2025-05-20,391,HIGH,YES,Logistics,INC — 391 days overdue | Sector: Logistics,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Avadhoot Project Pvt. Ltd.,BRICKWORK | CRISIL,2,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
A G Conveying Systems Pvt. Ltd.,CRISIL,1,Bank Guarantee,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
A S C Power Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Infrastructure,INC — 390 days overdue | Sector: Infrastructure,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Abhishek Steel Inds. Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,A 4,2025-05-21,390,HIGH,YES,Steel/Metals,INC — 390 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Advait Steel Rolling Mills Pvt. Ltd.,CRISIL,1,Term loans,D,2025-05-21,390,HIGH,YES,Steel/Metals,INC — 390 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Alaska Fabtech Pvt. Ltd.,CRISIL,1,Term loans,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Amkap Marketing Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Ashish Life Science Pvt. Ltd.,CRISIL,1,Letter Of credit,A 4,2025-05-21,390,HIGH,YES,Healthcare,INC — 390 days overdue | Sector: Healthcare,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Asian Beverage Pvt. Ltd.,ACUITE,1,Letter Of credit,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Asolution Pharmaceuticals Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Britto Seafoods Exports Pvt. Ltd.,ACUITE,1,Long term Loans,B,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Electrica Engineers (India) Pvt. Ltd.,CRISIL,1,Fund based financial facility/instrument,BB+,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Glory Shipmanagement Pvt. Ltd.,CARE,1,Bank Guarantee,BB-,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
H N Construction Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
H R Rice Mills Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Agro/Food,INC — 390 days overdue | Sector: Agro/Food,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Health-Tech Chhattisgarh Pvt. Ltd.,CRISIL,1,Letter Of credit,A 4,2025-05-21,390,HIGH,YES,Healthcare,INC — 390 days overdue | Sector: Healthcare,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
High Range Coffee Curring Pvt. Ltd.,CRISIL,1,Long term Loans,B,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Imperial Fragrances Pvt. Ltd.,CRISIL,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Jindal Nickel & Alloys Ltd.,BRICKWORK,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Kiran Global Chems Ltd.,CARE,1,Non-government debt,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
M D J Texco Fab Pvt. Ltd.,BRICKWORK,1,Term loans,C,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Micronova Impex Pvt. Ltd.,BRICKWORK,1,Letter Of credit,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Moharir Motors & Services Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument,C-,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Navayuga Jahnavi Toll Bridge Pvt. Ltd.,CARE,1,Term loans,D,2025-05-21,390,HIGH,YES,Construction,INC — 390 days overdue | Sector: Construction,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nefa Breweries Pvt. Ltd.,BRICKWORK,1,Term loans,C,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nikkamal Jewels Pvt. Ltd.,BRICKWORK,1,Non-government debt,C/A4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Nipman Fastener Inds. Pvt. Ltd.,BRICKWORK,1,Term loans,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Raheja Developers Ltd.,CARE,1,Non-fund-based financial facility/instrument,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Rishabh Constructions Pvt. Ltd.,CARE,1,Non-government debt,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Sharma Videos Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument,D,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shri Annalakshmi Spinning Pvt. Ltd.,BRICKWORK,1,Letter Of credit,A 4,2025-05-21,390,HIGH,YES,Textiles,INC — 390 days overdue | Sector: Textiles,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Shubhlaxmi Casting Pvt. Ltd. [Merged],BRICKWORK,1,Bank Guarantee,A 4,2025-05-21,390,HIGH,YES,Steel/Metals,INC — 390 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Soma New Towns Pvt. Ltd.,BRICKWORK,1,Bank Guarantee,B,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Srinivasa Cotton & Oil Mills Pvt. Ltd.,CRISIL,1,Term loans,BB+,2025-05-21,390,HIGH,YES,Textiles,INC — 390 days overdue | Sector: Textiles,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Supreme Nutri Grain Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,A 4,2025-05-21,390,HIGH,YES,Agro/Food,INC — 390 days overdue | Sector: Agro/Food,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Taloja Steel Service Centre Ltd.,ICRA,1,Non-fund-based financial facility/instrument,D,2025-05-21,390,HIGH,YES,Steel/Metals,INC — 390 days overdue | Sector: Steel/Metals,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Tradeimpex Polymers (India) Pvt. Ltd.,BRICKWORK,1,Letter Of credit,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Unique Autosales Pvt. Ltd.,BRICKWORK,1,Fund based financial facility/instrument,C,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
Vertex Techno Solutions (Bangalore) Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,A 4,2025-05-21,390,HIGH,YES,Other,INC — 390 days overdue | Sector: Other,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness
