Company_Name,Instrument_Type,Current_Rater,Rating,Rating_Date,Urgency,Is_INC,Tier,Sector,State,Why_Target,ACER_Pitch_Angle,Source
Chamundeshwari Electricity Supply Corpn. Ltd.,Term loans,IND-RA,A,17-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Copral Energy Pvt. Ltd.,Non-fund based working capital limit,IND-RA,A 4+,08-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Credence Solar Panels Pvt. Ltd.,Term loans,CRISIL,BBB-,17-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Deki Electronics Ltd.,Letter Of credit,CRISIL,A 3+,26-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Desire Energy Solutions Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,05-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Doosan Power Systems India Pvt. Ltd.,Bank Guarantee,CARE,BB+,26-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
E D F Renewables India Pvt. Ltd.,Non-government debt,CARE,A+/A1,03-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Flovel Energy Pvt. Ltd.,Bank Guarantee,CRISIL,A 3+,20-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Fortum Solar Plus Pvt. Ltd.,Bank Guarantee,IND-RA,AA,02-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Greaves Electric Mobility Ltd.,Non-government debt,IND-RA,A-/A2+,06-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Hinduja Renewables Pvt. Ltd.,Term loans,CRISIL,AA-,10-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Ideal Energy Projects Ltd.,Term loans,IND-RA,BBB-,23-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Indigrid Infrastructure Trust,Term loans,CRISIL,AAA,06-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
J B M Electric Vehicles Pvt. Ltd.,Term loans,CRISIL,A-,07-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
J B M Green Energy Systems Pvt. Ltd.,Letter Of credit,CRISIL,A 2+,09-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
J S W Energy (Utkal) Ltd.,Term loans,CARE,D,21-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
J S W Renew Energy Two Ltd.,Term loans,IND-RA,A,23-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
J S W Renewable Energy (Vijayanagar) Ltd.,Non-government debt,IND-RA,A+,14-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Janardan Wind Energy Pvt. Ltd.,Term loans,IND-RA,AA-,29-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Kiran Solar One Pvt. Ltd.,Term loans,CRISIL,AA-,10-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
L & T Electrolysers Ltd.,Bank Guarantee,CRISIL,A 1+,27-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Luminous Power Technologies Pvt. Ltd.,Term loans,CRISIL,AAA,08-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
M E W Electricals Ltd.,Term loans,CRISIL,BBB-,30-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Maharashtra State Electricity Distribution Co. Ltd.,Long term Loans,ACUITE,A,18-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Mahle Anand Thermal Systems Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,A+,15-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Maruti Ispat & Energy Pvt. Ltd.,Term loans,IND-RA,BBB+,13-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Megha City Gas Distribution Pvt. Ltd.,Term loans,IND-RA,A+,23-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Mehru Electrical & Mechanical Engineers Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,04-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
N T P C Ge Power Services Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 1,11-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
N T P C Green Energy Ltd.,Term loans,IND-RA,AAA,18-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Nangalbibra-Bongaigaon Transmission Ltd.,Term loans,IND-RA,AA,09-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Ned Energy Ltd. [Merged],Non-fund-based financial facility/instrument,ICRA,A 3,13-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
O P G Energy Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,07-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Pai International Electronics Ltd.,Non-government debt,ICRA,BBB/A3+,30-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Palimarwar Solar House Pvt. Ltd.,Term loans,IND-RA,AA-,28-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Palimarwar Solar Project Pvt. Ltd.,Term loans,IND-RA,AA-,29-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Power Research & Devp. Consultants Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,30-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Prozeal Green Energy Ltd.,Non-government debt,CARE,BBB+/A2,12-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Rajasthan State Power Finance & Financial Services Corpn. Ltd.,Term loans,ACUITE,A-,15-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Rising Sun Energy (K) Pvt. Ltd.,Term loans,CARE,BBB+,08-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
S J Green Park Energy Pvt. Ltd.,Term loans,CARE,A,18-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Sai Maithili Power Co. Pvt. Ltd.,Long term Loans,ACUITE,BBB-,19-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Shreeyam Power & Steel Inds. Ltd.,Long term Loans,CRISIL,BBB,10-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Sidhidata Solar Urja Ltd.,Term loans,IND-RA,AA-,29-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Solarfield Energy Two Pvt. Ltd.,Long term Loans,CRISIL,AA-,09-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Stem Water Distribution & Infrastructure Co. Pvt. Ltd.,Long term Loans,CRISIL,BBB,12-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Tata Passenger Electric Mobility Ltd.,Non-fund based working capital limit,ICRA,A 1+,04-06-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Transition Energy Services Pvt. Ltd.,Term loans,IND-RA,AA-,13-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Waa Solar Ltd.,Term loans,CARE,BB+,20-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
West Bengal State Electricity Distribution Co. Ltd.,Bank Guarantee,ACUITE,A 2+,14-05-2025,HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
4Pel Solar Energy Pvt. Ltd.,Non-government debt,CARE,A,06-01-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
A M P Energy Green Pvt. Ltd.,Bank Guarantee,CARE,A 1,24-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
A M P Solar Evolution Pvt. Ltd.,Term loans,IND-RA,AA-,28-01-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
A M P Solar Power Systems Pvt. Ltd.,Term loans,IND-RA,AA-,24-12-2025,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
A M P Solar Ventures Pvt. Ltd.,Term loans,CARE,A-,09-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
A M R Power Pvt. Ltd.,Term loans,CARE,A,27-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aavanti Renewable Energy Pvt. Ltd.,Term loans,CRISIL,BBB,31-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Acme Solar Holdings Ltd.,Non-fund-based financial facility/instrument,ICRA,AA-,31-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Electricity Mumbai Ltd.,Non-fund based working capital limit,IND-RA,A 1+,23-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Energy Solutions Ltd.,Fund based financial facility/instrument,ICRA,AA+,27-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Green Energy (U P) Ltd.,Term loans,IND-RA,AAA,04-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Hybrid Energy Jaisalmer One Ltd.,Term loans,ICRA,AA+,01-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Power Ltd.,Fund based financial facility/instrument,ICRA,AA,17-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Renewable Energy Devco Pvt. Ltd.,Bank Guarantee,CARE,A-,31-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Renewable Energy Fifty Six Ltd.,Term loans,IND-RA,AA-,23-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy A P Seven Pvt. Ltd.,Term loans,IND-RA,A+,26-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy A P Six Pvt. Ltd.,Term loans,IND-RA,AA,31-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy Ap Eight Pvt. Ltd.,Term loans,CARE,AA-,18-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy Four Ltd.,Term loans,CRISIL,AA-,23-01-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Solar Energy R J One Ltd.,Term loans,IND-RA,AA,24-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Transmission Step-Six Ltd.,Term loans,CRISIL,AA-,17-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Wind Energy Kutchh Six Ltd.,Term loans,IND-RA,A+,18-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adani Wind Energy Mp One Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,AA-,23-01-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adhunik Power & Natural Resources Ltd.,Term loans,IND-RA,BBB,13-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aditi Solar Pvt. Ltd.,Letter Of credit,CRISIL,A 4+,20-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aditya Birla Power Composites Ltd.,Term loans,CARE,A+,24-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aditya Birla Renewables Ltd.,Term loans,CRISIL,AA,04-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Advait Energy Transitions Ltd.,Fund based financial facility/instrument,CRISIL,A-,02-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Adyah Solar Energy Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 1+,24-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aftaab Solar Pvt. Ltd.,Term loans,CRISIL,AAA,24-12-2025,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Alaknanda Hydro Power Co. Ltd.,Term loans,CARE,D,09-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amara Raja Electronics Ltd.,Long term Loans,CRISIL,BB+,31-12-2025,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amara Raja Energy & Mobility Ltd.,Letter Of credit,CRISIL,A 1+,30-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amber Electrotech Ltd.,Bank Guarantee,CARE,BB+,11-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amman-Try Sponge & Power Pvt. Ltd.,Bank Guarantee,CRISIL,A 2,30-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Ampin Energy Transition Pvt. Ltd.,Non-government debt,IND-RA,A/A1,10-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amplus Energy Solutions Pvt. Ltd.,Term loans,ICRA,AA,10-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amplus Solar Power Pvt. Ltd.,Term loans,CARE,AA,23-03-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amravati Power Transmission Co. Ltd.,Term loans,CRISIL,A+,04-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Amun Solarfarms Ltd.,Term loans,CRISIL,A+,24-12-2025,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Ananth Solar Power Maharashtra Pvt. Ltd.,Term loans,ICRA,AA-,10-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Andhra Pradesh Central Power Distribution Corpn. Ltd.,Long term Loans,ACUITE,BBB,29-12-2025,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Anzen India Energy Yield Plus Trust,Term loans,IND-RA,AAA,23-02-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aravali Power Co. Pvt. Ltd.,Letter Of credit,ICRA,A 1+,20-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Aravinda Electricals Infra Private Limited,Letter Of credit,IND-RA,A 4+,27-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
Asian Energy Services Ltd.,Long term Loans,CRISIL,BBB+,30-04-2026,LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active  client approaching renewal. ACER faster turnaround pitch.,Renewal coming up. Pitch ACER speed + competitive fee.,D365
